阿爷无大儿,a'ye'wu'da'er
谢太傅,xie'tai'fu
挟天子而令诸侯,xie'tian'zi'er'ling'zhu'hou
辛苦遭逢起一经,xin'ku'zao'feng'qi'yi'jing
心乐之,xin'le'zhi
辛弃疾,xin'qi'ji
欣然规往,xin'ran'gui'wang
欣然起行,xin'ran'qi'xing
信义著于四海,xin'yi'zhu'yu'si'hai
心远地自偏,xin'yuan'di'zi'pian
心中自不平,xin'zhong'zi'bu'ping
行到水穷处,xing'dao'shui'qiong'chu
行道之人弗受,xing'dao'zhi'ren'fu'shou
兴复汉室,xing'fu'han'shi
行拂乱其所为,xing'fu'luan'qi'suo'wei
星汉灿烂,xing'han'can'lan
兴尽晚回舟,xing'jin'wan'hui'zhou
兴来每独往,xing'lai'mei'du'wang
行乐须及春,xing'le'xu'ji'chun
行路难其一,xing'lu'nan'qi'yi
行路难行路难多歧路,xing'lu'nan'xing'lu'nan'duo'qi'lu
醒能述以文者,xing'neng'shu'yi'wen'zhe
行深山巨谷中,xing'shen'shan'ju'gu'zhong
幸甚至哉,xing'shen'zhi'zai
性嗜酒,xing'shi'jiu
行十日十夜而至于郢,xing'shi'ri'shi'ye'er'zhi'yu'ying
醒时相交欢,xing'shi'xiang'jiao'huan
行收兵,xing'shou'bing
性行淑均,xing'xing'shu'jun
行者休于树,xing'zhe'xiu'yu'shu
行舟绿水前,xing'zhou'lv'shui'qian
兄弟离散,xiong'di'li'san
匈奴草黄马正肥,xiong'nu'cao'huang'ma'zheng'fei
兄女,xiong'nv
雄兔脚扑朔,xiong'tu'jiao'pu'shuo
熊掌,xiong'zhang
兄子胡儿曰,xiong'zi'hu'er'yue
休将白发唱黄鸡,xiu'jiang'bai'fa'chang'huang'ji
休祲降于天,xiu'jin'jiang'yu'tian
徐公何能及君也,xu'gong'he'neng'ji'jun'ye
徐庶见先主,xu'shu'jian'xian'zhu
絮絮不止,xu'xu'bu'zhi
悬泉瀑布,xuan'quan'pu'bu
选贤与能,xuan'xian'yu'neng
宣州谢眺楼,xuan'zhou'xie'tiao'lou
雪暗凋旗画,xue'an'diao'qi'hua
学而,xue'er
学而不思则罔,xue'er'bu'si'ze'wang
学而时习之,xue'er'shi'xi'zhi
雪上空留马行处,xue'shang'kong'liu'ma'xing'chu
学学半,xue'xue'ban
雪拥蓝关马不前,xue'yong'lan'guan'ma'bu'qian
寻病终,xun'bing'zhong
徇蕲以东,xun'qi'yi'dong
寻十余里,xun'shi'yu'li
寻向所志,xun'xiang'suo'zhi
寻张怀民,xun'zhang'huai'min
牙璋辞凤阙,ya'zhang'ci'feng'que
砚冰坚,yan'bing'jian
烟波江上使人愁,yan'bo'jiang'shang'shi'ren'chou
燕地寒,yan'di'han
宴酣之乐,yan'han'zhi'le
沿河求之,yan'he'qiu'zhi
眼见的吹翻了这家,yan'jian'de'chui'fan'le'zhe'jia
烟笼寒水月笼沙,yan'long'han'shui'yue'long'sha
雁门太守行,yan'men'tai'shou'xing
燕雀安知鸿鹄之志哉,yan'que'an'zhi'hong'hu'zhi'zhi'zai
燕然未勒归无计,yan'ran'wei'le'gui'wu'ji
晏如也,yan'ru'ye
晏殊,yan'shu
沿溯阻绝,yan'su'zu'jue
烟消波静,yan'xiao'bo'jing
湮于沙上,yan'yu'sha'shang
燕赵韩魏闻之,yan'zhao'han'wei'wen'zhi
燕子来时新社,yan'zi'lai'shi'xin'she
阳城人也,yang'cheng'ren'ye
杨诚斋诗云,yang'cheng'zhai'shi'yun
阳春布德泽,yang'chun'bu'de'ze
仰而视之曰吓,yang'er'shi'zhi'yue'xia
杨花落尽子规啼,yang'hua'luo'jin'zi'gui'ti
杨炯,yang'jiong
杨万里,yang'wan'li
阳夏人也,yang'xia'ren'ye
养怡之福,yang'yi'zhi'fu
扬州初逢,yang'zhou'chu'feng
腰白玉之环,yao'bai'yu'zhi'huan
遥隔楚云端,yao'ge'chu'yun'duan
窈窕淑女,yao'tiao'shu'nv
遥闻深巷中犬吠,yao'wen'shen'xiang'zhong'quan'fei
邀我至田家,yao'wo'zhi'tian'jia
杳杳钟声晚,yao'yao'zhong'sheng'wan
夜泊秦淮近酒家,ye'bo'qin'huai'jin'jiu'jia
叶底黄鹂一两声,ye'di'huang'li'yi'liang'sheng
野渡无人舟自横,ye'du'wu'ren'zhou'zi'heng
夜发清溪向三峡,ye'fa'qing'xi'xiang'san'xia
野芳发而幽香,ye'fang'fa'er'you'xiang
夜篝火,ye'gou'huo
夜久语声绝,ye'jiu'yu'sheng'jue
夜来南风起,ye'lai'nan'feng'qi
夜阑卧听风吹雨,ye'lan'wo'ting'feng'chui'yu
也拟泛轻舟,ye'ni'fan'qing'zhou
爷娘闻女来,ye'niang'wen'nv'lai
烨然若神人,ye'ran'ruo'shen'ren
曳铁钯,ye'tie'ba
野望,ye'wang
曳屋许许声,ye'wu'xu'xu'sheng
夜夜除非,ye'ye'chu'fei
夜吟应觉月光寒,ye'yin'ying'jue'yue'guang'han
夜雨寄北,ye'yu'ji'bei
一百许里,yi'bai'xu'li
一碧万顷沙鸥翔集,yi'bi'wan'qing'sha'ou'xiang'ji
亦毙之,yi'bi'zhi
义不杀少而杀众,yi'bu'sha'shao'er'sha'zhong
亦不详其姓字,yi'bu'xiang'qi'xing'zi
以残年余力,yi'can'nian'yu'li
已持臣守圉之器,yi'chi'chen'shou'yu'zhi'qi
意踟蹰,yi'chi'chu
一川碎石大如斗,yi'chuan'sui'shi'da'ru'dou
以此夸能,yi'ci'kua'neng
以此自终,yi'ci'zi'zhong
一厝朔东,yi'cuo'shuo'dong
一厝朔南,yi'cuo'shuo'nan
以大易小,yi'da'yi'xiao
一箪食,yi'dan'shi
以刀劈狼首,yi'dao'pi'lang'shou
以牒为械,yi'die'wei'xie
一豆羹,yi'dou'geng
宜多应者,yi'duo'ying'zhe
已而夕阳在山,yi'er'xi'yang'zai'shan
一封朝奏九重天,yi'feng'chao'zou'jiu'chong'tian
以复俟其欣悦,yi'fu'si'qi'xin'yue
宜付有司,yi'fu'you'si
以告先帝之灵,yi'gao'xian'di'zhi'ling
一鼓作气,yi'gu'zuo'qi
疑怪昨宵春梦好,yi'guai'zuo'xiao'chun'meng'hao
以观沧海,yi'guan'cang'hai
以光先帝遗德,yi'guang'xian'di'yi'de
宜乎众矣,yi'hu'zhong'yi
以激怒其众,yi'ji'nu'qi'zhong
意将隧入以攻其后也,yi'jiang'sui'ru'yi'gong'qi'hou'ye
一讲学家设帐寺中,yi'jiang'xue'jia'she'zhang'si'zhong
以君为长者,yi'jun'wei'zhang'zhe
一览众山小,yi'lan'zhong'shan'xiao
一狼得骨止,yi'lang'de'gu'zhi
一狼洞其中,yi'lang'dong'qi'zhong
一狼径去,yi'lang'jing'qu
一狼仍从,yi'lang'reng'cong
一老河兵闻之,yi'lao'he'bing'wen'zhi
以乐其志,yi'le'qi'zhi
已历三世,yi'li'san'shi
亦免冠徒跣,yi'mian'guan'tu'xian
益慕圣贤之道,yi'mu'sheng'xian'zhi'dao
一男附书至,yi'nan'fu'shu'zhi
一瓢饮,yi'piao'yin
毅魄归来日,yi'po'gui'lai'ri
以其境过清,yi'qi'jing'guo'qing
以衾拥覆,yi'qin'yong'fu
已去,yi'qu
一曲新词酒一杯,yi'qu'xin'ci'jiu'yi'bei
佁然不动俶尔远逝,yi'ran'bu'dong'chu'er'yuan'shi
邑人奇之,yi'ren'qi'zhi
一任群芳妒,yi'ren'qun'fang'du
一人一桌一椅一扇一抚尺而已,yi'ren'yi'zhuo'yi'yi'yi'shan'yi'fu'chi'er'yi
以弱为强者,yi'ruo'wei'qiang'zhe
以塞忠谏之路也,yi'sai'zhong'jian'zhi'lu'ye
一山放过一山拦,yi'shan'fang'guo'yi'shan'lan
以伤先帝之明,yi'shang'xian'di'zhi'ming
已是黄昏独自愁,yi'shi'huang'hun'du'zi'chou
一食或尽粟一石,yi'shi'huo'jin'su'yi'dan
一时齐发,yi'shi'qi'fa
以是人多以书假余,yi'shi'ren'duo'yi'shu'jia'yu
亦时时有,yi'shi'shi'you
诣太守,yi'tai'shou
以天下之所顺,yi'tian'xia'zhi'suo'shun
一童子烧酒炉正沸,yi'tong'zi'shao'jiu'lu'zheng'fei
以头抢地耳,yi'tou'qiang'di'er
一屠晚归,yi'tu'wan'gui
驿外断桥边,yi'wai'duan'qiao'bian
一望空阔,yi'wang'kong'kuo
以为妙绝,yi'wei'miao'jue
以为顺流下矣,yi'wei'shun'liu'xia'yi
噫微斯人,yi'wei'si'ren
亦我所欲也,yi'wo'suo'yu'ye
意暇甚,yi'xia'shen
以向宛洛,yi'xiang'wan'luo
一夜乡心五处同,yi'ye'xiang'xin'wu'chu'tong
抑亦人谋也,yi'yi'ren'mou'ye
以迎将军者乎,yi'ying'jiang'jun'zhe'hu
衣沾不足惜,yi'zhan'bu'zu'xi
以彰其咎陛下亦宜自谋,yi'zhang'qi'jiu'bi'xia'yi'yi'zi'mou
以昭陛下平明之理,yi'zhao'bi'xia'ping'ming'zhi'li
弈者胜,yi'zhe'sheng
以至鸟兽木石,yi'zhi'niao'shou'mu'shi
已知泉路近,yi'zhi'quan'lu'jin
以中有足乐者,yi'zhong'you'zu'le'zhe
益州疲弊,yi'zhou'pi'bi
益州险塞,yi'zhou'xian'sai
一桌一椅一扇一抚尺而已,yi'zhuo'yi'yi'yi'shan'yi'fu'chi'er'yi
以咨诹善道,yi'zi'zou'shan'dao
吟鞭东指即天涯,yin'bian'dong'zhi'ji'tian'ya
阴风怒号,yin'feng'nu'hao
饮酒其五,yin'jiu'qi'wu
因屏人曰汉室倾颓,yin'ping'ren'yue'han'shi'qing'tui
饮少辄醉,yin'shao'zhe'zui
饮食百物皆倍穹常时,yin'shi'bai'wu'jie'bei'qiong'chang'shi
因思杜陵梦,yin'si'du'ling'meng
隐天蔽日,yin'tian'bi'ri
隐土之北,yin'tu'zhi'bei
因望月有感,yin'wang'yue'you'gan
阴阳割昏晓,yin'yang'ge'hun'xiao
因以为号焉,yin'yi'wei'hao'yan
饮于河渭河渭不足,yin'yu'he'wei'he'wei'bu'zu
引喻失义,yin'yu'shi'yi
影布石上,ying'bu'shi'shang
颖川徐庶元直,ying'chuan'xu'shu'yuan'zhi
赢得生前身后名,ying'de'sheng'qian'shen'hou'ming
媵人持汤沃灌,ying'ren'chi'tang'wo'guan
影入平羌江水流,ying'ru'ping'qiang'jiang'shui'liu
盈缩之期,ying'suo'zhi'qi
影徒随我身,ying'tu'sui'wo'shen
嘤嘤成韵,ying'ying'cheng'yun
永结无情游,yong'jie'wu'qing'you
咏喇叭,yong'la'ba
咏梅,yong'mei
勇气也,yong'qi'ye
咏雪,yong'xue
雍也,yong'ye
佣者笑而应曰,yong'zhe'xiao'er'ying'yue
有暗香盈袖,you'an'xiang'ying'xiu
右备容臭,you'bei'rong'xiu
又不受之人,you'bu'shou'zhi'ren
忧谗畏讥,you'chan'wei'ji
由此观之,you'ci'guan'zhi
犹得备晨炊,you'de'bei'chen'chui
又弗如远甚,you'fu'ru'yuan'shen
有功,you'gong
又何妨持节云中,you'he'fang'chi'jie'yun'zhong
又何间焉,you'he'jian'yan
又患无硕师名人与游,you'huan'wu'shuo'shi'ming'ren'yu'you
又间令吴广之次所旁丛祠中,you'jian'ling'wu'guang'zhi'ci'suo'pang'cong'ci'zhong
幽径独行迷,you'jing'du'xing'mi
又恐琼楼玉宇,you'kong'qiong'lou'yu'yu
有吏夜捉人,you'li'ye'zhuo'ren
有两人,you'liang'ren
有良田美池桑竹之属,you'liang'tian'mei'chi'sang'zhu'zhi'shu
优劣得所,you'lie'de'suo
有龙则灵,you'long'ze'ling
有朋自远方来,you'peng'zi'yuan'fang'lai
又七年,you'qi'nian
游蕲水清泉寺,you'qi'shui'qing'quan'si
右擎苍,you'qing'cang
悠然自得,you'ran'zi'de
友人便怒,you'ren'bian'nu
友人惭,you'ren'can
游人去而禽,you'ren'qu'er'qin
游人虽未盛,you'ren'sui'wei'sheng
有时,you'shi
由是感激,you'shi'gan'ji
有时见日,you'shi'jian'ri
由是先主遂诣亮,you'shi'xian'zhu'sui'yi'liang
由是则可以避患,you'shi'ze'ke'yi'bi'huan
由是则生而有不用也,you'shi'ze'sheng'er'you'bu'yong'ye
右手秉遗穗,you'shou'bing'yi'sui
右手攀右趾,you'shou'pan'you'zhi
右手指卷,you'shou'zhi'juan
又数刀毙之,you'shu'dao'bi'zhi
又送君归去,you'song'jun'gui'qu
有孙母未去,you'sun'mu'wei'qu
有所广益,you'suo'guang'yi
有亭翼然临于泉上者,you'ting'yi'ran'lin'yu'quan'shang'zhe
有仙则名,you'xian'ze'ming
又笑曰,you'xiao'yue
又一大儿醒,you'yi'da'er'xing
有遗男,you'yi'nan
又用篆章一,you'yong'zhuan'zhang'yi
悠悠,you'you
悠悠见南山,you'you'jian'nan'shan
犹有竟时,you'you'jing'shi
幼有所长,you'you'suo'chang
游于濠梁之上,you'yu'hao'liang'zhi'shang
游鱼细石,you'yu'xi'shi
犹鱼之有水也,you'yu'zhi'you'shui'ye
有约不来过夜半,you'yue'bu'lai'guo'ye'ban
优哉游哉,you'zai'you'zai
攸之祎允等之慢,you'zhi'yi'yun'deng'zhi'man
有子存焉子又生孙,you'zi'cun'yan'zi'you'sheng'sun
欲报之于陛下也,yu'bao'zhi'yu'bi'xia'ye
欲辨已忘言,yu'bian'yi'wang'yan
欲别故乡难,yu'bie'gu'xiang'nan
与臣而将四矣,yu'chen'er'jiang'si'yi
欲出不得,yu'chu'bu'de
欲代子相,yu'dai'zi'xiang
欲得饮,yu'de'yin
余弟宗玄隶而从者,yu'di'zong'xuan'li'er'cong'zhe
予独爱,yu'du'ai
欲渡黄河冰塞川,yu'du'huang'he'bing'sai'chuan
与儿女讲论文义,yu'er'nv'jiang'lun'wen'yi
羽飞乃止,yu'fei'nai'zhi
渔歌互答,yu'ge'hu'da
愚公移山,yu'gong'yi'shan
予观夫巴陵胜状,yu'guan'fu'ba'ling'sheng'zhuang
余寒犹厉,yu'han'you'li
欲济无舟楫,yu'ji'wu'zhou'ji
渔家傲,yu'jia'ao
雨脚如麻未断绝,yu'jiao'ru'ma'wei'duan'jue
于舅家见之,yu'jiu'jia'jian'zhi
与君离别意,yu'jun'li'bie'yi
玉垒浮云变古今,yu'lei'fu'yun'bian'gu'jin
余立侍左右,yu'li'shi'zuo'you
与亮友善,yu'liang'you'shan
伛偻提携,yu'lv'ti'xie
与蒙论议,yu'meng'lun'yi
余拏一小船拥毳衣炉火,yu'na'yi'xiao'chuan'yong'cui'yi'lu'huo
寓逆旅,yu'ni'lv
玉盘珍馐直万钱,yu'pan'zhen'xiu'zhi'wan'qian
与朋友交而不信乎,yu'peng'you'jiao'er'bu'xin'hu
於潜七兄,yu'qian'qi'xiong
余强饮三大白而别,yu'qiang'yin'san'da'bai'er'bie
欲穷其林,yu'qiong'qi'lin
余人各复延,yu'ren'ge'fu'yan
与人期行,yu'ren'qi'xing
渔人甚异之,yu'ren'shen'yi'zhi
虞山王毅叔远甫刻,yu'shan'wang'yi'shu'yuan'fu'ke
欲上青天览明月,yu'shang'qing'tian'lan'ming'yue
于是宾客无不变色离席,yu'shi'bin'ke'wu'bu'bian'se'li'xi
于时冰皮始解,yu'shi'bing'pi'shi'jie
于是鸱得腐鼠,yu'shi'chi'de'fu'shu
于是惠子恐,yu'shi'hui'zi'kong
于是见公输盘,yu'shi'jian'gong'shu'pan
于是入朝见威王,yu'shi'ru'chao'jian'wei'wang
于是与亮情好日密,yu'shi'yu'liang'qing'hao'ri'mi
于厅事之东北角,yu'ting'shi'zhi'dong'bei'jiao
予谓菊,yu'wei'ju
欲为圣朝除弊事,yu'wei'sheng'chao'chu'bi'shi
欲问行人去那边,yu'wen'xing'ren'qu'na'bian
余闻之也久,yu'wen'zhi'ye'jiu
于我如浮云,yu'wo'ru'fu'yun
鱼我所欲也,yu'wo'suo'yu'ye
欲信大义于天下,yu'xin'da'yi'yu'tian'xia
愚以为宫中之事,yu'yi'wei'gong'zhong'zhi'shi
愚以为营中之事,yu'yi'wei'ying'zhong'zhi'shi
欲以五百里之地易安陵,yu'yi'wu'bai'li'zhi'di'yi'an'ling
欲以子之梁国而吓我邪,yu'yi'zi'zhi'liang'guo'er'xia'wo'xie
余因得遍观群书,yu'yin'de'bian'guan'qun'shu
欲有求于我也,yu'you'qiu'yu'wo'ye
余幼时即嗜学,yu'you'shi'ji'shi'xue
欲语泪先流,yu'yu'lei'xian'liu
郁郁青青,yu'yu'qing'qing
与余舟一芥,yu'yu'zhou'yi'jie
余则缊袍敝衣处其间,yu'ze'yun'pao'bi'yi'chu'qi'jian
玉枕纱厨,yu'zhen'sha'chu
余住西湖,yu'zhu'xi'hu
与朱元思书,yu'zhu'yuan'si'shu
与坐谈,yu'zuo'tan
愿陛下亲之信之,yuan'bi'xia'qin'zhi'xin'zhi
鵷鶵过之,yuan'chu'guo'zhi
元方入门不顾,yuan'fang'ru'men'bu'gu
元方时年七岁,yuan'fang'shi'nian'qi'sui
元方曰,yuan'fang'yue
鸢飞戾天者,yuan'fei'li'tian'zhe
元丰六年十月十二日夜,yuan'feng'liu'nian'shi'yue'shi'er'ri'ye
袁宏道,yuan'hong'dao
愿借子杀之,yuan'jie'zi'sha'zhi
猿鸣三声泪沾裳,yuan'ming'san'sheng'lei'zhan'shang
猿鸟乱鸣,yuan'niao'luan'ming
圆缺,yuan'que
元是今朝斗草赢,yuan'shi'jin'zhao'dou'cao'ying
愿为市鞍马,yuan'wei'shi'an'ma
缘溪行,yuan'xi'xing
远贤臣,yuan'xian'chen
远小人,yuan'xiao'ren
援疑质理,yuan'yi'zhi'li
猿则百叫无绝,yuan'ze'bai'jiao'wu'jue
愿终守之,yuan'zhong'shou'zhi
愿诸君勿复言,yuan'zhu'jun'wu'fu'yan
曰臣诚知不如徐公美,yue'chen'cheng'zhi'bu'ru'xu'gong'mei
曰此教我先威众耳,yue'ci'jiao'wo'xian'wei'zhong'er
曰奉壹,yue'feng'yi
曰苟富贵,yue'gou'fu'gui
月既不解饮,yue'ji'bu'jie'yin
阅金经,yue'jin'jing
曰今有人于此,yue'jin'you'ren'yu'ci
约客,yue'ke
曰可矣,yue'ke'yi
曰泯然众人矣,yue'min'ran'zhong'ren'yi
越明年,yue'ming'nian
曰南方有鸟,yue'nan'fang'you'niao
曰请说之,yue'qing'shuo'zhi
月如钩,yue'ru'gou
月色入户,yue'se'ru'hu
曰甚矣,yue'shen'yi
阅十余岁,yue'shi'yu'sui
曰恕己,yue'shu'ji
曰天下无马,yue'tian'xia'wu'ma
曰吾妻之美我者,yue'wu'qi'zhi'mei'wo'zhe
月下独酌,yue'xia'du'zhuo
月下飞天镜,yue'xia'fei'tian'jing
岳阳楼记,yue'yang'lou'ji
月夜刘方平,yue'ye'liu'fang'ping
月有阴晴,yue'you'yin'qing
曰足下事皆成,yue'zu'xia'shi'jie'cheng
云从窗里出,yun'cong'chuang'li'chu
云归而岩穴暝,yun'gui'er'yan'xue'ming
云横秦岭家何在,yun'heng'qin'ling'jia'he'zai
云生结海楼,yun'sheng'jie'hai'lou
云外一声鸡,yun'wai'yi'sheng'ji
杂然而前陈者,za'ran'er'qian'chen'zhe
杂然相许,za'ran'xiang'xu
杂曰投诸渤海之尾,za'yue'tou'zhu'bo'hai'zhi'wei
再拜,zai'bai
载不动许多愁,zai'bu'dong'xu'duo'chou
在洞庭一湖,zai'dong'ting'yi'hu
再而衰,zai'er'shuai
在河之洲,zai'he'zhi'zhou
在乎山水之间也,zai'hu'shan'shui'zhi'jian'ye
在陋巷,zai'lou'xiang
在水一方,zai'shui'yi'fang
在水之湄,zai'shui'zhi'mei
在水之涘,zai'shui'zhi'si
在宋城上而待楚寇矣,zai'song'cheng'shang'er'dai'chu'kou'yi
在昼犹昏,zai'zhou'you'hun
暂伴月将影,zan'ban'yue'jiang'ying
暂凭杯酒长精神,zan'ping'bei'jiu'zhang'jing'shen
赞曰,zan'yue
早春呈水部张十八员外,zao'chun'cheng'shui'bu'zhang'shi'ba'yuan'wai
早寒江上有怀,zao'han'jiang'shang'you'huai
造化钟神秀,zao'hua'zhong'shen'xiu
造饮辄尽,zao'yin'zhe'jin
则霸业可成,ze'ba'ye'ke'cheng
则凡可以避患者何不为也,ze'fan'ke'yi'bi'huan'zhe'he'bu'wei'ye
则凡可以得生者何不用也,ze'fan'ke'yi'de'sheng'zhe'he'bu'yong'ye
则汉室之隆,ze'han'shi'zhi'long
则名微而众寡,ze'ming'wei'er'zhong'gua
则命一上将将荆州之军,ze'ming'yi'shang'jiang'jiang'jing'zhou'zhi'jun
择其善者而从之,ze'qi'shan'zhe'er'cong'zhi
则其受于人者不至也,ze'qi'shou'yu'ren'zhe'bu'zhi'ye
则是无礼,ze'shi'wu'li
则是无信,ze'shi'wu'xin
则素湍绿潭,ze'su'tuan'lv'tan
则题名其上,ze'ti'ming'qi'shang
则一舸无迹,ze'yi'ge'wu'ji
则右刻山高月小,ze'you'ke'shan'gao'yue'xiao
则又请焉,ze'you'qing'yan
则有去国怀乡,ze'you'qu'guo'huai'xiang
则有心旷神怡,ze'you'xin'kuang'shen'yi
则攸之祎允之任也,ze'you'zhi'yi'yun'zhi'ren'ye
则玉城雪岭际天而来,ze'yu'cheng'xue'ling'ji'tian'er'lai
则责,ze'ze
则治臣之罪,ze'zhi'chen'zhi'zui
赠从弟其二,zeng'cong'di'qi'er
增其旧制,zeng'qi'jiu'zhi
曾子曰,zeng'zi'yue
诈自称公子扶苏项燕,zha'zi'cheng'gong'zi'fu'su'xiang'yan
宅边有五柳树,zhai'bian'you'wu'liu'shu
战必胜矣,zhan'bi'sheng'yi
战国策,zhan'guo'ce
战于长勺,zhan'yu'chang'shao
战则请从,zhan'ze'qing'cong
辗转反侧,zhan'zhuan'fan'ce
张岱,zhang'dai
张鲁在北,zhang'lu'zai'bei
长史参军,zhang'shi'can'jun
张养浩,zhang'yang'hao
召令徒属曰,zhao'ling'tu'shu'yue
召三老,zhao'san'lao
赵师秀,zhao'shi'xiu
棹数小舟,zhao'shu'xiao'zhou
照无眠,zhao'wu'mian
赵翼,zhao'yi
折戟沉沙铁未销,zhe'ji'chen'sha'tie'wei'xiao
浙江之潮,zhe'jiang'zhi'chao
者是也,zhe'shi'ye
震撼激射,zhen'han'ji'she
争渡,zheng'du
争而不得,zheng'er'bu'de
争高直指,zheng'gao'zhi'zhi
征蓬出汉塞,zheng'peng'chu'han'sai
正入万山圈子里,zheng'ru'wan'shan'quan'zi'li
正是江南好风景,zheng'shi'jiang'nan'hao'feng'jing
政通人和,zheng'tong'ren'he
争先鼓勇,zheng'xian'gu'yong
知不足,zhi'bu'zu
执策而临之,zhi'ce'er'lin'zhi
只吹的水尽鹅飞罢,zhi'chui'de'shui'jin'e'fei'ba
知而不争,zhi'er'bu'zheng
陟罚藏否,zhi'fa'cang'fou
直挂云帆济沧海,zhi'gua'yun'fan'ji'cang'hai
枳花明驿墙,zhi'hua'ming'yi'qiang
只见草萧疏,zhi'jian'cao'xiao'shu
至今遗恨迷烟树,zhi'jin'yi'hen'mi'yan'shu
至今已觉不新鲜,zhi'jin'yi'jue'bu'xin'xian
只恐双溪舴艋舟,zhi'kong'shuang'xi'ze'meng'zhou
知困,zhi'kun
止露尻尾,zhi'lu'kao'wei
志虑忠纯,zhi'lv'zhong'chun
至满井,zhi'man'jing
智能之士思得明君,zhi'neng'zhi'shi'si'de'ming'jun
至其家,zhi'qi'jia
置人罾鱼腹中,zhi'ren'zeng'yu'fu'zhong
只辱于奴隶人之手,zhi'ru'yu'nu'li'ren'zhi'shou
知汝远来应有意,zhi'ru'yuan'lai'ying'you'yi
至若春和景明,zhi'ruo'chun'he'jing'ming
至舍,zhi'she
直视无碍,zhi'shi'wu'ai
至石之半,zhi'shi'zhi'ban
指通豫南,zhi'tong'yu'nan
止有剩骨,zhi'you'sheng'gu
只有香如故,zhi'you'xiang'ru'gu
至于,zhi'yu
至于负者歌于途,zhi'yu'fu'zhe'ge'yu'tu
至于今日,zhi'yu'jin'ri
志在千里,zhi'zai'qian'li
止增笑耳,zhi'zeng'xiao'er
知之者不如好之者,zhi'zhi'zhe'bu'ru'hao'zhi'zhe
智子疑邻,zhi'zi'yi'lin
众宾团坐,zhong'bin'tuan'zuo
种豆南山下,zhong'dou'nan'shan'xia
中峨冠而多髯者为东坡,zhong'e'guan'er'duo'ran'zhe'wei'dong'po
众服为确论,zhong'fu'wei'que'lun
钟鼓乐之,zhong'gu'le'zhi
中间力拉崩倒之声,zhong'jian'li'la'beng'dao'zhi'sheng
中间小谢又清发,zhong'jian'xiao'xie'you'qing'fa
中军置酒饮归客,zhong'jun'zhi'jiu'yin'gui'ke
众妙毕备,zhong'miao'bi'bei
终南别业,zhong'nan'bie'ye
终岁常端正,zhong'sui'chang'duan'zheng
中岁颇好道,zhong'sui'po'hao'dao
中通外直,zhong'tong'wai'zhi
终为土灰,zhong'wei'tu'hui
中无杂树,zhong'wu'za'shu
中轩敞者为舱,zhong'xuan'chang'zhe'wei'cang
仲永生五年,zhong'yong'sheng'wu'nian
忠之属也,zhong'zhi'shu'ye
忠志之士忘身于外者,zhong'zhi'zhi'shi'wang'shen'yu'wai'zhe
周敦颐,zhou'dun'yi
周密,zhou'mi
舟首尾长约八分有奇,zhou'shou'wei'chang'yue'ba'fen'you'qi
舟尾横卧一楫,zhou'wei'heng'wo'yi'ji
舟中人两三粒而已,zhou'zhong'ren'liang'san'li'er'yi
舟子喃喃曰,zhou'zi'nan'nan'yue
诛暴秦,zhu'bao'qin
珠翠罗绮溢目,zhu'cui'luo'qi'yi'mu
诸葛亮,zhu'ge'liang
诸郡县苦秦吏者,zhu'jun'xian'ku'qin'li'zhe
珠可历历数也,zhu'ke'li'li'shu'ye
竹里馆,zhu'li'guan
主人日再食,zhu'ren'ri'zai'shi
主上蒙尘,zhu'shang'meng'chen
著我旧时裳,zhu'wo'jiu'shi'shang
朱熹,zhu'xi
竹之乱耳,zhu'zhi'luan'er
竹中窥落日,zhu'zhong'kui'luo'ri
赚得行人空喜欢,zhuan'de'xing'ren'kong'xi'huan
转视积薪后,zhuan'shi'ji'xin'hou
转朱阁,zhuan'zhu'ge
转转不已,zhuan'zhuan'bu'yi
壮士十年归,zhuang'shi'shi'nian'gui
壮心不已,zhuang'xin'bu'yi
壮有所用,zhuang'you'suo'yong
庄子故事两则,zhuang'zi'gu'shi'liang'ze
庄子往见之,zhuang'zi'wang'jian'zhi
庄子与惠子,zhuang'zi'yu'hui'zi
庄子与惠子游于濠梁,zhuang'zi'yu'hui'zi'you'yu'hao'liang
庄子曰鯈鱼出游从容,zhuang'zi'yue'chou'yu'chu'you'cong'rong
庄子曰请循其本,zhuang'zi'yue'qing'xun'qi'ben
庄子曰子非我,zhuang'zi'yue'zi'fei'wo
追旅思,zhui'lv'si
缀行甚远,zhui'xing'shen'yuan
浊酒一杯家万里,zhuo'jiu'yi'bei'jia'wan'li
浊浪排空日星陷耀,zhuo'lang'pai'kong'ri'xing'xian'yao
濯清涟而不妖,zhuo'qing'lian'er'bu'yao
咨臣以当世之事,zi'chen'yi'dang'shi'zhi'shi
自此,zi'ci
自非亭午夜分,zi'fei'ting'wu'ye'fen
自富阳至桐庐,zi'fu'yang'zhi'tong'lu
子固非鱼也,zi'gu'fei'yu'ye
自古逢秋悲寂寥,zi'gu'feng'qiu'bei'ji'liao
子罕,zi'han
自河南经乱,zi'he'nan'jing'luan
自既望以至十八日为盛,zi'ji'wang'yi'zhi'shi'ba'ri'wei'sheng
自将磨洗认前朝,zi'jiang'mo'xi'ren'qian'chao
自经丧乱少睡眠,zi'jing'sang'luan'shao'shui'mian
自康乐以来,zi'kang'le'yi'lai
自李唐来,zi'li'tang'lai
