阿贝尔氏密闭实验机,a'bei'er'shi'mi'bi'shi'yan'ji
丙酮酸,bing'tong'suan
丙酮糖,bing'tong'tang
丙酮肟,bing'tong'wo
丙烷,bing'wan
并五苯,bing'wu'ben
丙烯,bing'xi
丙烯腈,bing'xi'jing
丙烯腈橡胶,bing'xi'jing'xiang'jiao
丙烯拟除虫菊酯,bing'xi'ni'chu'chong'ju'zhi
丙烯醛,bing'xi'quan
丙烯醛二聚物,bing'xi'quan'er'ju'wu
丙烯醛尸,bing'xi'quan'shi
丙烯酸,bing'xi'suan
丙烯酸甲酯,bing'xi'suan'jia'zhi
丙烯酸尸,bing'xi'suan'shi
丙烯酸试验,bing'xi'suan'shi'yan
丙烯酸纤维,bing'xi'suan'xian'wei
丙烯酸橡胶,bing'xi'suan'xiang'jiao
丙烯酸盐,bing'xi'suan'yan
丙烯酰胺,bing'xi'xian'an
丙酰胺,bing'xian'an
冰盐点,bing'yan'dian
冰洲石,bing'zhou'shi
伯胺,bo'an
铂箔,bo'bo
波长,bo'chang
伯醇,bo'chun
铂电极,bo'dian'ji
箔电容器,bo'dian'rong'qi
波动方程,bo'dong'fang'cheng
波动光学,bo'dong'guang'xue
波动函数,bo'dong'han'shu
玻尔半径,bo'er'ban'jing
伯尔德反应,bo'er'de'fan'ying
波耳多液,bo'er'duo'ye
玻尔理论,bo'er'li'lun
玻尔原子模型,bo'er'yuan'zi'mo'xing
波耳兹曼常数,bo'er'zi'man'chang'shu
玻尔兹曼定律,bo'er'zi'man'ding'lv
玻耳兹曼能量分布定律,bo'er'zi'man'neng'liang'fen'bu'ding'lv
玻耳兹曼速度分布定律,bo'er'zi'man'su'du'fen'bu'ding'lv
玻尔兹曼速度分配定律,bo'er'zi'man'su'du'fen'pei'ding'lv
玻耳兹曼统计,bo'er'zi'man'tong'ji
波耳兹曼原理,bo'er'zi'man'yuan'li
波高,bo'gao
伯格曼换位,bo'ge'man'huan'wei
薄荷,bo'he
薄荷醇,bo'he'chun
薄荷二烯,bo'he'er'xi
薄荷酮,bo'he'tong
薄荷烷,bo'he'wan
薄荷油,bo'he'you
铂黑,bo'hei
铂化物,bo'hua'wu
伯吉乌斯过程,bo'ji'wu'si'guo'cheng
铂铑合金,bo'lao'he'jin
玻璃,bo'li
玻璃棒,bo'li'bang
玻璃成形,bo'li'cheng'xing
玻璃吹制,bo'li'chui'zhi
玻璃电极,bo'li'dian'ji
玻璃管,bo'li'guan
玻璃化,bo'li'hua
玻璃均化,bo'li'jun'hua
玻璃块,bo'li'kuai
玻璃料,bo'li'liao
玻璃滤器,bo'li'lv'qi
玻璃棉,bo'li'mian
玻璃熔融炉,bo'li'rong'rong'lu
玻璃砂纸,bo'li'sha'zhi
玻璃水位计,bo'li'shui'wei'ji
玻璃酸酶,bo'li'suan'mei
玻璃态,bo'li'tai
玻璃瓦,bo'li'wa
玻璃纤维,bo'li'xian'wei
玻璃纤维增强塑料,bo'li'xian'wei'zeng'qiang'su'liao
玻璃纸,bo'li'zhi
玻璃砖,bo'li'zhuan
波鳞,bo'lin
剥落,bo'luo
波美比重计,bo'mei'bi'zhong'ji
波美度,bo'mei'du
铂棉,bo'mian
薄膜,bo'mo
薄膜导热系数,bo'mo'dao're'xi'shu
薄膜过滤器,bo'mo'guo'lv'qi
薄膜冷凝,bo'mo'leng'ning
伯姆石,bo'mu'shi
伯努利定理,bo'nu'li'ding'li
博士溶液,bo'shi'rong'ye
波数,bo'shu
铂丝,bo'si
泊松比,bo'song'bi
泊松分布,bo'song'fen'bu
泊松系数,bo'song'xi'shu
泊肃叶定律,bo'su'ye'ding'lv
伯碳原子,bo'tan'yuan'zi
波特兰水泥,bo'te'lan'shui'ni
剥外皮,bo'wai'pi
玻意耳盖吕萨克定律,bo'yi'er'gai'lv'sa'ke'ding'lv
玻意耳马里奥特定律,bo'yi'er'ma'li'ao'te'ding'lv
玻意耳温度,bo'yi'er'wen'du
不安定常数,bu'an'ding'chang'shu
不饱和,bu'bao'he
不饱和化合物,bu'bao'he'hua'he'wu
不饱和键,bu'bao'he'jian
不饱和溶液,bu'bao'he'rong'ye
不饱和性,bu'bao'he'xing
不饱和指数,bu'bao'he'zhi'shu
不饱烃,bu'bao'ting
不变点,bu'bian'dian
不变系,bu'bian'xi
不变系统,bu'bian'xi'tong
补偿导线,bu'chang'dao'xian
补偿法,bu'chang'fa
不成对电子,bu'cheng'dui'dian'zi
不成键轨道,bu'cheng'jian'gui'dao
补齿合金,bu'chi'he'jin
补齿水泥,bu'chi'shui'ni
补充水,bu'chong'shui
不等轴晶体,bu'deng'zhou'jing'ti
不对称,bu'dui'chen
不对称合成,bu'dui'chen'he'cheng
不对称结构,bu'dui'chen'jie'gou
不对称碳原子,bu'dui'chen'tan'yuan'zi
不对称系,bu'dui'chen'xi
不对称氧化,bu'dui'chen'yang'hua
不对称原子,bu'dui'chen'yuan'zi
不反射膜,bu'fan'she'mo
钚反应堆,bu'fan'ying'dui
卟吩,bu'fen
部分反应,bu'fen'fan'ying
部分冷凝,bu'fen'leng'ning
部分燃烧,bu'fen'ran'shao
不挥发物质,bu'hui'fa'wu'zhi
不挥发性油,bu'hui'fa'xing'you
捕获,bu'huo
捕获电子,bu'huo'dian'zi
捕获晶,bu'huo'jing
捕集剂,bu'ji'ji
捕集器,bu'ji'qi
不均衡,bu'jun'heng
不均三氯乙烷,bu'jun'san'lv'yi'wan
不均匀性,bu'jun'yun'xing
不可见射线,bu'ke'jian'she'xian
不可逆催化,bu'ke'ni'cui'hua
不可逆电池,bu'ke'ni'dian'chi
不可逆电极,bu'ke'ni'dian'ji
不可逆反应,bu'ke'ni'fan'ying
不可逆过程,bu'ke'ni'guo'cheng
不可逆胶体,bu'ke'ni'jiao'ti
不可逆凝胶,bu'ke'ni'ning'jiao
不可逆溶胶,bu'ke'ni'rong'jiao
不可逆性,bu'ke'ni'xing
不可渗透性,bu'ke'shen'tou'xing
不可压缩铃,bu'ke'ya'suo'ling
不可压缩性,bu'ke'ya'suo'xing
不可氧化性,bu'ke'yang'hua'xing
布拉维空间晶格,bu'la'wei'kong'jian'jing'ge
布莱因比面决定法,bu'lai'yin'bi'mian'jue'ding'fa
布兰反应,bu'lan'fan'ying
布兰还原,bu'lan'huan'yuan
布朗管,bu'lang'guan
布朗运动,bu'lang'yun'dong
布劳董理,bu'lao'dong'li
布勒门蓝,bu'le'men'lan
布雷格公式,bu'lei'ge'gong'shi
布里涅耳硬度,bu'li'nie'er'ying'du
卟啉,bu'lin
布仑司维克蓝,bu'lun'si'wei'ke'lan
不凝气体,bu'ning'qi'ti
不燃性,bu'ran'xing
不溶残渣,bu'rong'can'zha
不溶混溶液,bu'rong'hun'rong'ye
不溶混性,bu'rong'hun'xing
不溶解物质,bu'rong'jie'wu'zhi
不溶酶,bu'rong'mei
不溶性,bu'rong'xing
不溶性偶氮染料,bu'rong'xing'ou'dan'ran'liao
不溶性阳极,bu'rong'xing'yang'ji
不渗透性,bu'shen'tou'xing
不渗透性碳,bu'shen'tou'xing'tan
布氏玻璃瓶,bu'shi'bo'li'ping
布氏漏斗,bu'shi'lou'dou
布氏硬度试验机,bu'shi'ying'du'shi'yan'ji
不透茫璃,bu'tou'mang'li
不透萌,bu'tou'meng
不褪色颜色,bu'tui'shai'yan'shai
不完全反应,bu'wan'quan'fan'ying
不完全菌,bu'wan'quan'jun
不完全燃烧,bu'wan'quan'ran'shao
不稳定,bu'wen'ding
不稳定化合物,bu'wen'ding'hua'he'wu
不稳定平衡,bu'wen'ding'ping'heng
不稳定性,bu'wen'ding'xing
不稳平衡,bu'wen'ping'heng
不稳形,bu'wen'xing
不相称结构,bu'xiang'chen'jie'gou
不相混的,bu'xiang'hun'de
不相交规则,bu'xiang'jiao'gui'ze
不相容性,bu'xiang'rong'xing
不锈钢,bu'xiu'gang
不皂化物,bu'zao'hua'wu
擦粉,ca'fen
擦胶剂,ca'jiao'ji
擦胶压延机,ca'jiao'ya'yan'ji
擦洗皂,ca'xi'zao
菜德布尔体,cai'de'bu'er'ti
彩色,cai'se
彩色玻璃,cai'se'bo'li
彩色反应,cai'se'fan'ying
彩色分离,cai'se'fen'li
彩色感光剂,cai'se'gan'guang'ji
彩色感觉,cai'se'gan'jue
彩色偶合剂,cai'se'ou'he'ji
彩色填充剂,cai'se'tian'chong'ji
彩色稳定性,cai'se'wen'ding'xing
彩色显影,cai'se'xian'ying
彩色增感,cai'se'zeng'gan
彩色增感染料,cai'se'zeng'gan'ran'liao
彩色照相,cai'se'zhao'xiang
彩色照相术,cai'se'zhao'xiang'shu
彩色中心,cai'se'zhong'xin
采石炸药,cai'shi'zha'yao
采样器,cai'yang'qi
菜油,cai'you
菜籽油,cai'zi'you
残差,can'cha
参考材料,can'kao'cai'liao
参考燃料,can'kao'ran'liao
参考溶液,can'kao'rong'ye
残留硫,can'liu'liu
残留氯,can'liu'lv
残留物,can'liu'wu
参数,can'shu
残油,can'you
残余空气,can'yu'kong'qi
残余膨胀率,can'yu'peng'zhang'lv
残余气体,can'yu'qi'ti
残余土,can'yu'tu
残余油,can'yu'you
藏红,cang'hong
藏花醛,cang'hua'quan
苍铍胶,cang'pi'jiao
草氨酸,cao'an'suan
槽法炭黑,cao'fa'tan'hei
草蒿脑,cao'hao'nao
草碱,cao'jian
槽炉,cao'lu
草酸,cao'suan
草酸铵,cao'suan'an
草酸铒,cao'suan'er
草酸镨,cao'suan'pu
草酸氢钾,cao'suan'qing'jia
草酸铈,cao'suan'shi
草酸铁,cao'suan'tie
草酸亚铁,cao'suan'ya'tie
草酸盐,cao'suan'yan
草酰胺,cao'xian'an
草酰酸,cao'xian'suan
草酰替苯胺,cao'xian'ti'ben'an
槽显影,cao'xian'ying
草乙酸,cao'yi'suan
草纸浆,cao'zhi'jiang
操茁度,cao'zhuo'du
操捉法,cao'zhuo'fa
操纵器机械手,cao'zong'qi'ji'xie'shou
侧柏酮,ce'bai'tong
测不准关系,ce'bu'zhun'guan'xi
测不准原理,ce'bu'zhun'yuan'li
测定,ce'ding
测定偏差,ce'ding'pian'cha
侧分泌,ce'fen'mi
测辐射热器,ce'fu'she're'qi
测高计,ce'gao'ji
测高仪,ce'gao'yi
测角仪,ce'jiao'yi
侧链,ce'lian
侧链异构,ce'lian'yi'gou
测量精度,ce'liang'jing'du
测量误差,ce'liang'wu'cha
侧面,ce'mian
测湿法,ce'shi'fa
测水法,ce'shui'fa
测微计,ce'wei'ji
测温滴定,ce'wen'di'ding
测温分析,ce'wen'fen'xi
测氧法,ce'yang'fa
层板,ceng'ban
层怜,ceng'lian
噌啉,ceng'lin
层流,ceng'liu
层形点阵,ceng'xing'dian'zhen
层压,ceng'ya
层压材料,ceng'ya'cai'liao
层压纸,ceng'ya'zhi
层状构造,ceng'zhuang'gou'zao
差动法,cha'dong'fa
差动量计,cha'dong'liang'ji
查耳酮,cha'er'tong
茶碱,cha'jian
差热分析仪,cha're'fen'xi'yi
插入,cha'ru
差示滴定,cha'shi'di'ding
差示极谱法,cha'shi'ji'pu'fa
差示溶剂,cha'shi'rong'ji
差示压力计,cha'shi'ya'li'ji
差示折光计,cha'shi'zhe'guang'ji
差向异构体,cha'xiang'yi'gou'ti
差向异构酌,cha'xiang'yi'gou'zhuo
茶油,cha'you
柴油,chai'you
柴油机,chai'you'ji
柴油机燃料,chai'you'ji'ran'liao
蟾蜍他灵,chan'chu'ta'ling
掺和物,chan'huo'wu
产品,chan'pin
产热的,chan're'de
羼质色晶体,chan'zhi'se'jing'ti
肠促胰酶素,chang'cu'yi'mei'su
肠促胰液素,chang'cu'yi'ye'su
肠蛋白酶,chang'dan'bai'mei
长度,chang'du
长管竖式蒸发器,chang'guan'shu'shi'zheng'fa'qi
常规安全炸药,chang'gui'an'quan'zha'yao
常量分析,chang'liang'fen'xi
常量化学,chang'liang'hua'xue
长石,chang'shi
长石瓷,chang'shi'ci
长时间曝光,chang'shi'jian'bao'guang
常数,chang'shu
常态,chang'tai
肠肽酶,chang'tai'mei
肠线,chang'xian
长焰煤,chang'yan'mei
长油性清漆,chang'you'xing'qing'qi
场致蒸发,chang'zhi'zheng'fa
超倍显微镜,chao'bei'xian'wei'jing
超促进剂,chao'cu'jin'ji
超导材料,chao'dao'cai'liao
超导率,chao'dao'lv
超低温,chao'di'wen
超电势,chao'dian'shi
超对称性,chao'dui'chen'xing
超高分子量聚重物,chao'gao'fen'zi'liang'ju'zhong'wu
超共轭,chao'gong'e
超过滤膜,chao'guo'lv'mo
超化学,chao'hua'xue
超激发态,chao'ji'fa'tai
超加折射,chao'jia'zhe'she
超交换相互酌,chao'jiao'huan'xiang'hu'zhuo
潮解,chao'jie
超晶格结构,chao'jing'ge'jie'gou
超精细结构,chao'jing'xi'jie'gou
超绝热,chao'jue're
超离心法,chao'li'xin'fa
超离心机,chao'li'xin'ji
超离子导体,chao'li'zi'dao'ti
超猎,chao'lie
超滤器,chao'lv'qi
超声波,chao'sheng'bo
超声波断层显微分析,chao'sheng'bo'duan'ceng'xian'wei'fen'xi
超声波量计,chao'sheng'bo'liang'ji
超声化学,chao'sheng'hua'xue
超声燃料,chao'sheng'ran'liao
超微分析,chao'wei'fen'xi
超微粒子,chao'wei'li'zi
超微量化学,chao'wei'liang'hua'xue
超细粉,chao'xi'fen
超细过滤,chao'xi'guo'lv
超细粒子,chao'xi'li'zi
超细纤维,chao'xi'xian'wei
朝鲜纸,chao'xian'zhi
超压,chao'ya
超铀元素,chao'you'yuan'su
超增感,chao'zeng'gan
车轮矿,che'lun'kuang
沉淀,chen'dian
沉淀槽,chen'dian'cao
沉淀滴定,chen'dian'di'ding
沉淀分析,chen'dian'fen'xi
沉淀剂,chen'dian'ji
沉淀降水,chen'dian'jiang'shui
沉淀硫,chen'dian'liu
沉淀膜,chen'dian'mo
沉淀器,chen'dian'qi
沉淀室,chen'dian'shi
沉淀碳酸钡,chen'dian'tan'suan'bei
沉淀物,chen'dian'wu
沉淀箱,chen'dian'xiang
沉淀性,chen'dian'xing
沉淀值,chen'dian'zhi
沉积电位,chen'ji'dian'wei
沉积岩,chen'ji'yan
沉积酌,chen'ji'zhuo
沉降比,chen'jiang'bi
沉降常数,chen'jiang'chang'shu
沉降反应,chen'jiang'fan'ying
沉降平衡,chen'jiang'ping'heng
沉降曲线,chen'jiang'qu'xian
沉降容积,chen'jiang'rong'ji
沉降速度,chen'jiang'su'du
沉降天平,chen'jiang'tian'ping
沉降桶,chen'jiang'tong
沉降系数,chen'jiang'xi'shu
沉沫分离器,chen'mo'fen'li'qi
沉没燃烧,chen'mo'ran'shao
沉沫橡皮,chen'mo'xiang'pi
沉香油,chen'xiang'you
撑二氨,cheng'er'an
秤杆,cheng'gan
橙花醇,cheng'hua'chun
橙花醚,cheng'hua'mi
橙花醛,cheng'hua'quan
橙花叔醇,cheng'hua'shu'chun
橙花油,cheng'hua'you
成环,cheng'huan
成键轨道,cheng'jian'gui'dao
成焦性,cheng'jiao'xing
成粒机,cheng'li'ji
称量,cheng'liang
称量准确度,cheng'liang'zhun'que'du
成氯醇,cheng'lv'chun
成膜能,cheng'mo'neng
成膜物,cheng'mo'wu
橙皮苷,cheng'pi'gan
成批生产,cheng'pi'sheng'chan
橙皮油,cheng'pi'you
称瓶,cheng'ping
澄清,cheng'qing
澄清剂,cheng'qing'ji
橙色菌素,cheng'se'jun'su
橙色颜料,cheng'se'yan'liao
城市煤气,cheng'shi'mei'qi
城市气,cheng'shi'qi
成熟,cheng'shu
成熟度,cheng'shu'du
成熟温度,cheng'shu'wen'du
成熟酌,cheng'shu'zhuo
成酸物质,cheng'suan'wu'zhi
成形,cheng'xing
成型收缩,cheng'xing'shou'suo
成盐蒸发器,cheng'yan'zheng'fa'qi
橙油,cheng'you
成珠聚合,cheng'zhu'ju'he
尺寸恒定性,chi'cun'heng'ding'xing
尺度放大,chi'du'fang'da
持恒电流,chi'heng'dian'liu
迟缓反应,chi'huan'fan'ying
持久性,chi'jiu'xing
齿轮泵,chi'lun'beng
赤霉素,chi'mei'su
赤霉酸,chi'mei'suan
赤热,chi're
赤铁矿,chi'tie'kuang
赤铜矿,chi'tong'kuang
赤藓醇,chi'xian'chun
赤藓红,chi'xian'hong
赤藓糖,chi'xian'tang
赤藓酮糖,chi'xian'tong'tang
充氮灯,chong'dan'deng
充电电流,chong'dian'dian'liu
重叠积分,chong'die'ji'fen
重叠效应,chong'die'xiao'ying
重复,chong'fu
冲还力,chong'hai'li
重合边界,chong'he'bian'jie
冲沪,chong'hu
冲化性,chong'hua'xing
冲桓,chong'huan
冲豢度,chong'huan'du
冲慧碎机,chong'hui'sui'ji
冲辉验,chong'hui'yan
冲击,chong'ji
冲稽收器,chong'ji'shou'qi
虫胶,chong'jiao
虫胶清漆,chong'jiao'qing'qi
充气水,chong'qi'shui
充油电容器,chong'you'dian'rong'qi
重整气,chong'zheng'qi
重整油,chong'zheng'you
抽出法,chou'chu'fa
稠度,chou'du
稠度计,chou'du'ji
稠合芳族环,chou'he'fang'zu'huan
稠环,chou'huan
抽提结晶,chou'ti'jie'jing
抽提系统,chou'ti'xi'tong
抽吸,chou'xi
抽吸泵,chou'xi'beng
臭氧,chou'yang
臭氧测定术,chou'yang'ce'ding'shu
臭氧测量仪,chou'yang'ce'liang'yi
臭氧发生器,chou'yang'fa'sheng'qi
臭氧分解,chou'yang'fen'jie
臭氧化,chou'yang'hua
臭氧化物,chou'yang'hua'wu
臭氧计,chou'yang'ji
臭氧漂白,chou'yang'piao'bai
杵棒,chu'bang
触变胶体,chu'bian'jiao'ti
触变性,chu'bian'xing
除冰剂,chu'bing'ji
储藏,chu'cang
储藏物,chu'cang'wu
除草剂,chu'cao'ji
除尘分离器,chu'chen'fen'li'qi
除尘器,chu'chen'qi
除尘效率,chu'chen'xiao'lv
除虫菊素,chu'chong'ju'su
储存寿命,chu'cun'shou'ming
初基胞,chu'ji'bao
初基点阵,chu'ji'dian'zhen
初级线圈,chu'ji'xian'quan
初晶相,chu'jing'xiang
出口,chu'kou
初镏点,chu'liu'dian
除螨酯,chu'man'zhi
初凝,chu'ning
除气,chu'qi
除汽,chu'qi
除气器,chu'qi'qi
储气器气柜,chu'qi'qi'qi'gui
除汽器脱泡器,chu'qi'qi'tuo'pao'qi
储气筒,chu'qi'tong
除缺,chu'que
初生气,chu'sheng'qi
初生氢,chu'sheng'qing
初生水,chu'sheng'shui
初生态,chu'sheng'tai
初条件,chu'tiao'jian
除嗅器,chu'xiu'qi
储蓄槽,chu'xu'cao
触压尸,chu'ya'shi
储液,chu'ye
初值问题,chu'zhi'wen'ti
传播速率,chuan'bo'su'lv
穿刺培养,chuan'ci'pei'yang
传导电子,chuan'dao'dian'zi
传导性,chuan'dao'xing
传递,chuan'di
传递单元数,chuan'di'dan'yuan'shu
传递模塑,chuan'di'mo'su
船底涂料,chuan'di'tu'liao
氚核,chuan'he
串联,chuan'lian
传热介质,chuan're'jie'zhi
传热系数,chuan're'xi'shu
船式构象,chuan'shi'gou'xiang
穿透渗入度,chuan'tou'shen'ru'du
穿透性,chuan'tou'xing
船用机油,chuan'yong'ji'you
船用油,chuan'yong'you
吹除,chui'chu
吹风,chui'feng
吹管,chui'guan
吹管反应分析,chui'guan'fan'ying'fen'xi
吹管分析,chui'guan'fen'xi
吹管试验,chui'guan'shi'yan
吹气分离,chui'qi'fen'li
锤式破碎机,chui'shi'po'sui'ji
春孢型,chun'bao'xing
纯粹培养,chun'cui'pei'yang
纯度,chun'du
纯度分析,chun'du'fen'xi
纯度检查,chun'du'jian'cha
醇化合物,chun'hua'he'wu
醇解,chun'jie
纯绿宝石,chun'lv'bao'shi
醇酶,chun'mei
醇凝胶,chun'ning'jiao
醇醛缩合反应,chun'quan'suo'he'fan'ying
醇溶蛋白,chun'rong'dan'bai
醇溶胶,chun'rong'jiao
醇溶清漆,chun'rong'qing'qi
醇溶染料,chun'rong'ran'liao
醇溶朊,chun'rong'ruan
醇溶液,chun'rong'ye
醇酸,chun'suan
醇酸清漆,chun'suan'qing'qi
醇酸尸,chun'suan'shi
醇酸涂料,chun'suan'tu'liao
醇脱氢酶,chun'tuo'qing'mei
纯物质,chun'wu'zhi
纯皂,chun'zao
磁场,ci'chang
磁导率,ci'dao'lv
次碘酸盐,ci'dian'suan'yan
雌二醇,ci'er'chun
瓷坩埚,ci'gan'guo
磁感应,ci'gan'ying
磁蛤异性,ci'ge'yi'xing
磁共振,ci'gong'zhen
磁化,ci'hua
磁化率,ci'hua'lv
瓷化温度范围,ci'hua'wen'du'fan'wei
磁化学,ci'hua'xue
磁化学甸,ci'hua'xue'dian
磁化学分析,ci'hua'xue'fen'xi
磁黄铁矿,ci'huang'tie'kuang
次级电池,ci'ji'dian'chi
刺激剂,ci'ji'ji
次级空气,ci'ji'kong'qi
刺激性气体,ci'ji'xing'qi'ti
次级增塑剂,ci'ji'zeng'su'ji
磁晶群,ci'jing'qun
磁晶体结构,ci'jing'ti'jie'gou
磁控管,ci'kong'guan
磁力分离器,ci'li'fen'li'qi
磁力分析,ci'li'fen'xi
磁力搅拌器,ci'li'jiao'ban'qi
磁量子数,ci'liang'zi'shu
次磷酸钠,ci'lin'suan'na
次硫酸,ci'liu'suan
次硫酸盐,ci'liu'suan'yan
次氯酸,ci'lv'suan
次氯酸酐,ci'lv'suan'gan
次氯酸钾,ci'lv'suan'jia
次氯酸钠,ci'lv'suan'na
次氯酸盐,ci'lv'suan'yan
次氯酸盐滴定,ci'lv'suan'yan'di'ding
磁麻糖,ci'ma'tang
瓷器,ci'qi
瓷漆,ci'qi
磁强计,ci'qiang'ji
瓷乳钵,ci'ru'bo
雌三醇,ci'san'chun
磁声波,ci'sheng'bo
次生结晶酌,ci'sheng'jie'jing'zhuo
雌素酮,ci'su'tong
磁铁,ci'tie
磁铁矿,ci'tie'kuang
刺桐定,ci'tong'ding
刺桐烯,ci'tong'xi
瓷土,ci'tu
雌烷,ci'wan
次烷基,ci'wan'ji
次微粒,ci'wei'li
磁性半导体,ci'xing'ban'dao'ti
磁性弛豫,ci'xing'chi'yu
磁性过滤器,ci'xing'guo'lv'qi
磁性体,ci'xing'ti
磁性氧化铁,ci'xing'yang'hua'tie
瓷釉,ci'you
磁针,ci'zhen
瓷砖,ci'zhuan
磁子,ci'zi
粗糙度,cu'cao'du
粗纺毛纱,cu'fang'mao'sha
醋酐,cu'gan
醋汞辛酚,cu'gong'xin'fen
醋化酌,cu'hua'zhuo
促甲状腺激素,cu'jia'zhuang'xian'ji'su
促进剂,cu'jin'ji
醋精,cu'jing
粗酒石,cu'jiu'shi
粗颗粒的,cu'ke'li'de
促凝血酶,cu'ning'xue'mei
促凝血球蛋白,cu'ning'xue'qiu'dan'bai
醋偶姻,cu'ou'yin
促乳泌素,cu'ru'mi'su
粗砂纸,cu'sha'zhi
粗石蜡,cu'shi'la
粗松节油,cu'song'jie'you
醋酸,cu'suan
醋酸钡,cu'suan'bei
醋酸苯乙酯,cu'suan'ben'yi'zhi
醋酸苯酯,cu'suan'ben'zhi
醋酸苄酯,cu'suan'bian'zhi
醋酸冰片酯,cu'suan'bing'pian'zhi
醋酸丙烯酯,cu'suan'bing'xi'zhi
醋酸丙酯,cu'suan'bing'zhi
醋酸测定法,cu'suan'ce'ding'fa
醋酸丁酸纤维素,cu'suan'ding'suan'xian'wei'su
醋酸丁酯,cu'suan'ding'zhi
醋酸高铅,cu'suan'gao'qian
醋酸铬,cu'suan'ge
醋酸镉,cu'suan'ge
醋酸胍,cu'suan'gua
醋酸环己酯,cu'suan'huan'ji'zhi
醋酸茴香酯,cu'suan'hui'xiang'zhi
醋酸计,cu'suan'ji
醋酸己酯,cu'suan'ji'zhi
醋酸钾,cu'suan'jia
醋酸甲酯,cu'suan'jia'zhi
醋酸菌,cu'suan'jun
醋酸里哪酯,cu'suan'li'na'zhi
醋酸钠,cu'suan'na
醋酸镍,cu'suan'nie
醋酸铍,cu'suan'pi
醋酸镨,cu'suan'pu
醋酸铅,cu'suan'qian
醋酸染料,cu'suan'ran'liao
醋酸十二酯,cu'suan'shi'er'zhi
醋酸双氧铀,cu'suan'shuang'yang'you
醋酸丝,cu'suan'si
醋酸铁,cu'suan'tie
醋酸铜,cu'suan'tong
醋酸戊酯,cu'suan'wu'zhi
醋酸纤维,cu'suan'xian'wei
醋酸纤维胶片,cu'suan'xian'wei'jiao'pian
醋酸纤维素人造丝,cu'suan'xian'wei'su'ren'zao'si
醋酸纤维素纤维,cu'suan'xian'wei'su'xian'wei
醋酸锌,cu'suan'xin
醋酸亚铊,cu'suan'ya'ta
醋酸盐,cu'suan'yan
醋酸异丁酯,cu'suan'yi'ding'zhi
醋酸异戊酯,cu'suan'yi'wu'zhi
醋酸乙烯酯,cu'suan'yi'xi'zhi
醋酸银,cu'suan'yin
醋酸酯,cu'suan'zhi
粗碎,cu'sui
粗糖,cu'tang
粗铜,cu'tong
醋酮酸,cu'tong'suan
粗纤维,cu'xian'wei
促性腺激素,cu'xing'xian'ji'su
粗蒸馏,cu'zheng'liu
粗纸,cu'zhi
粗制酒精,cu'zhi'jiu'jing
簇状化合物,cu'zhuang'hua'he'wu
催化,cui'hua
催化毒,cui'hua'du
催化反应,cui'hua'fan'ying
催化芳化,cui'hua'fang'hua
催化分解,cui'hua'fen'jie
催化分析,cui'hua'fen'xi
催化改质,cui'hua'gai'zhi
催化还原,cui'hua'huan'yuan
催化活性序列,cui'hua'huo'xing'xu'lie
催化剂,cui'hua'ji
催化剂表面积,cui'hua'ji'biao'mian'ji
催化剂选择性,cui'hua'ji'xuan'ze'xing
催化剂载体,cui'hua'ji'zai'ti
催化聚合,cui'hua'ju'he
催化氢化,cui'hua'qing'hua
催化燃烧,cui'hua'ran'shao
脆化温度,cui'hua'wen'du
催化氧化,cui'hua'yang'hua
催化酌,cui'hua'zhuo
淬火炭,cui'huo'tan
淬火用油,cui'huo'yong'you
淬火油,cui'huo'you
淬焦钢,cui'jiao'gang
催泪剂,cui'lei'ji
催泪性,cui'lei'xing
催泪性毒气,cui'lei'xing'du'qi
脆裂,cui'lie
翠绿宝石,cui'lv'bao'shi
催脓药,cui'nong'yao
萃取,cui'qu
萃取率,cui'qu'lv
萃取器,cui'qu'qi
萃取崎,cui'qu'qi
萃取物,cui'qu'wu
萃取液,cui'qu'ye
翠雀宁苷,cui'que'ning'gan
脆性,cui'xing
催眼毒素,cui'yan'du'su
脆银矿,cui'yin'kuang
存储器,cun'chu'qi
错位,cuo'wei
大豆蛋白塑胶,da'dou'dan'bai'su'jiao
大芳香族分子,da'fang'xiang'zu'fen'zi
大分子,da'fen'zi
大分子格子,da'fen'zi'ge'zi
大分子化学,da'fen'zi'hua'xue
大分子破裂,da'fen'zi'po'lie
大风子油,da'feng'zi'you
大枫子油,da'feng'zi'you
达盖尔银版,da'gai'er'yin'ban
大根香叶烷,da'gen'xiang'ye'wan
打光涂饰,da'guang'tu'shi
打火石,da'huo'shi
打浆机,da'jiang'ji
大晶体,da'jing'ti
大理石,da'li'shi
大理石灰,da'li'shi'hui
大量生产,da'liang'sheng'chan
大麻,da'ma
大麻醇,da'ma'chun
大麻二酚,da'ma'er'fen
达玛胶漆,da'ma'jiao'qi
达玛尸,da'ma'shi
大麻子油,da'ma'zi'you
大麦糖,da'mai'tang
大麦芽,da'mai'ya
大麦芽碱,da'mai'ya'jian
达纳炸药,da'na'zha'yao
大气,da'qi
大气氮,da'qi'dan
大气氮素固定,da'qi'dan'su'gu'ding
大气腐蚀,da'qi'fu'shi
大气空气,da'qi'kong'qi
大气污染,da'qi'wu'ran
大气压,da'qi'ya
大青玻璃粉,da'qing'bo'li'fen
打散计,da'san'ji
大蒜油,da'suan'you
打印墨水,da'yin'mo'shui
带电粒种,dai'dian'li'zhong
带电粒子,dai'dian'li'zi
