阿斗昏庸事可哀,a'dou'hun'yong'shi'ke'ai
战士仍衣单,zhan'shi'reng'yi'dan
战士指看南粤,zhan'shi'zhi'kan'nan'yue
瞻仰致微忱,zhan'yang'zhi'wei'chen
沾衣晨露浸饿身,zhan'yi'chen'lu'jin'e'shen
展翼冲霄万里行,zhan'yi'chong'xiao'wan'li'xing
战则必胜,zhan'ze'bi'sheng
辗转六道轮回见,zhan'zhuan'liu'dao'lun'hui'jian
丈夫何事足萦怀,zhang'fu'he'shi'zu'ying'huai
张冠道中,zhang'guan'dao'zhong
障眼浮云在下头,zhang'yan'fu'yun'zai'xia'tou
招待出牢人,zhao'dai'chu'lao'ren
昭告列祖,zhao'gao'lie'zu
照横塘半天残月,zhao'heng'tang'ban'tian'can'yue
照见离人彻夜苏,zhao'jian'li'ren'che'ye'su
折乾沉沙,zhe'qian'chen'sha
镇海狮山,zhen'hai'shi'shan
镇日风和雨,zhen'ri'feng'he'yu
真如岂为色空殊,zhen'ru'qi'wei'se'kong'shu
枕上,zhen'shang
阵图开向陇山东,zhen'tu'kai'xiang'long'shan'dong
真愈觉姣妍雄,zhen'yu'jue'jiao'yan'xiong
整饬成性,zheng'chi'cheng'xing
正和前线捷音联,zheng'he'qian'xian'jie'yin'lian
征马嘶北风,zheng'ma'si'bei'feng
正是鸡鸣风雨夜,zheng'shi'ji'ming'feng'yu'ye
正是神都有事时,zheng'shi'shen'dou'you'shi'shi
正西风落叶下长安,zheng'xi'feng'luo'ye'xia'chang'an
政治好,zheng'zhi'hao
只把春来报,zhi'ba'chun'lai'bao
直把天涯都照彻,zhi'ba'tian'ya'dou'zhao'che
至宝不因时令变,zhi'bao'bu'yin'shi'ling'bian
之出版,zhi'chu'ban
纸船明烛照天烧,zhi'chuan'ming'zhu'zhao'tian'shao
指点江山,zhi'dian'jiang'shan
致高桂滋,zhi'gao'gui'zi
只喝井里水,zhi'he'jing'li'shui
只几个石头磨过,zhi'ji'ge'shi'tou'mo'guo
至今衣食尚将输,zhi'jin'yi'shi'shang'jiang'shu
致彭德怀同志,zhi'peng'de'huai'tong'zhi
置其粗浅,zhi'qi'cu'qian
只识弯弓射大雕,zhi'shi'wan'gong'she'da'diao
知误会前番书语,zhi'wu'hui'qian'fan'shu'yu
直下龙岩上杭,zhi'xia'long'yan'shang'hang
知向谁边,zhi'xiang'shui'bian
只要肯登攀,zhi'yao'ken'deng'pan
只有两端,zhi'you'liang'duan
致于所恨,zhi'yu'suo'hen
只缘妖雾又重来,zhi'yuan'yao'wu'you'zhong'lai
志在春秋不可移,zhi'zai'chun'qiu'bu'ke'yi
只争朝夕,zhi'zheng'zhao'xi
直指武夷山下,zhi'zhi'wu'yi'shan'xia
踯躅南城隈,zhi'zhu'nan'cheng'wei
重比翼,zhong'bi'yi
忠肝不洒中原泪,zhong'gan'bu'sa'zhong'yuan'lei
中更蹉跌,zhong'geng'cuo'die
中国妇女,zhong'guo'fu'nv
中帼英雄著义声,zhong'guo'ying'xiong'zhu'yi'sheng
中华儿女多奇志,zhong'hua'er'nv'duo'qi'zhi
中华民国二十六年四月五日,zhong'hua'min'guo'er'shi'liu'nian'si'yue'wu'ri
中间万万,zhong'jian'wan'wan
中流砥柱出钗裙,zhong'liu'di'zhu'chu'chai'qun
众怒莫奈何,zhong'nu'mo'nai'he
中秋步运河上,zhong'qiu'bu'yun'he'shang
中秋望月,zhong'qiu'wang'yue
钟山风雨起苍黄,zhong'shan'feng'yu'qi'cang'huang
中唐俊伟有刘蕡,zhong'tang'jun'wei'you'liu'fen
仲夏夜露命苦短,zhong'xia'ye'lu'ming'ku'duan
中原方逐鹿,zhong'yuan'fang'zhu'lu
咒念金箍闻万遍,zhou'nian'jin'gu'wen'wan'bian
周围是高墙,zhou'wei'shi'gao'qiang
胄衍祀绵,zhou'yan'si'mian
骤雨东风对远湾,zhou'yu'dong'feng'dui'yuan'wan
诸公碌碌皆余子,zhu'gong'lu'lu'jie'yu'zi
注郭沫若原诗,zhu'guo'mo'ruo'yuan'shi
朱华春不荣,zhu'hua'chun'bu'rong
珠江两岸琼楼现,zhu'jiang'liang'an'qiong'lou'xian
伫看风行,zhu'kan'feng'xing
伫看四海耀红旗,zhu'kan'si'hai'yao'hong'qi
诸老各尽欢,zhu'lao'ge'jin'huan
诸老各相邀,zhu'lao'ge'xiang'yao
伫马太行侧,zhu'ma'tai'xing'ce
竹树颇蓊蔚,zhu'shu'po'weng'wei
猪犹智慧胜愚曹,zhu'you'zhi'hui'sheng'yu'cao
竹杖草履谒学尊,zhu'zhang'cao'lv'ye'xue'zun
专横地主莫高飞,zhuan'heng'di'zhu'mo'gao'fei
转眼人千里,zhuan'yan'ren'qian'li
转运增潜力,zhuan'yun'zeng'qian'li
转战辽阳入岭陂,zhuan'zhan'liao'yang'ru'ling'bei
装成鸩鸟作刁媒,zhuang'cheng'zhen'niao'zuo'diao'mei
装点此关山,zhuang'dian'ci'guan'shan
壮家三姐擅斯文,zhuang'jia'san'jie'shan'si'wen
壮烈的死,zhuang'lie'de'si
壮志坚持,zhuang'zhi'jian'chi
壮志未酬事堪哀,zhuang'zhi'wei'chou'shi'kan'ai
壮志也无违,zhuang'zhi'ye'wu'wei
准拟勤劳作业便,zhun'ni'qin'lao'zuo'ye'bian
涿鹿奋战,zhuo'lu'fen'zhan
自从铁道通西域,zi'cong'tie'dao'tong'xi'yu
自古云踪无人晓,zi'gu'yun'zong'wu'ren'xiao
自拉自唱自抒情,zi'la'zi'chang'zi'shu'qing
自明本志好文章,zi'ming'ben'zhi'hao'wen'zhang
子期竟早亡,zi'qi'jing'zao'wang
自求解放入天军,zi'qiu'jie'fang'ru'tian'jun
自然美,zi'ran'mei
兹人不得见,zi'ren'bu'de'jian
子在川上曰,zi'zai'chuan'shang'yue
纵横豪气酒边生,zong'heng'hao'qi'jiu'bian'sheng
总觉难言隐曲衷,zong'jue'nan'yan'yin'qu'zhong
总司令朱德,zong'si'ling'zhu'de
总为法难施,zong'wei'fa'nan'shi
总兹所述,zong'zi'suo'shu
奏技,zou'ji
走马看花愧浅知,zou'ma'kan'hua'kui'qian'zhi
足疾已否痊,zu'ji'yi'fou'quan
祖生击楫至今传,zu'sheng'ji'ji'zhi'jin'chuan
最艰难处显奇才,zui'jian'nan'chu'xian'qi'cai
最是板桥桥上柳,zui'shi'ban'qiao'qiao'shang'liu
最是难堪事,zui'shi'nan'kan'shi
最是伤心秋又到,zui'shi'shang'xin'qiu'you'dao
最是使人留念处,zui'shi'shi'ren'liu'nian'chu
最喜诗人高唱至,zui'xi'shi'ren'gao'chang'zhi
最新人物最新装,zui'xin'ren'wu'zui'xin'zhuang
尊前谈笑人依旧,zun'qian'tan'xiao'ren'yi'jiu
尊圣希贤志则然,zun'sheng'xi'xian'zhi'ze'ran
坐地日行八千里,zuo'di'ri'xing'ba'qian'li
坐地日行八万里,zuo'di'ri'xing'ba'wan'li
作嫁怜侬拙,zuo'jia'lian'nong'zhuo
昨天文小姐,zuo'tian'wen'xiao'jie
坐眺长亭意转闲,zuo'tiao'chang'ting'yi'zhuan'xian
