暗插销,an'cha'xiao
信号中央控制室,xin'hao'zhong'yang'kong'zhi'shi
信号装置,xin'hao'zhuang'zhi
新建工程,xin'jian'gong'cheng
新建筑材料,xin'jian'zhu'cai'liao
新鲜空气,xin'xian'kong'qi
新鲜空气入口,xin'xian'kong'qi'ru'kou
信箱,xin'xiang
行程开关,xing'cheng'kai'guan
型钢,xing'gang
型号,xing'hao
行李存放处,xing'li'cun'fang'chu
行李房,xing'li'fang
行李架,xing'li'jia
形螺栓,xing'luo'shuan
修理车间,xiu'li'che'jian
休息室,xiu'xi'shi
休息厅,xiu'xi'ting
休养所,xiu'yang'suo
修正系数,xiu'zheng'xi'shu
蓄电池,xu'dian'chi
蓄水池,xu'shui'chi
旋床,xuan'chuang
悬垂式照明,xuan'chui'shi'zhao'ming
悬挂式照明器,xuan'gua'shi'zhao'ming'qi
眩光,xuan'guang
悬梁,xuan'liang
旋钮开关,xuan'niu'kai'guan
悬索,xuan'suo
选择开关,xuan'ze'kai'guan
选择器,xuan'ze'qi
选择性,xuan'ze'xing
旋转餐厅,xuan'zhuan'can'ting
旋转开关,xuan'zhuan'kai'guan
旋转门,xuan'zhuan'men
旋转舞台,xuan'zhuan'wu'tai
学生食堂,xue'sheng'shi'tang
学生宿舍,xue'sheng'su'she
学术交流,xue'shu'jiao'liu
学术讨论,xue'shu'tao'lun
学校,xue'xiao
循环泵,xun'huan'beng
循环水泵,xun'huan'shui'beng
循环水系统,xun'huan'shui'xi'tong
压顶,ya'ding
压降,ya'jiang
牙科,ya'ke
牙科诊室,ya'ke'zhen'shi
压力安全装置,ya'li'an'quan'zhuang'zhi
压力泵,ya'li'beng
压力操纵开关,ya'li'cao'zong'kai'guan
压力罐,ya'li'guan
压力开关,ya'li'kai'guan
压力控制,ya'li'kong'zhi
压力控制器,ya'li'kong'zhi'qi
压力容器,ya'li'rong'qi
压力试验,ya'li'shi'yan
压力水箱,ya'li'shui'xiang
压实赶光,ya'shi'gan'guang
压缩机房,ya'suo'ji'fang
压缩机组,ya'suo'ji'zu
压缩空气,ya'suo'kong'qi
压缩空气管道,ya'suo'kong'qi'guan'dao
压缩空气机,ya'suo'kong'qi'ji
压缩空气设备,ya'suo'kong'qi'she'bei
压缩空气系统,ya'suo'kong'qi'xi'tong
压缩空气站,ya'suo'kong'qi'zhan
演播室,yan'bo'shi
演播中心,yan'bo'zhong'xin
烟囱,yan'cong
烟囱顶部,yan'cong'ding'bu
烟囱高度,yan'cong'gao'du
烟道,yan'dao
烟感器,yan'gan'qi
烟感系统,yan'gan'xi'tong
宴会厅,yan'hui'ting
演讲厅,yan'jiang'ting
研究报告,yan'jiu'bao'gao
研究实验,yan'jiu'shi'yan
研究院,yan'jiu'yuan
眼科,yan'ke
眼螺栓,yan'luo'shuan
延时,yan'shi
延时继电器,yan'shi'ji'dian'qi
延时开关,yan'shi'kai'guan
验收检查,yan'shou'jian'cha
验收试验,yan'shou'shi'yan
验收证书,yan'shou'zheng'shu
燕尾螺栓,yan'wei'luo'shuan
燕尾锚具,yan'wei'mao'ju
演员休息室,yan'yuan'xiu'xi'shi
演奏台,yan'zou'tai
演奏厅,yan'zou'ting
样板,yang'ban
样板工程,yang'ban'gong'cheng
样板住宅,yang'ban'zhu'zhai
阳光,yang'guang
氧化膜,yang'hua'mo
氧化物,yang'hua'wu
阳极板,yang'ji'ban
仰角,yang'jiao
养老院,yang'lao'yuan
样品室,yang'pin'shi
扬声器,yang'sheng'qi
扬声器箱,yang'sheng'qi'xiang
仰视透视,yang'shi'tou'shi
仰视图,yang'shi'tu
扬水泵,yang'shui'beng
羊眼,yang'yan
羊眼螺栓,yang'yan'luo'shuan
羊眼螺丝,yang'yan'luo'si
羊眼圈,yang'yan'quan
遥测,yao'ce
药房,yao'fang
遥控,yao'kong
遥控开关,yao'kong'kai'guan
遥控设备,yao'kong'she'bei
遥控装置,yao'kong'zhuang'zhi
药品柜,yao'pin'gui
腰线,yao'xian
夜班,ye'ban
夜间标志,ye'jian'biao'zhi
一般照明,yi'ban'zhao'ming
一般照明设计,yi'ban'zhao'ming'she'ji
仪表室,yi'biao'shi
异步电动机,yi'bu'dian'dong'ji
异步发电机,yi'bu'fa'dian'ji
一层,yi'ceng
一次回路,yi'ci'hui'lu
乙方,yi'fang
衣柜,yi'gui
一览表,yi'lan'biao
医疗建筑,yi'liao'jian'zhu
医疗站,yi'liao'zhan
医疗中心,yi'liao'zhong'xin
衣帽间,yi'mao'jian
易燃气体,yi'ran'qi'ti
易燃物,yi'ran'wu
易燃液体,yi'ran'ye'ti
一室户,yi'shi'hu
溢水管,yi'shui'guan
溢水口,yi'shui'kou
意向书,yi'xiang'shu
异性构件,yi'xing'gou'jian
翼形螺母,yi'xing'luo'mu
翼型螺丝,yi'xing'luo'si
医院,yi'yuan
医院病床,yi'yuan'bing'chuang
医院病床电梯,yi'yuan'bing'chuang'dian'ti
医院病房,yi'yuan'bing'fang
医院建筑,yi'yuan'jian'zhu
隐蔽工程记录,yin'bi'gong'cheng'ji'lu
隐蔽工程验收,yin'bi'gong'cheng'yan'shou
隐蔽工程验收记录,yin'bi'gong'cheng'yan'shou'ji'lu
引风机,yin'feng'ji
阴沟,yin'gou
阴极板,yin'ji'ban
阴角,yin'jiao
音量,yin'liang
音量控制,yin'liang'kong'zhi
阴螺纹,yin'luo'wen
银幕,yin'mu
音频控制,yin'pin'kong'zhi
引入线,yin'ru'xian
音响,yin'xiang
饮用水,yin'yong'shui
音乐餐厅,yin'yue'can'ting
音乐室,yin'yue'shi
音乐厅,yin'yue'ting
英寸,ying'cun
荧光灯,ying'guang'deng
荧光灯带,ying'guang'deng'dai
荧光灯启动器,ying'guang'deng'qi'dong'qi
荧光灯照明,ying'guang'deng'zhao'ming
荧光灯镇流器,ying'guang'deng'zhen'liu'qi
荧光反光灯,ying'guang'fan'guang'deng
荧光屏,ying'guang'ping
英国标准,ying'guo'biao'zhun
英国工程标准协会,ying'guo'gong'cheng'biao'zhun'xie'hui
英国皇家建筑师协会,ying'guo'huang'jia'jian'zhu'shi'xie'hui
硬件,ying'jian
硬设备,ying'she'bei
营业厅,ying'ye'ting
应用科学,ying'yong'ke'xue
应用物理,ying'yong'wu'li
硬质塑料,ying'zhi'su'liao
永久性建筑,yong'jiu'xing'jian'zhu
邮电局,you'dian'ju
幼儿园,you'er'yuan
有机玻璃,you'ji'bo'li
邮局,you'ju
游乐场,you'le'chang
油冷却变压器,you'leng'que'bian'ya'qi
油漆车间,you'qi'che'jian
邮亭,you'ting
邮筒,you'tong
有线电报,you'xian'dian'bao
有线电话,you'xian'dian'hua
有线电视,you'xian'dian'shi
有线广播,you'xian'guang'bo
有线广播站,you'xian'guang'bo'zhan
邮箱,you'xiang
有效半径,you'xiao'ban'jing
有效范围,you'xiao'fan'wei
有效寿命,you'xiao'shou'ming
优秀设计,you'xiu'she'ji
油印机,you'yin'ji
油印机室,you'yin'ji'shi
游泳场,you'yong'chang
游泳池,you'yong'chi
邮政信箱,you'zheng'xin'xiang
预备室,yu'bei'shi
浴池,yu'chi
浴缸,yu'gang
娱乐场,yu'le'chang
娱乐设施,yu'le'she'shi
娱乐厅,yu'le'ting
娱乐中心,yu'le'zhong'xin
欲埋吊件,yu'mai'diao'jian
预埋钢筋,yu'mai'gang'jin
预埋管线工程,yu'mai'guan'xian'gong'cheng
预埋件,yu'mai'jian
预埋螺栓,yu'mai'luo'shuan
预埋木砖,yu'mai'mu'zhuan
浴室,yu'shi
雨水管,yu'shui'guan
雨水井,yu'shui'jing
雨水口,yu'shui'kou
雨水排水道,yu'shui'pai'shui'dao
雨水系统,yu'shui'xi'tong
预算编制,yu'suan'bian'zhi
预算控制,yu'suan'kong'zhi
预算书,yu'suan'shu
预算文件,yu'suan'wen'jian
预算项目,yu'suan'xiang'mu
预算造价,yu'suan'zao'jia
预算专业,yu'suan'zhuan'ye
预算总造价,yu'suan'zong'zao'jia
鱼尾螺栓,yu'wei'luo'shuan
预制板,yu'zhi'ban
预制构件,yu'zhi'gou'jian
预制混凝土盖板,yu'zhi'hun'ning'tu'gai'ban
预制混凝土构件,yu'zhi'hun'ning'tu'gou'jian
预制混凝土过梁,yu'zhi'hun'ning'tu'guo'liang
预制空心楼板,yu'zhi'kong'xin'lou'ban
预制楼板,yu'zhi'lou'ban
预制楼梯,yu'zhi'lou'ti
预制水磨石地面,yu'zhi'shui'mo'shi'di'mian
预制装配式结构,yu'zhi'zhuang'pei'shi'jie'gou
元宝螺母,yuan'bao'luo'mu
元宝螺丝,yuan'bao'luo'si
元件,yuan'jian
圆球灯罩,yuan'qiu'deng'zhao
原设计,yuan'she'ji
原始数据,yuan'shi'shu'ju
原图,yuan'tu
圆形荧光灯,yuan'xing'ying'guang'deng
原有房屋,yuan'you'fang'wu
原子能发电厂,yuan'zi'neng'fa'dian'chang
阅报室,yue'bao'shi
乐池,yue'chi
阅览室,yue'lan'shi
运动场,yun'dong'chang
运动员村,yun'dong'yuan'cun
允许偏差,yun'xu'pian'cha
允许载荷,yun'xu'zai'he
杂技场,za'ji'chang
杂用室,za'yong'shi
杂志室,za'zhi'shi
载波,zai'bo
载波电流,zai'bo'dian'liu
载荷,zai'he
载货电梯,zai'huo'dian'ti
载流容量,zai'liu'rong'liang
载重量,zai'zhong'liang
载重汽车,zai'zhong'qi'che
暂设工程,zan'she'gong'cheng
澡盆,zao'pen
早强混凝土,zao'qiang'hun'ning'tu
噪声,zao'sheng
噪声级,zao'sheng'ji
噪音,zao'yin
噪音控制,zao'yin'kong'zhi
噪音污染,zao'yin'wu'ran
增压变压器,zeng'ya'bian'ya'qi
闸刀开关,zha'dao'kai'guan
栅栏,zha'lan
闸流管,zha'liu'guan
摘录,zhai'lu
斩假石做法,zhan'jia'shi'zuo'fa
粘接接合,zhan'jie'jie'he
粘接强度,zhan'jie'qiang'du
粘接试验,zhan'jie'shi'yan
展开图,zhan'kai'tu
展览馆,zhan'lan'guan
展览品,zhan'lan'pin
展览室,zhan'lan'shi
展览中心,zhan'lan'zhong'xin
粘土层,zhan'tu'ceng
粘质砂土,zhan'zhi'sha'tu
障碍灯,zhang'ai'deng
胀管螺栓,zhang'guan'luo'shuan
胀圈,zhang'quan
招标文件,zhao'biao'wen'jian
招待所,zhao'dai'suo
照度标准,zhao'du'biao'zhun
照度计算,zhao'du'ji'suan
照度曲线,zhao'du'qu'xian
照明变压器,zhao'ming'bian'ya'qi
照明布线,zhao'ming'bu'xian
照明出线口,zhao'ming'chu'xian'kou
照明电路,zhao'ming'dian'lu
照明电源,zhao'ming'dian'yuan
照明工程,zhao'ming'gong'cheng
照明控制,zhao'ming'kong'zhi
照明控制室,zhao'ming'kong'zhi'shi
照明配电盘,zhao'ming'pei'dian'pan
照明配电箱,zhao'ming'pei'dian'xiang
照明器,zhao'ming'qi
照明器材,zhao'ming'qi'cai
照明设计,zhao'ming'she'ji
照明系统,zhao'ming'xi'tong
找平层,zhao'ping'ceng
沼气室,zhao'qi'shi
照相室,zhao'xiang'shi
折叠门,zhe'die'men
振荡电路,zhen'dang'dian'lu
振荡器,zhen'dang'qi
振动板,zhen'dong'ban
振动试验,zhen'dong'shi'yan
真空泵,zhen'kong'beng
真空处理,zhen'kong'chu'li
真空诊断室,zhen'kong'zhen'duan'shi
诊疗室,zhen'liao'shi
镇流器,zhen'liu'qi
诊室,zhen'shi
正常水位,zheng'chang'shui'wei
正常温度,zheng'chang'wen'du
正常压力,zheng'chang'ya'li
正常照明,zheng'chang'zhao'ming
蒸发冷凝器,zheng'fa'leng'ning'qi
蒸发器,zheng'fa'qi
整流器,zheng'liu'qi
蒸馏水,zheng'liu'shui
整流装置,zheng'liu'zhuang'zhi
正门,zheng'men
正面入口,zheng'mian'ru'kou
蒸汽泵,zheng'qi'beng
蒸汽供暖设备,zheng'qi'gong'nuan'she'bei
蒸汽供暖系统,zheng'qi'gong'nuan'xi'tong
蒸汽管,zheng'qi'guan
蒸汽管线,zheng'qi'guan'xian
蒸汽压力,zheng'qi'ya'li
整容室,zheng'rong'shi
正厅,zheng'ting
值班室,zhi'ban'shi
指北针,zhi'bei'zhen
指标,zhi'biao
职工食堂,zhi'gong'shi'tang
职工宿舍,zhi'gong'su'she
职工住宅,zhi'gong'zhu'zhai
止回阀,zhi'hui'fa
直径,zhi'jing
制冷工程,zhi'leng'gong'cheng
制冷设备,zhi'leng'she'bei
制冷系统,zhi'leng'xi'tong
质量,zhi'liang
质量检查,zhi'liang'jian'cha
指令系统,zhi'ling'xi'tong
直流电动机,zhi'liu'dian'dong'ji
直流电源,zhi'liu'dian'yuan
直流发电机,zhi'liu'fa'dian'ji
支路,zhi'lu
指示灯,zhi'shi'deng
指示牌,zhi'shi'pai
支线,zhi'xian
枝形吊灯,zhi'xing'diao'deng
枝形吊灯架,zhi'xing'diao'deng'jia
重病病房,zhong'bing'bing'fang
重病护理单元,zhong'bing'hu'li'dan'yuan
重点工程,zhong'dian'gong'cheng
重点照明,zhong'dian'zhao'ming
终端,zhong'duan
终端设备,zhong'duan'she'bei
中国式,zhong'guo'shi
中频变压器,zhong'pin'bian'ya'qi
中速电梯,zhong'su'dian'ti
中心控制,zhong'xin'kong'zhi
中央大厅,zhong'yang'da'ting
中央控制,zhong'yang'kong'zhi
中央控制室,zhong'yang'kong'zhi'shi
中央控制台,zhong'yang'kong'zhi'tai
中药房,zhong'yao'fang
中医科,zhong'yi'ke
轴流泵,zhou'liu'beng
轴流风扇,zhou'liu'feng'shan
轴线,zhou'xian
周转房,zhou'zhuan'fang
主变电所,zhu'bian'dian'suo
主变压器,zhu'bian'ya'qi
贮藏室,zhu'cang'shi
主电源,zhu'dian'yuan
住房使用面积,zhu'fang'shi'yong'mian'ji
铸工车间,zhu'gong'che'jian
主控制器,zhu'kong'zhi'qi
助理工程师,zhu'li'gong'cheng'shi
助理建筑师,zhu'li'jian'zhu'shi
主配线架,zhu'pei'xian'jia
猪舍,zhu'she
贮水池,zhu'shui'chi
铸铁管,zhu'tie'guan
主席台,zhu'xi'tai
住院部,zhu'yuan'bu
住宅标准,zhu'zhai'biao'zhun
住宅旅馆,zhu'zhai'lv'guan
转换开关,zhuan'huan'kai'guan
转门,zhuan'men
转台,zhuan'tai
装甲电缆,zhuang'jia'dian'lan
装配,zhuang'pei
装配车间,zhuang'pei'che'jian
装配图,zhuang'pei'tu
装饰壁灯,zhuang'shi'bi'deng
装饰灯,zhuang'shi'deng
装饰钉,zhuang'shi'ding
装饰照明,zhuang'shi'zhao'ming
装修工程,zhuang'xiu'gong'cheng
装置,zhuang'zhi
追光灯,zhui'guang'deng
准备工作,zhun'bei'gong'zuo
桌球房,zhuo'qiu'fang
自动保护系统,zi'dong'bao'hu'xi'tong
自动报警器,zi'dong'bao'jing'qi
自动操作,zi'dong'cao'zuo
自动电话,zi'dong'dian'hua
自动断电器,zi'dong'duan'dian'qi
自动断路器,zi'dong'duan'lu'qi
自动扶梯,zi'dong'fu'ti
自动感应烘手器,zi'dong'gan'ying'hong'shou'qi
自动感应门,zi'dong'gan'ying'men
自动关门装置,zi'dong'guan'men'zhuang'zhi
自动化车间,zi'dong'hua'che'jian
自动火灾报警系统,zi'dong'huo'zai'bao'jing'xi'tong
自动记录器,zi'dong'ji'lu'qi
自动给水控制,zi'dong'ji'shui'kong'zhi
自动开关,zi'dong'kai'guan
自动开关装置,zi'dong'kai'guan'zhuang'zhi
自动控制,zi'dong'kong'zhi
自动控制系统,zi'dong'kong'zhi'xi'tong
自动控制装置,zi'dong'kong'zhi'zhuang'zhi
自动门开关,zi'dong'men'kai'guan
自动排气口,zi'dong'pai'qi'kou
自动排烟口,zi'dong'pai'yan'kou
自动喷水系统,zi'dong'pen'shui'xi'tong
自动起动,zi'dong'qi'dong
自动启动器,zi'dong'qi'dong'qi
自动调节装置,zi'dong'tiao'jie'zhuang'zhi
自动消防泵,zi'dong'xiao'fang'beng
自冷式变压器,zi'leng'shi'bian'ya'qi
资料库,zi'liao'ku
资料室,zi'liao'shi
自耦变压器,zi'ou'bian'ya'qi
自然博物馆,zi'ran'bo'wu'guan
自行车库,zi'xing'che'ku
自行车棚,zi'xing'che'peng
自选商店,zi'xuan'shang'dian
咨询室,zi'xun'shi
总概算,zong'gai'suan
总工程师,zong'gong'cheng'shi
总功率,zong'gong'lv
综合照明,zong'he'zhao'ming
总机,zong'ji
总建筑师,zong'jian'zhu'shi
总开关,zong'kai'guan
总控制室,zong'kong'zhi'shi
总配电盘,zong'pei'dian'pan
总配线架,zong'pei'xian'jia
总平面,zong'ping'mian
总平面图,zong'ping'mian'tu
纵剖图,zong'pou'tu
总说明,zong'shuo'ming
总体布置图,zong'ti'bu'zhi'tu
总体规划,zong'ti'gui'hua
总体设计,zong'ti'she'ji
总造价,zong'zao'jia
总则,zong'ze
总装配器,zong'zhuang'pei'qi
总装配图,zong'zhuang'pei'tu
走道,zou'dao
走廊,zou'lang
足尺大样,zu'chi'da'yang
组合,zu'he
阻尼线圈,zu'ni'xian'quan
足球场,zu'qiu'chang
组装,zu'zhuang
组装尺寸,zu'zhuang'chi'cun
组装连接件,zu'zhuang'lian'jie'jian
最大尺寸,zui'da'chi'cun
最低水位,zui'di'shui'wei
最低温度,zui'di'wen'du
最低照度,zui'di'zhao'du
最高水位,zui'gao'shui'wei
坐标,zuo'biao
坐浆,zuo'jiang
坐式大便器,zuo'shi'da'bian'qi
座位,zuo'wei
坐浴盆,zuo'yu'pen
