阿尔泰葱,a'er'tai'cong
黄花大蒜芥,huang'hua'da'suan'jie
黄花蒿,huang'hua'hao
黄花华北耧斗菜,huang'hua'hua'bei'lou'dou'cai
黄花尖萼耧斗菜,huang'hua'jian'e'lou'dou'cai
黄花堇菜,huang'hua'jin'cai
黄花列当,huang'hua'lie'dang
黄花轮叶贝母,huang'hua'lun'ye'bei'mu
黄花落叶松,huang'hua'luo'ye'song
黄花马先蒿,huang'hua'ma'xian'hao
黄花平贝母,huang'hua'ping'bei'mu
黄花忍冬,huang'hua'ren'dong
黄花铁线莲,huang'hua'tie'xian'lian
黄花瓦松,huang'hua'wa'song
黄花委陵菜,huang'hua'wei'ling'cai
黄花乌头,huang'hua'wu'tou
黄花烟草,huang'hua'yan'cao
黄花阴山胡枝子,huang'hua'yin'shan'hu'zhi'zi
黄金蒿,huang'jin'hao
黄金树,huang'jin'shu
黄金鸢尾,huang'jin'yuan'wei
黄精,huang'jing
黄荆,huang'jing
黄连花,huang'lian'hua
黄铃杓兰,huang'ling'biao'lan
黄柳,huang'liu
黄毛棘豆,huang'mao'ji'dou
黄木犀草,huang'mu'xi'cao
黄囊薹草,huang'nang'tai'cao
黄芪,huang'qi
黄芩,huang'qin
黄蜀葵,huang'shu'kui
黄睡莲,huang'shui'lian
黄筒花,huang'tong'hua
黄菀,huang'wan
黄杨,huang'yang
黄杨科,huang'yang'ke
黄药钩齿接骨木,huang'yao'gou'chi'jie'gu'mu
黄药鸡树条荚蒾,huang'yao'ji'shu'tiao'jia'mi
黄颖莎草,huang'ying'suo'cao
黄紫堇,huang'zi'jin
灰白委陵菜,hui'bai'wei'ling'cai
灰背老鹳草,hui'bei'lao'guan'cao
喙果薹草,hui'guo'tai'cao
回回蒜毛茛,hui'hui'suan'mao'gen
辉韭,hui'jiu
灰绿藜,hui'lv'li
灰脉薹草,hui'mai'tai'cao
茴香,hui'xiang
回旋扁蕾,hui'xuan'bian'lei
灰野豌豆,hui'ye'wan'dou
灰株薹草,hui'zhu'tai'cao
火红地杨梅,huo'hong'di'yang'mei
火红石竹,huo'hong'shi'zhu
火炬树,huo'ju'shu
火煤草,huo'mei'cao
火绒草,huo'rong'cao
火烧兰,huo'shao'lan
藿香,huo'xiang
活血丹,huo'xue'dan
火焰草,huo'yan'cao
吉宝胡桃,ji'bao'hu'tao
荠菜,ji'cai
极地米努草,ji'di'mi'nu'cao
极地早熟禾,ji'di'zao'shu'he
极东锦鸡儿,ji'dong'jin'ji'er
脊萼鹅不食,ji'e'e'bu'shi
鸡冠马先蒿,ji'guan'ma'xian'hao
芨芨草,ji'ji'cao
蒺藜,ji'li
蒺藜草,ji'li'cao
蒺藜科,ji'li'ke
吉林藨草,ji'lin'biao'cao
吉林大叶芹,ji'lin'da'ye'qin
吉林薹草,ji'lin'tai'cao
吉林乌头,ji'lin'wu'tou
鸡麻,ji'ma
荠苨,ji'ni
戟片蒲公英,ji'pian'pu'gong'ying
鸡桑,ji'sang
鸡树条荚蒾,ji'shu'tiao'jia'mi
鸡腿堇菜,ji'tui'jin'cai
鸡眼草,ji'yan'cao
基叶翠雀,ji'ye'cui'que
戟叶蓼,ji'ye'liao
急折百蕊草,ji'zhe'bai'rui'cao
济州岛毛茛,ji'zhou'dao'mao'gen
荠苎,ji'zhu
鸡爪槭,ji'zhua'qi
假报春,jia'bao'chun
假贝母,jia'bei'mu
假苍耳,jia'cang'er
假长尾叶蓼,jia'chang'wei'ye'liao
假春榆,jia'chun'yu
假大花益母草,jia'da'hua'yi'mu'cao
假稻,jia'dao
家独行菜,jia'du'xing'cai
假翻白委陵菜,jia'fan'bai'wei'ling'cai
假沟羊茅,jia'gou'yang'mao
荚果蕨,jia'guo'jue
假鹤虱,jia'he'shi
假尖嘴薹草,jia'jian'zui'tai'cao
假冷蕨,jia'leng'jue
假龙胆,jia'long'dan
加拿大一枝黄花,jia'na'da'yi'zhi'huang'hua
家山黧豆,jia'shan'li'dou
假升麻,jia'sheng'ma
假鼠妇草,jia'shu'fu'cao
假水生龙胆,jia'shui'sheng'long'dan
假松叶薹草,jia'song'ye'tai'cao
假酸浆,jia'suan'jiang
假梯牧草,jia'ti'mu'cao
假苇拂子茅,jia'wei'fu'zi'mao
假雪委陵菜,jia'xue'wei'ling'cai
加杨,jia'yang
假芸香,jia'yun'xiang
假泽早熟禾,jia'ze'zao'shu'he
假长嘴薹草,jia'zhang'zui'tai'cao
夹竹桃,jia'zhu'tao
夹竹桃科,jia'zhu'tao'ke
箭报春,jian'bao'chun
尖被灯心草,jian'bei'deng'xin'cao
尖被藜芦,jian'bei'li'lu
尖齿糙苏,jian'chi'cao'su
尖齿凤丫蕨,jian'chi'feng'ya'jue
尖齿甘菊,jian'chi'gan'ju
尖齿狗舌草,jian'chi'gou'she'cao
尖齿槲栎,jian'chi'hu'li
尖唇鸟巢兰,jian'chun'niao'chao'lan
碱地风毛菊,jian'di'feng'mao'ju
碱地肤,jian'di'fu
碱独行菜,jian'du'xing'cai
尖萼耧斗菜,jian'e'lou'dou'cai
箭杆杨,jian'gan'yang
碱蒿,jian'hao
坚桦,jian'hua
碱黄鹌菜,jian'huang'an'cai
碱韭,jian'jiu
碱蓼,jian'liao
尖裂荚果蕨,jian'lie'jia'guo'jue
尖裂日本蓝盆花,jian'lie'ri'ben'lan'pen'hua
碱蓬,jian'peng
碱蛇床,jian'she'chuang
间穗薹草,jian'sui'tai'cao
箭头唐松草,jian'tou'tang'song'cao
尖头叶藜,jian'tou'ye'li
碱菀,jian'wan
健杨,jian'yang
尖叶变蒿,jian'ye'bian'hao
尖叶茶藨,jian'ye'cha'biao
尖叶胡枝子,jian'ye'hu'zhi'zi
尖叶假龙胆,jian'ye'jia'long'dan
尖叶卷柏,jian'ye'juan'bai
箭叶蓼,jian'ye'liao
尖叶麻花头,jian'ye'ma'hua'tou
尖叶眼子菜,jian'ye'yan'zi'cai
尖叶紫柳,jian'ye'zi'liu
尖颖早熟禾,jian'ying'zao'shu'he
尖嘴薹草,jian'zui'tai'cao
姜葱,jiang'cong
豇豆,jiang'dou
浆果猪毛菜,jiang'guo'zhu'mao'cai
江界柳,jiang'jie'liu
角瓣延胡索,jiao'ban'yan'hu'suo
角翅桦,jiao'chi'hua
胶东卫矛,jiao'dong'wei'mao
角果藻,jiao'guo'zao
角蒿,jiao'hao
角茴香,jiao'hui'xiang
角碱蓬,jiao'jian'peng
娇金腰,jiao'jin'yao
角盘兰,jiao'pan'lan
脚薹草,jiao'tai'cao
芥菜,jie'cai
桔梗,jie'geng
桔梗科,jie'geng'ke
接骨木,jie'gu'mu
截基鸭绿乌头,jie'ji'ya'lu'wu'tou
节节菜,jie'jie'cai
结缕草,jie'lv'cao
睫毛蕨,jie'mao'jue
睫毛蕨科,jie'mao'jue'ke
芥末,jie'mo
结球甘蓝,jie'qiu'gan'lan
睫伞繁缕,jie'san'fan'lv
芥叶蒲公英,jie'ye'pu'gong'ying
截嘴薹草,jie'zui'tai'cao
堇菜,jin'cai
堇菜科,jin'cai'ke
荩草,jin'cao
锦带花,jin'dai'hua
金灯藤,jin'deng'teng
金刚草,jin'gang'cao
金刚龙胆,jin'gang'long'dan
金刚鼠李,jin'gang'shu'li
金光菊,jin'guang'ju
锦葵科,jin'kui'ke
金老梅,jin'lao'mei
金莲花,jin'lian'hua
金钱松,jin'qian'song
金球桧,jin'qiu'gui
金雀锦鸡儿,jin'que'jin'ji'er
金色狗尾草,jin'se'gou'wei'cao
金砂蒿,jin'sha'hao
金丝桃科,jin'si'tao'ke
金丝桃叶绣线菊,jin'si'tao'ye'xiu'xian'ju
金粟兰科,jin'su'lan'ke
紧穗蓼,jin'sui'liao
紧穗雀麦,jin'sui'que'mai
金挖耳,jin'wa'er
近无刺苍耳,jin'wu'ci'cang'er
金县白头翁,jin'xian'bai'tou'weng
金县山荆子,jin'xian'shan'jing'zi
金星蕨,jin'xing'jue
金星蕨科,jin'xing'jue'ke
堇叶山梅花,jin'ye'shan'mei'hua
金银花,jin'yin'hua
金银忍冬,jin'yin'ren'dong
金鱼草,jin'yu'cao
金鱼藻,jin'yu'zao
金鱼藻科,jin'yu'zao'ke
金盏银盘,jin'zhan'yin'pan
金钟连翘,jin'zhong'lian'qiao
金州锦鸡儿,jin'zhou'jin'ji'er
金州栎,jin'zhou'li
金州绣线菊,jin'zhou'xiu'xian'ju
京风毛菊,jing'feng'mao'ju
京黄芩,jing'huang'qin
荆芥,jing'jie
旌节马先蒿,jing'jie'ma'xian'hao
京芒草,jing'mang'cao
荆三棱,jing'san'leng
京山梅花,jing'shan'mei'hua
景天科,jing'tian'ke
荆条,jing'tiao
镜叶虎耳草,jing'ye'hu'er'cao
劲直假阴地蕨,jing'zhi'jia'yin'di'jue
救荒野豌豆,jiu'huang'ye'wan'dou
桔草,ju'cao
锯齿沙参,ju'chi'sha'shen
巨齿绣线菊,ju'chi'xiu'xian'ju
菊蒿,ju'hao
聚合草,ju'he'cao
菊花,ju'hua
桔花北黄花菜,ju'hua'bei'huang'hua'cai
聚花风铃草,ju'hua'feng'ling'cao
桔黄重瓣水杨梅,ju'huang'zhong'ban'shui'yang'mei
菊苣,ju'ju
菊科,ju'ke
巨药剪股颖,ju'yao'jian'gu'ying
菊叶堇菜,ju'ye'jin'cai
菊叶香藜,ju'ye'xiang'li
菊芋,ju'yu
巨紫堇,ju'zi'jin
卷柏,juan'bai
卷柏科,juan'bai'ke
卷苞风毛菊,juan'bao'feng'mao'ju
卷苞蒲公英,juan'bao'pu'gong'ying
卷边柳,juan'bian'liu
卷丹,juan'dan
卷萼铁线莲,juan'e'tie'xian'lian
卷耳,juan'er
卷茎蓼,juan'jing'liao
绢毛蒿,juan'mao'hao
卷毛蔓乌头,juan'mao'man'wu'tou
卷毛婆婆纳,juan'mao'po'po'na
绢毛山野豌豆,juan'mao'shan'ye'wan'dou
绢毛绣线菊,juan'mao'xiu'xian'ju
卷心莴苣,juan'xin'wo'ju
卷叶薹草,juan'ye'tai'cao
卷叶唐松草,juan'ye'tang'song'cao
蕨科,jue'ke
决明,jue'ming
君迁子,jun'qian'zi
君子兰,jun'zi'lan
勘察加堇菜,kan'cha'jia'jin'cai
看麦娘,kan'mai'niang
康藏荆芥,kang'cang'jing'jie
糠椴,kang'duan
糠稷,kang'ji
柯马猬草,ke'ma'wei'cao
苦草,ku'cao
苦苣菜,ku'ju'cai
苦苣苔科,ku'ju'tai'ke
苦马豆,ku'ma'dou
苦荬菜,ku'mai'cai
苦木,ku'mu
苦木科,ku'mu'ke
苦荞,ku'qiao
苦参,ku'shen
苦酸浆,ku'suan'jiang
库页堇菜,ku'ye'jin'cai
库页悬钩子,ku'ye'xuan'gou'zi
块根糙苏,kuai'gen'cao'su
宽瓣金莲花,kuan'ban'jin'lian'hua
宽苞翠雀,kuan'bao'cui'que
宽翅虫实,kuan'chi'chong'shi
宽裂北乌头,kuan'lie'bei'wu'tou
宽鳞薹草,kuan'lin'tai'cao
宽鳞蹄盖蕨,kuan'lin'ti'gai'jue
宽轮叶委陵菜,kuan'lun'ye'wei'ling'cai
宽芹叶铁线莲,kuan'qin'ye'tie'xian'lian
宽楔叶毛茛,kuan'xie'ye'mao'gen
宽叶白花堇菜,kuan'ye'bai'hua'jin'cai
宽叶打碗花,kuan'ye'da'wan'hua
宽叶大叶藻,kuan'ye'da'ye'zao
宽叶地榆,kuan'ye'di'yu
宽叶毒芹,kuan'ye'du'qin
宽叶杜香,kuan'ye'du'xiang
宽叶独行菜,kuan'ye'du'xing'cai
宽叶费菜,kuan'ye'fei'cai
宽叶谷精草,kuan'ye'gu'jing'cao
宽叶谷柳,kuan'ye'gu'liu
宽叶蒿,kuan'ye'hao
宽叶红门兰,kuan'ye'hong'men'lan
宽叶胡枝子,kuan'ye'hu'zhi'zi
宽叶黄花忍冬,kuan'ye'huang'hua'ren'dong
宽叶拉拉藤,kuan'ye'la'la'teng
宽叶蓝刺头,kuan'ye'lan'ci'tou
宽叶蓝靛果忍冬,kuan'ye'lan'dian'guo'ren'dong
宽叶蓼,kuan'ye'liao
宽叶柳叶芹,kuan'ye'liu'ye'qin
宽叶蔓豆,kuan'ye'man'dou
宽叶蔓乌头,kuan'ye'man'wu'tou
宽叶毛萼麦瓶草,kuan'ye'mao'e'mai'ping'cao
宽叶婆婆纳,kuan'ye'po'po'na
宽叶荨麻,kuan'ye'qian'ma
宽叶乳浆大戟,kuan'ye'ru'jiang'da'ji
宽叶山蒿,kuan'ye'shan'hao
宽叶山柳菊,kuan'ye'shan'liu'ju
宽叶石防风,kuan'ye'shi'fang'feng
宽叶薹草,kuan'ye'tai'cao
宽叶桃叶蓼,kuan'ye'tao'ye'liao
宽叶仙女木,kuan'ye'xian'nv'mu
宽叶香蒲,kuan'ye'xiang'pu
宽叶小叶杨,kuan'ye'xiao'ye'yang
宽叶兴安百里香,kuan'ye'xing'an'bai'li'xiang
宽叶隐子草,kuan'ye'yin'zi'cao
筐柳,kuang'liu
魁蒿,kui'hao
拉不拉多马先蒿,la'bu'la'duo'ma'xian'hao
辣椒,la'jiao
拉拉藤,la'la'teng
辣蓼铁线莲,la'liao'tie'xian'lian
剌毛缘薹草,la'mao'yuan'tai'cao
剌腺茶藨,la'xian'cha'biao
剌榆,la'yu
蜡子树,la'zi'shu
来比锡杨,lai'bi'xi'yang
赖草,lai'cao
癞瓜,lai'gua
蓝靛果忍冬,lan'dian'guo'ren'dong
蓝萼香茶菜,lan'e'xiang'cha'cai
蓝堇草,lan'jin'cao
兰考泡桐,lan'kao'pao'tong
兰科,lan'ke
兰枝,lan'zhi
狼巴草,lang'ba'cao
狼毒,lang'du
狼毒大戟,lang'du'da'ji
狼尾草,lang'wei'cao
狼尾花,lang'wei'hua
狼牙委陵菜,lang'ya'wei'ling'cai
榔榆,lang'yu
狼针草,lang'zhen'cao
狼爪瓦松,lang'zhua'wa'song
老鹳草,lao'guan'cao
老芒麦,lao'mang'mai
老鸦瓣,lao'ya'ban
类盾叶碎米荠,lei'dun'ye'sui'mi'ji
肋果菘蓝,lei'guo'song'lan
肋脉薹草,lei'mai'tai'cao
类叶牡丹,lei'ye'mu'dan
类叶升麻,lei'ye'sheng'ma
肋柱花,lei'zhu'hua
棱果笃斯越桔,leng'guo'du'si'yue'ju
棱果糠椴,leng'guo'kang'duan
冷蒿,leng'hao
冷蕨,leng'jue
棱子芹,leng'zi'qin
鳢肠,li'chang
砾地百蕊草,li'di'bai'rui'cao
栗花灯心草,li'hua'deng'xin'cao
立堇菜,li'jin'cai
藜科,li'ke
篱蓼,li'liao
藜芦,li'lu
藜芦獐牙菜,li'lu'zhang'ya'cai
离穗薹草,li'sui'tai'cao
砾薹草,li'tai'cao
砾玄参,li'xuan'shen
李叶溲疏,li'ye'sou'shu
李叶绣线菊,li'ye'xiu'xian'ju
狸藻,li'zao
狸藻科,li'zao'ke
荔枝草,li'zhi'cao
离子草,li'zi'cao
楝科,lian'ke
连翘,lian'qiao
镰薹草,lian'tai'cao
镰叶蒿,lian'ye'hao
莲座蓟,lian'zuo'ji
莲座筋骨草,lian'zuo'jin'gu'cao
两栖蓼,liang'qi'liao
两色蓼,liang'se'liao
两色毛莲蒿,liang'se'mao'lian'hao
两色乌头,liang'se'wu'tou
两型豆,liang'xing'dou
疗齿草,liao'chi'cao
辽东丁香,liao'dong'ding'xiang
辽东蔊菜,liao'dong'han'cai
辽东蒿,liao'dong'hao
辽东堇菜,liao'dong'jin'cai
辽东栎,liao'dong'li
辽东蓼,liao'dong'liao
辽东蒲公英,liao'dong'pu'gong'ying
辽东水蜡树,liao'dong'shui'la'shu
辽东楤木,liao'dong'song'mu
辽东薹草,liao'dong'tai'cao
辽东乌头,liao'dong'wu'tou
辽东小叶杨,liao'dong'xiao'ye'yang
辽藁本,liao'gao'ben
辽海杏,liao'hai'xing
辽吉侧金盏花,liao'ji'ce'jin'zhan'hua
辽冀大叶芹,liao'ji'da'ye'qin
蓼科,liao'ke
辽宁碱蓬,liao'ning'jian'peng
辽宁堇菜,liao'ning'jin'cai
辽宁香茶菜,liao'ning'xiang'cha'cai
辽西扁蓿豆,liao'xi'bian'xu'dou
辽西虫实,liao'xi'chong'shi
辽西堇菜,liao'xi'jin'cai
辽细辛,liao'xi'xin
辽杨,liao'yang
蓼叶堇菜,liao'ye'jin'cai
蓼子朴,liao'zi'pu
裂瓣角盘兰,lie'ban'jiao'pan'lan
裂苞香科科,lie'bao'xiang'ke'ke
裂唇虎舌兰,lie'chun'hu'she'lan
列当,lie'dang
列当科,lie'dang'ke
裂稃草,lie'fu'cao
裂稃茅,lie'fu'mao
裂瓜,lie'gua
裂叶白斑堇菜,lie'ye'bai'ban'jin'cai
裂叶蒿,lie'ye'hao
裂叶花叶丁香,lie'ye'hua'ye'ding'xiang
裂叶碱毛茛,lie'ye'jian'mao'gen
裂叶芥,lie'ye'jie
裂叶堇菜,lie'ye'jin'cai
裂叶荆芥,lie'ye'jing'jie
裂叶马兰,lie'ye'ma'lan
裂叶水榆花楸,lie'ye'shui'yu'hua'qiu
裂叶榆,lie'ye'yu
裂叶紫椴,lie'ye'zi'duan
林艾蒿,lin'ai'hao
鳞苞藨草,lin'bao'biao'cao
鳞苞薹草,lin'bao'tai'cao
林大戟,lin'da'ji
林地蒿,lin'di'hao
林地铁线莲,lin'di'tie'xian'lian
林地早熟禾,lin'di'zao'shu'he
林繁缕,lin'fan'lv
林风毛菊,lin'feng'mao'ju
林蓟,lin'ji
林棘豆,lin'ji'dou
林金腰,lin'jin'yao
林拉拉藤,lin'la'la'teng
鳞毛蕨科,lin'mao'jue'ke
鳞毛羽节蕨,lin'mao'yu'jie'jue
林茜草,lin'qian'cao
林石草,lin'shi'cao
林问荆,lin'wen'jing
鳞叶龙胆,lin'ye'long'dan
鳞叶鹿蹄草,lin'ye'lu'ti'cao
林泽兰,lin'ze'lan
岭北毛轴鹅不食,ling'bei'mao'zhou'e'bu'shi
菱科,ling'ke
铃兰,ling'lan
铃铃香青,ling'ling'xiang'qing
菱叶枸杞,ling'ye'gou'qi
菱叶藜,ling'ye'li
菱叶小叶杨,ling'ye'xiao'ye'yang
菱叶绣线菊,ling'ye'xiu'xian'ju
零余虎耳草,ling'yu'hu'er'cao
菱状东北菱,ling'zhuang'dong'bei'ling
六齿卷耳,liu'chi'juan'er
柳穿鱼,liu'chuan'yu
瘤果变豆菜,liu'guo'bian'dou'cai
瘤果匙荠,liu'guo'chi'ji
瘤果狐尾藻,liu'guo'hu'wei'zao
瘤果棘豆,liu'guo'ji'dou
柳蒿,liu'hao
柳兰,liu'lan
瘤毛獐牙菜,liu'mao'zhang'ya'cai
柳杉,liu'shan
流苏树,liu'su'shu
柳叶菜,liu'ye'cai
柳叶菜科,liu'ye'cai'ke
瘤叶齿瓣延胡索,liu'ye'chi'ban'yan'hu'suo
柳叶风毛菊,liu'ye'feng'mao'ju
柳叶鬼针草,liu'ye'gui'zhen'cao
柳叶芹,liu'ye'qin
柳叶箬,liu'ye'ruo
柳叶鼠李,liu'ye'shu'li
柳叶旋覆花,liu'ye'xuan'fu'hua
柳叶眼子菜,liu'ye'yan'zi'cai
柳叶野豌豆,liu'ye'ye'wan'dou
瘤枝卫矛,liu'zhi'wei'mao
龙柏,long'bai
龙常草,long'chang'cao
龙胆,long'dan
龙胆科,long'dan'ke
龙蒿,long'hao
龙江风毛菊,long'jiang'feng'mao'ju
龙江柳,long'jiang'liu
龙葵,long'kui
龙须菜,long'xu'cai
龙牙草,long'ya'cao
龙爪槐,long'zhao'huai
龙爪柳,long'zhua'liu
耧斗菜,lou'dou'cai
耧斗叶绣线菊,lou'dou'ye'xiu'xian'ju
卤地菊,lu'di'ju
陆地棉,lu'di'mian
卢豆,lu'dou
颅果草,lu'guo'cao
鹿角桧,lu'jiao'gui
鹿角卷柏,lu'jiao'juan'bai
鹿蹄草科,lu'ti'cao'ke
鹿蹄柳,lu'ti'liu
芦苇,lu'wei
鹿药,lu'yao
露珠草,lu'zhu'cao
卵苞五蕊柳,luan'bao'wu'rui'liu
卵唇红门兰,luan'chun'hong'men'lan
卵果蕨,luan'guo'jue
卵果糠椴,luan'guo'kang'duan
卵果青杞,luan'guo'qing'qi
卵果薹草,luan'guo'tai'cao
卵果鱼鳞云杉,luan'guo'yu'lin'yun'shan
栾树,luan'shu
卵穗荸荠,luan'sui'bi'qi
卵叶车叶草,luan'ye'che'ye'cao
卵叶风毛菊,luan'ye'feng'mao'ju
卵叶狼牙委陵菜,luan'ye'lang'ya'wei'ling'cai
卵叶连翘,luan'ye'lian'qiao
卵叶女贞,luan'ye'nv'zhen
卵叶旋覆花,luan'ye'xuan'fu'hua
卵叶玉簪,luan'ye'yu'zan
卵叶獐牙菜,luan'ye'zhang'ya'cai
卵羽铁角蕨,luan'yu'tie'jiao'jue
孪枝早熟禾,luan'zhi'zao'shu'he
乱子草,luan'zi'cao
轮叶八宝,lun'ye'ba'bao
轮叶贝母,lun'ye'bei'mu
轮叶腹水草,lun'ye'fu'shui'cao
轮叶节节菜,lun'ye'jie'jie'cai
轮叶马先蒿,lun'ye'ma'xian'hao
轮叶沙参,lun'ye'sha'shen
轮叶委陵菜,lun'ye'wei'ling'cai
轮叶缬草,lun'ye'xie'cao
裸报春,luo'bao'chun
萝卜,luo'bo
罗布麻,luo'bu'ma
罗汉柏,luo'han'bai
落花生,luo'hua'sheng
罗勒,luo'le
萝藦,luo'mo
萝藦科,luo'mo'ke
落新妇,luo'xin'fu
螺旋杉叶藻,luo'xuan'shan'ye'zao
裸叶鳞毛蕨,luo'ye'lin'mao'jue
落叶松,luo'ye'song
裸子蕨科,luo'zi'jue'ke
绿被朝鲜蓼,lv'bei'chao'xian'liao
葎草,lv'cao
绿梣,lv'cen
绿地早熟禾,lv'di'zao'shu'he
绿豆,lv'dou
绿独行菜,lv'du'xing'cai
绿萼水珠草,lv'e'shui'zhu'cao
绿花藜芦,lv'hua'li'lu
绿花鹿蹄草,lv'hua'lu'ti'cao
绿花山芹,lv'hua'shan'qin
绿蓟,lv'ji
绿囊薹草,lv'nang'tai'cao
旅顺赤杨,lv'shun'chi'yang
绿穗三毛草,lv'sui'san'mao'cao
绿穗莎草,lv'sui'suo'cao
驴蹄草,lv'ti'cao
绿苋,lv'xian
绿叶东方草莓,lv'ye'dong'fang'cao'mei
葎叶蛇葡萄,lv'ye'she'pu'tao
绿叶悬钩子,lv'ye'xuan'gou'zi
马鞭草科,ma'bian'cao'ke
马齿苋,ma'chi'xian
马齿苋科,ma'chi'xian'ke
马兜铃科,ma'dou'ling'ke
麻根薹草,ma'gen'tai'cao
麻花头,ma'hua'tou
麻黄科,ma'huang'ke
麻栎,ma'li
马利筋,ma'li'jin
马里兰杨,ma'li'lan'yang
马蔺,ma'lin
马铃薯,ma'ling'shu
马萝卜,ma'luo'bo
马氏蓼,ma'shi'liao
马氏酸模,ma'shi'suan'mo
马氏玄参,ma'shi'xuan'shen
马唐,ma'tang
马蹄沟繁缕,ma'ti'gou'fan'lv
马蹄莲,ma'ti'lian
麻叶千里光,ma'ye'qian'li'guang
麻叶荨麻,ma'ye'qian'ma
麻叶绣线菊,ma'ye'xiu'xian'ju
蚂蚱腿子,ma'zha'tui'zi
麦毒草,mai'du'cao
麦秆蹄盖蕨,mai'gan'ti'gai'jue
麦家公,mai'jia'gong
麦李,mai'li
麦薹草,mai'tai'cao
蔓白前,man'bai'qian
蔓假繁缕,man'jia'fan'lv
满江红,man'jiang'hong
满江红科,man'jiang'hong'ke
蔓金腰,man'jin'yao
蔓荆,man'jing
镘头柳,man'tou'liu
曼陀罗,man'tuo'luo
蔓委陵菜,man'wei'ling'cai
蔓乌头,man'wu'tou
芒剪股颖,mang'jian'gu'ying
牻牛儿苗,mang'niu'er'miao
牻牛儿苗科,mang'niu'er'miao'ke
芒小米草,mang'xiao'mi'cao
芒颖大麦草,mang'ying'da'mai'cao
毛百合,mao'bai'he
毛白杨,mao'bai'yang
毛苞风毛菊,mao'bao'feng'mao'ju
毛蝙蝠葛,mao'bian'fu'ge
毛柄堇菜,mao'bing'jin'cai
毛柄水毛茛,mao'bing'shui'mao'gen
毛茶藨,mao'cha'biao
毛叉叶委陵菜,mao'cha'ye'wei'ling'cai
毛赤杨,mao'chi'yang
毛刺槐,mao'ci'huai
毛大车前,mao'da'che'qian
毛大果虫实,mao'da'guo'chong'shi
毛打碗花,mao'da'wan'hua
毛地黄,mao'di'huang
毛地蔷薇,mao'di'qiang'wei
毛萼麦瓶草,mao'e'mai'ping'cao
猫儿菊,mao'er'ju
猫耳旋蒴苣苔,mao'er'xuan'shuo'ju'tai
毛返顾马先蒿,mao'fan'gu'ma'xian'hao
茅膏菜科,mao'gao'cai'ke
毛茛,mao'gen
毛茛科,mao'gen'ke
毛果长穗虫实,mao'guo'chang'sui'chong'shi
毛果翠雀,mao'guo'cui'que
毛果黑水罂粟,mao'guo'hei'shui'ying'su
毛果苦木,mao'guo'ku'mu
毛果辽西虫实,mao'guo'liao'xi'chong'shi
毛果蓬子菜拉拉藤,mao'guo'peng'zi'cai'la'la'teng
毛果芍药,mao'guo'shao'yao
毛果绳虫实,mao'guo'sheng'chong'shi
毛果弯枝乌头,mao'guo'wan'zhi'wu'tou
毛果香茶菜,mao'guo'xiang'cha'cai
毛果绣线菊,mao'guo'xiu'xian'ju
毛果银莲花,mao'guo'yin'lian'hua
毛蒿豆,mao'hao'dou
毛黑山楂,mao'hei'shan'zha
毛狐尾蓼,mao'hu'wei'liao
毛花松下兰,mao'hua'song'xia'lan
毛花绣线菊,mao'hua'xiu'xian'ju
毛黄檗,mao'huang'bo
毛黄栌,mao'huang'lu
毛鸡树条荚蒾,mao'ji'shu'tiao'jia'mi
毛假繁缕,mao'jia'fan'lv
毛节鹅观草,mao'jie'e'guan'cao
毛接骨木,mao'jie'gu'mu
毛节缬草,mao'jie'xie'cao
毛金腰,mao'jin'yao
毛旌节马先蒿,mao'jing'jie'ma'xian'hao
毛景天,mao'jing'tian
毛聚花风铃草,mao'ju'hua'feng'ling'cao
毛梾,mao'lai
毛狼毒大戟,mao'lang'du'da'ji
毛笠莎草,mao'li'suo'cao
毛莲蒿,mao'lian'hao
毛莨叶乌头,mao'liang'ye'wu'tou
毛辽东丁香,mao'liao'dong'ding'xiang
毛龙葵,mao'long'kui
毛芦苇,mao'lu'wei
毛马唐,mao'ma'tang
毛脉黑忍冬,mao'mai'hei'ren'dong
毛脉蓼,mao'mai'liao
毛脉柳叶菜,mao'mai'liu'ye'cai
毛脉山莴苣,mao'mai'shan'wo'ju
毛脉酸模,mao'mai'suan'mo
毛脉卫矛,mao'mai'wei'mao
毛曼陀罗,mao'man'tuo'luo
茅莓悬钩子,mao'mei'xuan'gou'zi
毛蒙桑,mao'meng'sang
毛南芥,mao'nan'jie
毛泡桐,mao'pao'tong
毛平车前,mao'ping'che'qian
毛球花风毛菊,mao'qiu'hua'feng'mao'ju
毛蕊花,mao'rui'hua
毛蕊卷耳,mao'rui'juan'er
毛蕊老鹳草,mao'rui'lao'guan'cao
毛沙芦草,mao'sha'lu'cao
毛山荆子,mao'shan'jing'zi
毛山芹,mao'shan'qin
毛山樱花,mao'shan'ying'hua
毛山楂,mao'shan'zha
毛水苏,mao'shui'su
毛酸浆,mao'suan'jiang
毛穗藜芦,mao'sui'li'lu
毛薹草,mao'tai'cao
毛筒玉竹,mao'tong'yu'zhu
毛豨莶,mao'xi'xian
茅香,mao'xiang
毛序燥芹,mao'xu'zao'qin
猫眼大戟,mao'yan'da'ji
毛叶朝鲜丁香,mao'ye'chao'xian'ding'xiang
毛叶丁香,mao'ye'ding'xiang
毛叶鹅观草,mao'ye'e'guan'cao
毛叶耳蓼,mao'ye'er'liao
毛叶蓝盆花,mao'ye'lan'pen'hua
