霭霭桑柘墟,ai'ai'sang'zhe'xu
破车伤马亦天成,po'che'shang'ma'yi'tian'cheng
破瓜青玉美,po'gua'qing'yu'mei
颇夸九州岛物,po'kua'jiu'zhou'dao'wu
颇说新年又亢阳,po'shuo'xin'nian'you'kang'yang
颇疑道人三昧力,po'yi'dao'ren'san'mei'li
颇欲携樽邀使骑,po'yu'xie'zun'yao'shi'qi
掊克乃为材,pou'ke'nai'wei'cai
朴鄙人所戏,pu'bi'ren'suo'xi
仆弱马行涩,pu'ruo'ma'xing'se
菩萨蛮,pu'sa'man
蒲萄零落半床阴,pu'tao'ling'luo'ban'chuang'yin
普愿众生同我愿,pu'yuan'zhong'sheng'tong'wo'yuan
齐安孤起宋兴前,qi'an'gu'qi'song'xing'qian
岂比法曹空自私,qi'bi'fa'cao'kong'zi'si
岂比卖饧人,qi'bi'mai'tang'ren
岂必询谋佥,qi'bi'xun'mou'qian
岂尝搉其子,qi'chang'que'qi'zi
岂啻一绨袍,qi'chi'yi'ti'pao
其辞多慨然,qi'ci'duo'kai'ran
岂但焚人功,qi'dan'fen'ren'gong
乞得东南病更侵,qi'de'dong'nan'bing'geng'qin
乞得胶胶扰扰身,qi'de'jiao'jiao'rao'rao'shen
其巅冥冥不可见,qi'dian'ming'ming'bu'ke'jian
起伏晴云径,qi'fu'qing'yun'jing
岂敢事高蹇,qi'gan'shi'gao'jian
骑火流星点,qi'huo'liu'xing'dian
岂即乘桴逐圣丘,qi'ji'cheng'fu'zhu'sheng'qiu
岂即诸天守夜叉,qi'ji'zhu'tian'shou'ye'cha
起家初命慰乡人,qi'jia'chu'ming'wei'xiang'ren
起家始二十,qi'jia'shi'er'shi
岂见元丰第二秋,qi'jian'yuan'feng'di'er'qiu
岂遽得烹燔,qi'ju'de'peng'fan
起看天地色凄凉,qi'kan'tian'di'se'qi'liang
起看朝阳暹,qi'kan'zhao'yang'xian
岂堪置足青冥上,qi'kan'zhi'zu'qing'ming'shang
骑款段,qi'kuan'duan
气力但为忧勤衰,qi'li'dan'wei'you'qin'shuai
气力足呵欱,qi'li'zu'he'he
其流散漫为沮洳,qi'liu'san'man'wei'ju'ru
岂论江激与河湄,qi'lun'jiang'ji'yu'he'mei
欹眠呕轧如闻橹,qi'mian'ou'ya'ru'wen'lu
岂免窃食嫌,qi'mian'qie'shi'xian
其末乃修纤,qi'mo'nai'xiu'xian
岂慕王尊能许国,qi'mu'wang'zun'neng'xu'guo
其奈有鸾皇,qi'nai'you'luan'huang
岂能投死为韩凭,qi'neng'tou'si'wei'han'ping
岂能舴艋真寻我,qi'neng'ze'meng'zhen'xun'wo
七年五过徐城县,qi'nian'wu'guo'xu'cheng'xian
岂其仁智心,qi'qi'ren'zhi'xin
绮裘明紫霞,qi'qiu'ming'zi'xia
崎岖山谷间,qi'qu'shan'gu'jian
岂如强饭适志游,qi'ru'qiang'fan'shi'zhi'you
岂如幽人乐,qi'ru'you'ren'le
起视飞鸟背,qi'shi'fei'niao'bei
骑士能吹出塞愁,qi'shi'neng'chui'chu'sai'chou
岂是昔时鱼,qi'shi'xi'shi'yu
其谁辨楩柟,qi'shui'bian'pian'nan
砌水乱流空石底,qi'shui'luan'liu'kong'shi'di
蕲水织簟黄金纹,qi'shui'zhi'dian'huang'jin'wen
岂特使以文章鸣,qi'te'shi'yi'wen'zhang'ming
岂兔川涂雍,qi'tu'chuan'tu'yong
绮纨被奴僮,qi'wan'bei'nu'tong
岂望见渠身合抱,qi'wang'jian'qu'shen'he'bao
岂为哀怜范叔寒,qi'wei'ai'lian'fan'shu'han
岂惟祖子孙,qi'wei'zu'zi'sun
岂无济无术,qi'wu'ji'wu'shu
岂无良庖者,qi'wu'liang'pao'zhe
栖息尚全生,qi'xi'shang'quan'sheng
气象还能出搢绅,qi'xiang'hai'neng'chu'jin'shen
气象来渐渐,qi'xiang'lai'jian'jian
气象已摧塌,qi'xiang'yi'cui'ta
起携佳客散沈迷,qi'xie'jia'ke'san'shen'mi
起行庐旁朝,qi'xing'lu'pang'chao
岂易取酬答,qi'yi'qu'chou'da
岂以食为累,qi'yi'shi'wei'lei
其一虽幸在,qi'yi'sui'xing'zai
岂因粪壤栽培力,qi'yin'fen'rang'zai'pei'li
岂有声名高后世,qi'you'sheng'ming'gao'hou'shi
岂与人间共一陶,qi'yu'ren'jian'gong'yi'tao
耆域药囊真妄有,qi'yu'yao'nang'zhen'wang'you
岂愿争明爝火间,qi'yuan'zheng'ming'jue'huo'jian
欹枕浩无情,qi'zhen'hao'wu'qing
欹枕狂歌击唾壶,qi'zhen'kuang'ge'ji'tuo'hu
岂知临别更心违,qi'zhi'lin'bie'geng'xin'wei
弃之能久存,qi'zhi'neng'jiu'cun
弃置任儿童,qi'zhi'ren'er'tong
岂知塞上霜,qi'zhi'sai'shang'shuang
岂知身得两朱轮,qi'zhi'shen'de'liang'zhu'lun
岂知炎旱有彤云,qi'zhi'yan'han'you'tong'yun
千波竞涌水无心,qian'bo'jing'yong'shui'wu'xin
前朝笔墨数渊云,qian'chao'bi'mo'shu'yuan'yun
牵埭欲随流水远,qian'dai'yu'sui'liu'shui'yuan
浅恩施一时,qian'en'shi'yi'shi
千古凭高,qian'gu'ping'gao
千古凭高对此,qian'gu'ping'gao'dui'ci
千家渔火秋风市,qian'jia'yu'huo'qiu'feng'shi
千金弃不惜,qian'jin'qi'bu'xi
千里澄江似练,qian'li'cheng'jiang'si'lian
千门万户瞳瞳日,qian'men'wan'hu'tong'tong'ri
芊绵杳霭间,qian'mian'yao'ai'jian
千骑东方占上头,qian'qi'dong'fang'zhan'shang'tou
芊芊谷水阳,qian'qian'gu'shui'yang
千秋伴乌蟾,qian'qiu'ban'wu'chan
千秋岁引,qian'qiu'sui'yin
千秋想其余,qian'qiu'xiang'qi'yu
千秋锺梵已变响,qian'qiu'zhong'fan'yi'bian'xiang
前日杯盘共江渚,qian'ri'bei'pan'gong'jiang'zhu
浅沙杙素舸,qian'sha'yi'su'ge
千山抱水清相射,qian'shan'bao'shui'qing'xiang'she
千山复万山,qian'shan'fu'wan'shan
前山末放晓寒散,qian'shan'mo'fang'xiao'han'san
千山月照挂秋阴,qian'shan'yue'zhao'gua'qiu'yin
褰裳远野谁从我,qian'shang'yuan'ye'shui'cong'wo
黔首遂难裁,qian'shou'sui'nan'cai
千岁寂寞无人逢,qian'sui'ji'mo'wu'ren'feng
千岁无麒麟,qian'sui'wu'qi'lin
千岩万壑春风暖,qian'yan'wan'he'chun'feng'nuan
千岩万壑排风雨,qian'yan'wan'he'pai'feng'yu
千载不相忘,qian'zai'bu'xiang'wang
千载纷争共一毛,qian'zai'fen'zheng'gong'yi'mao
千载朱弦无此悲,qian'zai'zhu'xian'wu'ci'bei
襁褓当时刺绣文,qiang'bao'dang'shi'ci'xiu'wen
羌兵自此无传箭,qiang'bing'zi'ci'wu'chuan'jian
强歌反哀号,qiang'ge'fan'ai'hao
强将诗咏物,qiang'jiang'shi'yong'wu
墙角数枝梅,qiang'jiao'shu'zhi'mei
强釂一杯霞,qiang'jiao'yi'bei'xia
强卖曾非诱,qiang'mai'ceng'fei'you
强埋非天为,qiang'mai'fei'tian'wei
墙面岂能知奥义,qiang'mian'qi'neng'zhi'ao'yi
强骑黄饥马,qiang'qi'huang'ji'ma
强劝涝田补岁饥,qiang'quan'lao'tian'bu'sui'ji
墙桑亚戟枝,qiang'sang'ya'ji'zhi
墙屋虽无好鸟鸣,qiang'wu'sui'wu'hao'niao'ming
强行南仕莫辞勤,qiang'xing'nan'shi'mo'ci'qin
强学文章力已穷,qiang'xue'wen'zhang'li'yi'qiong
强颜包众羞,qiang'yan'bao'zhong'xiu
强颜聊尔为,qiang'yan'liao'er'wei
强言岂宜当,qiang'yan'qi'yi'dang
强欲侵凌白日飞,qiang'yu'qin'ling'bai'ri'fei
强走十五年,qiang'zou'shi'wu'nian
巧笔写传功未尽,qiao'bi'xie'chuan'gong'wei'jin
樵蹻踏云归旧径,qiao'jiao'ta'yun'gui'jiu'jing
樵屩没归踵,qiao'jue'mei'gui'zhong
巧丽世无种,qiao'li'shi'wu'zhong
樵妻竟谢绝,qiao'qi'jing'xie'jue
樵松煮涧水,qiao'song'zhu'jian'shui
窃比书石鹢,qie'bi'shu'shi'yi
且长随我游,qie'chang'sui'wo'you
且当呼阿环,qie'dang'hu'a'huan
且复搔林薮,qie'fu'sao'lin'sou
且看森垂覆荒草,qie'kan'sen'chui'fu'huang'cao
且可勤来共草庵,qie'ke'qin'lai'gong'cao'an
且可随缘道我赢,qie'ke'sui'yuan'dao'wo'ying
且可追随马少游,qie'ke'zhui'sui'ma'shao'you
朅来高邮住,qie'lai'gao'you'zhu
朅来天柱游,qie'lai'tian'zhu'you
朅来佐荒郡,qie'lai'zuo'huang'jun
窃禄祠官久见容,qie'lu'ci'guan'jiu'jian'rong
且莫恁匆匆去,qie'mo'nen'cong'cong'qu
且莫五角六张,qie'mo'wu'jiao'liu'zhang
且凭东北风,qie'ping'dong'bei'feng
且同元亮倾樽酒,qie'tong'yuan'liang'qing'zun'jiu
且喜风谣岭北闻,qie'xi'feng'yao'ling'bei'wen
窃学又耻从师宜,qie'xue'you'chi'cong'shi'yi
且用宽城郭,qie'yong'kuan'cheng'guo
且与龟鱼作主人,qie'yu'gui'yu'zuo'zhu'ren
且与蜗牛独卧家,qie'yu'wo'niu'du'wo'jia
且欲相邀卧看山,qie'yu'xiang'yao'wo'kan'shan
箧中佳句得长留,qie'zhong'jia'ju'de'chang'liu
秦火不能炎,qin'huo'bu'neng'yan
亲交西门饯,qin'jiao'xi'men'jian
秦女亦何事,qin'nv'yi'he'shi
秦人望屋食,qin'ren'wang'wu'shi
秦人挟斤上其巅,qin'ren'xie'jin'shang'qi'dian
沁水名园好物华,qin'shui'ming'yuan'hao'wu'hua
亲题汉上襟,qin'ti'han'shang'jin
秦王不知此,qin'wang'bu'zhi'ci
琴弦欲缓何妨促,qin'xian'yu'huan'he'fang'cu
秦征天下材,qin'zheng'tian'xia'cai
琴樽已寂寞,qin'zun'yi'ji'mo
清波濯其污,qing'bo'zhuo'qi'wu
清才吟咏兴何长,qing'cai'yin'yong'xing'he'chang
倾倒相迎逢,qing'dao'xiang'ying'feng
青灯对明灭,qing'deng'dui'ming'mie
青灯对宿夜沉沉,qing'deng'dui'su'ye'chen'chen
青灯照书诗,qing'deng'zhao'shu'shi
情多自悔登临数,qing'duo'zi'hui'deng'lin'shu
清风才到遽成音,qing'feng'cai'dao'ju'cheng'yin
清含玉漏过墙声,qing'han'yu'lou'guo'qiang'sheng
倾河略西南,qing'he'lue'xi'nan
倾壶语罢还登眺,qing'hu'yu'ba'hai'deng'tiao
青黄相向欲交阴,qing'huang'xiang'xiang'yu'jiao'yin
清节亦难尚,qing'jie'yi'nan'shang
清泪邈山河,qing'lei'miao'shan'he
庆历公偕起,qing'li'gong'xie'qi
青林嗟我似逃虚,qing'lin'jie'wo'si'tao'xu
清梦断,qing'meng'duan
清明若睹兰亭月,qing'ming'ruo'du'lan'ting'yue
倾囊倒箧聊一报,qing'nang'dao'qie'liao'yi'bao
清平乐,qing'ping'le
青旗催日下城头,qing'qi'cui'ri'xia'cheng'tou
轻轻飞燕舞,qing'qing'fei'yan'wu
青青千里乱春袍,qing'qing'qian'li'luan'chun'pao
青丘神父能为政,qing'qiu'shen'fu'neng'wei'zheng
晴日暖风生麦气,qing'ri'nuan'feng'sheng'mai'qi
晴日烝红出小桃,qing'ri'zheng'hong'chu'xiao'tao
晴沙上屐轻,qing'sha'shang'ji'qing
青衫老更斥,qing'shan'lao'geng'chi
青山满天地,qing'shan'man'tian'di
青衫憔悴北归来,qing'shan'qiao'cui'bei'gui'lai
青松十里锺山路,qing'song'shi'li'zhong'shan'lu
清谈相对一胡床,qing'tan'xiang'dui'yi'hu'chuang
清谈终日自蠲烦,qing'tan'zhong'ri'zi'juan'fan
青天露坐始此回,qing'tian'lu'zuo'shi'ci'hui
青条飞上别枝开,qing'tiao'fei'shang'bie'zhi'kai
青溪并钓亦三年,qing'xi'bing'diao'yi'san'nian
清溪相值各青春,qing'xi'xiang'zhi'ge'qing'chun
清香一阵浑无暑,qing'xiang'yi'zhen'hun'wu'shu
倾泻应心手,qing'xie'ying'xin'shou
轻刑死人众,qing'xing'si'ren'zhong
青眼坐倾新岁酒,qing'yan'zuo'qing'xin'sui'jiu
青秧漫漫出初齐,qing'yang'man'man'chu'chu'qi
青鸳几世开兰若,qing'yuan'ji'shi'kai'lan'ruo
清越有余声,qing'yue'you'yu'sheng
青云只在两楹间,qing'yun'zhi'zai'liang'ying'jian
青云自致归公等,qing'yun'zi'zhi'gui'gong'deng
情知带眼从前缓,qing'zhi'dai'yan'cong'qian'huan
轻舟后夜沧江北,qing'zhou'hou'ye'cang'jiang'bei
清坐且可与君棋,qing'zuo'qie'ke'yu'jun'qi
穷冬追路出西津,qiong'dong'zhui'lu'chu'xi'jin
穷观何拳拳,qiong'guan'he'quan'quan
穷国恐误连城归,qiong'guo'kong'wu'lian'cheng'gui
穷魂散漫知何处,qiong'hun'san'man'zhi'he'chu
穷年梦东南,qiong'nian'meng'dong'nan
穷年一马望扶桑,qiong'nian'yi'ma'wang'fu'sang
琼树森森遮叠巘,qiong'shu'sen'sen'zhe'die'yan
穷似丘轲,qiong'si'qiu'ke
穷通何必较功勋,qiong'tong'he'bi'jiao'gong'xun
穷通往事真如梦,qiong'tong'wang'shi'zhen'ru'meng
穷途往往始能文,qiong'tu'wang'wang'shi'neng'wen
穷巷一灯深,qiong'xiang'yi'deng'shen
穷巷终怜扫去迟,qiong'xiang'zhong'lian'sao'qu'chi
秋城气象亦潭潭,qiu'cheng'qi'xiang'yi'tan'tan
秋风摧剥利如刀,qiu'feng'cui'bo'li'ru'dao
秋风一乘传,qiu'feng'yi'cheng'chuan
秋港虽浅可扬舲,qiu'gang'sui'qian'ke'yang'ling
秋果寒花空满席,qiu'guo'han'hua'kong'man'xi
糗粮辛苦待山田,qiu'liang'xin'ku'dai'shan'tian
裘马穿羸久羁旅,qiu'ma'chuan'lei'jiu'ji'lv
秋骑归看陇首云,qiu'qi'gui'kan'long'shou'yun
秋水濯新锦,qiu'shui'zhuo'xin'jin
秋晚吾庐更萧洒,qiu'wan'wu'lu'geng'xiao'sa
求仙辟谷彼诚悞,qiu'xian'bi'gu'bi'cheng'wu
丘墟桑竹繁,qiu'xu'sang'zhu'fan
求真,qiu'zhen
取车当要津,qu'che'dang'yao'jin
曲城丘墓心空折,qu'cheng'qiu'mu'xin'kong'zhe
趋府折腰嗟踽踽,qu'fu'zhe'yao'jie'ju'ju
阒寂幽居实潇洒,qu'ji'you'ju'shi'xiao'sa
去马来牛漫不分,qu'ma'lai'niu'man'bu'fen
驱马信所适,qu'ma'xin'suo'shi
去年今日青松路,qu'nian'jin'ri'qing'song'lu
去年音问隔淮州,qu'nian'yin'wen'ge'huai'zhou
去年约子游山陂,qu'nian'yue'zi'you'shan'bei
曲墙稍觉吹来密,qu'qiang'shao'jue'chui'lai'mi
去秋东出汴河梁,qu'qiu'dong'chu'bian'he'liang
蘧蘧独迟明,qu'qu'du'chi'ming
区区岂尽高贤意,qu'qu'qi'jin'gao'xian'yi
区区随传换冬春,qu'qu'sui'chuan'huan'dong'chun
区区一不胜,qu'qu'yi'bu'sheng
区区欲捄弊,qu'qu'yu'jiu'bi
取舍断在独,qu'she'duan'zai'du
去县尚百里,qu'xian'shang'bai'li
取遥比甘觉近美,qu'yao'bi'gan'jue'jin'mei
曲折方屡渡,qu'zhe'fang'lv'du
区种抛来六七年,qu'zhong'pao'lai'liu'qi'nian
曲中时有誉尧心,qu'zhong'shi'you'yu'yao'xin
取赀官一毫,qu'zi'guan'yi'hao
去自去耳,qu'zi'qu'er
全家欲出岭云外,quan'jia'yu'chu'ling'yun'wai
劝君慎莫谗风伯,quan'jun'shen'mo'chan'feng'bo
却爱清谈气味长,que'ai'qing'tan'qi'wei'chang
却惭久此随诸彦,que'can'jiu'ci'sui'zhu'yan
却愁容易即离群,que'chou'rong'yi'ji'li'qun
却拂僧床褰素幔,que'fu'seng'chuang'qian'su'man
却过兹山已九年,que'guo'zi'shan'yi'jiu'nian
却含愁思度天津,que'han'chou'si'du'tian'jin
却恐提桓妄揣量,que'kong'ti'huan'wang'chuai'liang
却恐元龙会见侵,que'kong'yuan'long'hui'jian'qin
却上青天跨箕尾,que'shang'qing'tian'kua'ji'wei
却随倦鸦归薄暮,que'sui'juan'ya'gui'bo'mu
却为丹青肯少留,que'wei'dan'qing'ken'shao'liu
却想梦前身,que'xiang'meng'qian'shen
却要区区一老翁,que'yao'qu'qu'yi'lao'weng
却疑山月是朝暾,que'yi'shan'yue'shi'chao'tun
却疑身得旧山川,que'yi'shen'de'jiu'shan'chuan
却忆他年事,que'yi'ta'nian'shi
却愿天日长炎赫,que'yuan'tian'ri'zhang'yan'he
缺月昏昏漏未央,que'yue'hun'hun'lou'wei'yang
群吠我方憎猘子,qun'fei'wo'fang'zeng'zhi'zi
冉冉春行暮,ran'ran'chun'xing'mu
冉冉暮鸦翻,ran'ran'mu'ya'fan
攘攘盗贼森戈矛,rang'rang'dao'zei'sen'ge'mao
壤壤生死梦,rang'rang'sheng'si'meng
扰扰宫前听卖花,rao'rao'gong'qian'ting'mai'hua
扰扰经世意,rao'rao'jing'shi'yi
绕水恣行游,rao'shui'zi'xing'you
人从故得新,ren'cong'gu'de'xin
人或笑君无白皁,ren'huo'xiao'jun'wu'bai'zao
人间此愿两未能,ren'jian'ci'yuan'liang'wei'neng
人间荣愿付苓通,ren'jian'rong'yuan'fu'ling'tong
人间三十六,ren'jian'san'shi'liu
人间尚有薄寒侵,ren'jian'shang'you'bo'han'qin
人间似得羽翰通,ren'jian'si'de'yu'han'tong
人间未有归耕处,ren'jian'wei'you'gui'geng'chu
人间已换嘉平帝,ren'jian'yi'huan'jia'ping'di
人间应未有,ren'jian'ying'wei'you
人皆是尧舜,ren'jie'shi'yao'shun
人皆疑嗟莫爱怜,ren'jie'yi'jie'mo'ai'lian
人谋谅难佥,ren'mou'liang'nan'qian
人能百岁自古稀,ren'neng'bai'sui'zi'gu'xi
忍陪良友不从容,ren'pei'liang'you'bu'cong'rong
人情路万殊,ren'qing'lu'wan'shu
人去邈不反,ren'qu'miao'bu'fan
人生百年常苦迟,ren'sheng'bai'nian'chang'ku'chi
人生何必慕轻肥,ren'sheng'he'bi'mu'qing'fei
人生乐在相知心,ren'sheng'le'zai'xiang'zhi'xin
人生失意无南北,ren'sheng'shi'yi'wu'nan'bei
人世岂能无聚散,ren'shi'qi'neng'wu'ju'san
人世叹超忽,ren'shi'tan'chao'hu
仁贤岂欺我,ren'xian'qi'qi'wo
忍向西风学越吟,ren'xiang'xi'feng'xue'yue'yin
人心无复更风流,ren'xin'wu'fu'geng'feng'liu
认一浮沤作瀛渤,ren'yi'fu'ou'zuo'ying'bo
仁者自此薄,ren'zhe'zi'ci'bo
人主擅操柄,ren'zhu'shan'cao'bing
认作心诚,ren'zuo'xin'cheng
仍闻决数道,reng'wen'jue'shu'dao
仍值月相寻,reng'zhi'yue'xiang'xun
日带浮云欲雪天,ri'dai'fu'yun'yu'xue'tian
日酣川净野云高,ri'han'chuan'jing'ye'yun'gao
日记君臣口舌争,ri'ji'jun'chen'kou'she'zheng
日借嫩黄初着柳,ri'jie'nen'huang'chu'zhe'liu
日净山如染,ri'jing'shan'ru'ran
日颗皱红玉,ri'ke'zhou'hong'yu
日暮城头立,ri'mu'cheng'tou'li
日暮初回祓禊舟,ri'mu'chu'hui'fu'xi'zhou
日暮烟霞斑,ri'mu'yan'xia'ban
日射地穿千里赤,ri'she'di'chuan'qian'li'chi
日侍帝侧书新仪,ri'shi'di'ce'shu'xin'yi
日想僝功追往事,ri'xiang'chan'gong'zhui'wang'shi
日晏昧所投,ri'yan'mei'suo'tou
日映新秋省闼黄,ri'ying'xin'qiu'sheng'ta'huang
日月所蔽亏,ri'yue'suo'bi'kui
日月未渠央,ri'yue'wei'qu'yang
日月沄沄去不回,ri'yue'yun'yun'qu'bu'hui
日长啼鸟去还来,ri'zhang'ti'niao'qu'hai'lai
日照澄湖浸碧峰,ri'zhao'cheng'hu'jin'bi'feng
荣禄嗟何及,rong'lu'jie'he'ji
容溪路转迷横彴,rong'xi'lu'zhuan'mi'heng'bo
揉兰一水萦花草,rou'lan'yi'shui'ying'hua'cao
揉木以为直,rou'mu'yi'wei'zhi
柔弱甘咀吞,rou'ruo'gan'ju'tun
柔桑采尽绿阴稀,rou'sang'cai'jin'lv'yin'xi
揉斲无良材,rou'zhuo'wu'liang'cai
如摈非尔憎,ru'bin'fei'er'zeng
如何蔽于斯,ru'he'bi'yu'si
如何弃予死,ru'he'qi'yu'si
如何勤苦尚凶饥,ru'he'qin'ku'shang'xiong'ji
如何清世容高卧,ru'he'qing'shi'rong'gao'wo
如何去不归,ru'he'qu'bu'gui
如何误到北山游,ru'he'wu'dao'bei'shan'you
如何洗烦酲,ru'he'xi'fan'cheng
如何忧国忘家日,ru'he'you'guo'wang'jia'ri
如君援笔直摹写,ru'jun'yuan'bi'zhi'mo'xie
如渴得美湆,ru'ke'de'mei'qi
如留岂吾吝,ru'liu'qi'wu'lin
入塞,ru'sai
入粟至公卿,ru'su'zhi'gong'qing
如天持斗魁,ru'tian'chi'dou'kui
汝谓松死吾无依邪,ru'wei'song'si'wu'wu'yi'xie
如我何缘得此声,ru'wo'he'yuan'de'ci'sheng
入眼平生几曾有,ru'yan'ping'sheng'ji'ceng'you
如雨自奔泻置心亦何有,ru'yu'zi'ben'xie'zhi'xin'yi'he'you
如知今有可怜人,ru'zhi'jin'you'ke'lian'ren
入作阿房宫,ru'zuo'e'pang'gong
润色平生知地禁,run'se'ping'sheng'zhi'di'jin
润泽焦枯是有才,run'ze'jiao'ku'shi'you'cai
若比濠梁应更乐,ruo'bi'hao'liang'ying'geng'le
弱力惮耕稼,ruo'li'dan'geng'jia
若木昏昏末有鸦,ruo'mu'hun'hun'mo'you'ya
若使当时身不遇,ruo'shi'dang'shi'shen'bu'yu
若信庄周尚非我,ruo'xin'zhuang'zhou'shang'fei'wo
若许追攀莫太高,ruo'xu'zhui'pan'mo'tai'gao
若与鸱夷斗百草,ruo'yu'chi'yi'dou'bai'cao
弱子松间拾堕樵,ruo'zi'song'jian'shi'duo'qiao
洒落生绡变寒暑,sa'luo'sheng'xiao'bian'han'shu
洒扫东庵置一床,sa'sao'dong'an'zhi'yi'chuang
塞雨巧催燕泪落,sai'yu'qiao'cui'yan'lei'luo
塞垣春枯积雪溜,sai'yuan'chun'ku'ji'xue'liu
塞垣高垒深沟地,sai'yuan'gao'lei'shen'gou'di
三宝共住持,san'bao'gong'zhu'chi
散策空陂忽见君,san'ce'kong'bei'hu'jian'jun
三尺空弦膝上桐,san'chi'kong'xian'xi'shang'tong
三代子百姓,san'dai'zi'bai'xing
三刀旧协庭闱梦,san'dao'jiu'xie'ting'wei'meng
散发曦晓捉,san'fa'xi'xiao'zhuo
三釜只知为养急,san'fu'zhi'zhi'wei'yang'ji
三更燃火饭僧家,san'geng'ran'huo'fan'seng'jia
三宫巧仗丛花,san'gong'qiao'zhang'cong'hua
三鹤不归犹地胜,san'he'bu'gui'you'di'sheng
三江五湖口,san'jiang'wu'hu'kou
三界里,san'jie'li
三亩荒园种晚蔬,san'mu'huang'yuan'zhong'wan'shu
三年不上邺王台,san'nian'bu'shang'ye'wang'tai
三年营之一日就,san'nian'ying'zhi'yi'ri'jiu
三年佐荒州,san'nian'zuo'huang'zhou
三女共一丘,san'nv'gong'yi'qiu
三十六陂春水,san'shi'liu'bei'chun'shui
三岁相要薄主人,san'sui'xiang'yao'bo'zhu'ren
散投墙壁根,san'tou'qiang'bi'gen
三叶素风门阀在,san'ye'su'feng'men'fa'zai
散在人间要路岐,san'zai'ren'jian'yao'lu'qi
散帙空堂自卷舒,san'zhi'kong'tang'zi'juan'shu
丧短生者偷,sang'duan'sheng'zhe'tou
桑麻只欲求三亩,sang'ma'zhi'yu'qiu'san'mu
埽除供晚色,sao'chu'gong'wan'se
扫除堂屋就阴翳,sao'chu'tang'wu'jiu'yin'yi
扫地待花落,sao'di'dai'hua'luo
扫地焚香,sao'di'fen'xiang
扫路传呼宠,sao'lu'chuan'hu'chong
搔首春风眼尚明,sao'shou'chun'feng'yan'shang'ming
森森直干百余寻,sen'sen'zhi'gan'bai'yu'xun
僧言无是非,seng'yan'wu'shi'fei
沙边烟树绿洄回,sha'bian'yan'shu'lv'hui'hui
沙砾藏春未放来,sha'li'cang'chun'wei'fang'lai
沙砾盛怒黄云愁,sha'li'sheng'nu'huang'yun'chou
沙路月中行,sha'lu'yue'zhong'hang
沙平水澹西江浦,sha'ping'shui'dan'xi'jiang'pu
沙上行人却回首,sha'shang'xing'ren'que'hui'shou
沙水欲惊舟,sha'shui'yu'jing'zhou
山白梅蕊长,shan'bai'mei'rui'chang
山北鲍公水,shan'bei'bao'gong'shui
山陂畴昔从吾亲,shan'bei'chou'xi'cong'wu'qin
山蔽吴天密,shan'bi'wu'tian'mi
山出受欹倾,shan'chu'shou'qi'qing
山川凛凛平生气,shan'chuan'lin'lin'ping'sheng'qi
山从树外责争出,shan'cong'shu'wai'ze'zheng'chu
山风吹更寒,shan'feng'chui'geng'han
山谷为穷空,shan'gu'wei'qiong'kong
山鬼白日樵人遭,shan'gui'bai'ri'qiao'ren'zao
山红漫漫绿纷纷,shan'hong'man'man'lv'fen'fen
山后山前处处梅,shan'hou'shan'qian'chu'chu'mei
善价徐取供吾私,shan'jia'xu'qu'gong'wu'si
山林病骨烦三顾,shan'lin'bing'gu'fan'san'gu
山林尽百巧,shan'lin'jin'bai'qiao
山林投老一伤神,shan'lin'tou'lao'yi'shang'shen
山南山北花撩乱,shan'nan'shan'bei'hua'liao'luan
山鸟不应知地禁,shan'niao'bu'ying'zhi'di'jin
山蟠直渎输淮口,shan'pan'zhi'du'shu'huai'kou
山坡处处梅,shan'po'chu'chu'mei
山前灌输各自足,shan'qian'guan'shu'ge'zi'zu
山如碧浪翻江去,shan'ru'bi'lang'fan'jiang'qu
山色侵衣晚自迷,shan'se'qin'yi'wan'zi'mi
山深水急无艇子,shan'shen'shui'ji'wu'ting'zi
山蔬野果杂饴蜜,shan'shu'ye'guo'za'yi'mi
山水固所潜,shan'shui'gu'suo'qian
山桃溪杏两三栽,shan'tao'xi'xing'liang'san'zai
山鸦瑟缩相依立,shan'ya'se'suo'xiang'yi'li
山亦传此名,shan'yi'chuan'ci'ming
山亦起伏为波涛,shan'yi'qi'fu'wei'bo'tao
山月入松金破碎,shan'yue'ru'song'jin'po'sui
山月相与清,shan'yue'xiang'yu'qing
上坂回头一拊心,shang'ban'hui'tou'yi'fu'xin
尚得馋妇逐,shang'de'chan'fu'zhu
尚得君王不自持,shang'de'jun'wang'bu'zi'chi
尚记西亭一舣船,shang'ji'xi'ting'yi'yi'chuan
上尽层城更上楼,shang'jin'ceng'cheng'geng'shang'lou
赏尽高山见流水,shang'jin'gao'shan'jian'liu'shui
尚客江湖澨,shang'ke'jiang'hu'shi
尚恐擉者得,shang'kong'chuo'zhe'de
尚恐难措手,shang'kong'nan'cuo'shou
尚恐忧雨汁,shang'kong'you'yu'zhi
尚怜得经过,shang'lian'de'jing'guo
尚攀三鹤羽翰遥,shang'pan'san'he'yu'han'yao
尚私荣禄备藩臣,shang'si'rong'lu'bei'fan'chen
尚叹尘沙隔献酬,shang'tan'chen'sha'ge'xian'chou
伤屯悼屈止一身,shang'tun'dao'qu'zhi'yi'shen
尚脱井廪酷,shang'tuo'jing'lin'ku
尚无肤寸功,shang'wu'fu'cun'gong
上下随烟何慅慅,shang'xia'sui'yan'he'cao'cao
