阿焕鸭面,a'huan'ya'mian
宜春松花皮蛋,yi'chun'song'hua'pi'dan
伊府面,yi'fu'mian
一口酥,yi'kou'su
宜良烧鸭,yi'liang'shao'ya
夷陵春卷,yi'ling'chun'juan
一篓油水饺,yi'lou'you'shui'jiao
薏美酥,yi'mei'su
一捏酥,yi'nie'su
一品鲍鱼,yi'pin'bao'yu
一品鲳,yi'pin'chang
一品大包,yi'pin'da'bao
一品豆腐,yi'pin'dou'fu
一品豆腐汤,yi'pin'dou'fu'tang
一品南乳肉,yi'pin'nan'ru'rou
一品酸辣鸡,yi'pin'suan'la'ji
一品香,yi'pin'xiang
一品香饭店,yi'pin'xiang'fan'dian
一品玉带糕,yi'pin'yu'dai'gao
一品蒸黄鱼,yi'pin'zheng'huang'yu
义盛永熏鸡,yi'sheng'yong'xun'ji
艺术糕团,yi'shu'gao'tuan
壹条龙,yi'tiao'long
壹条龙饭庄,yi'tiao'long'fan'zhuang
怿味胡豆,yi'wei'hu'dou
宜兴百合,yi'xing'bai'he
弋阳醋鸡,yi'yang'cu'ji
益阳松花皮蛋,yi'yang'song'hua'pi'dan
依幼鱼丸,yi'you'yu'wan
仪征雀脯菜,yi'zheng'que'pu'cai
颐之时,yi'zhi'shi
银耳川鸭,yin'er'chuan'ya
印糕,yin'gao
银丝面,yin'si'mian
银牙韭菜花,yin'ya'jiu'cai'hua
银鱼肉丝,yin'yu'rou'si
迎宾楼,ying'bin'lou
迎宾楼菜馆,ying'bin'lou'cai'guan
应城扒肉,ying'cheng'ba'rou
应记云吞面,ying'ji'yun'tun'mian
迎江寺素炒里脊丁,ying'jiang'si'su'chao'li'ji'ding
营口虾籽,ying'kou'xia'zi
樱桃蕃茄,ying'tao'fan'qie
樱桃蜜饯,ying'tao'mi'jian
樱桃肉,ying'tao'rou
萦羊肉粉,ying'yang'rou'fen
永安笋干,yong'an'sun'gan
永定菜干,yong'ding'cai'gan
永和园,yong'he'yuan
永胜油茶,yong'sheng'you'cha
永州炒血鸭,yong'zhou'chao'xue'ya
油爆肚花,you'bao'du'hua
油爆双鲜,you'bao'shuang'xian
油爆虾,you'bao'xia
油爆小虾,you'bao'xiao'xia
油茶炒面,you'cha'chao'mian
油炒粉,you'chao'fen
油锄片,you'chu'pian
油葱果,you'cong'guo
油汆排骨年糕,you'cuan'pai'gu'nian'gao
油脆,you'cui
油豆腐干,you'dou'fu'gan
油豆腐线粉汤,you'dou'fu'xian'fen'tang
油豆泡,you'dou'pao
油墩子,you'dun'zi
油发笋丝,you'fa'sun'si
油糕,you'gao
油锅盔,you'guo'kui
油鸡棕,you'ji'zong
油煎八宝饭,you'jian'ba'bao'fan
油煎朝天辣,you'jian'chao'tian'la
油煎毛豆腐,you'jian'mao'dou'fu
油浸蝶鱼,you'jin'die'yu
油浸腌肉,you'jin'yan'rou
油醪糟,you'lao'zao
油淋鸡,you'lin'ji
油卵,you'luan
油焖春笋,you'men'chun'sun
油焖虾,you'men'xia
莜面,you'mian
莜面饸饹,you'mian'he'le
莜面栲栳,you'mian'kao'lao
莜面栲栳栳,you'mian'kao'lao'lao
油馍,you'mo
油泡鱼青丸,you'pao'yu'qing'wan
油馓子,you'san'zi
油酥饼,you'su'bing
油酥蛋卷,you'su'dan'juan
油酥米花糖,you'su'mi'hua'tang
油塔子,you'ta'zi
油条,you'tiao
油条烩鳝鱼,you'tiao'hui'shan'yu
邮亭鲫鱼,you'ting'ji'yu
油氽馒头,you'tun'man'tou
尤溪卜鸭,you'xi'bu'ya
油旋,you'xuan
又一村,you'yi'cun
鱿鱼蒜头酱,you'yu'suan'tou'jiang
右玉熏鸡,you'yu'xun'ji
油炸臭豆腐,you'zha'chou'dou'fu
油炸臭干,you'zha'chou'gan
油炸蜂蛹,you'zha'feng'yong
油炸糕,you'zha'gao
油炸鬼,you'zha'gui
油炸果,you'zha'guo
油炸果子,you'zha'guo'zi
油炸馄饨,you'zha'hun'tun
油炸卤制花干,you'zha'lu'zhi'hua'gan
油炸螺丝糕,you'zha'luo'si'gao
油炸牛皮,you'zha'niu'pi
油炸青苔,you'zha'qing'tai
油炸洋芋,you'zha'yang'yu
油脂肠,you'zhi'chang
玉板蟹,yu'ban'xie
鱼包,yu'bao
禹城扒鸡,yu'cheng'pa'ji
鱼翅饺,yu'chi'jiao
鱼翅四大件,yu'chi'si'da'jian
榆次灌肠,yu'ci'guan'chang
御豆酥,yu'dou'su
鱼儿粉,yu'er'fen
御府鸭快,yu'fu'ya'kuai
鱼火锅,yu'huo'guo
鱼饺,yu'jiao
玉兰饼,yu'lan'bing
玉兰片,yu'lan'pian
玉林茶泡,yu'lin'cha'pao
玉林牛巴,yu'lin'niu'ba
玉林牛腩米粉,yu'lin'niu'nan'mi'fen
玉林肉蛋,yu'lin'rou'dan
鱼鳞酥,yu'lin'su
玉楼东,yu'lou'dong
玉楼东酒家,yu'lou'dong'jiu'jia
鱼露,yu'lu
鱼米羹,yu'mi'geng
鱼腩煲,yu'nan'bao
芋泥,yu'ni
鱼皮花生,yu'pi'hua'sheng
榆皮面饸咯,yu'pi'mian'he'ge
鱼匹子,yu'pi'zi
鱼片粿汤,yu'pian'hua'tang
鱼肉皮子馄饨,yu'rou'pi'zi'hun'tun
鱼肉烧卖王,yu'rou'shao'mai'wang
鱼肉水饺,yu'rou'shui'jiao
鱼生,yu'sheng
鱼丝面,yu'si'mian
玉堂酱菜,yu'tang'jiang'cai
鱼汤面,yu'tang'mian
芋头糕,yu'tou'gao
鱼头火锅,yu'tou'huo'guo
鱼头酸笋汤,yu'tou'suan'sun'tang
鱼头窝,yu'tou'wo
鱼丸,yu'wan
芋味三绝,yu'wei'san'jue
鱼香大虾,yu'xiang'da'xia
鱼香荷包蛋,yu'xiang'he'bao'dan
鱼香牛肉丝,yu'xiang'niu'rou'si
鱼羊炖时蔬,yu'yang'dun'shi'shu
鱼羊鲜,yu'yang'xian
鱼咬羊,yu'yao'yang
豫章酥鸭,yu'zhang'su'ya
原笼粉蒸,yuan'long'fen'zheng
元妙观扒素鸡,yuan'miao'guan'ba'su'ji
原平锅魁,yuan'ping'guo'kui
原味双皮奶,yuan'wei'shuang'pi'nai
鸳鸯,yuan'yang
鸳鸯土豆泥,yuan'yang'tu'dou'ni
原余肉庄,yuan'yu'rou'zhuang
鼋汁狗腿,yuan'zhi'gou'tui
岳南泡糖,yue'nan'pao'tang
云梦鱼面,yun'meng'yu'mian
云南春卷,yun'nan'chun'juan
云片糕,yun'pian'gao
云吞面,yun'tun'mian
云托八鲜,yun'tuo'ba'xian
杂粮豆角麦饭,za'liang'dou'jiao'mai'fan
杂碎,za'sui
砸棕,za'zong
宰羔肉,zai'gao'rou
仔凉粉,zai'liang'fen
糌粑,zan'ba
糌粑粥,zan'ba'zhou
藏式面条,zang'shi'mian'tiao
藏族吹肺,zang'zu'chui'fei
藏族酥酪糕,zang'zu'su'lao'gao
藏族酸奶,zang'zu'suan'nai
藏族血肠,zang'zu'xue'chang
枣方肉,zao'fang'rou
糟毛豆,zao'mao'dou
枣泥锅饼,zao'ni'guo'bing
枣泥酥饼,zao'ni'su'bing
糟田螺,zao'tian'luo
糟鸭,zao'ya
甑糕,zeng'gao
甑子糕,zeng'zi'gao
炸八块,zha'ba'kuai
炸豆奶,zha'dou'nai
炸肥肠,zha'fei'chang
榨广椒,zha'guang'jiao
炸晃虾,zha'huang'xia
炸鸡排,zha'ji'pai
炸鸡丝春卷,zha'ji'si'chun'juan
炸酱面,zha'jiang'mian
炸卷筒乳扇,zha'juan'tong'ru'shan
炸两,zha'liang
炸牛肉,zha'niu'rou
炸藕合,zha'ou'he
炸烹凤尾虾,zha'peng'feng'wei'xia
炸肉骨碌烹,zha'rou'gu'lu'peng
炸馓子,zha'san'zi
炸食,zha'shi
炸素鸡排,zha'su'ji'pai
炸素卷圈,zha'su'juan'quan
炸素鸟,zha'su'niao
炸五香,zha'wu'xiang
炸响铃,zha'xiang'ling
炸猪排,zha'zhu'pai
斋卤味,zhai'lu'wei
沾化冬枣,zhan'hua'dong'zao
蘸仔鸭,zhan'zi'ya
樟茶鸭,zhang'cha'ya
樟茶鸭子,zhang'cha'ya'zi
张川锅盔,zhang'chuan'guo'kui
张川羊羔肉,zhang'chuan'yang'gao'rou
张记,zhang'ji
掌上明珠,zhang'shang'ming'zhu
肇庆裹蒸,zhao'qing'guo'zheng
招远炸鸡椒,zhao'yuan'zha'ji'jiao
折耳根炒腊肉,zhe'er'gen'chao'la'rou
浙江风鸡,zhe'jiang'feng'ji
浙江榨菜,zhe'jiang'zha'cai
浙南鱼面,zhe'nan'yu'mian
哲司,zhe'si
镇江糖醋蒜,zhen'jiang'tang'cu'suan
镇宁波波糖,zhen'ning'bo'bo'tang
镇宁布依族狗肉飧,zhen'ning'bu'yi'zu'gou'rou'sun
镇平道口烧鸡,zhen'ping'dao'kou'shao'ji
真如白切羊肉,zhen'ru'bai'qie'yang'rou
镇远陈年道菜,zhen'yuan'chen'nian'dao'cai
震运同玫瑰酥糖,zhen'yun'tong'mei'gui'su'tang
珍珠贝肉,zhen'zhu'bei'rou
珍珠肠粉,zhen'zhu'chang'fen
珍珠豆腐,zhen'zhu'dou'fu
珍珠粉耙,zhen'zhu'fen'ba
珍珠南瓜,zhen'zhu'nan'gua
珍珠丸子,zhen'zhu'wan'zi
珍珠圆子,zhen'zhu'yuan'zi
珍珠粥,zhen'zhu'zhou
蒸拌冷面,zheng'ban'leng'mian
蒸肠粉,zheng'chang'fen
蒸蛋糕,zheng'dan'gao
蒸莲藕粉,zheng'lian'ou'fen
蒸面,zheng'mian
睁眼辣子,zheng'yan'la'zi
正阳楼,zheng'yang'lou
郑州烤鸭,zheng'zhou'kao'ya
正宗涮羊肉,zheng'zong'shuan'yang'rou
纸包鸡,zhi'bao'ji
芝脚糖,zhi'jiao'tang
芝兰斋糕干,zhi'lan'zhai'gao'gan
芝麻杆,zhi'ma'gan
芝麻卷,zhi'ma'juan
芝麻螺,zhi'ma'luo
芝麻片,zhi'ma'pian
芝麻酥糖,zhi'ma'su'tang
知味观,zhi'wei'guan
知味小笼,zhi'wei'xiao'long
知味小笼包,zhi'wei'xiao'long'bao
知味斋水爆肚,zhi'wei'zhai'shui'bao'du
直腰虾仁,zhi'yao'xia'ren
中华猕猴桃,zhong'hua'mi'hou'tao
中江挂面,zhong'jiang'gua'mian
钟水饺,zhong'shui'jiao
重酥烧饼,zhong'su'shao'bing
中阳柏子山羊肉,zhong'yang'bai'zi'shan'yang'rou
周村大酥烧饼,zhou'cun'da'su'shao'bing
周村烧饼,zhou'cun'shao'bing
周家酥饼,zhou'jia'su'bing
猪膘肉,zhu'biao'rou
煮饼,zhu'bing
猪肠粉,zhu'chang'fen
诸城辣丝子,zhu'cheng'la'si'zi
猪大肠,zhu'da'chang
柱顶石馍,zhu'ding'shi'mo
猪肚煲咸菜,zhu'du'bao'xian'cai
猪耳朵面,zhu'er'duo'mian
猪肝水,zhu'gan'shui
煮干丝,zhu'gan'si
猪骨煲,zhu'gu'bao
朱鸿兴,zhu'hong'xing
竹节鸡盅,zhu'jie'ji'zhong
煮凉粉,zhu'liang'fen
猪皮萝卜,zhu'pi'luo'bo
猪肉烧卖,zhu'rou'shao'mai
竹荪,zhu'sun
竹笋香菇汤,zhu'sun'xiang'gu'tang
竹筒饭,zhu'tong'fan
竹筒粉蒸肠,zhu'tong'fen'zheng'chang
竹筒鸡,zhu'tong'ji
竹筒煮汤,zhu'tong'zhu'tang
猪头方肉,zhu'tou'fang'rou
猪血丸子,zhu'xue'wan'zi
竹影海参,zhu'ying'hai'shen
猪油百果松糕,zhu'you'bai'guo'song'gao
猪油饽饽,zhu'you'bo'bo
猪油蛋饼,zhu'you'dan'bing
猪油芙蓉酥,zhu'you'fu'rong'su
猪油盒,zhu'you'he
猪油开花包,zhu'you'kai'hua'bao
猪油米花糖,zhu'you'mi'hua'tang
猪油松子酥,zhu'you'song'zi'su
猪油汤团,zhu'you'tang'tuan
猪油汤圆,zhu'you'tang'yuan
猪油渣面,zhu'you'zha'mian
猪杂粥,zhu'za'zhou
猪仔粥,zhu'zai'zhou
猪脏面,zhu'zang'mian
株洲什锦菜,zhu'zhou'shi'jin'cai
抓炒全鱼,zhua'chao'quan'yu
抓饭,zhua'fan
抓抓粉,zhua'zhua'fen
转面,zhuan'mian
庄里合儿饼,zhuang'li'he'er'bing
状元及第粥,zhuang'yuan'ji'di'zhou
卓资山熏鸡,zhuo'zi'shan'xun'ji
淄博菜煎饼,zi'bo'cai'jian'bing
籽瓜,zi'gua
姊妹七辣,zi'mei'qi'la
姊妹团子,zi'mei'tuan'zi
紫米四喜汤圆,zi'mi'si'xi'tang'yuan
紫苏梅鸡,zi'su'mei'ji
梓潼酥饼,zi'tong'su'bing
子推蒸饼,zi'tui'zheng'bing
紫竹林,zi'zhu'lin
鯮鱼饼,zong'yu'bing
组庵鱼翅,zu'an'yu'chi
醉鹅掌,zui'e'zhang
醉排骨,zui'pai'gu
醉蟹,zui'xie
醉蟹清炖鸡,zui'xie'qing'dun'ji
遵义豆花面,zun'yi'dou'hua'mian
遵义黄粑,zun'yi'huang'ba
遵义鸡蛋糕,zun'yi'ji'dan'gao
遵义折耳根炒腊肉,zun'yi'zhe'er'gen'chao'la'rou
