阿保机,a'bao'ji
别雅订五卷淸吴王搢撰,bie'ya'ding'wu'juan'qing'wu'wang'jin'zhuan
豳风广义,bin'feng'guang'yi
宾退录,bin'tui'lu
宾退录四卷明赵善政撰,bin'tui'lu'si'juan'ming'zhao'shan'zheng'zhuan
宾退录四卷明赵善政撰据泾川丛书本排印,bin'tui'lu'si'juan'ming'zhao'shan'zheng'zhuan'ju'jing'chuan'cong'shu'ben'pai'yin
丙辰,bing'chen
丙辰年,bing'chen'nian
丙丁龟鉴六卷宋柴望辑,bing'ding'gui'jian'liu'juan'song'chai'wang'ji
兵镜,bing'jing
兵镜吴子十三篇纲目,bing'jing'wu'zi'shi'san'pian'gang'mu
屛居十二课一卷明黄景昉撰据砚云甲乙编本排印,bing'ju'shi'er'ke'yi'juan'ming'huang'jing'fang'zhuan'ju'yan'yun'jia'yi'bian'ben'pai'yin
病人看护法姚昶绪上海商务印书馆影印,bing'ren'kan'hu'fa'yao'chang'xu'shang'hai'shang'wu'yin'shu'guan'ying'yin
丙申,bing'shen
丙申年,bing'shen'nian
病榻寤言一卷明陆树声撰,bing'ta'wu'yan'yi'juan'ming'lu'shu'sheng'zhuan
病榻遗言一卷明高拱撰,bing'ta'yi'yan'yi'juan'ming'gao'gong'zhuan
丙午,bing'wu
丙午年,bing'wu'nian
丙戌,bing'xu
丙戌年,bing'xu'nian
兵学新书,bing'xue'xin'shu
病逸漫记,bing'yi'man'ji
病逸漫记一卷明陆釴撰,bing'yi'man'ji'yi'juan'ming'lu'yi'zhuan
丙寅,bing'yin
丙寅北行日谱一卷明朱祖文撰,bing'yin'bei'xing'ri'pu'yi'juan'ming'zhu'zu'wen'zhuan
丙寅年,bing'yin'nian
丙志,bing'zhi
炳烛编四卷,bing'zhu'bian'si'juan
炳烛偶钞,bing'zhu'ou'chao
炳烛篇,bing'zhu'pian
炳烛室杂文一卷淸江藩撰,bing'zhu'shi'za'wen'yi'juan'qing'jiang'fan'zhuan
炳烛室杂文一卷淸江藩撰据滂喜斋丛书本排印,bing'zhu'shi'za'wen'yi'juan'qing'jiang'fan'zhuan'ju'pang'xi'zhai'cong'shu'ben'pai'yin
炳烛斋随笔,bing'zhu'zhai'sui'bi
丙子,bing'zi
丙子年,bing'zi'nian
伯恩著,bo'en'zhu
博格森心力胡国钰译上海商务印书馆影印,bo'ge'sen'xin'li'hu'guo'yu'yi'shang'hai'shang'wu'yin'shu'guan'ying'yin
伯克,bo'ke
柏拉图,bo'la'tu
柏拉图范寿康上海商务印书馆影印,bo'la'tu'fan'shou'kang'shang'hai'shang'wu'yin'shu'guan'ying'yin
柏拉图理想国吴献书译上海商务印书馆影印,bo'la'tu'li'xiang'guo'wu'xian'shu'yi'shang'hai'shang'wu'yin'shu'guan'ying'yin
柏拉图全集,bo'la'tu'quan'ji
伯烈斯特,bo'lie'si'te
伯林,bo'lin
伯罗奔尼撒战争史,bo'luo'ben'ni'sa'zhan'zheng'shi
波普文集,bo'pu'wen'ji
博物典汇,bo'wu'dian'hui
驳五更异义一卷补遗一卷汉郑玄撰淸王复辑淸武亿校景问经堂丛书本,bo'wu'geng'yi'yi'yi'juan'bu'yi'yi'juan'han'zheng'xuan'zhuan'qing'wang'fu'ji'qing'wu'yi'xiao'jing'wen'jing'tang'cong'shu'ben
驳五经异义,bo'wu'jing'yi'yi
博物要览,bo'wu'yao'lan
博物要览十二卷淸谷应泰撰,bo'wu'yao'lan'shi'er'juan'qing'gu'ying'tai'zhuan
博物志十卷逸文一卷晋张华撰宋周日用宋卢注淸钱熙祚辑逸文,bo'wu'zhi'shi'juan'yi'wen'yi'juan'jin'zhang'hua'zhuan'song'zhou'ri'yong'song'lu'zhu'qing'qian'xi'zuo'ji'yi'wen
博物志十卷逸文一卷晋张华撰宋周日用注宋卢注淸钱熙祚辑逸文据指,bo'wu'zhi'shi'juan'yi'wen'yi'juan'jin'zhang'hua'zhuan'song'zhou'ri'yong'zhu'song'lu'zhu'qing'qian'xi'zuo'ji'yi'wen'ju'zhi
伯牙琴一卷补遗一卷宋邓牧撰,bo'ya'qin'yi'juan'bu'yi'yi'juan'song'deng'mu'zhuan
博雅音十卷隋曹宪撰淸王念孙校据畿辅丛书本影印,bo'ya'yin'shi'juan'sui'cao'xian'zhuan'qing'wang'nian'sun'xiao'ju'ji'fu'cong'shu'ben'ying'yin
博言学华林一上海商务印书馆影印,bo'yan'xue'hua'lin'yi'shang'hai'shang'wu'yin'shu'guan'ying'yin
博弈生存,bo'yi'sheng'cun
博异志一卷卽一名博异记唐郑还古撰,bo'yi'zhi'yi'juan'ji'yi'ming'bo'yi'ji'tang'zheng'hai'gu'zhuan
伯仲谏台疏草二卷明郑钦撰明郑锐撰,bo'zhong'jian'tai'shu'cao'er'juan'ming'zheng'qin'zhuan'ming'zheng'rui'zhuan
伯仲谏台疏草二卷明郑钦撰明郑锐撰据泾川丛书本排印,bo'zhong'jian'tai'shu'cao'er'juan'ming'zheng'qin'zhuan'ming'zheng'rui'zhuan'ju'jing'chuan'cong'shu'ben'pai'yin
亳州牡丹史,bo'zhou'mu'dan'shi
补编,bu'bian
卜陈彝,bu'chen'yi
不得已,bu'de'yi
布德执义,bu'de'zhi'yi
布德执义曰穆,bu'de'zhi'yi'yue'mu
补二卷,bu'er'juan
不分卷,bu'fen'juan
布纲治纪,bu'gang'zhi'ji
布纲治纪曰平,bu'gang'zhi'ji'yue'ping
不古编,bu'gu'bian
补汉兵志一卷宋钱文子撰,bu'han'bing'zhi'yi'juan'song'qian'wen'zi'zhuan
补汉兵志一卷宋钱文子撰据知不足斋丛书本排印,bu'han'bing'zhi'yi'juan'song'qian'wen'zi'zhuan'ju'zhi'bu'zu'zhai'cong'shu'ben'pai'yin
补后汉书艺文志,bu'hou'han'shu'yi'wen'zhi
补后汉书艺文志四卷淸侯康撰据史学丛书本排印,bu'hou'han'shu'yi'wen'zhi'si'juan'qing'hou'kang'zhuan'ju'shi'xue'cong'shu'ben'pai'yin
补辑,bu'ji
补晋兵志一卷淸钱仪吉撰,bu'jin'bing'zhi'yi'juan'qing'qian'yi'ji'zhuan
补晋兵志一卷淸钱仪吉撰据史学丛书本排印,bu'jin'bing'zhi'yi'juan'qing'qian'yi'ji'zhuan'ju'shi'xue'cong'shu'ben'pai'yin
补晋书艺文志,bu'jin'shu'yi'wen'zhi
补晋书艺文志刊误,bu'jin'shu'yi'wen'zhi'kan'wu
补晋书艺文志四卷附录一卷补遗一卷淸丁国钧撰据史学丛书本排印,bu'jin'shu'yi'wen'zhi'si'juan'fu'lu'yi'juan'bu'yi'yi'juan'qing'ding'guo'jun'zhuan'ju'shi'xue'cong'shu'ben'pai'yin
布莱恩,bu'lai'en
布赖恩,bu'lai'en
补梁疆域志四卷淸洪齮孙撰,bu'liang'jiang'yu'zhi'si'juan'qing'hong'yi'sun'zhuan
补辽金元艺文志,bu'liao'jin'yuan'yi'wen'zhi
补辽金元艺文志一卷淸倪灿撰据史学丛书本排印,bu'liao'jin'yuan'yi'wen'zhi'yi'juan'qing'ni'can'zhuan'ju'shi'xue'cong'shu'ben'pai'yin
补录,bu'lu
布鲁卡的脑对科学传奇的反思,bu'lu'ka'de'nao'dui'ke'xue'chuan'qi'de'fan'si
补录一卷,bu'lu'yi'juan
补阙,bu'que
补阙一卷,bu'que'yi'juan
补三国疆域志二卷淸洪亮吉撰,bu'san'guo'jiang'yu'zhi'er'juan'qing'hong'liang'ji'zhuan
补三国艺文志,bu'san'guo'yi'wen'zhi
补三国艺文志四卷淸侯康撰据史学丛书本排印,bu'san'guo'yi'wen'zhi'si'juan'qing'hou'kang'zhuan'ju'shi'xue'cong'shu'ben'pai'yin
补三史艺文史,bu'san'shi'yi'wen'shi
补上古考信录,bu'shang'gu'kao'xin'lu
补侍儿小名录一卷宋王铚撰,bu'shi'er'xiao'ming'lu'yi'juan'song'wang'zhi'zhuan
卜筮全书,bu'shi'quan'shu
补宋书食货志一卷淸郝懿行撰景史学丛书本,bu'song'shu'shi'huo'zhi'yi'juan'qing'hao'yi'xing'zhuan'jing'shi'xue'cong'shu'ben
补宋书食货志一卷淸郝懿行撰据史学丛书本影印,bu'song'shu'shi'huo'zhi'yi'juan'qing'hao'yi'xing'zhuan'ju'shi'xue'cong'shu'ben'ying'yin
补宋书刑法志一卷明郝懿行撰据史学丛书本排印,bu'song'shu'xing'fa'zhi'yi'juan'ming'hao'yi'xing'zhuan'ju'shi'xue'cong'shu'ben'pai'yin
补宋书刑法志一卷淸郝懿行撰,bu'song'shu'xing'fa'zhi'yi'juan'qing'hao'yi'xing'zhuan
卜岁恒言,bu'sui'heng'yan
补图,bu'tu
补文,bu'wen
补五代史艺文志,bu'wu'dai'shi'yi'wen'zhi
补五代史艺文志一卷淸顾槐三撰据史学丛书本排印,bu'wu'dai'shi'yi'wen'zhi'yi'juan'qing'gu'huai'san'zhuan'ju'shi'xue'cong'shu'ben'pai'yin
不下带编,bu'xia'dai'bian
补校,bu'xiao
不朽的声音,bu'xiu'de'sheng'yin
补修宋奉元术,bu'xiu'song'feng'yuan'shu
补修宋占天术,bu'xiu'song'zhan'tian'shu
补续高僧传,bu'xu'gao'seng'zhuan
补续汉书艺文志,bu'xu'han'shu'yi'wen'zhi
补续汉书艺文志一卷淸钱大昭撰据史学丛书本排印,bu'xu'han'shu'yi'wen'zhi'yi'juan'qing'qian'da'zhao'zhuan'ju'shi'xue'cong'shu'ben'pai'yin
补衍二卷明王文禄撰据百陵学山本影印,bu'yan'er'juan'ming'wang'wen'lu'zhuan'ju'bai'ling'xue'shan'ben'ying'yin
补遗,bu'yi
补遗二卷,bu'yi'er'juan
补一卷,bu'yi'juan
补遗淸庄述祖辑阙文考景抱经堂丛书本,bu'yi'qing'zhuang'shu'zu'ji'que'wen'kao'jing'bao'jing'tang'cong'shu'ben
补遗三卷,bu'yi'san'juan
补遗四卷,bu'yi'si'juan
布义行刚,bu'yi'xing'gang
布义行刚曰景,bu'yi'xing'gang'yue'jing
补义一卷,bu'yi'yi'juan
补逸一卷,bu'yi'yi'juan
补遗一卷,bu'yi'yi'juan
不隐无屈,bu'yin'wu'qu
不隐无屈曰贞,bu'yin'wu'qu'yue'zhen
补元史艺文志,bu'yuan'shi'yi'wen'zhi
补元史艺文志四卷淸钱大昕撰据史学丛书本排印,bu'yuan'shi'yi'wen'zhi'si'juan'qing'qian'da'xin'zhuan'ju'shi'xue'cong'shu'ben'pai'yin
补正,bu'zheng
不正常的人,bu'zheng'chang'de'ren
补注,bu'zhu
蔡叆,cai'ai
财产权利与制度变迁,cai'chan'quan'li'yu'zhi'du'bian'qian
蔡尔康,cai'er'kang
财富之路,cai'fu'zhi'lu
菜根谭前集,cai'gen'tan'qian'ji
蔡冠洛,cai'guan'luo
蔡冠洛编著,cai'guan'luo'bian'zhu
采矿工程王宠佑上海商务印书馆影印,cai'kuang'gong'cheng'wang'chong'you'shang'hai'shang'wu'yin'shu'guan'ying'yin
材料强度学陆志鸿上海商务印书馆影印,cai'liao'qiang'du'xue'lu'zhi'hong'shang'hai'shang'wu'yin'shu'guan'ying'yin
采硫日记三卷淸邪永河撰,cai'liu'ri'ji'san'juan'qing'xie'yong'he'zhuan
蔡清,cai'qing
蔡汝楠,cai'ru'nan
蔡邕,cai'yong
蔡元定发挥房正,cai'yuan'ding'fa'hui'fang'zheng
菜园经营法吴耕民上海商务印书馆影印,cai'yuan'jing'ying'fa'wu'geng'min'shang'hai'shang'wu'yin'shu'guan'ying'yin
财政诠要寿景伟上海商务印书馆影印,cai'zheng'quan'yao'shou'jing'wei'shang'hai'shang'wu'yin'shu'guan'ying'yin
蔡中郎文集補一卷漢蔡邕撰清吳志忠輯集部第冊影印國家圖書館藏稿本,cai'zhong'lang'wen'ji'bu'yi'juan'han'cai'yong'zhuan'qing'wu'zhi'zhong'ji'ji'bu'di'ce'ying'yin'guo'jia'tu'shu'guan'cang'gao'ben
蔡中郎文集汉蔡邕撰清陆心源校,cai'zhong'lang'wen'ji'han'cai'yong'zhuan'qing'lu'xin'yuan'xiao
参补,can'bu
参筹秘书,can'chou'mi'shu
残疾教育华林一上海商务印书馆影印,can'ji'jiao'yu'hua'lin'yi'shang'hai'shang'wu'yin'shu'guan'ying'yin
蚕经一卷明黄省曾撰景百陵学山本,can'jing'yi'juan'ming'huang'sheng'ceng'zhuan'jing'bai'ling'xue'shan'ben
蚕经一卷明黄省曾撰据百陵学山本影印,can'jing'yi'juan'ming'huang'sheng'ceng'zhuan'ju'bai'ling'xue'shan'ben'ying'yin
餐菊斋棋评,can'ju'zhai'qi'ping
骖鸾录一卷宋范成大撰,can'luan'lu'yi'juan'song'fan'cheng'da'zhuan
蚕桑备要,can'sang'bei'yao
蚕桑辑要,can'sang'ji'yao
蚕桑说,can'sang'shuo
蚕事要略,can'shi'yao'lue
蚕书一卷宋秦观撰,can'shu'yi'juan'song'qin'guan'zhuan
蚕书一卷宋秦观撰据知不足斋丛书本排印,can'shu'yi'juan'song'qin'guan'zhuan'ju'zhi'bu'zu'zhai'cong'shu'ben'pai'yin
参同契,can'tong'qi
参同契疏略一卷明王文禄撰据百陵学山本影印,can'tong'qi'shu'lue'yi'juan'ming'wang'wen'lu'zhuan'ju'bai'ling'xue'shan'ben'ying'yin
参同契正文二卷汉魏伯阳撰据百陵学山本影印,can'tong'qi'zheng'wen'er'juan'han'wei'bo'yang'zhuan'ju'bai'ling'xue'shan'ben'ying'yin
仓颉篇三卷淸孙星衍辑景岱南阁丛书本,cang'jie'pian'san'juan'qing'sun'xing'yan'ji'jing'dai'nan'ge'cong'shu'ben
仓颉篇三卷淸孙星衍辑据岱南阁丛书本影印,cang'jie'pian'san'juan'qing'sun'xing'yan'ji'ju'dai'nan'ge'cong'shu'ben'ying'yin
仓库经营摘要万良浚上海商务印书馆影印,cang'ku'jing'ying'zhai'yao'wan'liang'jun'shang'hai'shang'wu'yin'shu'guan'ying'yin
沧浪诗话一卷卽一名沧浪吟卷宋严羽撰,cang'lang'shi'hua'yi'juan'ji'yi'ming'cang'lang'yin'juan'song'yan'yu'zhuan
沧浪棹歌一卷元陶宗仪撰,cang'lang'zhao'ge'yi'juan'yuan'tao'zong'yi'zhuan
沧浪棹歌一卷元陶宗仪撰据读画斋丛书本排印,cang'lang'zhao'ge'yi'juan'yuan'tao'zong'yi'zhuan'ju'du'hua'zhai'cong'shu'ben'pai'yin
藏书,cang'shu
曹操,cao'cao
草窗词二卷补二卷宋周密撰,cao'chuang'ci'er'juan'bu'er'juan'song'zhou'mi'zhuan
草窗词宋周密,cao'chuang'ci'song'zhou'mi
曹集考異十二卷三國魏曹植撰清朱緒曾考異集部第冊影印民國三年蔣氏慎修書屋鉛印金陵叢書本,cao'ji'kao'yi'shi'er'juan'san'guo'wei'cao'zhi'zhuan'qing'zhu'xu'ceng'kao'yi'ji'bu'di'ce'ying'yin'min'guo'san'nian'jiang'shi'shen'xiu'shu'wu'yan'yin'jin'ling'cong'shu'ben
草卢经略十二卷明撰,cao'lu'jing'lue'shi'er'juan'ming'zhuan
曹溶,cao'rong
曹尚絅,cao'shang'jiong
曹氏,cao'shi
曹庭楝,cao'ting'lian
曹昭,cao'zhao
曹州牡丹谱,cao'zhou'mu'dan'pu
曹州牡丹谱一卷附记一卷淸余鹏年撰,cao'zhou'mu'dan'pu'yi'juan'fu'ji'yi'juan'qing'yu'peng'nian'zhuan
曹子建集曹植上海商务印书馆影印,cao'zi'jian'ji'cao'zhi'shang'hai'shang'wu'yin'shu'guan'ying'yin
曹子建集十卷逸文一卷三國魏曹植撰清丁晏詮評集部第冊影印清宣統三年丁氏鉛印漢魏六朝名家集初,cao'zi'jian'ji'shi'juan'yi'wen'yi'juan'san'guo'wei'cao'zhi'zhuan'qing'ding'yan'quan'ping'ji'bu'di'ce'ying'yin'qing'xuan'tong'san'nian'ding'shi'yan'yin'han'wei'liu'chao'ming'jia'ji'chu
测圜密率,ce'huan'mi'lv
测量法义一卷明西洋利玛窦口授明徐光启笔授,ce'liang'fa'yi'yi'juan'ming'xi'yang'li'ma'dou'kou'shou'ming'xu'guang'qi'bi'shou
测量法义一卷明西洋利玛窦口授明徐光启笔受据指海本排印,ce'liang'fa'yi'yi'juan'ming'xi'yang'li'ma'dou'kou'shou'ming'xu'guang'qi'bi'shou'ju'zhi'hai'ben'pai'yin
测量术孙惟贤上海商务印书馆影印,ce'liang'shu'sun'wei'xian'shang'hai'shang'wu'yin'shu'guan'ying'yin
测量异同一卷明徐光启撰,ce'liang'yi'tong'yi'juan'ming'xu'guang'qi'zhuan
测量异同一卷明徐光启撰据指海本排印,ce'liang'yi'tong'yi'juan'ming'xu'guang'qi'zhuan'ju'zhi'hai'ben'pai'yin
策枢五卷明王文禄撰据百陵学山本影印,ce'shu'wu'juan'ming'wang'wen'lu'zhuan'ju'bai'ling'xue'shan'ben'ying'yin
策一卷,ce'yi'juan
测圆海镜细草,ce'yuan'hai'jing'xi'cao
测圆海镜细草十二卷元李冶撰,ce'yuan'hai'jing'xi'cao'shi'er'juan'yuan'li'ye'zhuan
岑嘉州集唐岑参,cen'jia'zhou'ji'tang'cen'shen
岑嘉州詩八卷唐岑參撰集部第冊影印國家圖書館藏明正德十五年謝元良嘉州郡齋刻本,cen'jia'zhou'shi'ba'juan'tang'cen'cen'zhuan'ji'bu'di'ce'ying'yin'guo'jia'tu'shu'guan'cang'ming'zheng'de'shi'wu'nian'xie'yuan'liang'jia'zhou'jun'zhai'ke'ben
曾胡治兵语录,ceng'hu'zhi'bing'yu'lu
曾世荣,ceng'shi'rong
曾慥,ceng'zao
察病指南,cha'bing'zhi'nan
茶乘,cha'cheng
茶董补二卷明陈继儒辑,cha'dong'bu'er'juan'ming'chen'ji'ru'ji
茶董补二卷明陈继儒辑据海山仙馆丛书本排印,cha'dong'bu'er'juan'ming'chen'ji'ru'ji'ju'hai'shan'xian'guan'cong'shu'ben'pai'yin
茶花谱,cha'hua'pu
茶花咏,cha'hua'yong
茶具图赞一卷明茅一相撰景欣赏编本,cha'ju'tu'zan'yi'juan'ming'mao'yi'xiang'zhuan'jing'xin'shang'bian'ben
茶具图赞一卷明茅一相撰据欣赏编本影印,cha'ju'tu'zan'yi'juan'ming'mao'yi'xiang'zhuan'ju'xin'shang'bian'ben'ying'yin
查拉斯图拉如是说,cha'la'si'tu'la'ru'shi'shuo
茶寮记一卷附录一卷明陆树声撰景夷门广牍本,cha'liao'ji'yi'juan'fu'lu'yi'juan'ming'lu'shu'sheng'zhuan'jing'yi'men'guang'du'ben
茶寮记一卷附一卷明陆树声撰据夷门广牍本影印,cha'liao'ji'yi'juan'fu'yi'juan'ming'lu'shu'sheng'zhuan'ju'yi'men'guang'du'ben'ying'yin
茶录一卷宋蔡襄撰,cha'lu'yi'juan'song'cai'xiang'zhuan
茶录一卷宋蔡襄撰据百川学海本排印,cha'lu'yi'juan'song'cai'xiang'zhuan'ju'bai'chuan'xue'hai'ben'pai'yin
茶谱,cha'pu
茶山集八卷拾遗一卷宋曾几撰淸劳格辑目拾遗淸孙星华辑文,cha'shan'ji'ba'juan'shi'yi'yi'juan'song'ceng'ji'zhuan'qing'lao'ge'ji'mu'shi'yi'qing'sun'xing'hua'ji'wen
槎上老舌,cha'shang'lao'she
察舌辨症歌,cha'she'bian'zheng'ge
茶史,cha'shi
插图珍藏本,cha'tu'zhen'cang'ben
茶香室丛钞,cha'xiang'shi'cong'chao
茶余客话,cha'yu'ke'hua
茶余客话十二卷淸阮葵生撰,cha'yu'ke'hua'shi'er'juan'qing'ruan'kui'sheng'zhuan
查帐要义徐广德上海商务印书馆影印,cha'zhang'yao'yi'xu'guang'de'shang'hai'shang'wu'yin'shu'guan'ying'yin
柴氏,chai'shi
产宝杂录,chan'bao'za'lu
产后编二卷淸傅山撰,chan'hou'bian'er'juan'qing'fu'shan'zhuan
产后编二卷淸傅山撰据海山仙馆丛书本排印,chan'hou'bian'er'juan'qing'fu'shan'zhuan'ju'hai'shan'xian'guan'cong'shu'ben'pai'yin
禅话禅画,chan'hua'chan'hua
忏悔录,chan'hui'lu
禅机,chan'ji
禅林宝训,chan'lin'bao'xun
谗书五卷,chan'shu'wu'juan
谗书五卷坿附校一卷唐罗隐撰淸吴鶱撰附校据拜经楼丛书本排印,chan'shu'wu'juan'fu'fu'xiao'yi'juan'tang'luo'yin'zhuan'qing'wu'xian'zhuan'fu'xiao'ju'bai'jing'lou'cong'shu'ben'pai'yin
谗书五卷附校一卷唐罗隐撰淸吴骞撰附校,chan'shu'wu'juan'fu'xiao'yi'juan'tang'luo'yin'zhuan'qing'wu'qian'zhuan'fu'xiao
蟾仙解老一卷宋白玉蟾撰,chan'xian'jie'lao'yi'juan'song'bai'yu'chan'zhuan
禅心指月,chan'xin'zhi'yue
禅玄显教编一卷明杨溥撰,chan'xuan'xian'jiao'bian'yi'juan'ming'yang'pu'zhuan
产育宝庆集二卷宋郭稽中撰,chan'yu'bao'qing'ji'er'juan'song'guo'ji'zhong'zhuan
禅语三百则,chan'yu'san'bai'ze
禅源诸诠集都序,chan'yuan'zhu'quan'ji'dou'xu
禅月集十二卷唐释贯休撰,chan'yue'ji'shi'er'juan'tang'shi'guan'xiu'zhuan
禅宗三百题,chan'zong'san'bai'ti
长安,chang'an
长安元年,chang'an'yuan'nian
长春道教源流,chang'chun'dao'jiao'yuan'liu
长春眞人西游记二卷元李志常撰,chang'chun'zhen'ren'xi'you'ji'er'juan'yuan'li'zhi'chang'zhuan
长短经九卷唐赵蕤撰淸周广业校,chang'duan'jing'jiu'juan'tang'zhao'rui'zhuan'qing'zhou'guang'ye'xiao
昌谷集唐李贺,chang'gu'ji'tang'li'he
长河志籍考十卷淸田雯撰,chang'he'zhi'ji'kao'shi'juan'qing'tian'wen'zhuan
长江集十卷阗山诗附集一卷唐贾岛撰,chang'jiang'ji'shi'juan'tian'shan'shi'fu'ji'yi'juan'tang'jia'dao'zhuan
长江集唐贾岛,chang'jiang'ji'tang'jia'dao
长垒笔记,chang'lei'bi'ji
长离阁集一卷淸王采薇撰,chang'li'ge'ji'yi'juan'qing'wang'cai'wei'zhuan
昌黎杂说一卷唐韩愈撰,chang'li'za'shuo'yi'juan'tang'han'yu'zhuan
常平仓考一卷淸俞森撰,chang'ping'cang'kao'yi'juan'qing'yu'sen'zhuan
常平仓考一卷淸俞森撰据墨海金壶本排印,chang'ping'cang'kao'yi'juan'qing'yu'sen'zhuan'ju'mo'hai'jin'hu'ben'pai'yin
昌切,chang'qie
长庆,chang'qing
常热水论一卷明薛尚质撰,chang're'shui'lun'yi'juan'ming'xue'shang'zhi'zhuan
长生殿清洪升,chang'sheng'dian'qing'hong'sheng
长寿,chang'shou
长术辑要清汪曰桢,chang'shu'ji'yao'qing'wang'yue'zhen
长水日抄一卷明陆树声撰,chang'shui'ri'chao'yi'juan'ming'lu'shu'sheng'zhuan
长孙氏,chang'sun'shi
常谈,chang'tan
常谈一卷淸陶福履撰景豫章丛书本,chang'tan'yi'juan'qing'tao'fu'lv'zhuan'jing'yu'zhang'cong'shu'ben
常谈一卷淸陶福履撰据豫章丛书本影印,chang'tan'yi'juan'qing'tao'fu'lv'zhuan'ju'yu'zhang'cong'shu'ben'ying'yin
常谈一卷宋吴箕撰据函海本排印,chang'tan'yi'juan'song'wu'ji'zhuan'ju'han'hai'ben'pai'yin
昌武段氏诗义指南宋段子武撰上海商务印书馆,chang'wu'duan'shi'shi'yi'zhi'nan'song'duan'zi'wu'zhuan'shang'hai'shang'wu'yin'shu'guan
昌武段氏诗义指南一卷宋段子武撰,chang'wu'duan'shi'shi'yi'zhi'nan'yi'juan'song'duan'zi'wu'zhuan
长物志十二卷明文震亨撰,chang'wu'zhi'shi'er'juan'ming'wen'zhen'heng'zhuan
长物志十二卷明文震亨撰据砚云甲乙编本排印,chang'wu'zhi'shi'er'juan'ming'wen'zhen'heng'zhuan'ju'yan'yun'jia'yi'bian'ben'pai'yin
长兴,chang'xing
常用典故选释,chang'yong'dian'gu'xuan'shi
常用工具软件使用指南,chang'yong'gong'ju'ruan'jian'shi'yong'zhi'nan
鼌采馆淸课二卷明费元禄撰,chao'cai'guan'qing'ke'er'juan'ming'fei'yuan'lu'zhuan
鼌采馆淸课二卷明费元禄撰据宝颜堂秘笈本排印,chao'cai'guan'qing'ke'er'juan'ming'fei'yuan'lu'zhuan'ju'bao'yan'tang'mi'ji'ben'pai'yin
晁具茨先生詩集十五卷宋晁沖之撰集部第冊影印宛委別藏清抄本,chao'ju'ci'xian'sheng'shi'ji'shi'wu'juan'song'chao'chong'zhi'zhuan'ji'bu'di'ce'ying'yin'wan'wei'bie'cang'qing'chao'ben
晁具茨先生诗集十五卷宋晁冲之撰淸注,chao'ju'ci'xian'sheng'shi'ji'shi'wu'juan'song'chao'chong'zhi'zhuan'qing'zhu
巢林笔谈,chao'lin'bi'tan
巢林笔谈续编,chao'lin'bi'tan'xu'bian
巢鸣盛,chao'ming'sheng
晁氏客语,chao'shi'ke'yu
晁氏客语一卷宋晁说之撰据百川学海本排印,chao'shi'ke'yu'yi'juan'song'chao'shuo'zhi'zhuan'ju'bai'chuan'xue'hai'ben'pai'yin
剿说,chao'shuo
晁说之,chao'shuo'zhi
朝鲜纪事一卷明倪谦撰,chao'xian'ji'shi'yi'juan'ming'ni'qian'zhuan
朝鲜青丘永言与中国诗经韩国金汉周第二届诗经国际学术研讨会论文集北京语文出版社,chao'xian'qing'qiu'yong'yan'yu'zhong'guo'shi'jing'han'guo'jin'han'zhou'di'er'jie'shi'jing'guo'ji'xue'shu'yan'tao'hui'lun'wen'ji'bei'jing'yu'wen'chu'ban'she
朝鲜志二卷朝鲜撰,chao'xian'zhi'er'juan'chao'xian'zhuan
朝野类要五卷宋赵升撰,chao'ye'lei'yao'wu'juan'song'zhao'sheng'zhuan
朝野类要五卷宋赵升撰据聚珍版丛书本排印,chao'ye'lei'yao'wu'juan'song'zhao'sheng'zhuan'ju'ju'zhen'ban'cong'shu'ben'pai'yin
朝野佥载六卷唐张鷟撰,chao'ye'qian'zai'liu'juan'tang'zhang'zhuo'zhuan
朝野佥载六卷唐张鷟撰据宝颜堂秘笈本排印,chao'ye'qian'zai'liu'juan'tang'zhang'zhuo'zhuan'ju'bao'yan'tang'mi'ji'ben'pai'yin
晁载之,chao'zai'zhi
车鼎丰,che'ding'feng
车营叩答合编,che'ying'kou'da'he'bian
陈葆光,chen'bao'guang
陈葆善,chen'bao'shan
陈本礼,chen'ben'li
陈琮,chen'cong
陈达叟,chen'da'sou
陈丹青著,chen'dan'qing'zhu
臣等謹案穆天子傳六卷晉郭璞注前有荀朂序按束晳傳云太康二年汲縣人不凖盜發魏襄王墓得竹書穆天,chen'deng'jin'an'mu'tian'zi'chuan'liu'juan'jin'guo'pu'zhu'qian'you'xun'xu'xu'an'shu'xi'chuan'yun'tai'kang'er'nian'ji'xuan'ren'bu'zhun'dao'fa'wei'xiang'wang'mu'de'zhu'shu'mu'tian
陈第,chen'di
陈鼎,chen'ding
陈芳生,chen'fang'sheng
陈簠斋笔记一卷手札一卷,chen'fu'zhai'bi'ji'yi'juan'shou'zha'yi'juan
陈簠斋笔记一卷手札一卷淸陈介祺撰据滂喜斋丛书本排印,chen'fu'zhai'bi'ji'yi'juan'shou'zha'yi'juan'qing'chen'jie'qi'zhuan'ju'pang'xi'zhai'cong'shu'ben'pai'yin
陈复正,chen'fu'zheng
陈高华,chen'gao'hua
陈耕道,chen'geng'dao
臣轨二卷唐武后撰唐注,chen'gui'er'juan'tang'wu'hou'zhuan'tang'zhu
臣轨二卷唐则天武后曌撰唐阙名注据佚存丛书本排印,chen'gui'er'juan'tang'ze'tian'wu'hou'zhao'zhuan'tang'que'ming'zhu'ju'yi'cun'cong'shu'ben'pai'yin
