阿尔斯通,a'er'si'tong
硬卧代座高速,ying'wo'dai'zuo'gao'su
硬卧代座快慢,ying'wo'dai'zuo'kuai'man
硬卧代座快速,ying'wo'dai'zuo'kuai'su
硬卧代座普客,ying'wo'dai'zuo'pu'ke
硬卧代座普快,ying'wo'dai'zuo'pu'kuai
硬卧代座特快,ying'wo'dai'zuo'te'kuai
硬卧代座直达,ying'wo'dai'zuo'zhi'da
硬卧代座准高,ying'wo'dai'zuo'zhun'gao
硬卧至,ying'wo'zhi
硬席,ying'xi
硬席乘车证签证,ying'xi'cheng'che'zheng'qian'zheng
鹰厦铁路,ying'xia'tie'lu
鹰厦线,ying'xia'xian
硬纸板票,ying'zhi'ban'piao
硬座,ying'zuo
硬座车,ying'zuo'che
硬座高速,ying'zuo'gao'su
硬座高速卧,ying'zuo'gao'su'wo
硬座快慢,ying'zuo'kuai'man
硬座快慢卧,ying'zuo'kuai'man'wo
硬座快速,ying'zuo'kuai'su
硬座快速卧,ying'zuo'kuai'su'wo
硬座普客,ying'zuo'pu'ke
硬座普客卧,ying'zuo'pu'ke'wo
硬座普快,ying'zuo'pu'kuai
硬座普快联合区段票,ying'zuo'pu'kuai'lian'he'qu'duan'piao
硬座普快卧,ying'zuo'pu'kuai'wo
硬座区段票,ying'zuo'qu'duan'piao
硬座特快,ying'zuo'te'kuai
硬座特快卧,ying'zuo'te'kuai'wo
硬座直达,ying'zuo'zhi'da
硬座直达卧,ying'zuo'zhi'da'wo
硬座准高,ying'zuo'zhun'gao
硬座准高卧,ying'zuo'zhun'gao'wo
邕段,yong'duan
甬连,yong'lian
永马,yong'ma
永马段,yong'ma'duan
甬厦,yong'sha
永亭铁路,yong'ting'tie'lu
永亭线,yong'ting'xian
用途,yong'tu
用途关联,yong'tu'guan'lian
用途调整,yong'tu'tiao'zheng
有关经由,you'guan'jing'you
优惠,you'hui
优惠票,you'hui'piao
优惠卧铺,you'hui'wo'pu
优空调,you'kong'tiao
优空调包厢硬卧高速,you'kong'tiao'bao'xiang'ying'wo'gao'su
优空调包厢硬卧快慢,you'kong'tiao'bao'xiang'ying'wo'kuai'man
优空调包厢硬卧快速,you'kong'tiao'bao'xiang'ying'wo'kuai'su
优空调包厢硬卧普客,you'kong'tiao'bao'xiang'ying'wo'pu'ke
优空调包厢硬卧普快,you'kong'tiao'bao'xiang'ying'wo'pu'kuai
优空调包厢硬卧特快,you'kong'tiao'bao'xiang'ying'wo'te'kuai
优空调包厢硬卧直达,you'kong'tiao'bao'xiang'ying'wo'zhi'da
优空调包厢硬卧准高,you'kong'tiao'bao'xiang'ying'wo'zhun'gao
优空调高级软卧高速,you'kong'tiao'gao'ji'ruan'wo'gao'su
优空调高级软卧快慢,you'kong'tiao'gao'ji'ruan'wo'kuai'man
优空调高级软卧快速,you'kong'tiao'gao'ji'ruan'wo'kuai'su
优空调高级软卧普客,you'kong'tiao'gao'ji'ruan'wo'pu'ke
优空调高级软卧普快,you'kong'tiao'gao'ji'ruan'wo'pu'kuai
优空调高级软卧特快,you'kong'tiao'gao'ji'ruan'wo'te'kuai
优空调高级软卧直达,you'kong'tiao'gao'ji'ruan'wo'zhi'da
优空调高级软卧准高,you'kong'tiao'gao'ji'ruan'wo'zhun'gao
优空调软卧代座高速,you'kong'tiao'ruan'wo'dai'zuo'gao'su
优空调软卧代座快慢,you'kong'tiao'ruan'wo'dai'zuo'kuai'man
优空调软卧代座快速,you'kong'tiao'ruan'wo'dai'zuo'kuai'su
优空调软卧代座普客,you'kong'tiao'ruan'wo'dai'zuo'pu'ke
优空调软卧代座普快,you'kong'tiao'ruan'wo'dai'zuo'pu'kuai
优空调软卧代座特快,you'kong'tiao'ruan'wo'dai'zuo'te'kuai
优空调软卧代座直达,you'kong'tiao'ruan'wo'dai'zuo'zhi'da
优空调软卧代座准高,you'kong'tiao'ruan'wo'dai'zuo'zhun'gao
优空调软座高速,you'kong'tiao'ruan'zuo'gao'su
优空调软座高速卧,you'kong'tiao'ruan'zuo'gao'su'wo
优空调软座快慢,you'kong'tiao'ruan'zuo'kuai'man
优空调软座快慢卧,you'kong'tiao'ruan'zuo'kuai'man'wo
优空调软座快速,you'kong'tiao'ruan'zuo'kuai'su
优空调软座快速卧,you'kong'tiao'ruan'zuo'kuai'su'wo
优空调软座普客,you'kong'tiao'ruan'zuo'pu'ke
优空调软座普客卧,you'kong'tiao'ruan'zuo'pu'ke'wo
优空调软座普快,you'kong'tiao'ruan'zuo'pu'kuai
优空调软座普快卧,you'kong'tiao'ruan'zuo'pu'kuai'wo
优空调软座特快,you'kong'tiao'ruan'zuo'te'kuai
优空调软座特快卧,you'kong'tiao'ruan'zuo'te'kuai'wo
优空调软座直达,you'kong'tiao'ruan'zuo'zhi'da
优空调软座直达卧,you'kong'tiao'ruan'zuo'zhi'da'wo
优空调软座准高,you'kong'tiao'ruan'zuo'zhun'gao
优空调软座准高卧,you'kong'tiao'ruan'zuo'zhun'gao'wo
优空调一人软包高速,you'kong'tiao'yi'ren'ruan'bao'gao'su
优空调一人软包快慢,you'kong'tiao'yi'ren'ruan'bao'kuai'man
优空调一人软包快速,you'kong'tiao'yi'ren'ruan'bao'kuai'su
优空调一人软包普客,you'kong'tiao'yi'ren'ruan'bao'pu'ke
优空调一人软包普快,you'kong'tiao'yi'ren'ruan'bao'pu'kuai
优空调一人软包特快,you'kong'tiao'yi'ren'ruan'bao'te'kuai
优空调一人软包直达,you'kong'tiao'yi'ren'ruan'bao'zhi'da
优空调一人软包准高,you'kong'tiao'yi'ren'ruan'bao'zhun'gao
优空调硬卧代座高速,you'kong'tiao'ying'wo'dai'zuo'gao'su
优空调硬卧代座快慢,you'kong'tiao'ying'wo'dai'zuo'kuai'man
优空调硬卧代座快速,you'kong'tiao'ying'wo'dai'zuo'kuai'su
优空调硬卧代座普客,you'kong'tiao'ying'wo'dai'zuo'pu'ke
优空调硬卧代座普快,you'kong'tiao'ying'wo'dai'zuo'pu'kuai
优空调硬卧代座特快,you'kong'tiao'ying'wo'dai'zuo'te'kuai
优空调硬卧代座直达,you'kong'tiao'ying'wo'dai'zuo'zhi'da
优空调硬卧代座准高,you'kong'tiao'ying'wo'dai'zuo'zhun'gao
优空调硬座高速,you'kong'tiao'ying'zuo'gao'su
优空调硬座高速卧,you'kong'tiao'ying'zuo'gao'su'wo
优空调硬座快慢,you'kong'tiao'ying'zuo'kuai'man
优空调硬座快慢卧,you'kong'tiao'ying'zuo'kuai'man'wo
优空调硬座快速,you'kong'tiao'ying'zuo'kuai'su
优空调硬座快速卧,you'kong'tiao'ying'zuo'kuai'su'wo
优空调硬座普客,you'kong'tiao'ying'zuo'pu'ke
优空调硬座普客卧,you'kong'tiao'ying'zuo'pu'ke'wo
优空调硬座普快,you'kong'tiao'ying'zuo'pu'kuai
优空调硬座普快卧,you'kong'tiao'ying'zuo'pu'kuai'wo
优空调硬座特快,you'kong'tiao'ying'zuo'te'kuai
优空调硬座特快卧,you'kong'tiao'ying'zuo'te'kuai'wo
优空调硬座直达,you'kong'tiao'ying'zuo'zhi'da
优空调硬座直达卧,you'kong'tiao'ying'zuo'zhi'da'wo
优空调硬座准高,you'kong'tiao'ying'zuo'zhun'gao
优空调硬座准高卧,you'kong'tiao'ying'zuo'zhun'gao'wo
有效期,you'xiao'qi
邮政车,you'zheng'che
优质,you'zhi
优质包厢硬卧高速,you'zhi'bao'xiang'ying'wo'gao'su
优质包厢硬卧快慢,you'zhi'bao'xiang'ying'wo'kuai'man
优质包厢硬卧快速,you'zhi'bao'xiang'ying'wo'kuai'su
优质包厢硬卧普客,you'zhi'bao'xiang'ying'wo'pu'ke
优质包厢硬卧普快,you'zhi'bao'xiang'ying'wo'pu'kuai
优质包厢硬卧特快,you'zhi'bao'xiang'ying'wo'te'kuai
优质包厢硬卧直达,you'zhi'bao'xiang'ying'wo'zhi'da
优质包厢硬卧准高,you'zhi'bao'xiang'ying'wo'zhun'gao
优质高级软卧高速,you'zhi'gao'ji'ruan'wo'gao'su
优质高级软卧快慢,you'zhi'gao'ji'ruan'wo'kuai'man
优质高级软卧快速,you'zhi'gao'ji'ruan'wo'kuai'su
优质高级软卧普客,you'zhi'gao'ji'ruan'wo'pu'ke
优质高级软卧普快,you'zhi'gao'ji'ruan'wo'pu'kuai
优质高级软卧特快,you'zhi'gao'ji'ruan'wo'te'kuai
优质高级软卧直达,you'zhi'gao'ji'ruan'wo'zhi'da
优质高级软卧准高,you'zhi'gao'ji'ruan'wo'zhun'gao
优质软卧代座高速,you'zhi'ruan'wo'dai'zuo'gao'su
优质软卧代座快慢,you'zhi'ruan'wo'dai'zuo'kuai'man
优质软卧代座快速,you'zhi'ruan'wo'dai'zuo'kuai'su
优质软卧代座普客,you'zhi'ruan'wo'dai'zuo'pu'ke
优质软卧代座普快,you'zhi'ruan'wo'dai'zuo'pu'kuai
优质软卧代座特快,you'zhi'ruan'wo'dai'zuo'te'kuai
优质软卧代座直达,you'zhi'ruan'wo'dai'zuo'zhi'da
优质软卧代座准高,you'zhi'ruan'wo'dai'zuo'zhun'gao
优质软座高速,you'zhi'ruan'zuo'gao'su
优质软座高速卧,you'zhi'ruan'zuo'gao'su'wo
优质软座快慢,you'zhi'ruan'zuo'kuai'man
优质软座快慢卧,you'zhi'ruan'zuo'kuai'man'wo
优质软座快速,you'zhi'ruan'zuo'kuai'su
优质软座快速卧,you'zhi'ruan'zuo'kuai'su'wo
优质软座普客,you'zhi'ruan'zuo'pu'ke
优质软座普客卧,you'zhi'ruan'zuo'pu'ke'wo
优质软座普快,you'zhi'ruan'zuo'pu'kuai
优质软座普快卧,you'zhi'ruan'zuo'pu'kuai'wo
优质软座特快,you'zhi'ruan'zuo'te'kuai
优质软座特快卧,you'zhi'ruan'zuo'te'kuai'wo
优质软座直达,you'zhi'ruan'zuo'zhi'da
优质软座直达卧,you'zhi'ruan'zuo'zhi'da'wo
优质软座准高,you'zhi'ruan'zuo'zhun'gao
优质软座准高卧,you'zhi'ruan'zuo'zhun'gao'wo
有直通车,you'zhi'tong'che
优质无空调,you'zhi'wu'kong'tiao
优质一人软包高速,you'zhi'yi'ren'ruan'bao'gao'su
优质一人软包快慢,you'zhi'yi'ren'ruan'bao'kuai'man
优质一人软包快速,you'zhi'yi'ren'ruan'bao'kuai'su
优质一人软包普客,you'zhi'yi'ren'ruan'bao'pu'ke
优质一人软包普快,you'zhi'yi'ren'ruan'bao'pu'kuai
优质一人软包特快,you'zhi'yi'ren'ruan'bao'te'kuai
优质一人软包直达,you'zhi'yi'ren'ruan'bao'zhi'da
优质一人软包准高,you'zhi'yi'ren'ruan'bao'zhun'gao
优质硬卧代座高速,you'zhi'ying'wo'dai'zuo'gao'su
优质硬卧代座快慢,you'zhi'ying'wo'dai'zuo'kuai'man
优质硬卧代座快速,you'zhi'ying'wo'dai'zuo'kuai'su
优质硬卧代座普客,you'zhi'ying'wo'dai'zuo'pu'ke
优质硬卧代座普快,you'zhi'ying'wo'dai'zuo'pu'kuai
优质硬卧代座特快,you'zhi'ying'wo'dai'zuo'te'kuai
优质硬卧代座直达,you'zhi'ying'wo'dai'zuo'zhi'da
优质硬卧代座准高,you'zhi'ying'wo'dai'zuo'zhun'gao
优质硬座高速,you'zhi'ying'zuo'gao'su
优质硬座高速卧,you'zhi'ying'zuo'gao'su'wo
优质硬座快慢,you'zhi'ying'zuo'kuai'man
优质硬座快慢卧,you'zhi'ying'zuo'kuai'man'wo
优质硬座快速,you'zhi'ying'zuo'kuai'su
优质硬座快速卧,you'zhi'ying'zuo'kuai'su'wo
优质硬座普客,you'zhi'ying'zuo'pu'ke
优质硬座普客卧,you'zhi'ying'zuo'pu'ke'wo
优质硬座普快,you'zhi'ying'zuo'pu'kuai
优质硬座普快卧,you'zhi'ying'zuo'pu'kuai'wo
优质硬座特快,you'zhi'ying'zuo'te'kuai
优质硬座特快卧,you'zhi'ying'zuo'te'kuai'wo
优质硬座直达,you'zhi'ying'zuo'zhi'da
优质硬座直达卧,you'zhi'ying'zuo'zhi'da'wo
优质硬座准高,you'zhi'ying'zuo'zhun'gao
优质硬座准高卧,you'zhi'ying'zuo'zhun'gao'wo
优质优价,you'zhi'you'jia
优质有空调,you'zhi'you'kong'tiao
有座票,you'zuo'piao
渝宝,yu'bao
预订系统,yu'ding'xi'tong
渝段,yu'duan
渝贵,yu'gui
于虎线,yu'hu'xian
渝怀铁路,yu'huai'tie'lu
渝怀线,yu'huai'xian
玉门沟铁路,yu'men'gou'tie'lu
玉门沟线,yu'men'gou'xian
玉门沟支线,yu'men'gou'zhi'xian
雨棚,yu'peng
余票查询,yu'piao'cha'xun
与普客差,yu'pu'ke'cha
与普快差,yu'pu'kuai'cha
榆石,yu'shi
榆石衡,yu'shi'heng
预售,yu'shou
预售处,yu'shou'chu
预售点,yu'shou'dian
预售票,yu'shou'piao
预售期,yu'shou'qi
与特快差,yu'te'kuai'cha
预约预定,yu'yue'yu'ding
原段,yuan'duan
原丰,yuan'feng
原价退票,yuan'jia'tui'piao
原票收回,yuan'piao'shou'hui
原票信息,yuan'piao'xin'xi
原退,yuan'tui
鸳鸯,yuan'yang
粤海轮渡,yue'hai'lun'du
粤海轮渡铁路,yue'hai'lun'du'tie'lu
粤海轮渡线,yue'hai'lun'du'xian
粤海铁路,yue'hai'tie'lu
月台,yue'tai
月台票,yue'tai'piao
越席,yue'xi
越线,yue'xian
越线站,yue'xian'zhan
越站,yue'zhan
运被子,yun'bei'zi
云岗铁路,yun'gang'tie'lu
云岗线,yun'gang'xian
云岗支线,yun'gang'zhi'xian
运价,yun'jia
运价里程,yun'jia'li'cheng
运能,yun'neng
运椅子,yun'yi'zi
运转,yun'zhuan
早点,zao'dian
赠票,zeng'piao
增停,zeng'ting
炸碉堡,zha'diao'bao
窄轨,zhai'gui
站场,zhan'chang
站车,zhan'che
站到,zhan'dao
站房,zhan'fang
站管站,zhan'guan'zhan
湛海铁路,zhan'hai'tie'lu
湛海线,zhan'hai'xian
站间价格,zhan'jian'jia'ge
站间票价,zhan'jian'piao'jia
占票,zhan'piao
站票,zhan'piao
站售,zhan'shou
站台,zhan'tai
站台票,zhan'tai'piao
展线,zhan'xian
张包硬,zhang'bao'ying
张波,zhang'bo
长大铁路,zhang'da'tie'lu
长大线,zhang'da'xian
张东铁路,zhang'dong'tie'lu
张东线,zhang'dong'xian
樟福铁路,zhang'fu'tie'lu
樟福线,zhang'fu'xian
张高包,zhang'gao'bao
张集铁路,zhang'ji'tie'lu
张集线,zhang'ji'xian
张家口铁路,zhang'jia'kou'tie'lu
张家口线,zhang'jia'kou'xian
张家口支线,zhang'jia'kou'zhi'xian
漳龙铁路,zhang'long'tie'lu
漳龙线,zhang'long'xian
漳泉铁路,zhang'quan'tie'lu
漳泉线,zhang'quan'xian
张软卧,zhang'ruan'wo
张上铺,zhang'shang'pu
张无座,zhang'wu'zuo
张下铺,zhang'xia'pu
张硬卧,zhang'ying'wo
张硬座,zhang'ying'zuo
张中铺,zhang'zhong'pu
朝发夕至,zhao'fa'xi'zhi
折返,zhe'fan
折返段,zhe'fan'duan
折返区段,zhe'fan'qu'duan
折返区间,zhe'fan'qu'jian
浙赣铁路,zhe'gan'tie'lu
浙赣线,zhe'gan'xian
折扣,zhe'kou
折扣率,zhe'kou'lv
折扣票价,zhe'kou'piao'jia
折页门,zhe'ye'men
郑宝,zheng'bao
郑宝成,zheng'bao'cheng
郑宝成昆,zheng'bao'cheng'kun
整备,zheng'bei
正常,zheng'chang
正常退票,zheng'chang'tui'piao
正点,zheng'dian
郑横麻,zheng'heng'ma
郑横麻庐,zheng'heng'ma'lu
郑兰,zheng'lan
正太,zheng'tai
正太铁路,zheng'tai'tie'lu
郑武,zheng'wu
郑武庐,zheng'wu'lu
郑西,zheng'xi
郑荥铁路,zheng'xing'tie'lu
郑荥线,zheng'xing'xian
直达,zhi'da
直达特别加快票,zhi'da'te'bie'jia'kuai'piao
指定,zhi'ding
指定车次的到站已封,zhi'ding'che'ci'de'dao'zhan'yi'feng
指定车次的发站已封,zhi'ding'che'ci'de'fa'zhan'yi'feng
指定车次已封,zhi'ding'che'ci'yi'feng
指定到站已封,zhi'ding'dao'zhan'yi'feng
指定发站已封,zhi'ding'fa'zhan'yi'feng
指定经由,zhi'ding'jing'you
指定站代售,zhi'ding'zhan'dai'shou
直供电,zhi'gong'dian
直客,zhi'ke
直快,zhi'kuai
至另有通知时止,zhi'ling'you'tong'zhi'shi'zhi
至另止,zhi'ling'zhi
制票机,zhi'piao'ji
制票机初始化,zhi'piao'ji'chu'shi'hua
直特,zhi'te
直通,zhi'tong
直通车,zhi'tong'che
直通客票业务,zhi'tong'ke'piao'ye'wu
执行票价,zhi'xing'piao'jia
终到,zhong'dao
终到站,zhong'dao'zhan
终点,zhong'dian
中东铁路,zhong'dong'tie'lu
中国铁路馆,zhong'guo'tie'lu'guan
中国铁路客票发售,zhong'guo'tie'lu'ke'piao'fa'shou
中华之星,zhong'hua'zhi'xing
中铺,zhong'pu
中铁,zhong'tie
中铁磁记录热敏打印机,zhong'tie'ci'ji'lu're'min'da'yin'ji
中铁客货,zhong'tie'ke'huo
中铁快运,zhong'tie'kuai'yun
中铁快运包裹,zhong'tie'kuai'yun'bao'guo
中铁条码打印机,zhong'tie'tiao'ma'da'yin'ji
中铁制票机,zhong'tie'zhi'piao'ji
中途下车前程失效,zhong'tu'xia'che'qian'cheng'shi'xiao
中途下车失效,zhong'tu'xia'che'shi'xiao
中心经由,zhong'xin'jing'you
中原之星,zhong'yuan'zhi'xing
中转,zhong'zhuan
中转签证,zhong'zhuan'qian'zheng
中转签证用途,zhong'zhuan'qian'zheng'yong'tu
中转通票业务,zhong'zhuan'tong'piao'ye'wu
中转站,zhong'zhuan'zhan
中转站首字,zhong'zhuan'zhan'shou'zi
周口店线,zhou'kou'dian'xian
诸葛,zhu'ge
诸葛尚聪,zhu'ge'shang'cong
株贵,zhu'gui
专属票额,zhuan'shu'piao'e
转移计价,zhuan'yi'ji'jia
专有票额,zhuan'you'piao'e
专运,zhuan'yun
准乘,zhun'cheng
准高,zhun'gao
准高速,zhun'gao'su
准高速加快票,zhun'gao'su'jia'kuai'piao
自带柴油发电机,zi'dai'chai'you'fa'dian'ji
自动售,zi'dong'shou
自动售票,zi'dong'shou'piao
自动售票机,zi'dong'shou'piao'ji
自动调整,zi'dong'tiao'zheng
自由席,zi'you'xi
自助售票,zi'zhu'shou'piao
自助售票机,zi'zhu'shou'piao'ji
自助售票机换票,zi'zhu'shou'piao'ji'huan'piao
纵横中国,zong'heng'zhong'guo
走行线,zou'xing'xian
最短径路,zui'duan'jing'lu
坐便,zuo'bian
座别,zuo'bie
座号,zuo'hao
坐席,zuo'xi
