班格尔马辛席,ban'ge'er'ma'xin'xi
手袋,shou'dai
收档,shou'dang
收得,shou'de
收爹,shou'die
手多多,shou'duo'duo
手扼,shou'e
收工,shou'gong
手骨,shou'gu
瘦骨,shou'gu
瘦骨如柴煲碌竹,shou'gu'ru'chai'bao'lu'zhu
瘦骨仙,shou'gu'xian
手瓜,shou'gua
手瓜硬,shou'gua'ying
手痕,shou'hen
手机,shou'ji
手甲,shou'jia
手巾,shou'jin
手紧,shou'jin
手巾仔,shou'jin'zi
受力,shou'li
受落,shou'luo
收买佬,shou'mai'lao
瘦蜢蜢,shou'meng'meng
收皮,shou'pi
守清,shou'qing
收山,shou'shan
收声,shou'sheng
手势,shou'shi
手疏,shou'shu
寿头,shou'tou
手袜,shou'wa
收尾,shou'wei
手尾手眼,shou'wei'shou'yan
受唔住,shou'wu'zhu
收线,shou'xian
手信,shou'xin
寿星公吊颈嫌命长,shou'xing'gong'diao'jing'xian'ming'chang
寿星公寿仔,shou'xing'gong'shou'zi
瘦削,shou'xue
手揗脚震,shou'xun'jiao'zhen
手硬,shou'ying
手影机,shou'ying'ji
手踭,shou'zheng
手指公,shou'zhi'gong
手指模,shou'zhi'mo
手指拗出唔拗入,shou'zhi'niu'chu'wu'niu'ru
手指尾,shou'zhi'wei
手指罅,shou'zhi'xia
手指罅疏,shou'zhi'xia'shu
手重,shou'zhong
手作,shou'zuo
手作仔,shou'zuo'zi
梳菜,shu'cai
梳打,shu'da
熟档,shu'dang
输赌,shu'du
疏肝,shu'gan
叔公,shu'gong
书舘,shu'guan
书馆,shu'guan
数还数路还路,shu'hai'shu'lu'hai'lu
疏乎,shu'hu
梳乎厘,shu'hu'li
梳化,shu'hua
熟客仔熟行,shu'ke'zi'shu'xing
疏嘞,shu'lei
疏离,shu'li
疏篱,shu'li
疏哩大,shu'li'da
薯莨,shu'liang
熟落,shu'luo
鼠摸,shu'mo
叔婆,shu'po
梳起,shu'qi
赎钱,shu'qian
输蚀,shu'shi
熟手,shu'shou
疏堂,shu'tang
薯头,shu'tou
树头,shu'tou
数尾,shu'wei
熟行,shu'xing
熟性,shu'xing
熟烟,shu'yan
熟盐,shu'yan
书友输,shu'you'shu
薯仔,shu'zi
叔仔,shu'zi
薯仔煲糖水心淡,shu'zi'bao'tang'shui'xin'dan
耍手,shua'shou
耍太极,shua'tai'ji
衰到死,shuai'dao'si
衰到贴地,shuai'dao'tie'di
甩底,shuai'di
衰格,shuai'ge
衰公,shuai'gong
衰鬼,shuai'gui
衰鬼窦,shuai'gui'dou
甩铰,shuai'jiao
甩毛,shuai'mao
衰女,shuai'nv
衰女包,shuai'nv'bao
衰牌,shuai'pai
甩皮,shuai'pi
甩皮甩骨,shuai'pi'shuai'gu
衰婆,shuai'po
甩青,shuai'qing
衰人,shuai'ren
衰神,shuai'shen
甩身,shuai'shen
甩绳马骝,shuai'sheng'ma'liu
衰衰啖,shuai'shuai'dan
衰衰噉,shuai'shuai'dan
衰贴地,shuai'tie'di
甩拖,shuai'tuo
甩须,shuai'xu
蟀子,shuai'zi
衰仔,shuai'zi
闩门,shuan'men
爽脆,shuang'cui
双房,shuang'fang
双毫,shuang'hao
爽口,shuang'kou
爽利,shuang'li
双粮,shuang'liang
双皮奶,shuang'pi'nai
双企人,shuang'qi'ren
爽手,shuang'shou
双眼檐,shuang'yan'yan
双窬墙,shuang'yu'qiang
双蒸,shuang'zheng
水抱,shui'bao
水兵对水手水斗水,shui'bing'dui'shui'shou'shui'dou'shui
谁不知,shui'bu'zhi
水螆,shui'ci
水蛋,shui'dan
水凼,shui'dang
水斗,shui'dou
水豆腐,shui'dou'fu
水瓜,shui'gua
水瓜打狗唔见紧桷,shui'gua'da'gou'wu'jian'jin'jue
水鬼人情,shui'gui'ren'qing
水过鸭背,shui'guo'ya'bei
水横枝,shui'heng'zhi
水喉,shui'hou
水鷄,shui'ji
水鸡,shui'ji
水脚,shui'jiao
水饺,shui'jiao
水浸,shui'jin
水静河飞,shui'jing'he'fei
水壳,shui'ke
水客,shui'ke
水泡,shui'pao
水柿,shui'shi
水汪,shui'wang
水尾水皮,shui'wei'shui'pi
水洗都唔清,shui'xi'dou'wu'qing
水嘢,shui'ye
水鱼,shui'yu
水圳,shui'zhen
顺档,shun'dang
顺得哥情失嫂意,shun'de'ge'qing'shi'sao'yi
顺风驶,shun'feng'shi
顺风屎艇快夹,shun'feng'shi'ting'kuai'jia
顺摊,shun'tan
说话,shuo'hua
死吖,si'a
死八公,si'ba'gong
死八婆,si'ba'po
四便,si'bian
四边四便,si'bian'si'bian
似层层,si'ceng'ceng
死铲,si'chan
死蠢,si'chun
死党死火,si'dang'si'huo
死得,si'de
死得啦,si'de'la
丝发,si'fa
四方,si'fang
四方辫顶,si'fang'bian'ding
四方木,si'fang'mu
死估估,si'gu'gu
死鬼,si'gui
死火,si'huo
私伙局,si'huo'ju
司机,si'ji
死鷄撑饭盖,si'ji'cheng'fan'gai
死鸡撑饭盖,si'ji'cheng'fan'gai
死鷄撑硬脚,si'ji'cheng'ying'jiao
死鸡撑硬脚,si'ji'cheng'ying'jiao
私家,si'jia
死绝种,si'jue'zhong
四块半,si'kuai'ban
死啦,si'la
死佬,si'lao
死擂,si'lei
司马秤,si'ma'cheng
死妹钉,si'mei'ding
似模似样,si'mo'si'yang
丝母,si'mu
死牛一便颈,si'niu'yi'bian'jing
死女包,si'nv'bao
撕票,si'piao
死桥,si'qiao
死人,si'ren
死人灯笼报大数,si'ren'deng'long'bao'da'shu
死人头,si'ren'tou
死蛇烂鳝,si'she'lan'shan
死死地气,si'si'di'qi
死死气,si'si'qi
思思缩缩,si'si'suo'suo
死死吓,si'si'xia
思缩,si'suo
四围,si'wei
四眼,si'yan
似样,si'yang
四邑,si'yi
思疑,si'yi
私已,si'yi
四正,si'zheng
四周围,si'zhou'wei
似足,si'zu
死咗,si'zuo
松婄,song'bu
餸菜,song'cai
松柴,song'chai
松啲,song'di
松骨,song'gu
松化,song'hua
松鷄,song'ji
松鸡,song'ji
送口,song'kou
送口菓,song'kou'guo
松毛,song'mao
松人,song'ren
馊包,sou'bao
俗骨逐啲,su'gu'zhu'di
塑胶,su'jiao
粟米,su'mi
苏虾仔,su'xia'zi
苏州屎,su'zhou'shi
算度,suan'du
酸梅,suan'mei
算数,suan'shu
算死草,suan'si'cao
酸馊餲臭,suan'sou'ai'chou
酸馊烂臭,suan'sou'lan'chou
酸酸宿宿,suan'suan'su'su
蒜头,suan'tou
酸微草,suan'wei'cao
酸微微酸微仔,suan'wei'wei'suan'wei'zi
酸枝,suan'zhi
蒜子,suan'zi
蒜子肉,suan'zi'rou
随得,sui'de
碎湿湿,sui'shi'shi
碎吟吟,sui'yin'yin
碎纸,sui'zhi
损烂,sun'lan
损手烂脚,sun'shou'lan'jiao
唆摆,suo'bai
缩膊,suo'bo
索察,suo'cha
锁匙,suo'chi
缩骨,suo'gu
缩骨遮,suo'gu'zhe
缩开啲,suo'kai'di
锁链,suo'lian
缩埋一嚿,suo'mai'yi'huo
缩埋一字角,suo'mai'yi'zi'jiao
嗍气,suo'qi
索气,suo'qi
缩沙,suo'sha
缩数,suo'shu
缩水,suo'shui
琐琐碎碎,suo'suo'sui'sui
缩头龟,suo'tou'gui
缩头乌龟,suo'tou'wu'gui
索嘢,suo'ye
嗍一啖,suo'yi'dan
索油,suo'you
挞沙鱼,ta'sha'yu
他条,ta'tiao
挞头,ta'tou
太妃糖,tai'fei'tang
太公,tai'gong
抬棺材甩裤失礼死人,tai'guan'cai'shuai'ku'shi'li'si'ren
抬棺材脱了裤失礼人,tai'guan'cai'tuo'le'ku'shi'li'ren
太过,tai'guo
太监磨柱真系滑,tai'jian'mo'zhu'zhen'xi'hua
太监骑马无得顶,tai'jian'qi'ma'wu'de'ding
太空褛,tai'kong'lv
台面,tai'mian
太平铺,tai'ping'pu
太婆,tai'po
台台凳凳,tai'tai'deng'deng
台台櫈櫈,tai'tai'deng'deng
太子爷,tai'zi'ye
摊档,tan'dang
贪得意,tan'de'yi
痰罐,tan'guan
探家,tan'jia
贪口爽,tan'kou'shuang
探盘,tan'pan
探热针,tan're'zhen
叹世界,tan'shi'jie
燂一下,tan'yi'xia
摊直,tan'zhi
塘边鹤睇准黎食,tang'bian'he'di'zhun'li'shi
劏车劏光猪,tang'che'tang'guang'zhu
汤河,tang'he
糖环,tang'huan
趟栊,tang'long
唐人,tang'ren
唐山,tang'shan
趟声,tang'sheng
塘虱,tang'shi
糖水,tang'shui
糖水铺,tang'shui'pu
劏死牛,tang'si'niu
汤丸,tang'wan
劏猪,tang'zhu
唐装,tang'zhuang
淘古井,tao'gu'jing
特登,te'deng
特鲁瓦,te'lu'wa
藤喼,teng'jie
藤条,teng'tiao
锑煲,ti'bao
踢波,ti'bo
剃刀门楣,ti'dao'men'mei
踢窦,ti'dou
趯更,ti'geng
梯横,ti'heng
踢脚,ti'jiao
踢晒脚,ti'shai'jiao
剔手边,ti'shou'bian
体温计,ti'wen'ji
剃须,ti'xu
剃眼眉,ti'yan'mei
提子,ti'zi
天鹅绒,tian'e'rong
添饭,tian'fan
天光,tian'guang
天光大白,tian'guang'da'bai
天光墟,tian'guang'xu
田鸡,tian'ji
田鷄东,tian'ji'dong
田鸡东,tian'ji'dong
田鸡过河各有各蹬,tian'ji'guo'he'ge'you'ge'deng
田鸡过河各有各样,tian'ji'guo'he'ge'you'ge'yang
天脚底,tian'jiao'di
天井,tian'jing
天开眼,tian'kai'yan
天口,tian'kou
田螺,tian'luo
天拿水,tian'na'shui
天棚,tian'peng
天桥,tian'qiao
天时,tian'shi
天时旱,tian'shi'han
天时冷,tian'shi'leng
天时热,tian'shi're
天时暑热,tian'shi'shu're
天堂尿壶全神贯注,tian'tang'niao'hu'quan'shen'guan'zhu
甜耶耶,tian'ye'ye
甜曳曳,tian'ye'ye
甜竹,tian'zhu
跳槽,tiao'cao
条脷嚡,tiao'li'hai
跳楼货,tiao'lou'huo
跳皮,tiao'pi
条气唔顺,tiao'qi'wu'shun
铁笔,tie'bi
贴错门神,tie'cuo'men'shen
铁达尼号,tie'da'ni'hao
铁钱,tie'qian
贴钱买罪受,tie'qian'mai'zui'shou
铁沙梨,tie'sha'li
贴士,tie'shi
贴堂,tie'tang
贴现,tie'xian
铁闸,tie'zha
铁支,tie'zhi
铁嘴鷄,tie'zui'ji
铁嘴鸡,tie'zui'ji
听朝,ting'chao
听朝早,ting'chao'zao
听过隔篱,ting'guo'ge'li
艇家,ting'jia
听讲,ting'jiang
听尼士,ting'ni'shi
听日,ting'ri
听晚,ting'wan
听闻,ting'wen
听闻讲,ting'wen'jiang
听暇,ting'xia
听早,ting'zao
艇仔粥,ting'zi'zhou
通菜,tong'cai
同甘共苦,tong'gan'gong'ku
通街,tong'jie
同居,tong'ju
通拉,tong'la
同捞同煲,tong'lao'tong'bao
通竉,tong'long
同埋,tong'mai
铜盘,tong'pan
通气,tong'qi
通胜,tong'sheng
通水,tong'shui
同屋,tong'wu
同屋主,tong'wu'zhu
铜仙,tong'xian
桐油灰,tong'you'hui
童子鷄,tong'zi'ji
童子鸡,tong'zi'ji
偷薄,tou'bao
偸薄,tou'bao
头崩额裂,tou'beng'e'lie
头婄,tou'bu
头车,tou'che
头赤,tou'chi
头刺,tou'ci
头大,tou'da
头耷耷,tou'da'da
透大气,tou'da'qi
偷呃拐骗,tou'e'guai'pian
透火,tou'huo
偷鸡,tou'ji
偸鷄,tou'ji
偷鸡唔到蚀揸米,tou'ji'wu'dao'shi'zha'mi
头壳,tou'ke
头壳顶,tou'ke'ding
头蜡,tou'la
头路,tou'lu
头锣,tou'luo
头毛,tou'mao
头泥,tou'ni
头拧拧,tou'ning'ning
头皮,tou'pi
透气,tou'qi
投入,tou'ru
头牲,tou'sheng
偷师,tou'shi
偸师,tou'shi
投石落屎坑激起公愤,tou'shi'luo'shi'keng'ji'qi'gong'fen
头头,tou'tou
头凸额,tou'tu'e
头尾,tou'wei
头先头长仔,tou'xian'tou'chang'zi
偷笑,tou'xiao
头岳岳,tou'yue'yue
投注,tou'zhu
土狗,tu'gou
土佬,tu'lao
土鲮鱼,tu'ling'yu
土谈,tu'tan
突兀,tu'wu
团年,tuan'nian
褪肠头,tui'chang'tou
褪过啲,tui'guo'di
推冧,tui'lin
褪舦,tui'tai
推搪,tui'tang
吞枪,tun'qiang
砣表,tuo'biao
托大脚,tuo'da'jiao
拖艔,tuo'dao
拖肥糖,tuo'fei'tang
佗手褦脚,tuo'shou'nai'jiao
托手踭,tuo'shou'zheng
拖手仔,tuo'shou'zi
佗衰,tuo'shuai
托水龙,tuo'shui'long
陀陀拧,tuo'tuo'ning
拖友,tuo'you
佗仔,tuo'zi
瓦煲,wa'bao
瓦背,wa'bei
瓦背顶,wa'bei'ding
瓦罉,wa'cheng
瓦封领包顶颈,wa'feng'ling'bao'ding'jing
袜箍,wa'gu
搲开件衫,wa'kai'jian'shan
瓦坑,wa'keng
瓦靴唔落得台,wa'xue'wu'luo'de'tai
瓦檐口,wa'yan'kou
瓦檐狮子叻到满,wa'yan'shi'zi'le'dao'man
搲银,wa'yin
瓦渣,wa'zha
瓦渣岗,wa'zha'gang
外便,wai'bian
外出,wai'chu
外底,wai'di
外父,wai'fu
外家,wai'jia
外江,wai'jiang
外卖,wai'mai
外母,wai'mu
喎妥,wai'tuo
歪乌连,wai'wu'lian
玩吖,wan'a
万大有我,wan'da'you'wo
晚黑,wan'hei
纨裤子弟,wan'ku'zi'di
玩啦,wan'la
挽手,wan'shou
万寿菓,wan'shou'guo
万寿果,wan'shou'guo
晚头黑,wan'tou'hei
晚头夜,wan'tou'ye
玩完,wan'wan
玩新人,wan'xin'ren
万字夹,wan'zi'jia
玩咗,wan'zuo
王老五,wang'lao'wu
网路,wang'lu
网络,wang'luo
往时,wang'shi
望天打卦,wang'tian'da'gua
往阵时,wang'zhen'shi
喂吖,wei'a
尾车,wei'che
未抽,wei'chou
未得,wei'de
为得过,wei'de'guo
爲得过,wei'de'guo
未睇,wei'di
围兜,wei'dou
煨番薯,wei'fan'shu
威化饼,wei'hua'bing
喂哗鬼震,wei'hua'gui'zhen
未坏,wei'huai
未见官府先打三板未有耐,wei'jian'guan'fu'xian'da'san'ban'wei'you'nai
微菌,wei'jun
未开,wei'kai
爲口奔驰,wei'kou'ben'chi
为口宾士,wei'kou'bin'shi
喂啦,wei'la
未拉,wei'la
尾龙骨,wei'long'gu
尾楼,wei'lou
尾祃,wei'ma
尾禡,wei'ma
为乜,wei'mie
爲乜,wei'mie
为皮,wei'pi
爲皮,wei'pi
未去,wei'qu
未神,wei'shen
卫生口罩嘴上一套,wei'sheng'kou'zhao'zui'shang'yi'tao
为食,wei'shi
威士,wei'shi
爲食,wei'shi
威士卡,wei'shi'ka
为食猫,wei'shi'mao
爲食猫,wei'shi'mao
威士咸,wei'shi'xian
威水,wei'shui
威水史,wei'shui'shi
未死,wei'si
威特,wei'te
未调,wei'tiao
未玩,wei'wan
未喂,wei'wei
危危乎,wei'wei'hu
未洗,wei'xi
未训,wei'xun
威也,wei'ye
威吔,wei'ye
尾油,wei'you
为眞,wei'zhen
为真,wei'zhen
爲眞,wei'zhen
为咗,wei'zuo
喂咗,wei'zuo
未做,wei'zuo
爲咗,wei'zuo
揾笨,wen'ben
搵笨,wen'ben
蚊虫,wen'chong
蚊螆,wen'ci
揾丁,wen'ding
搵丁,wen'ding
蚊瞓,wen'fen
揾工,wen'gong
文化裇,wen'hua'xu
文鷄,wen'ji
文鸡,wen'ji
紊尽,wen'jin
揾老衬,wen'lao'chen
搵老衬,wen'lao'chen
揾竉路,wen'long'lu
搵竉路,wen'long'lu
揾米路,wen'mi'lu
搵米路,wen'mi'lu
蚊赧,wen'nan
揾钱,wen'qian
搵钱,wen'qian
揾人,wen'ren
抆屎,wen'shi
揾食,wen'shi
搵食,wen'shi
瘟瘟沌沌,wen'wen'dun'dun
稳稳阵阵,wen'wen'zhen'zhen
揾嘢做,wen'ye'zuo
搵嘢做,wen'ye'zuo
文员,wen'yuan
稳阵,wen'zhen
蕹菜,weng'cai
我哋,wo'di
窝钉,wo'ding
我嘅,wo'ge
我喺,wo'xi
唔畀面,wu'bi'mian
无表情,wu'biao'qing
唔曾,wu'ceng
唔臭米气,wu'chou'mi'qi
唔臭鍟,wu'chou'sheng
乌卒卒,wu'cu'cu
无错,wu'cuo
唔打得埋,wu'da'de'mai
唔打紧,wu'da'jin
无搭霎,wu'da'sha
无胆,wu'dan
唔单祇,wu'dan'chi
无胆匪类,wu'dan'fei'lei
唔单只,wu'dan'zhi
唔到你,wu'dao'ni
唔得,wu'de
无得,wu'de
无得顶,wu'de'ding
唔得切,wu'de'qie
无得倾,wu'de'qing
无得弹,wu'de'tan
唔得闲,wu'de'xian
乌灯黑火,wu'deng'hei'huo
唔等使,wu'deng'shi
唔抵,wu'di
唔抵得,wu'di'de
唔抵得颈,wu'di'de'jing
唔抵得佢,wu'di'de'qu
唔抵得谂,wu'di'de'shen
唔嗲唔吊,wu'dia'wu'diao
唔掂,wu'dian
唔定,wu'ding
无定性无定准,wu'ding'xing'wu'ding'zhun
无度数,wu'du'shu
无端白事,wu'duan'bai'shi
无端端,wu'duan'duan
唔对路,wu'dui'lu
唔多,wu'duo
唔多唔少,wu'duo'wu'shao
无耳藤急靠托,wu'er'teng'ji'kao'tuo
无耳性,wu'er'xing
唔忿气,wu'fen'qi
无符,wu'fu
唔该,wu'gai
唔该晒,wu'gai'shai
唔该唔该晒,wu'gai'wu'gai'shai
唔该先,wu'gai'xian
无咁好气,wu'gan'hao'qi
无根蔸,wu'gen'dou
唔够,wu'gou
唔够喉,wu'gou'hou
唔够气,wu'gou'qi
唔够佢嚟,wu'gou'qu'li
唔够眼,wu'gou'yan
唔怪得,wu'guai'de
唔怪之,wu'guai'zhi
唔怪之得,wu'guai'zhi'de
唔关事,wu'guan'shi
乌龟,wu'gui
唔好,wu'hao
唔好搞我,wu'hao'gao'wo
唔好喊喇,wu'hao'han'la
唔好手脚,wu'hao'shou'jiao
唔好意思,wu'hao'yi'si
唔恨,wu'hen
唔化,wu'hua
无话,wu'hua
唔话得,wu'hua'de
五花腩,wu'hua'nan
唔化算,wu'hua'suan
无计,wu'ji
唔记得,wu'ji'de
唔及得,wu'ji'de
无几何,wu'ji'he
无几耐,wu'ji'nai
无记性,wu'ji'xing
唔夹,wu'jia
无家教,wu'jia'jiao
唔见晒,wu'jian'shai
无交易,wu'jiao'yi
无解,wu'jie
唔紧要,wu'jin'yao
唔净祇,wu'jing'chi
唔精神,wu'jing'shen
唔经唔觉,wu'jing'wu'jue
唔净只,wu'jing'zhi
唔拘,wu'ju
唔聚财,wu'ju'cai
唔觉眼,wu'jue'yan
唔觉意,wu'jue'yi
唔开气,wu'kai'qi
唔开胃,wu'kai'wei
无口齿,wu'kou'chi
乌褴苟褛,wu'lan'gou'lv
唔捞,wu'lao
无厘搭霎,wu'li'da'sha
乌喱单刀,wu'li'dan'dao
乌喱马杈,wu'li'ma'cha
无厘神气,wu'li'shen'qi
唔理天胎,wu'li'tian'tai
无厘瘾,wu'li'yin
无厘瘾头,wu'li'yin'tou
无料,wu'liao
无料到,wu'liao'dao
无聊赖,wu'liao'lai
乌劣劣,wu'lie'lie
五柳鱼,wu'liu'yu
乌龙,wu'long
乌龙王,wu'long'wang
无漏罅,wu'lou'xia
无脉,wu'mai
唔埋得个鼻,wu'mai'de'ge'bi
无米粥,wu'mi'zhou
乌面猫,wu'mian'mao
无乜,wu'mie
无咩,wu'mie
无嗱嗱,wu'na'na
唔嬲,wu'niao
无谱,wu'pu
屋企,wu'qi
唔切,wu'qie
无情白事,wu'qing'bai'shi
无情鷄,wu'qing'ji
无情鸡,wu'qing'ji
唔清唔楚,wu'qing'wu'chu
唔去,wu'qu
唔三唔四,wu'san'wu'si
无晒,wu'shai
无晒表情无晒符,wu'shai'biao'qing'wu'shai'fu
无晒瘾,wu'shai'yin
唔少得,wu'shao'de
无声气,wu'sheng'qi
无省起,wu'sheng'qi
唔生性,wu'sheng'xing
唔识,wu'shi
唔使,wu'shi
扤失,wu'shi
扤实,wu'shi
无事,wu'shi
唔使恨,wu'shi'hen
唔使慌,wu'shi'huang
唔使计,wu'shi'ji
唔识驾步,wu'shi'jia'bu
唔使拘,wu'shi'ju
无世艺,wu'shi'yi
唔使指意,wu'shi'zhi'yi
无手尾,wu'shou'wei
乌殊殊,wu'shu'shu
唔熟性,wu'shu'xing
唔衰攞嚟衰,wu'shuai'luo'li'shuai
唔似,wu'si
唔似样,wu'si'yang
无所事事行开,wu'suo'shi'shi'xing'kai
无所谓,wu'suo'wei
无他,wu'ta
唔汤唔水唔通,wu'tang'wu'shui'wu'tong
唔通,wu'tong
唔通气,wu'tong'qi
无头无尾,wu'tou'wu'wei
无头乌蝇,wu'tou'wu'ying
唔妥,wu'tuo
无王管,wu'wang'guan
无谓,wu'wei
无尾飞堶,wu'wei'fei'tuo
无纹路,wu'wen'lu
无无端端,wu'wu'duan'duan
唔洗,wu'xi
唔系,wu'xi
唔系啖话,wu'xi'dan'hua
唔系噉话,wu'xi'dan'hua
唔系咁嘎,wu'xi'gan'ga
唔系嘅话,wu'xi'ge'hua
唔系几,wu'xi'ji
唔系喇,wu'xi'la
唔系路,wu'xi'lu
唔系人啖品,wu'xi'ren'dan'pin
唔系人噉品,wu'xi'ren'dan'pin
唔系手脚,wu'xi'shou'jiao
唔系呀,wu'xi'ya
唔系嘢少,wu'xi'ye'shao
唔相干,wu'xiang'gan
无相干,wu'xiang'gan
唔小心,wu'xiao'xin
勿歇,wu'xie
无行,wu'xing
无性,wu'xing
无修,wu'xiu
唔啱,wu'yan
唔啱合尺,wu'yan'he'chi
无厣鸡笼,wu'yan'ji'long
无研究,wu'yan'jiu
唔啱荞,wu'yan'qiao
唔啱牙,wu'yan'ya
唔要,wu'yao
无腰骨,wu'yao'gu
无嘢,wu'ye
物业,wu'ye
无嘢到,wu'ye'dao
无嘢嚟,wu'ye'li
无益,wu'yi
无意思,wu'yi'si
无瘾,wu'yin
乌蝇,wu'ying
乌蝇遛马尾一拍两散阿爸,wu'ying'liu'ma'wei'yi'pai'liang'san'a'ba
无有怕,wu'you'pa
乌杬,wu'yuan
五月节,wu'yue'jie
唔在讲,wu'zai'jiang
唔在理,wu'zai'li
唔在意,wu'zai'yi
污糟,wu'zao
污糟邋遢,wu'zao'la'ta
五爪金龙,wu'zhao'jin'long
唔争在,wu'zheng'zai
唔制,wu'zhi
唔知,wu'zhi
唔知啊,wu'zhi'a
唔知丑,wu'zhi'chou
唔制得过,wu'zhi'de'guo
唔知好丑,wu'zhi'hao'chou
唔知死,wu'zhi'si
唔知死字点写,wu'zhi'si'zi'dian'xie
唔知醒,wu'zhi'xing
唔志在,wu'zhi'zai
唔中用,wu'zhong'yong
屋主,wu'zhu
无准,wu'zhun
乌啄啄乌灯黑火,wu'zhuo'zhuo'wu'deng'hei'huo
唔自然,wu'zi'ran
唔自在唔精神,wu'zi'zai'wu'jing'shen
无走趱,wu'zou'zan
唔阻你,wu'zu'ni
洗吖,xi'a
系啊,xi'a
洗白白,xi'bai'bai
西饼,xi'bing
细胆,xi'dan
系啖话,xi'dan'hua
系噉话,xi'dan'hua
系啖先,xi'dan'xian
系噉先,xi'dan'xian
系啖意,xi'dan'yi
系噉意,xi'dan'yi
噏得就噏,xi'de'jiu'xi
熄灯,xi'deng
细豆芽菜,xi'dou'ya'cai
系都要,xi'dou'yao
洗粉,xi'fen
噏风,xi'feng
系咁大,xi'gan'da
细个,xi'ge
细个仔,xi'ge'zi
饩鸡,xi'ji
洗脚不抹脚是咁甩,xi'jiao'bu'mo'jiao'shi'gan'shuai
细姐,xi'jie
息口,xi'kou
洗啦,xi'la
细佬,xi'lao
细佬哥,xi'lao'ge
细佬哥剃头就快就快,xi'lao'ge'ti'tou'jiu'kuai'jiu'kuai
细佬哥头,xi'lao'ge'tou
系嘞,xi'lei
犀利,xi'li
稀冧冧,xi'lin'lin
细路,xi'lu
细路女,xi'lu'nv
细路仔,xi'lu'zi
系咪,xi'mi
洗面,xi'mian
系咩,xi'mie
系乜嚟架,xi'mie'li'jia
西南二伯父,xi'nan'er'bo'fu
系呢,xi'ne
锡你,xi'ni
惜你,xi'ni
溪钱,xi'qian
戏桥,xi'qiao
系人都,xi'ren'dou
戏肉,xi'rou
洗衫板,xi'shan'ban
蓆摄底,xi'she'di
席摄底,xi'she'di
洗身,xi'shen
细食,xi'shi
细时,xi'shi
翕手,xi'shou
细餸,xi'song
膝头,xi'tou
膝头大过髀,xi'tou'da'guo'bi
膝头哥,xi'tou'ge
系威系势,xi'wei'xi'shi
西文,xi'wen
细蚊仔,xi'wen'zi
系唔系,xi'wu'xi
嘻嘻哈哈,xi'xi'ha'ha
西斜西纸,xi'xie'xi'zhi
翕眼,xi'yan
西洋菜,xi'yang'cai
系嗻,xi'zhe
西装,xi'zhuang
西装裤,xi'zhuang'ku
西装友,xi'zhuang'you
洗咗,xi'zuo
虾霸,xia'ba
下扒,xia'ba
下扒轻轻,xia'ba'qing'qing
下半昼,xia'ban'zhou
下便,xia'bian
虾春,xia'chun
虾到上面,xia'dao'shang'mian
下低,xia'di
下底,xia'di
虾公,xia'gong
虾笱,xia'gou
下间,xia'jian
虾胶,xia'jiao
虾饺,xia'jiao
虾瘌,xia'la
下栏,xia'lan
虾碌,xia'lu
虾毛,xia'mao
下爬,xia'pa
下气,xia'qi
虾人虾物,xia'ren'xia'wu
下下,xia'xia
烚烚,xia'xia
吓吓你,xia'xia'ni
下晏,xia'yan
虾眼水,xia'yan'shui
下阴,xia'yin
吓窒,xia'zhi
下昼,xia'zhou
虾仔饼,xia'zi'bing
线步,xian'bu
咸菜,xian'cai
咸臭咸虫,xian'chou'xian'chong
咸蛋滚汤心都实晒,xian'dan'gun'tang'xin'dou'shi'shai
先嗰排,xian'ge'pai
鲜菇冧,xian'gu'lin
咸煎饼,xian'jian'bing
咸苦,xian'ku
咸榄煲茶白榄冇得解,xian'lan'bao'cha'bai'lan'mao'de'jie
咸粒,xian'li
咸龙,xian'long
线辘,xian'lu
线络,xian'luo
咸赧赧,xian'nan'nan
嫌钱腥,xian'qian'xing
闲日,xian'ri
线衫,xian'shan
先生,xian'sheng
仙士,xian'shi
仙屎,xian'shi
咸湿,xian'shi
献世,xian'shi
现时,xian'shi
先时先一排,xian'shi'xian'yi'pai
咸水草,xian'shui'cao
咸水歌,xian'shui'ge
咸水话,xian'shui'hua
咸水鱼,xian'shui'yu
险死还生,xian'si'hai'sheng
弦索,xian'suo
鲜甜,xian'tian
衔头,xian'tou
先头,xian'tou
咸虾,xian'xia
闲闲地,xian'xian'di
蚬鸭,xian'ya
现银,xian'yin
现暂,xian'zan
先至,xian'zhi
象拔,xiang'ba
乡巴佬,xiang'ba'lao
相当之,xiang'dang'zhi
相睇相宜,xiang'di'xiang'yi
香港地,xiang'gang'di
香港脚,xiang'gang'jiao
想话,xiang'hua
香筓,xiang'ji
香筓脚,xiang'ji'jiao
香枧,xiang'jian
橡筋,xiang'jin
橡筋箍,xiang'jin'gu
香口胶,xiang'kou'jiao
乡里,xiang'li
香料粉,xiang'liao'fen
香炉,xiang'lu
橡皮擦,xiang'pi'ca
香肉,xiang'rou
想食人只车,xiang'shi'ren'zhi'che
巷豚,xiang'tun
想唔,xiang'wu
想唔都几难,xiang'wu'dou'ji'nan
香蕈,xiang'xun
香牙蕉,xiang'ya'jiao
相与,xiang'yu
小巴,xiao'ba
小儿科,xiao'er'ke
小鬼陞城隍,xiao'gui'sheng'cheng'huang
小鬼升城隍,xiao'gui'sheng'cheng'huang
笑口噬噬,xiao'kou'shi'shi
笑口吟吟,xiao'kou'yin'yin
