阿崩买火石过先知,a'beng'mai'huo'shi'guo'xian'zhi
挦乌龟,xian'wu'gui
咸虾,xian'xia
闲闲哋,xian'xian'di
蚬鸭,xian'ya
先至,xian'zhi
仙直手掌,xian'zhi'shou'zhang
乡巴佬,xiang'ba'lao
香波,xiang'bo
相睇,xiang'di
响度,xiang'du
香港脚,xiang'gang'jiao
香瓜,xiang'gua
想话,xiang'hua
香鸡,xiang'ji
香鸡脚,xiang'ji'jiao
香枧,xiang'jian
橡筋,xiang'jin
橡筋箍,xiang'jin'gu
香口胶,xiang'kou'jiao
香炉墩,xiang'lu'dun
香肉,xiang'rou
象田,xiang'tian
巷尾笃,xiang'wei'du
乡下兴,xiang'xia'xing
香蕈,xiang'xun
香牙蕉,xiang'ya'jiao
相宜,xiang'yi
相与,xiang'yu
小巴,xiao'ba
小肠气,xiao'chang'qi
笑出鼻扑,xiao'chu'bi'pu
笑到肠都挛,xiao'dao'chang'dou'luan
笑到肚都挛,xiao'dao'du'dou'luan
笑到见牙唔见眼,xiao'dao'jian'ya'wu'jian'yan
笑到有牙冇眼,xiao'dao'you'ya'mao'yan
小儿科,xiao'er'ke
消防喉,xiao'fang'hou
小鬼升城隍,xiao'gui'sheng'cheng'huang
小口,xiao'kou
笑口噬噬,xiao'kou'shi'shi
笑口吟吟,xiao'kou'yin'yin
笑口枣,xiao'kou'zao
小轮,xiao'lun
小摸仔,xiao'mo'zai
小气,xiao'qi
笑骑骑放毒蛇,xiao'qi'qi'fang'du'she
校时间,xiao'shi'jian
笑甩棚牙,xiao'shuai'peng'ya
淆汤,xiao'tang
笑尾尾,xiao'wei'wei
潇湘,xiao'xiang
笑笑口,xiao'xiao'kou
小心驶得万年船,xiao'xin'shi'de'wan'nian'chuan
小学鸡,xiao'xue'ji
消夜,xiao'ye
小意思,xiao'yi'si
鞋抽面,xie'chou'mian
嚡涩涩,xie'se'se
嚡嚡声,xie'xie'sheng
揳牙罅,xie'ya'xia
蟹爪笔,xie'zhua'bi
写字楼,xie'zi'lou
新潮,xin'chao
新簇簇,xin'cu'cu
心淡,xin'dan
新地,xin'di
心多多,xin'duo'duo
新妇,xin'fu
心肝椗,xin'gan'ding
心肝唔,xin'gan'wu
心火,xin'huo
信咭,xin'ji
心机,xin'ji
新净,xin'jing
心搕,xin'ke
心口,xin'kou
心口实晒,xin'kou'shi'shai
辛苦揾嚟自在食,xin'ku'wen'li'zi'zai'shi
新历年,xin'li'nian
新年头,xin'nian'tou
心怕,xin'pa
心气,xin'qi
信肉,xin'rou
心适,xin'shi
心爽,xin'shuang
心水,xin'shui
心水清,xin'shui'qing
新闻纸,xin'wen'zhi
新鲜滚热辣,xin'xian'gun're'la
心想事成,xin'xiang'shi'cheng
心痒痒,xin'yang'yang
心郁郁,xin'yu'yu
新正头,xin'zheng'tou
心知肚明,xin'zhi'du'ming
行步路都打倒吞,xing'bu'lu'dou'da'dao'tun
行藏动静,xing'cang'dong'jing
行差踏错,xing'cha'ta'cuo
行床,xing'chuang
行大运,xing'da'yun
行得快好世界,xing'de'kuai'hao'shi'jie
行得埋,xing'de'mai
醒定,xing'ding
行公司,xing'gong'si
腥亨亨,xing'heng'heng
醒昏,xing'hun
行街,xing'jie
行雷,xing'lei
行雷都听闻,xing'lei'dou'ting'wen
行李喼,xing'li'jie
杏领,xing'ling
行路,xing'lu
行埋,xing'mai
行迈行嘞,xing'mai'xing'le
醒目,xing'mu
醒起,xing'qi
行青,xing'qing
行山,xing'shan
醒神,xing'shen
醒水,xing'shui
星铁,xing'tie
腥温温,xing'wen'wen
行唔埋,xing'wu'mai
行运,xing'yun
行运行到脚趾公,xing'yun'xing'dao'jiao'zhi'gong
秀才手巾包书,xiu'cai'shou'jin'bao'shu
羞家,xiu'jia
羞辱家门,xiu'ru'jia'men
修整,xiu'zheng
须刨,xu'bao
虚不受补,xu'bu'shou'bu
圩场,xu'chang
墟撼,xu'han
恤球,xu'qiu
圩日,xu'ri
裇衫,xu'shan
嘘声,xu'sheng
雪藏,xue'cang
雪耳,xue'er
雪糕,xue'gao
雪柜,xue'gui
雪蛤膏,xue'ha'gao
学口学舌,xue'kou'xue'she
雪梨,xue'li
雪褛,xue'lv
雪批,xue'pi
学人口水溦,xue'ren'kou'shui'mei
学生哥,xue'sheng'ge
学生妹,xue'sheng'mei
学是学非,xue'shi'xue'fei
学似,xue'si
雪条,xue'tiao
雪油,xue'you
雪种,xue'zhong
寻仇,xun'chou
巡河,xun'he
揗鸡,xun'ji
噚噍,xun'jiao
噚气,xun'qi
巡行,xun'xing
揗揗震,xun'xun'zhen
噚赘,xun'zhui
牙擦仔,ya'ca'zai
牙齿当金使,ya'chi'dang'jin'shi
牙齿印,ya'chi'yin
牙痕,ya'hen
押后,ya'hou
牙尖嘴利,ya'jian'zui'li
压堪堪,ya'kan'kan
牙佬,ya'lao
牙力,ya'li
鸭乸脚,ya'na'jiao
鸭乸蹄,ya'na'ti
鸭扑,ya'pu
牙肉,ya'rou
牙软,ya'ruan
哑色,ya'se
牙屎,ya'shi
桠手桠脚,ya'shou'ya'jiao
牙刷,ya'shua
桠体址,ya'ti'zhi
鸭细扶翅大,ya'xi'fu'chi'da
牙烟,ya'yan
哑仔,ya'zai
牙斩斩,ya'zhan'zhan
牙谵谵,ya'zhan'zhan
桠柞,ya'zuo
岩巉,yan'chan
眼睇工夫,yan'di'gong'fu
眼肚,yan'du
眼甘甘,yan'gan'gan
眼光光,yan'guang'guang
啱好,yan'hao
眼核,yan'he
烟灰罂,yan'hui'ying
烟灰盅,yan'hui'zhong
眼昏,yan'hun
啱偈,yan'ji
眼架,yan'jia
眼见心谋,yan'jian'xin'mou
眼界,yan'jie
演劲,yan'jin
眼紧,yan'jin
眼镜髀,yan'jing'bi
盐焗鸡,yan'ju'ji
眼坑浅,yan'keng'qian
檐口,yan'kou
眼睩睩,yan'lu'lu
眼眉跳,yan'mei'tiao
偃企,yan'qi
啱起块石,yan'qi'kuai'shi
偃企腰,yan'qi'yao
啱巧,yan'qiao
啱窍,yan'qiao
啱倾,yan'qing
眼热,yan're
檐蛇,yan'she
验身,yan'shen
眼屎,yan'shi
眼屎干净盲,yan'shi'gan'jing'mang
烟屎牙,yan'shi'ya
燕梳,yan'shu
啱爽,yan'shuang
演双簧,yan'shuang'huang
眼水,yan'shui
芫荽葱,yan'sui'cong
眼睃睃,yan'suo'suo
眼挑针,yan'tiao'zhen
烟头,yan'tou
眼尾,yan'wei
啱先,yan'xian
恹憸,yan'xian
恹憸腥闷,yan'xian'xing'men
啱心水,yan'xin'shui
眼眗眗,yan'xu'xu
眼眗眼掘,yan'xu'yan'jue
啱牙,yan'ya
啱啱,yan'yan
眼檐,yan'yan
演野,yan'ye
眼影,yan'ying
眼冤,yan'yuan
烟仔,yan'zai
焉早,yan'zao
焉早朝,yan'zao'chao
焉早晚,yan'zao'wan
晏昼,yan'zhou
抰开,yang'kai
羊咩,yang'mie
羊咩须,yang'mie'xu
洋烛,yang'zhu
腰骨,yao'gu
药枧,yao'jian
詏交,yao'jiao
詏颈,yao'jing
詏颈部,yao'jing'bu
要颈唔要命,yao'jing'wu'yao'ming
殽框,yao'kuang
要命自己儆,yao'ming'zi'ji'jing
殽晒框,yao'shai'kuang
夭水,yao'shui
腰围,yao'wei
摇摇岌岌,yao'yao'ji'ji
椰菜,ye'cai
椰菜花,ye'cai'hua
夜麻麻,ye'ma'ma
椰茸,ye'rong
椰省柱头,ye'sheng'zhu'tou
椰丝,ye'si
爷孙,ye'sun
夜晚黑,ye'wan'hei
吔味,ye'wei
椰衣,ye'yi
夜游,ye'you
夜游鹤,ye'you'he
一把火,yi'ba'huo
一本通书睇到老,yi'ben'tong'shu'di'dao'lao
一啖,yi'dan
一啖鸡屎一啖糖,yi'dan'ji'shi'yi'dan'tang
宜得,yi'de
一碟斋,yi'die'zhai
一戙都冇,yi'dong'dou'mao
亦都,yi'dou
一度去,yi'du'qu
蚁多褛死象,yi'duo'lv'si'xiang
一额汗,yi'e'han
一哥,yi'ge
易过借火,yi'guo'jie'huo
一好遮百丑,yi'hao'zhe'bai'chou
抑或,yi'huo
一镬泡,yi'huo'pao
亦即系,yi'ji'xi
一脚踢,yi'jiao'ti
一坜番薯,yi'li'fan'shu
一路,yi'lu
姨妈巾,yi'ma'jin
翳闷,yi'men
薏米,yi'mi
伊面,yi'mian
一褦锁匙,yi'nai'suo'shi
一排,yi'pai
一仆二辘,yi'pu'er'lu
一齐,yi'qi
翳气,yi'qi
一穹黎箕,yi'qiong'li'ji
一日到黑,yi'ri'dao'hei
一身蚁,yi'shen'yi
姨甥女,yi'sheng'nv
医生证明,yi'sheng'zheng'ming
一实,yi'shi
伊士,yi'shi
倚恃,yi'shi
衣食,yi'shi
一适间,yi'shi'jian
一时三刻,yi'shi'san'ke
一梳蕉,yi'shu'jiao
意头,yi'tou
一头家,yi'tou'jia
一头雾水,yi'tou'wu'shui
一唔系,yi'wu'xi
一唔系噶话,yi'wu'xi'ga'hua
一系,yi'xi
异相,yi'xiang
疑心多病症,yi'xin'duo'bing'zheng
以心为心,yi'xin'wei'xin
一眼关七,yi'yan'guan'qi
一岩一窟,yi'yan'yi'ku
咿邑,yi'yi
一于,yi'yu
伊郁,yi'yu
咿郁,yi'yu
姨仔,yi'zai
一阵间,yi'zhen'jian
一枝公,yi'zhi'gong
一只狗距,yi'zhi'gou'ju
一只屐距,yi'zhi'ji'ju
一只雀距,yi'zhi'que'ju
一竹篙打死一船人,yi'zhu'gao'da'si'yi'chuan'ren
一箸夹中,yi'zhu'jia'zhong
一字距浅,yi'zi'ju'qian
饮杯,yin'bei
饮茶,yin'cha
饮大吖,yin'da'a
银断,yin'duan
银国带,yin'guo'dai
印脚,yin'jiao
银脚带,yin'jiao'dai
阴力,yin'li
吟钱,yin'qian
饮惹,yin're
银稔,yin'ren
饮衫,yin'shan
饮胜,yin'sheng
阴湿,yin'shi
印水纸,yin'shui'zhi
饮头啖汤,yin'tou'dan'tang
吟噚,yin'xun
银芽,yin'ya
阴阴冻,yin'yin'dong
印印下脚,yin'yin'xia'jiao
阴阴笑,yin'yin'xiao
因由,yin'you
银仔,yin'zai
饮早茶,yin'zao'cha
银占,yin'zhan
银蔗米,yin'zhe'mi
银纸,yin'zhi
阴骘事,yin'zhi'shi
因住,yin'zhu
应承,ying'cheng
硬撑,ying'cheng
映电影,ying'dian'ying
应份,ying'fen
硬净,ying'jing
硬颈,ying'jing
硬晒軚,ying'shai'tai
硬系,ying'xi
影相铺,ying'xiang'pu
映眼,ying'yan
用铰剪飒吖佢,yong'jiao'jian'sa'a'qu
有吖,you'a
又出月头又落水又摞小娘又嫁女,you'chu'yue'tou'you'luo'shui'you'luo'xiao'niang'you'jia'nv
油螆,you'ci
有弹有赞,you'dan'you'zan
由得,you'de
有得震冇得瞓,you'de'zhen'mao'de'fen
有啲,you'di
有啲距多,you'di'ju'duo
又腍又香,you'dian'you'xiang
又都,you'dou
油多,you'duo
油耳,you'er
又够,you'gou
又够又攰,you'gou'you'gui
有怪莫怪,you'guai'mo'guai
幼滑,you'hua
有几何,you'ji'he
油角,you'jiao
又夔又曳,you'kui'you'ye
游离浪荡,you'li'lang'dang
有料到,you'liao'dao
油麦菜,you'mai'cai
又冇犯你,you'mao'fan'ni
有冇搞错,you'mao'gao'cuo
有毛有翼,you'mao'you'yi
有乜错荡,you'mie'cuo'dang
有排,you'pai
有派头,you'pai'tou
有便宜唔使颈,you'pian'yi'wu'shi'jing
有身己,you'shen'ji
有谂头,you'shen'tou
有声气,you'sheng'qi
又试,you'shi
有数为,you'shu'wei
游水,you'shui
有头冇尾,you'tou'mao'wei
有头威冇尾阵,you'tou'wei'mao'wei'zhen
有头有路,you'tou'you'lu
有头有尾,you'tou'you'wei
有突,you'tu
有尾狗亦跳冇尾狗亦跳,you'wei'gou'yi'tiao'mao'wei'gou'yi'tiao
有纹路,you'wen'lu
有纹有路,you'wen'you'lu
幼细,you'xi
有心,you'xin
有心机,you'xin'ji
有心冇神,you'xin'mao'shen
有型,you'xing
有行,you'xing
有型有款,you'xing'you'kuan
幼盐,you'yan
有样学样,you'yang'xue'yang
有野到,you'ye'dao
油膉味,you'yi'wei
有引,you'yin
油油,you'you
鱿鱼,you'yu
油渣,you'zha
油炸鬼,you'zha'gui
有之,you'zhi
油纸,you'zhi
油脂装,you'zhi'zhuang
郁不得其正,yu'bu'de'qi'zheng
鱼蛋,yu'dan
郁动,yu'dong
玉鈪,yu'e
鱼腐,yu'fu
瘀黑,yu'hei
鱼滑,yu'hua
渔获,yu'huo
鱼栏,yu'lan
郁嚟郁去,yu'li'yu'qu
鱼露,yu'lu
雨褛,yu'lv
鱼腩,yu'nan
语气词,yu'qi'ci
鱼茜,yu'qian
鱼生,yu'sheng
鱼生粥,yu'sheng'zhou
浴室,yu'shi
于是乎,yu'shi'hu
郁手,yu'shou
渔丝,yu'si
渔丝袋,yu'si'dai
鱼头云,yu'tou'yun
鱼丸,yu'wan
郁下郁下,yu'xia'yu'xia
鱼腥草,yu'xing'cao
郁郁贡,yu'yu'gong
郁郁下,yu'yu'xia
预早,yu'zao
圆揼揼,yuan'beng'beng
圆揼亸,yuan'beng'duo
冤崩烂臭,yuan'beng'lan'chou
冤臭,yuan'chou
原底,yuan'di
冤戾,yuan'li
蜎窿蜎罅,yuan'long'yuan'xia
圆辘辘,yuan'lu'lu
冤气,yuan'qi
远去他方,yuan'qu'ta'fang
蜎山窿,yuan'shan'long
怨痛,yuan'tong
鸳鸯,yuan'yang
原子笔,yuan'zi'bi
原子粒,yuan'zi'li
趯更,yue'geng
趯嚟趯去,yue'li'yue'qu
抈身抈势,yue'shen'yue'shi
月头,yue'tou
月头好晒,yue'tou'hao'shai
月尾,yue'wei
曱甴,yue'you
云耳,yun'er
韫狗,yun'gou
韫黑房,yun'hei'fang
运脚,yun'jiao
晕浪,yun'lang
运路,yun'lu
韵律操,yun'lv'cao
韵律泳,yun'lv'yong
云石,yun'shi
云吞,yun'tun
晕酡酡,yun'tuo'tuo
匀洵,yun'xun
运滞,yun'zhi
杂柴,za'chai
杂噏,za'xi
仔大仔世界,zai'da'zai'shi'jie
仔女,zai'nv
再试,zai'shi
在早,zai'zao
早晨,zao'chen
凿大屎眼,zao'da'shi'yan
早唞,zao'dou
早排,zao'pai
凿棋,zao'qi
早上,zao'shang
灶头,zao'tou
遭瘟,zao'wen
灶虾,zao'xia
糟质,zao'zhi
早知灯系火唔使盲摸摸,zao'zhi'deng'xi'huo'wu'shi'mang'mo'mo
啫喱,ze'li
择使,ze'shi
择食,ze'shi
则纸,ze'zhi
贼佬,zei'lao
贼仔,zei'zai
闸侧,zha'ce
蹅错脚,zha'cuo'jiao
揸到实,zha'dao'shi
诈谛,zha'di
诈嗲,zha'dia
诈耳聋,zha'er'long
诈糊,zha'hu
诈奸,zha'jian
诈娇,zha'jiao
揸颈,zha'jing
揸颈就命,zha'jing'jiu'ming
诈聋扮哑,zha'long'ban'ya
炸面,zha'mian
揸拿,zha'na
诈傻,zha'sha
揸手,zha'shou
扎醒,zha'xing
眨眼,zha'yan
渣野,zha'ye
渣渣林,zha'zha'lin
扎扎跳,zha'zha'tiao
扎职,zha'zhi
揸住,zha'zhu
闸住,zha'zhu
揸庄,zha'zhuang
斋卤味,zhai'lu'wei
斋堂,zhai'tang
盏得个,zhan'de'ge
斩犯,zhan'fan
盏鬼,zhan'gui
斩脚趾避沙虫,zhan'jiao'zhi'bi'sha'chong
斩缆,zhan'lan
斩料,zhan'liao
占米,zhan'mi
斩佢几茄,zhan'qu'ji'qie
掌上压,zhang'shang'ya
照板煮糊,zhao'ban'zhu'hu
照板煮碗,zhao'ban'zhu'wan
着火,zhao'huo
棹忌,zhao'ji
招牌菜,zhao'pai'cai
找数,zhao'shu
找赎,zhao'shu
着数,zhao'shu
朝朝一碗粥饿死医生一屋,zhao'zhao'yi'wan'zhou'e'si'yi'sheng'yi'wu
招纸,zhao'zhi
折床,zhe'chuang
矺袋,zhe'dai
折堕,zhe'duo
着迹,zhe'ji
着紧,zhe'jin
着理,zhe'li
着龙袍唔似太子,zhe'long'pao'wu'si'tai'zi
矺年,zhe'nian
遮手影,zhe'shou'ying
折头,zhe'tou
嗻嗻鸡,zhe'zhe'ji
枕长,zhen'chang
阵紧先,zhen'jin'xian
针唛,zhen'mai
斟盘,zhen'pan
针球,zhen'qiu
砧头,zhen'tou
枕头肉,zhen'tou'rou
真系好罪,zhen'xi'hao'zui
真系唔死都冇乜用啰,zhen'xi'wu'si'dou'mao'mie'yong'luo
震揗揗,zhen'xun'xun
震震贡,zhen'zhen'gong
枕住,zhen'zhu
珍珠都冇距真,zhen'zhu'dou'mao'ju'zhen
掟煲,zheng'bao
挣饱个肚,zheng'bao'ge'du
争成条墟,zheng'cheng'tiao'xu
正臭嗨,zheng'chou'hai
整糍,zheng'ci
争啲,zheng'di
正斗,zheng'dou
正斗野,zheng'dou'ye
掟飞镖,zheng'fei'biao
整蛊,zheng'gu
整蛊弄怪,zheng'gu'nong'guai
整蛊做怪,zheng'gu'zuo'guai
正话,zheng'hua
争几回,zheng'ji'hui
争交,zheng'jiao
掟落地,zheng'luo'di
整乜卵七,zheng'mie'luan'qi
整乜值,zheng'mie'zhi
整色整水,zheng'se'zheng'shui
正式,zheng'shi
蒸水蛋,zheng'shui'dan
整餸,zheng'song
正体度,zheng'ti'du
争天共地,zheng'tian'gong'di
整碗整筷,zheng'wan'zheng'kuai
正一,zheng'yi
争一个,zheng'yi'ge
整整浸浸,zheng'zheng'jin'jin
直白,zhi'bai
执包袱,zhi'bao'fu
之不过,zhi'bu'guo
直不甩,zhi'bu'shuai
执茶,zhi'cha
直肠直肚,zhi'chang'zhi'du
直程,zhi'cheng
执筹,zhi'chou
之但系,zhi'dan'xi
执倒,zhi'dao
知到,zhi'dao
至到,zhi'dao
止得咳,zhi'de'ke
执地,zhi'di
执豆距执,zhi'dou'ju'zhi
执怪,zhi'guai
滞鸡,zhi'ji
只鸡起口,zhi'ji'qi'kou
纸角,zhi'jiao
执漏,zhi'lou
之嘛,zhi'ma
纸皮,zhi'pi
执人口水溦,zhi'ren'kou'shui'mei
直身裙,zhi'shen'qun
执尸,zhi'shi
执拾,zhi'shi
滞市,zhi'shi
芝士,zhi'shi
指手督脚,zhi'shou'du'jiao
执手尾,zhi'shou'wei
执输,zhi'shu
知书识墨,zhi'shu'shi'mo
制水,zhi'shui
纸水跌,zhi'shui'die
执私,zhi'si
执死鸡仔,zhi'si'ji'zai
质素,zhi'su
执苏州屎,zhi'su'zhou'shi
纸碎,zhi'sui
织蜶,zhi'suo
直通巴士,zhi'tong'ba'shi
直通车,zhi'tong'che
直头,zhi'tou
窒头窒势,zhi'tou'zhi'shi
知微,zhi'wei
知微麻利,zhi'wei'ma'li
治邪,zhi'xie
支烟好掯,zhi'yan'hao'ken
执药,zhi'yao
纸鹞,zhi'yao
执赢,zhi'ying
志在,zhi'zai
纸扎老虎有威冇势,zhi'zha'lao'hu'you'wei'mao'shi
吱喳婆,zhi'zha'po
纸扎下巴,zhi'zha'xia'ba
织针,zhi'zhen
支质,zhi'zhi
吱吱浸浸,zhi'zhi'jin'jin
支支整整,zhi'zhi'zheng'zheng
支竹,zhi'zhu
执子,zhi'zi
中巴,zhong'ba
重秤,zhong'cheng
重耷耷,zhong'da'da
仲估,zhong'gu
终归要,zhong'gui'yao
仲话,zhong'hua
中界球,zhong'jie'qiu
重粒粒,zhong'li'li
中褛,zhong'lv
重身,zhong'shen
钟数,zhong'shu
中亭,zhong'ting
仲未昏,zhong'wei'hun
忠心,zhong'xin
终须,zhong'xu
中学鸡,zhong'xue'ji
中意,zhong'yi
忠直,zhong'zhi
中中哋,zhong'zhong'di
周行晒佢,zhou'hang'shai'qu
周身刀冇把利,zhou'shen'dao'mao'ba'li
周身蚁,zhou'shen'yi
周时,zhou'shi
周时无日,zhou'shi'wu'ri
皱纹纸,zhou'wen'zhi
珠被,zhu'bei
猪肠粉,zhu'chang'fen
竹笪,zhu'da
煮饭婆,zhu'fan'po
竹蜂,zhu'feng
猪肝色,zhu'gan'se
猪膏,zhu'gao
竹篙,zhu'gao
朱古力,zhu'gu'li
猪横脷,zhu'heng'li
猪红,zhu'hong
竹花头,zhu'hua'tou
住家工,zhu'jia'gong
猪脚,zhu'jiao
猪脚姜,zhu'jiao'jiang
猪栏,zhu'lan
猪笼车,zhu'long'che
猪陆,zhu'lu
猪唛,zhu'mai
蛀米大虫,zhu'mi'da'chong
竹篾,zhu'mie
猪乸菜,zhu'na'cai
猪尿煲,zhu'niao'bao
猪肉佬,zhu'rou'lao
竹升,zhu'sheng
诸事,zhu'shi
诸事理,zhu'shi'li
猪手,zhu'shou
竹丝鸡,zhu'si'ji
猪网油,zhu'wang'you
主要系,zhu'yao'xi
竹叶包猪肝人心事,zhu'ye'bao'zhu'gan'ren'xin'shi
朱油,zhu'you
猪仔又阉又割尾,zhu'zai'you'yan'you'ge'wei
竹战,zhu'zhan
猪踭,zhu'zheng
转膊,zhuan'bo
专乘,zhuan'cheng
砖刀,zhuan'dao
专登,zhuan'deng
转屈度,zhuan'qu'du
转軚,zhuan'tai
转性,zhuan'xing
撞吖,zhuang'a
撞板,zhuang'ban
撞板多过食饭,zhuang'ban'duo'guo'shi'fan
撞彩,zhuang'cai
装弹弓,zhuang'dan'gong
装顶,zhuang'ding
装饭,zhuang'fan
装疯卖傻,zhuang'feng'mai'sha
撞鬼,zhuang'gui
撞火,zhuang'huo
装假笱,zhuang'jia'gou
撞口卦,zhuang'kou'gua
撞口撞面,zhuang'kou'zhuang'mian
撞手神,zhuang'shou'shen
撞死马,zhuang'si'ma
装香,zhuang'xiang
锥仔,zhui'zai
准决赛,zhun'jue'sai
捉虫入屎胐,zhuo'chong'ru'shi'fei
擢出嚟,zhuo'chu'li
捉错用神,zhuo'cuo'yong'shen
捉倒鹿唔识脱角,zhuo'dao'lu'wu'shi'tuo'jiao
捉黄脚鸡,zhuo'huang'jiao'ji
捉鸡脚,zhuo'ji'jiao
捉墨鱼,zhuo'mo'yu
捉棋,zhuo'qi
捉蛇入屎胐,zhuo'she'ru'shi'fei
捉痛脚,zhuo'tong'jiao
卓头,zhuo'tou
捉用神,zhuo'yong'shen
斫猪肉,zhuo'zhu'rou
啄啄榄,zhuo'zhuo'lan
自不然,zi'bu'ran
自动波,zi'dong'bo
子姜,zi'jiang
字粒,zi'li
字墨,zi'mo
紫薯,zi'shu
自晚,zi'wan
自晚黑,zi'wan'hei
自夜,zi'ye
滋游淡定,zi'you'dan'ding
自由球,zi'you'qiu
自在,zi'zai
字纸箩,zi'zhi'luo
总言之,zong'yan'zhi
走粑,zou'ba
走白地,zou'bai'di
走单,zou'dan
走鸡,zou'ji
走夹唔唞,zou'jia'wu'dou
走佬,zou'lao
走路,zou'lu
走难,zou'nan
走甩鸡,zou'shuai'ji
走水客,zou'shui'ke
走投,zou'tou
走学,zou'xue
走油,zou'you
走趯,zou'yue
走趱,zou'zan
阻定,zu'ding
阻手阻脚,zu'shou'zu'jiao
阻头阻路,zu'tou'zu'lu
阻头阻势,zu'tou'zu'shi
卒之,zu'zhi
阻滞,zu'zhi
罪过,zui'guo
醉酒,zui'jiu
醉酒佬,zui'jiu'lao
罪蜜吖,zui'mi'a
最尾,zui'wei
樽领,zun'ling
拵死你,zun'si'ni
樽凸,zun'tu
座舱,zuo'cang
做丑人,zuo'chou'ren
做大戏,zuo'da'xi
座梗,zuo'geng
做好人,zuo'hao'ren
做好心,zuo'hao'xin
坐花厅,zuo'hua'ting
座驾,zuo'jia
坐监,zuo'jian
左近,zuo'jin
做紧啦,zuo'jin'la
作渴,zuo'ke
左口鱼,zuo'kou'yu
做乜野,zuo'mie'ye
做磨心,zuo'mo'xin
做木,zuo'mu
座捺啲餸,zuo'na'di'song
左挠仔,zuo'nao'zai
做女佣,zuo'nv'yong
作呕,zuo'ou
做世界,zuo'shi'jie
做厅长,zuo'ting'zhang
座泄,zuo'xie
坐月,zuo'yue
