阿达日格,a'da'ri'ge
咸铜线,xian'tong'xian
县乡道,xian'xiang'dao
先张法,xian'zhang'fa
限制坡度,xian'zhi'po'du
乡村公路,xiang'cun'gong'lu
相错式接头,xiang'cuo'shi'jie'tou
乡道,xiang'dao
相对式接头,xiang'dui'shi'jie'tou
襄樊,xiang'fan
襄樊北,xiang'fan'bei
湘桂线,xiang'gui'xian
襄河,xiang'he
向隍,xiang'huang
橡胶垫板,xiang'jiao'dian'ban
橡胶支座,xiang'jiao'zhi'zuo
向乐线,xiang'le'xian
向梁线,xiang'liang'xian
镶面,xiang'mian
项目管理,xiang'mu'guan'li
项目经理部,xiang'mu'jing'li'bu
向韶,xiang'shao
向潭线,xiang'tan'xian
向阳店,xiang'yang'dian
襄渝线,xiang'yu'xian
小池口,xiao'chi'kou
小得江,xiao'de'jiang
小姑家,xiao'gu'jia
小合隆,xiao'he'long
小花果,xiao'hua'guo
小箐,xiao'jing
小康庄,xiao'kang'zhuang
小厉线,xiao'li'xian
小梨线,xiao'li'xian
小梁山,xiao'liang'shan
小临,xiao'lin
小岭,xiao'ling
小路溪,xiao'lu'xi
小南垭,xiao'nan'ya
孝泉,xiao'quan
小泉东,xiao'quan'dong
小哨,xiao'shao
小石子混凝土,xiao'shi'zi'hun'ning'tu
小寺沟,xiao'si'gou
小土古里,xiao'tu'gu'li
小屯街,xiao'tun'jie
孝西,xiao'xi
小溪坝,xiao'xi'ba
小喜村,xiao'xi'cun
消卸,xiao'xie
小新街,xiao'xin'jie
小新线,xiao'xin'xian
小型线路机械,xiao'xing'xian'lu'ji'xie
小修保养,xiao'xiu'bao'yang
小扬气,xiao'yang'qi
猇夜,xiao'ye
小雨谷,xiao'yu'gu
小榆树,xiao'yu'shu
小月旧,xiao'yue'jiu
小运转单机,xiao'yun'zhuan'dan'ji
小运转列车,xiao'yun'zhuan'lie'che
小寨坝,xiao'zhai'ba
小站,xiao'zhan
斜河涧,xie'he'jian
谢家坡,xie'jia'po
泄水槽,xie'shui'cao
泻水槽,xie'shui'cao
泄水孔,xie'shui'kong
楔形内接,xie'xing'nei'jie
新艾里,xin'ai'li
新保安,xin'bao'an
新城川,xin'cheng'chuan
新绰源,xin'chuo'yuan
新东孝,xin'dong'xiao
新高峰,xin'gao'feng
新固镇,xin'gu'zhen
心轨,xin'gui
新寒岭,xin'han'ling
信号表示器,xin'hao'biao'shi'qi
信号灯,xin'hao'deng
信号电缆,xin'hao'dian'lan
信号工区,xin'hao'gong'qu
信号机,xin'hao'ji
信号机房,xin'hao'ji'fang
信号控制台,xin'hao'kong'zhi'tai
信号楼,xin'hao'lou
信号施工,xin'hao'shi'gong
信号员,xin'hao'yuan
忻河线,xin'he'xian
新华屯,xin'hua'tun
新机场高速路,xin'ji'chang'gao'su'lu
新靖线新海段,xin'jing'xian'xin'hai'duan
新九站,xin'jiu'zhan
新空调,xin'kong'tiao
辛辣诡异,xin'la'gui'yi
新立屯,xin'li'tun
新凉,xin'liang
新萝村,xin'luo'cun
新庙,xin'miao
新南沟,xin'nan'gou
新平坝,xin'ping'ba
新坪田,xin'ping'tian
新祺周,xin'qi'zhou
新桥铺,xin'qiao'pu
新石线,xin'shi'xian
新曙光,xin'shu'guang
新松浦,xin'song'pu
辛泰线,xin'tai'xian
新台子,xin'tai'zi
新塘边,xin'tang'bian
新铁村,xin'tie'cun
新屯川,xin'tun'chuan
新窝铺,xin'wo'pu
信息标志,xin'xi'biao'zhi
新贤城,xin'xian'cheng
新香坊,xin'xiang'fang
新兴场,xin'xing'chang
新兴隆,xin'xing'long
新墟,xin'xu
新彦,xin'yan
新阳镇,xin'yang'zhen
新沂西,xin'yi'xi
新义线,xin'yi'xian
新沂站,xin'yi'zhan
新泽西护栏,xin'ze'xi'hu'lan
新帐房,xin'zhang'fang
新杖子,xin'zhang'zi
新肇,xin'zhao
行包快运专列,xing'bao'kuai'yun'zhuan'lie
行包列车,xing'bao'lie'che
行车闭塞法,xing'che'bi'se'fa
行车日志,xing'che'ri'zhi
行车视距,xing'che'shi'ju
行车速度,xing'che'su'du
行车指挥,xing'che'zhi'hui
行车主任,xing'che'zhu'ren
行车组织规则,xing'che'zu'zhi'gui'ze
幸福滩,xing'fu'tan
兴凯,xing'kai
行李标签,xing'li'biao'qian
行李票,xing'li'piao
行李暂存处,xing'li'zan'cun'chu
兴莲,xing'lian
兴隆店,xing'long'dian
兴隆河,xing'long'he
兴隆山,xing'long'shan
性能检测,xing'neng'jian'ce
兴泉堡,xing'quan'bao
杏树屯,xing'shu'tun
兴无,xing'wu
星耀,xing'yao
行邮特快专列,xing'you'te'kuai'zhuan'lie
星源,xing'yuan
熊营,xiong'ying
熊岳城,xiong'yue'cheng
修补木枕,xiu'bu'mu'zhen
绣峰,xiu'feng
秀河,xiu'he
岫云,xiu'yun
蓿荄,xu'gai
徐家坪,xu'jia'ping
许家台,xu'jia'tai
许三湾,xu'san'wan
徐屯,xu'tun
徐州站,xu'zhou'zhan
玄奥晦涩,xuan'ao'hui'se
悬臂式铺轨机,xuan'bi'shi'pu'gui'ji
选厂,xuan'chang
轩岗,xuan'gang
宣广,xuan'guang
宣家沟,xuan'jia'gou
悬接接头,xuan'jie'jie'tou
悬空铁路,xuan'kong'tie'lu
悬钟,xuan'zhong
雪门寺,xue'men'si
削平木枕,xue'ping'mu'zhen
学习司机,xue'xi'si'ji
血涌如注,xue'yong'ru'zhu
学庄,xue'zhuang
巡回检查,xun'hui'jian'cha
迅快如电,xun'kuai'ru'dian
旬阳北,xun'yang'bei
亚布力南,ya'bu'li'nan
鸭大线,ya'da'xian
压道除锈,ya'dao'chu'xiu
亚复,ya'fu
亚沟,ya'gou
亚河,ya'he
牙拉盖图,ya'la'gai'tu
牙林线,ya'lin'xian
压路机,ya'lu'ji
衙门庙,ya'men'miao
衙门营,ya'men'ying
鸦雀岭,ya'que'ling
压实标准,ya'shi'biao'zhun
压实度,ya'shi'du
压碎值仪,ya'sui'zhi'yi
牙屯堡,ya'tun'bao
鸦宜线,ya'yi'xian
鸭园,ya'yuan
雅子泉,ya'zi'quan
验标,yan'biao
晏城,yan'cheng
晏城北,yan'cheng'bei
延迟时间,yan'chi'shi'jian
砚川,yan'chuan
盐岛,yan'dao
烟灯吐,yan'deng'tu
延度,yan'du
炎方,yan'fang
严关乡,yan'guan'xiang
岩会,yan'hui
阎家,yan'jia
晏家坝,yan'jia'ba
燕家庄,yan'jia'zhuang
岩脚寨,yan'jiao'zhai
盐津北,yan'jin'bei
盐靖,yan'jing
焉耆,yan'qi
岩溶洞回填,yan'rong'dong'hui'tian
烟筒山,yan'tong'shan
烟溪,yan'xi
沿寨,yan'zhai
燕子砭,yan'zi'bian
羊堡,yang'bao
秧草地,yang'cao'di
阳岔,yang'cha
羊场线,yang'chang'xian
阳方口,yang'fang'kou
养护部,yang'hu'bu
扬嘉,yang'jia
杨家店,yang'jia'dian
羊臼河,yang'jiu'he
羊圈子,yang'juan'zi
阳朗,yang'lang
杨陵镇,yang'ling'zhen
养龙司,yang'long'si
养路安全,yang'lu'an'quan
养路表报,yang'lu'biao'bao
养路费用,yang'lu'fei'yong
养路工区,yang'lu'gong'qu
养路工长,yang'lu'gong'zhang
养路计划,yang'lu'ji'hua
养路机具,yang'lu'ji'ju
养路机械,yang'lu'ji'xie
养路机械化,yang'lu'ji'xie'hua
养路领工员,yang'lu'ling'gong'yuan
养路员工,yang'lu'yuan'gong
养路质量,yang'lu'zhi'liang
养路组织,yang'lu'zu'zhi
养路作业,yang'lu'zuo'ye
养马河,yang'ma'he
阳明堡,yang'ming'bao
羊坪,yang'ping
阳泉曲,yang'quan'qu
养生,yang'sheng
养生期,yang'sheng'qi
杨树湾,yang'shu'wan
秧田冲,yang'tian'chong
羊尾哨,yang'wei'shao
杨辛庄,yang'xin'zhuang
杨漩,yang'xuan
杨杖子,yang'zhang'zi
羊者窝,yang'zhe'wo
羊足碾,yang'zu'nian
姚堡,yao'bao
姚家坨子,yao'jia'tuo'zi
姚家洲,yao'jia'zhou
遥林,yao'lin
姚千户屯,yao'qian'hu'tun
腰栈,yao'zhan
叶赤线,ye'chi'xian
液化气线,ye'hua'qi'xian
野马寨,ye'ma'zhai
液塑限,ye'su'xian
液塑性,ye'su'xing
液限,ye'xian
叶榭,ye'xie
液压捣固机,ye'ya'dao'gu'ji
液压机具,ye'ya'ji'ju
液压转辙机,ye'ya'zhuan'zhe'ji
业主,ye'zhu
宜宾南,yi'bin'nan
疑诧不信,yi'cha'bu'xin
移车塔,yi'che'ta
伊尔灺,yi'er'xie
宜珙线,yi'gong'xian
翼轨,yi'gui
伊哈,yi'ha
伊和恩格拉,yi'he'en'ge'la
伊胡塔,yi'hu'ta
伊加线,yi'jia'xian
义井,yi'jing
伊拉哈,yi'la'ha
伊里生,yi'li'sheng
宜良北,yi'liang'bei
彝良南,yi'liang'nan
伊吗图,yi'ma'tu
宜耐,yi'nai
沂水站,yi'shui'zhan
伊图里河,yi'tu'li'he
异形轨,yi'xing'gui
异型接头夹板,yi'xing'jie'tou'jia'ban
弋阳东,yi'yang'dong
益阳东,yi'yang'dong
益永线,yi'yong'xian
迤资,yi'zi
尹堡村,yin'bao'cun
阴恻恻,yin'ce'ce
尹地,yin'di
殷家河,yin'jia'he
窨井式交叉井,yin'jing'shi'jiao'cha'jing
饮马峡,yin'ma'xia
阴塔,yin'ta
银镇,yin'zhen
营北,ying'bei
影壁山,ying'bi'shan
营城,ying'cheng
颖川堡,ying'chuan'bao
营东,ying'dong
硬度测定仪,ying'du'ce'ding'yi
英额门,ying'e'men
颖慧绝伦,ying'hui'jue'lun
营口线,ying'kou'xian
应力放散,ying'li'fang'san
营盘上,ying'pan'shang
营盘水,ying'pan'shui
营盘湾,ying'pan'wan
硬石岭,ying'shi'ling
迎水桥,ying'shui'qiao
鹰厦线,ying'xia'xian
迎祥街,ying'xiang'jie
营镇,ying'zhen
硬座快速,ying'zuo'kuai'su
硬座快速卧,ying'zuo'kuai'su'wo
硬座普客,ying'zuo'pu'ke
硬座普快,ying'zuo'pu'kuai
硬座普快卧,ying'zuo'pu'kuai'wo
硬座特快,ying'zuo'te'kuai
硬座特快卧,ying'zuo'te'kuai'wo
永甸,yong'dian
永丰营,yong'feng'ying
永嘉堡,yong'jia'bao
雍六连连线,yong'liu'lian'lian'xian
涌塞,yong'sai
永王庄,yong'wang'zhuang
涌袭,yong'xi
涌霞,yong'xia
永州东,yong'zhou'dong
有槽钢轨,you'cao'gang'gui
有碴轨道,you'cha'gui'dao
有缝线路,you'feng'xian'lu
有机物含量,you'ji'wu'han'liang
右开道岔,you'kai'dao'cha
游览票,you'lan'piao
油溪,you'xi
攸攸坂,you'you'ban
有源应答器,you'yuan'ying'da'qi
油枕,you'zhen
犹字井,you'zi'jing
渔坝村,yu'ba'cun
俞冲,yu'chong
鱼儿沟,yu'er'gou
预估算,yu'gu'suan
于官屯,yu'guan'tun
于海屯,yu'hai'tun
渝怀线,yu'huai'xian
迂回进路,yu'hui'jin'lu
雨季施工,yu'ji'shi'gong
渔津庄,yu'jin'zhuang
预可研,yu'ke'yan
余粮堡,yu'liang'bao
玉门沟,yu'men'gou
玉门沟线,yu'men'gou'xian
玉门镇,yu'men'zhen
盂庙,yu'miao
玉舍,yu'she
预审会,yu'shen'hui
榆树川,yu'shu'chuan
榆树台,yu'shu'tai
榆树屯,yu'shu'tun
雨水检查井,yu'shui'jian'cha'jing
预算定额,yu'suan'ding'e
鱼尾板,yu'wei'ban
鱼尾板连接,yu'wei'ban'lian'jie
玉靥,yu'ye
预应力材料,yu'ying'li'cai'liao
预应力管桩,yu'ying'li'guan'zhuang
渝湛,yu'zhan
渝湛高速公路,yu'zhan'gao'su'gong'lu
预制梁,yu'zhi'liang
预制梁场,yu'zhi'liang'chang
宇宙地,yu'zhou'di
鱼嘴,yu'zui
原边电流,yuan'bian'dian'liu
圆管涵,yuan'guan'han
袁家堡,yuan'jia'bao
圆盘信号,yuan'pan'xin'hao
源迁,yuan'qian
圆曲线,yuan'qu'xian
元山子,yuan'shan'zi
袁树林,yuan'shu'lin
原太,yuan'tai
元田坝,yuan'tian'ba
鸳鸯镇,yuan'yang'zhen
月池台,yue'chi'tai
粤海轮渡线,yue'hai'lun'du'xian
岳家村,yue'jia'cun
岳家井,yue'jia'jing
月亮田,yue'liang'tian
月台车,yue'tai'che
月台地道,yue'tai'di'dao
月台天桥,yue'tai'tian'qiao
越站调车,yue'zhan'diao'che
云彩岭,yun'cai'ling
云岗线,yun'gang'xian
运规,yun'gui
运输段,yun'shu'duan
运输组织,yun'shu'zu'zhi
云田乡,yun'tian'xiang
运营段段长,yun'ying'duan'duan'chang
运转车间,yun'zhuan'che'jian
运转车长,yun'zhuan'che'zhang
运转室,yun'zhuan'shi
匝道,za'dao
灾害检测装置,zai'hai'jian'ce'zhuang'zhi
再用轨,zai'yong'gui
皂角铺,zao'jiao'pu
早阳,zao'yang
枣子林,zao'zi'lin
泽润里,ze'run'li
曾家坪子,zeng'jia'ping'zi
缯溪河,zeng'xi'he
扎赉诺尔,zha'lai'nuo'er
扎赉诺尔西,zha'lai'nuo'er'xi
扎罗木得,zha'luo'mu'de
扎麻隆,zha'ma'long
闸瓦钎,zha'wa'qian
闸瓦压力,zha'wa'ya'li
扎音河,zha'yin'he
摘挂列车,zhai'gua'lie'che
摘解,zhai'jie
寨隆,zhai'long
寨西店,zhai'xi'dian
粘层,zhan'ceng
站场设计,zhan'chang'she'ji
站场示意图,zhan'chang'shi'yi'tu
湛海线,zhan'hai'xian
沾河,zhan'he
湛江北,zhan'jiang'bei
湛江西,zhan'jiang'xi
站名标,zhan'ming'biao
站内停车,zhan'nei'ting'che
站台棚,zhan'tai'peng
站调,zhan'tiao
站外停车,zhan'wai'ting'che
站细,zhan'xi
站线,zhan'xian
站线长度,zhan'xian'chang'du
占用区间,zhan'yong'qu'jian
站长室,zhan'zhang'shi
章党,zhang'dang
张东线,zhang'dong'xian
章古台,zhang'gu'tai
涨轨跑道,zhang'gui'pao'dao
张贵庄,zhang'gui'zhuang
张家船,zhang'jia'chuan
张家祠,zhang'jia'ci
张家界北,zhang'jia'jie'bei
张家口南,zhang'jia'kou'nan
张家口线,zhang'jia'kou'xian
漳龙,zhang'long
漳龙线,zhang'long'xian
漳泉线,zhang'quan'xian
张三营,zhang'san'ying
樟树东,zhang'shu'dong
张维屯,zhang'wei'tun
张巷,zhang'xiang
漳诏,zhang'zhao
漳州东,zhang'zhou'dong
招柏,zhao'bai
招标文件,zhao'biao'wen'jian
照东,zhao'dong
照福铺,zhao'fu'pu
昭化,zhao'hua
照明设施,zhao'ming'she'shi
昭通北,zhao'tong'bei
昭通南,zhao'tong'nan
找小坑,zhao'xiao'keng
朝阳川,zhao'yang'chuan
朝阳地,zhao'yang'di
朝阳南,zhao'yang'nan
辙叉,zhe'cha
辙叉跟长,zhe'cha'gen'chang
辙叉跟端,zhe'cha'gen'duan
辙叉跟宽,zhe'cha'gen'kuan
辙叉焊补,zhe'cha'han'bu
辙叉号数,zhe'cha'hao'shu
辙叉角,zhe'cha'jiao
辙叉伤损,zhe'cha'shang'sun
辙叉损伤,zhe'cha'sun'shang
辙叉心轨尖端,zhe'cha'xin'gui'jian'duan
辙叉咽喉,zhe'cha'yan'hou
辙叉有害空间,zhe'cha'you'hai'kong'jian
辙叉趾长,zhe'cha'zhi'chang
辙叉趾端,zhe'cha'zhi'duan
辙叉趾宽,zhe'cha'zhi'kuan
折角塞门,zhe'jiao'sai'men
哲里木,zhe'li'mu
镇城底,zhen'cheng'di
振德,zhen'de
枕盒,zhen'he
枕间夯实机,zhen'jian'hang'shi'ji
枕梁,zhen'liang
镇罗堡,zhen'luo'bao
枕木防腐,zhen'mu'fang'fu
枕木防腐厂,zhen'mu'fang'fu'chang
枕木塞,zhen'mu'sai
针入度,zhen'ru'du
轸溪,zhen'xi
枕下胶垫,zhen'xia'jiao'dian
镇紫街,zhen'zi'jie
郑家堡,zheng'jia'bao
郑局宝段,zheng'ju'bao'duan
郑局郑段,zheng'ju'zheng'duan
整理道床,zheng'li'dao'chuang
蒸汽机车,zheng'qi'ji'che
蒸汽塔,zheng'qi'ta
正确度,zheng'que'du
整体道床,zheng'ti'dao'chuang
整体道床轨道,zheng'ti'dao'chuang'gui'dao
郑天窗,zheng'tian'chuang
郑屯,zheng'tun
整正轨缝,zheng'zheng'gui'feng
整正曲线,zheng'zheng'qu'xian
整正水平,zheng'zheng'shui'ping
整治冻害轨道,zheng'zhi'dong'hai'gui'dao
郑州铁路局,zheng'zhou'tie'lu'ju
整铸辙叉,zheng'zhu'zhe'cha
值班员,zhi'ban'yuan
支表,zhi'biao
直拨料,zhi'bo'liao
轵城,zhi'cheng
支承桩,zhi'cheng'zhuang
制存梁场,zhi'cun'liang'chang
制动机,zhi'dong'ji
直发料,zhi'fa'liao
直轨器,zhi'gui'qi
支架,zhi'jia
质检体系,zhi'jian'ti'xi
质监总站,zhi'jian'zong'zhan
直角交叉,zhi'jiao'jiao'cha
质量保证体系,zhi'liang'bao'zheng'ti'xi
制梁场,zhi'liang'chang
质量控制,zhi'liang'kong'zhi
指路标志,zhi'lu'biao'zhi
植生袋植草,zhi'sheng'dai'zhi'cao
指示标志,zhi'shi'biao'zhi
峙滩,zhi'tan
直通人孔,zhi'tong'ren'kong
直线尖轨,zhi'xian'jian'gui
制药罐,zhi'yao'guan
知字井,zhi'zi'jing
支座垫石,zhi'zuo'dian'shi
中标通知书,zhong'biao'tong'zhi'shu
中岔,zhong'cha
中分带,zhong'fen'dai
忠工屯,zhong'gong'tun
中国公路,zhong'guo'gong'lu
中国公路人网,zhong'guo'gong'lu'ren'wang
中和轨温,zhong'he'gui'wen
中华总工会,zhong'hua'zong'gong'hui
中间交工,zhong'jian'jiao'gong
中间枕木,zhong'jian'zhen'mu
中粒式,zhong'li'shi
中粒土,zhong'li'tu
中面层,zhong'mian'ceng
终凝,zhong'ning
中宁南,zhong'ning'nan
终身不渝,zhong'shen'bu'yu
中台子,zhong'tai'zi
中铁八局,zhong'tie'ba'ju
中铁二局,zhong'tie'er'ju
中铁九局,zhong'tie'jiu'ju
中铁六局,zhong'tie'liu'ju
中铁七局,zhong'tie'qi'ju
中铁三局,zhong'tie'san'ju
中铁十二局,zhong'tie'shi'er'ju
中铁十局,zhong'tie'shi'ju
中铁十三局,zhong'tie'shi'san'ju
中铁十四局,zhong'tie'shi'si'ju
中铁十五局,zhong'tie'shi'wu'ju
中铁十一局,zhong'tie'shi'yi'ju
中途下车,zhong'tu'xia'che
中心试验室,zhong'xin'shi'yan'shi
重型钢轨,zhong'xing'gang'gui
重型轨道,zhong'xing'gui'dao
重型轨道车,zhong'xing'gui'dao'che
重型击实,zhong'xing'ji'shi
重型击实试验,zhong'xing'ji'shi'shi'yan
中型清筛机,zhong'xing'qing'shai'ji
中谊村,zhong'yi'cun
钟杖子,zhong'zhang'zi
中嘴,zhong'zui
周士庄,zhou'shi'zhuang
周铁岗,zhou'tie'gang
轴温,zhou'wen
轴线偏位,zhou'xian'pian'wei
轴向疲劳试验,zhou'xiang'pi'lao'shi'yan
周转轨,zhou'zhuan'gui
珠宝岗,zhu'bao'gang
诸城站,zhu'cheng'zhan
筑岛,zhu'dao
驻地监理,zhu'di'jian'li
驻地监理处,zhu'di'jian'li'chu
朱店,zhu'dian
主断,zhu'duan
朱嘎,zhu'ga
朱各庄,zhu'ge'zhuang
朱家沟,zhu'jia'gou
褚家湾,zhu'jia'wan
朱家窑,zhu'jia'yao
注浆孔,zhu'jiang'kong
助理值班员,zhu'li'zhi'ban'yuan
朱坡,zhu'po
朱日和,zhu'ri'he
珠日河牧场,zhu'ri'he'mu'chang
朱三家,zhu'san'jia
朱石寨,zhu'shi'zhai
珠斯花,zhu'si'hua
主体信号,zhu'ti'xin'hao
助调,zhu'tiao
诸往,zhu'wang
珠窝,zhu'wo
朱杨溪,zhu'yang'xi
注油枕木,zhu'you'zhen'mu
朱圉乡,zhu'yu'xiang
竹园坝,zhu'yuan'ba
转车盘,zhuan'che'pan
转关口,zhuan'guan'kou
转换屏,zhuan'huan'ping
专业监理,zhuan'ye'jian'li
转站,zhuan'zhan
转辙角,zhuan'zhe'jiao
转辙器根,zhuan'zhe'qi'gen
桩基,zhuang'ji
状态修,zhuang'tai'xiu
桩位偏差,zhuang'wei'pian'cha
锥坡,zhui'po
锥坡填筑,zhui'po'tian'zhu
准沙日乌苏,zhun'sha'ri'wu'su
卓著威名,zhuo'zhu'wei'ming
卓资山,zhuo'zi'shan
自备列车,zi'bei'lie'che
淄博站,zi'bo'zhan
自动闭塞法,zi'dong'bi'se'fa
自动调车,zi'dong'diao'che
自动力矩检定,zi'dong'li'ju'jian'ding
自贡南,zi'gong'nan
紫沟,zi'gou
自检体系,zi'jian'ti'xi
紫酱,zi'jiang
自停,zi'ting
自由内接,zi'you'nei'jie
紫寨,zi'zhai
资质聪颖,zi'zhi'cong'ying
纵断面高程,zong'duan'mian'gao'cheng
总风缸,zong'feng'gang
总概算汇总,zong'gai'suan'hui'zong
综合概算,zong'he'gai'suan
综合考试,zong'he'kao'shi
综合维修,zong'he'wei'xiu
综合养路机械,zong'he'yang'lu'ji'xie
总监办,zong'jian'ban
总监代表处,zong'jian'dai'biao'chu
总监理工程师,zong'jian'li'gong'cheng'shi
纵梁桥,zong'liang'qiao
棕溪,zong'xi
纵向标线,zong'xiang'biao'xian
纵向轨枕,zong'xiang'gui'zhen
纵向间距,zong'xiang'jian'ju
走马岭,zou'ma'ling
阻工,zu'gong
组合辙叉,zu'he'zhe'cha
俎上之肉,zu'shang'zhi'rou
遵义北,zun'yi'bei
遵义南,zun'yi'nan
左港,zuo'gang
左开道岔,zuo'kai'dao'cha
作业标志,zuo'ye'biao'zhi
作业段,zuo'ye'duan
