阿谁扶上马,a'shui'fu'shang'ma
结构依空林,jie'gou'yi'kong'lin
结桂空伫立,jie'gui'kong'zhu'li
截海取蒲类,jie'hai'qu'pu'lei
结荷倦水宿,jie'he'juan'shui'su
结荷水边沐,jie'he'shui'bian'mu
借荒种南陂,jie'huang'zhong'nan'bei
结交得书生,jie'jiao'de'shu'sheng
结交凤与麟,jie'jiao'feng'yu'lin
结交楼烦将,jie'jiao'lou'fan'jiang
结交鲁朱家,jie'jiao'lu'zhu'jia
结交青云端,jie'jiao'qing'yun'duan
结交为弟兄,jie'jiao'wei'di'xiong
结交唯我少,jie'jiao'wei'wo'shao
结交赵与燕,jie'jiao'zhao'yu'yan
结交指松柏,jie'jiao'zhi'song'bai
嗟嗟失权客,jie'jie'shi'quan'ke
结罝映深竹,jie'ju'ying'shen'zhu
借君西池游,jie'jun'xi'chi'you
结客洛门东,jie'ke'luo'men'dong
解渴同琼树,jie'ke'tong'qiong'shu
结揽事攀践,jie'lan'shi'pan'jian
解缆我开筵,jie'lan'wo'kai'yan
解领得明珠,jie'ling'de'ming'zhu
截流宁假楫,jie'liu'ning'jia'ji
结楼青云端,jie'lou'qing'yun'duan
结庐就嵌窟,jie'lu'jiu'qian'ku
结萝宿溪烟,jie'luo'su'xi'yan
结茅炼金液,jie'mao'lian'jin'ye
结茅临古渡,jie'mao'lin'gu'du
结茅隐苍岭,jie'mao'yin'cang'ling
结茅栽树近东林,jie'mao'zai'shu'jin'dong'lin
结茅种杏在云端,jie'mao'zhong'xing'zai'yun'duan
皆美太守贤,jie'mei'tai'shou'xian
接袂杳无由,jie'mei'yao'wu'you
解珮欲西去,jie'pei'yu'xi'qu
阶前虎士罗干将,jie'qian'hu'shi'luo'gan'jiang
阶前群壑深,jie'qian'qun'he'shen
桀犬尚吠尧,jie'quan'shang'fei'yao
解释春风无限恨,jie'shi'chun'feng'wu'xian'hen
劫石乃成灰,jie'shi'nai'cheng'hui
结束还军府,jie'shu'hai'jun'fu
结束向并州,jie'shu'xiang'bing'zhou
节随新律改,jie'sui'xin'lv'gai
解榻时相悦,jie'ta'shi'xiang'yue
阶庭空水石,jie'ting'kong'shui'shi
戒途绵百越,jie'tu'mian'bai'yue
结托并州儿,jie'tuo'bing'zhou'er
皆为黄泉土,jie'wei'huang'quan'tu
结为清净因,jie'wei'qing'jing'yin
借问别来太瘦生,jie'wen'bie'lai'tai'shou'sheng
借问此何时,jie'wen'ci'he'shi
借问此何为,jie'wen'ci'he'wei
借问汉宫谁得似,jie'wen'han'gong'shui'de'si
借问几时还,jie'wen'ji'shi'hai
借问几时回,jie'wen'ji'shi'hui
借问久疏索,jie'wen'jiu'shu'suo
借问卢耽鹤,jie'wen'lu'dan'he
借问朦胧花树下,jie'wen'meng'long'hua'shu'xia
借问剡中道,jie'wen'shan'zhong'dao
借问谁家地,jie'wen'shui'jia'di
借问谁凌虐,jie'wen'shui'ling'nue
借问同行客,jie'wen'tong'xing'ke
借问同舟客,jie'wen'tong'zhou'ke
借问往昔时,jie'wen'wang'xi'shi
借问笑何人,jie'wen'xiao'he'ren
借问新安江,jie'wen'xin'an'jiang
借问欲栖珠树鹤,jie'wen'yu'qi'zhu'shu'he
借问宗党间,jie'wen'zong'dang'jian
解我紫绮裘,jie'wo'zi'qi'qiu
接膝犹嫌远,jie'xi'you'xian'yuan
结心寄青松,jie'xin'ji'qing'song
阶轩日苔藓,jie'xuan'ri'tai'xian
结阴风凝暮节,jie'yin'feng'ning'mu'jie
嗟予沉迷,jie'yu'chen'mi
嗟予淮海老,jie'yu'huai'hai'lao
嗟予落魄江淮久,jie'yu'luo'po'jiang'huai'jiu
嗟吁命不通,jie'yu'ming'bu'tong
借予一白鹿,jie'yu'yi'bai'lu
皆在碧虚中,jie'zai'bi'xu'zhong
皆在孤舟里,jie'zai'gu'zhou'li
皆在金张门,jie'zai'jin'zhang'men
接战春来苦,jie'zhan'chun'lai'ku
节制非桓文,jie'zhi'fei'huan'wen
阶竹连窗暝,jie'zhu'lian'chuang'ming
解组守蒿蓬,jie'zu'shou'hao'peng
解组一来款,jie'zu'yi'lai'kuan
近爱赤城好,jin'ai'chi'cheng'hao
金鞍骏马散故人,jin'an'jun'ma'san'gu'ren
金鞍塞北装,jin'an'sai'bei'zhuang
金鞍五陵豪,jin'an'wu'ling'hao
金鞍曜朱轮,jin'an'yao'zhu'lun
金鞍照城郭,jin'an'zhao'cheng'guo
金榜天宫开,jin'bang'tian'gong'kai
金碧照澄虚,jin'bi'zhao'cheng'xu
近壁烛仍残,jin'bi'zhu'reng'can
金鞭遥指点,jin'bian'yao'zhi'dian
金波忽三圆,jin'bo'hu'san'yuan
金波送酒卮,jin'bo'song'jiu'zhi
金波隐夕光,jin'bo'yin'xi'guang
今藏古匣中,jin'cang'gu'xia'zhong
近臣零落今犹在,jin'chen'ling'luo'jin'you'zai
今晨鲁东门,jin'chen'lu'dong'men
锦城长作帝王州,jin'cheng'chang'zuo'di'wang'zhou
今成断根草,jin'cheng'duan'gen'cao
今乘款段诸侯门,jin'cheng'kuan'duan'zhu'hou'men
今成两枝鸟,jin'cheng'liang'zhi'niao
今成流泪泉,jin'cheng'liu'lei'quan
锦城虽云乐,jin'cheng'sui'yun'le
今呈胸臆事,jin'cheng'xiong'yi'shi
今称偃蹇臣,jin'cheng'yan'jian'chen
今成一科蓬,jin'cheng'yi'ke'peng
锦翅鹧鸪飞,jin'chi'zhe'gu'fei
金窗夹绣户,jin'chuang'jia'xiu'hu
晋祠流水如碧玉,jin'ci'liu'shui'ru'bi'yu
金翠照丹墀,jin'cui'zhao'dan'chi
襟带顿销靡,jin'dai'dun'xiao'mi
锦带横龙泉,jin'dai'heng'long'quan
锦带騂弓结束轻,jin'dai'xing'gong'jie'shu'qing
晋代衣冠成古丘,jin'dai'yi'guan'cheng'gu'qiu
晋代有儒臣,jin'dai'you'ru'chen
金丹满握,jin'dan'man'wo
金丹宁误俗,jin'dan'ning'wu'su
金丹子何如,jin'dan'zi'he'ru
今当遵往路,jin'dang'zun'wang'lu
金殿锁鸳鸯,jin'dian'suo'yuan'yang
金殿玉砌,jin'dian'yu'qi
金貂传几叶,jin'diao'chuan'ji'ye
进帆天门山,jin'fan'tian'men'shan
锦帆游戏西江水,jin'fan'you'xi'xi'jiang'shui
晋风日已颓,jin'feng'ri'yi'tui
今逢石上生,jin'feng'shi'shang'sheng
斤斧何由寻,jin'fu'he'you'xun
今复几人在,jin'fu'ji'ren'zai
尽付酒家钱,jin'fu'jiu'jia'qian
今赴嫖姚军,jin'fu'piao'yao'jun
金高南山买君顾,jin'gao'nan'shan'mai'jun'gu
金膏犹罔象,jin'gao'you'wang'xiang
近更婴衰疾,jin'geng'ying'shuai'ji
金宫乐事多,jin'gong'le'shi'duo
金谷不能夸,jin'gu'bu'neng'kua
金骨既不毁,jin'gu'ji'bu'hui
今古两步兵,jin'gu'liang'bu'bing
今古人同望,jin'gu'ren'tong'wang
金鼓朔风悲,jin'gu'shuo'feng'bei
金谷已无春,jin'gu'yi'wu'chun
今古一相接,jin'gu'yi'xiang'jie
金谷园中柳,jin'gu'yuan'zhong'liu
金谷筝中传不似,jin'gu'zheng'zhong'chuan'bu'si
金谷走车来,jin'gu'zou'che'lai
金棺葬寒灰,jin'guan'zang'han'hui
金闺别旧僚,jin'gui'bie'jiu'liao
金闺画岂成,jin'gui'hua'qi'cheng
金龟换酒处,jin'gui'huan'jiu'chu
今还万死馀,jin'hai'wan'si'yu
金河戍客肠应断,jin'he'shu'ke'chang'ying'duan
金壶漏尽禁门开,jin'hu'lou'jin'jin'men'kai
金华牧羊儿,jin'hua'mu'yang'er
金花折风帽,jin'hua'zhe'feng'mao
金幌半垂罗,jin'huang'ban'chui'luo
金徽色尚荣,jin'hui'se'shang'rong
禁火暧佳辰,jin'huo'ai'jia'chen
金鸡忽放赦,jin'ji'hu'fang'she
金戟罗江烟,jin'ji'luo'jiang'yan
金羁络骏马,jin'ji'luo'jun'ma
金羁游侠人,jin'ji'you'xia'ren
晋家南渡日,jin'jia'nan'du'ri
晋家望安石,jin'jia'wang'an'shi
金甲银旌尽已回,jin'jia'yin'jing'jin'yi'hui
今见春蚕生,jin'jian'chun'can'sheng
金涧饵芝朮,jin'jian'er'zhi'shu
今见鶺鴒心,jin'jian'ji'ling'xin
今见兰苕繁,jin'jian'lan'shao'fan
今见起毫端,jin'jian'qi'hao'duan
锦江何谢曲江池,jin'jiang'he'xie'qu'jiang'chi
今将匹马静烟尘,jin'jiang'pi'ma'jing'yan'chen
进经逢乙夜,jin'jing'feng'yi'ye
金镜霾六国,jin'jing'mai'liu'guo
金精秘莫论,jin'jing'mi'mo'lun
金井双梧桐,jin'jing'shuang'wu'tong
金距斗鸡过上苑,jin'ju'dou'ji'guo'shang'yuan
晋君听琴枉清角,jin'jun'ting'qin'wang'qing'jiao
今君重凫鹄,jin'jun'zhong'fu'hu
今来发欲斑,jin'lai'fa'yu'ban
今来方觉迷,jin'lai'fang'jue'mi
今来复盈旬,jin'lai'fu'ying'xun
今来何所似,jin'lai'he'suo'si
今来何谢袁家郎,jin'lai'he'xie'yuan'jia'lang
今来思旧游,jin'lai'si'jiu'you
今来唯有禅心在,jin'lai'wei'you'chan'xin'zai
今来喜再逢,jin'lai'xi'zai'feng
今来一登望,jin'lai'yi'deng'wang
今来游上苑,jin'lai'you'shang'yuan
今来恣游盘,jin'lai'zi'you'pan
今怜半死桐,jin'lian'ban'si'tong
金埒争开道,jin'lie'zheng'kai'dao
锦鳞沉不食,jin'lin'chen'bu'shi
金陵白下亭留别,jin'ling'bai'xia'ting'liu'bie
金陵白杨十字巷,jin'ling'bai'yang'shi'zi'xiang
金陵城东谁家子,jin'ling'cheng'dong'shui'jia'zi
金陵凤凰台,jin'ling'feng'huang'tai
金陵凤凰台置酒,jin'ling'feng'huang'tai'zhi'jiu
金陵风景好,jin'ling'feng'jing'hao
金陵歌,jin'ling'ge
金陵酒肆留别,jin'ling'jiu'si'liu'bie
金陵控海浦,jin'ling'kong'hai'pu
金陵空壮观,jin'ling'kong'zhuang'guan
金陵劳劳送客堂,jin'ling'lao'lao'song'ke'tang
金陵绕丹阳,jin'ling'rao'dan'yang
金陵三首,jin'ling'san'shou
金陵望汉江,jin'ling'wang'han'jiang
金陵昔时何壮哉,jin'ling'xi'shi'he'zhuang'zai
金陵新亭,jin'ling'xin'ting
金陵夜寂凉风发,jin'ling'ye'ji'liang'feng'fa
金陵遇太守,jin'ling'yu'tai'shou
金陵子弟来相送,jin'ling'zi'di'lai'xiang'song
津流竹树,jin'liu'zhu'shu
津楼故市无行客,jin'lou'gu'shi'wu'xing'ke
金门步转徐,jin'men'bu'zhuan'xu
金门答苏秀才,jin'men'da'su'xiu'cai
金门诏不忘,jin'men'zhao'bu'wang
今乃人樵苏,jin'nai'ren'qiao'su
近南惟见祝融峰,jin'nan'wei'jian'zhu'rong'feng
金囊非易求,jin'nang'fei'yi'qiu
锦囊养之怀袖间,jin'nang'yang'zhi'huai'xiu'jian
仅能泯宠辱,jin'neng'min'chong'ru
金泥饰舞罗,jin'ni'shi'wu'luo
今拟之,jin'ni'zhi
今年敕放巫山阳,jin'nian'chi'fang'wu'shan'yang
今年华鬓色,jin'nian'hua'bin'se
今年看花伴,jin'nian'kan'hua'ban
今年又拜侯,jin'nian'you'bai'hou
今年与子少相随,jin'nian'yu'zi'shao'xiang'sui
金盘一掷万人开,jin'pan'yi'zhi'wan'ren'kai
金瓶落井无消息,jin'ping'luo'jing'wu'xiao'xi
金屏笑坐如花人,jin'ping'xiao'zuo'ru'hua'ren
金叵罗,jin'po'luo
金魄遂沦没,jin'po'sui'lun'mo
金气腾为虎,jin'qi'teng'wei'hu
襟前林壑敛暝色,jin'qian'lin'he'lian'ming'se
津妾一棹歌,jin'qie'yi'zhao'ge
锦衾抱秋月,jin'qin'bao'qiu'yue
锦衾瑶席何寂寂,jin'qin'yao'xi'he'ji'ji
锦衾与罗帏,jin'qin'yu'luo'wei
锦衾重自暖,jin'qin'zhong'zi'nuan
今倾白玉卮,jin'qing'bai'yu'zhi
金阙前开二峰长,jin'que'qian'kai'er'feng'chang
金阙乍看迎日丽,jin'que'zha'kan'ying'ri'li
今人不见古时月,jin'ren'bu'jian'gu'shi'yue
今人复一贤,jin'ren'fu'yi'xian
今人耕种信陵坟,jin'ren'geng'zhong'xin'ling'fen
今日白发催,jin'ri'bai'fa'cui
今日并如此,jin'ri'bing'ru'ci
尽日不分天水色,jin'ri'bu'fen'tian'shui'se
今日曾无一枝在,jin'ri'ceng'wu'yi'zhi'zai
今日阊门路,jin'ri'chang'men'lu
近日春云满,jin'ri'chun'yun'man
今日从军乐未回,jin'ri'cong'jun'yue'wei'hui
今日登临唯有泪,jin'ri'deng'lin'wei'you'lei
今日翻成送故人,jin'ri'fan'cheng'song'gu'ren
今日非昨日,jin'ri'fei'zuo'ri
今日分流汉使前,jin'ri'fen'liu'han'shi'qian
今日逢君君不识,jin'ri'feng'jun'jun'bu'shi
今日风日好,jin'ri'feng'ri'hao
今日逢支遁,jin'ri'feng'zhi'dun
尽日扶犁叟,jin'ri'fu'li'sou
尽日高斋无一事,jin'ri'gao'zhai'wu'yi'shi
今日各东西,jin'ri'ge'dong'xi
今日各驱驰,jin'ri'ge'qu'chi
今日共君行,jin'ri'gong'jun'xing
今日观溟涨,jin'ri'guan'ming'zhang
今日还复天兵来,jin'ri'hai'fu'tian'bing'lai
今日还须赠宝刀,jin'ri'hai'xu'zeng'bao'dao
今日海隅行,jin'ri'hai'yu'xing
今日汉宫人,jin'ri'han'gong'ren
今日花还发,jin'ri'hua'hai'fa
今日花开已一年,jin'ri'hua'kai'yi'yi'nian
尽日见空林,jin'ri'jian'kong'lin
今日结交明日改,jin'ri'jie'jiao'ming'ri'gai
今日郡斋闲,jin'ri'jun'zhai'xian
今日空林下,jin'ri'kong'lin'xia
今日龙门下,jin'ri'long'men'xia
今日明光里,jin'ri'ming'guang'li
今日乃相宜,jin'ri'nai'xiang'yi
今日南归楚,jin'ri'nan'gui'chu
尽日飘扬无定时,jin'ri'piao'yang'wu'ding'shi
今日妾辞君,jin'ri'qie'ci'jun
今日青苔覆落花,jin'ri'qing'tai'fu'luo'hua
今日任公子,jin'ri'ren'gong'zi
今日山城对垂泪,jin'ri'shan'cheng'dui'chui'lei
今日山晴后,jin'ri'shan'qing'hou
今日闻君使,jin'ri'wen'jun'shi
今日县人迎,jin'ri'xian'ren'ying
今日献周郎,jin'ri'xian'zhou'lang
近日相知少,jin'ri'xiang'zhi'shao
今日忆君处,jin'ri'yi'jun'chu
今日又非昔,jin'ri'you'fei'xi
今日遇君忺,jin'ri'yu'jun'xian
今日云景好,jin'ri'yun'jing'hao
今日赠予兰亭去,jin'ri'zeng'yu'lan'ting'qu
今日竹林宴,jin'ri'zhu'lin'yan
今日自沾衣,jin'ri'zi'zhan'yi
今日醉饱,jin'ri'zui'bao
金瑟玉壶,jin'se'yu'hu
金刹在中峰,jin'sha'zai'zhong'feng
近山犹仿佛,jin'shan'you'fang'fu
今上龙飞入内时,jin'shang'long'fei'ru'nei'shi
金绳界宝地,jin'sheng'jie'bao'di
金绳开觉路,jin'sheng'kai'jue'lu
金石忽暂开,jin'shi'hu'zan'kai
晋室昔横溃,jin'shi'xi'heng'kui
今时亦弃青云士,jin'shi'yi'qi'qing'yun'shi
金石犹销铄,jin'shi'you'xiao'shuo
锦石照碧山,jin'shi'zhao'bi'shan
今戍龙庭前,jin'shu'long'ting'qian
锦水东北流,jin'shui'dong'bei'liu
锦水东流绕锦城,jin'shui'dong'liu'rao'jin'cheng
近水方同梅市隐,jin'shui'fang'tong'mei'shi'yin
金粟如来是后身,jin'su'ru'lai'shi'hou'shen
今岁何时妾忆君,jin'sui'he'shi'qie'yi'jun
今岁卧南谯,jin'sui'wo'nan'qiao
金縢若不启,jin'teng'ruo'bu'qi
金天之西,jin'tian'zhi'xi
津童能用楫,jin'tong'neng'yong'ji
进退成行,jin'tui'cheng'xing
金丸落飞鸟,jin'wan'luo'fei'niao
尽为愁媒,jin'wei'chou'mei
今为侯与王,jin'wei'hou'yu'wang
晋为六卿分,jin'wei'liu'qing'fen
尽为入幕珍,jin'wei'ru'mu'zhen
今为瓮下仙,jin'wei'weng'xia'xian
尽我生人意,jin'wo'sheng'ren'yi
津无蛟龙患,jin'wu'jiao'long'huan
金屋无人萤火流,jin'wu'wu'ren'ying'huo'liu
今夕不尽杯,jin'xi'bu'jin'bei
近喜扶阳系戎相,jin'xi'fu'yang'xi'rong'xiang
今夕宿符离,jin'xi'su'fu'li
今夕为谁明,jin'xi'wei'shui'ming
谨献寿春公黎公,jin'xian'shou'chun'gong'li'gong
今宵举杯酒,jin'xiao'ju'bei'jiu
今宵泉壑里,jin'xiao'quan'he'li
今宵贳酒与君倾,jin'xiao'shi'jiu'yu'jun'qing
今宵有明月,jin'xiao'you'ming'yue
今夜泊天涯,jin'ye'bo'tian'ya
今夜神仙女,jin'ye'shen'xian'nv
今夜一江人,jin'ye'yi'jiang'ren
锦衣入新丰,jin'yi'ru'xin'feng
今已学愚公,jin'yi'xue'yu'gong
金印酬功如斗大,jin'yin'chou'gong'ru'dou'da
今游方厌楚,jin'you'fang'yan'chu
今有风霜颜,jin'you'feng'shuang'yan
金玉满堂应不守,jin'yu'man'tang'ying'bu'shou
金玉尚为轻,jin'yu'shang'wei'qing
金舆向回中,jin'yu'xiang'hui'zhong
金舆玉座成寒灰,jin'yu'yu'zuo'cheng'han'hui
今月曾经照古人,jin'yue'ceng'jing'zhao'gu'ren
缙云川谷难,jin'yun'chuan'gu'nan
金灶生烟埃,jin'zao'sheng'yan'ai
锦帐郎官醉,jin'zhang'lang'guan'zui
金璋紫绶来相趋,jin'zhang'zi'shou'lai'xiang'qu
今朝拜首临欲别,jin'zhao'bai'shou'lin'yu'bie
今朝半树空,jin'zhao'ban'shu'kong
今朝彩盘上,jin'zhao'cai'pan'shang
今朝蝉忽鸣,jin'zhao'chan'hu'ming
今朝此为别,jin'zhao'ci'wei'bie
今朝东门柳,jin'zhao'dong'men'liu
今朝都尉如相顾,jin'zhao'du'wei'ru'xiang'gu
今朝发何处,jin'zhao'fa'he'chu
今朝风景好,jin'zhao'feng'jing'hao
今朝风日好,jin'zhao'feng'ri'hao
今朝更举觞,jin'zhao'geng'ju'shang
今朝郡斋冷,jin'zhao'jun'zhai'leng
今朝泪几行,jin'zhao'lei'ji'hang
今朝散骑省,jin'zhao'san'qi'sheng
今朝岁起东,jin'zhao'sui'qi'dong
今朝望乡客,jin'zhao'wang'xiang'ke
今朝一望还成暮,jin'zhao'yi'wang'hai'cheng'mu
今朝与君醉,jin'zhao'yu'jun'zui
今朝欲下鞲,jin'zhao'yu'xia'gou
今朝章台别,jin'zhao'zhang'tai'bie
今朝醉卧又明朝,jin'zhao'zui'wo'you'ming'zhao
巾征轩兮历阻折,jin'zheng'xuan'xi'li'zu'zhe
禁钟春雨细,jin'zhong'chun'yu'xi
今兹大火落,jin'zi'da'huo'luo
今兹俱海壖,jin'zi'ju'hai'ruan
今兹守吴郡,jin'zi'shou'wu'jun
今兹讨鲸鲵,jin'zi'tao'jing'ni
金子耀霜橘,jin'zi'yao'shuang'ju
金奏过南宫,jin'zou'guo'nan'gong
尽醉茅檐下,jin'zui'mao'yan'xia
今作百炼铅,jin'zuo'bai'lian'qian
近作十日欢,jin'zuo'shi'ri'huan
近作新婚镊白髯,jin'zuo'xin'hun'nie'bai'ran
警跸移前殿,jing'bi'yi'qian'dian
惊飙触悬槛,jing'biao'chu'xuan'kan
惊飙颓秀木,jing'biao'tui'xiu'mu
惊飙左右吹,jing'biao'zuo'you'chui
惊波一起三山动,jing'bo'yi'qi'san'shan'dong
精彩化朝云,jing'cai'hua'chao'yun
径草踏还生,jing'cao'ta'hai'sheng
京城繁华地,jing'cheng'fan'hua'di
精诚合天道,jing'cheng'he'tian'dao
精诚有所感,jing'cheng'you'suo'gan
精诚与天通,jing'cheng'yu'tian'tong
径出梅花桥,jing'chu'mei'hua'qiao
泾川三百里,jing'chuan'san'bai'li
泾川送族弟錞,jing'chuan'song'zu'di'chun
惊川无活鳞,jing'chuan'wu'huo'lin
荆窗不碍风,jing'chuang'bu'ai'feng
惊蝶坐还起,jing'die'zuo'hai'qi
惊动洛阳人,jing'dong'luo'yang'ren
景风从南来,jing'feng'cong'nan'lai
经烽汉火微,jing'feng'han'huo'wei
惊风西北吹,jing'feng'xi'bei'chui
静拂桐阴上玉坛,jing'fu'tong'yin'shang'yu'tan
精感石没羽,jing'gan'shi'mei'yu
景公一何愚,jing'gong'yi'he'yu
敬恭尊郡守,jing'gong'zun'jun'shou
精光暗往时,jing'guang'an'wang'shi
精光动烟空,jing'guang'dong'yan'kong
精光乃堪掇,jing'guang'nai'kan'duo
精光射天地,jing'guang'she'tian'di
经过沧海君,jing'guo'cang'hai'jun
京国会缨簪,jing'guo'hui'ying'zan
荆国几谣吟,jing'guo'ji'yao'yin
经过窃慕焉,jing'guo'qie'mu'yan
经过宛如昨,jing'guo'wan'ru'zuo
经过燕太子,jing'guo'yan'tai'zi
镜湖流水漾清波,jing'hu'liu'shui'yang'qing'bo
镜湖三百里,jing'hu'san'bai'li
镜湖水如月,jing'hu'shui'ru'yue
京华去不归,jing'hua'qu'bu'gui
精辉凌白虹,jing'hui'ling'bai'hong
旌甲似云中,jing'jia'si'yun'zhong
京江两畔明,jing'jiang'liang'pan'ming
旌节度黄河,jing'jie'du'huang'he
旌节镇雄藩,jing'jie'zhen'xiong'fan
境静闻神远,jing'jing'wen'shen'yuan
旌卷曙霜飞,jing'juan'shu'shuang'fei
精览万殊入,jing'lan'wan'shu'ru
精灵竟何能,jing'ling'jing'he'neng
竟陵明月夜,jing'ling'ming'yue'ye
精灵如有在,jing'ling'ru'you'zai
精灵自来去,jing'ling'zi'lai'qu
京洛风尘后,jing'luo'feng'chen'hou
京洛颇优游,jing'luo'po'you'you
京洛事游遨,jing'luo'shi'you'ao
荆门倒屈宋,jing'men'dao'qu'song
荆门浮舟望蜀江,jing'men'fu'zhou'wang'shu'jiang
鲸鲵立可诛,jing'ni'li'ke'zhu
鲸鲵唐突留馀迹,jing'ni'tang'tu'liu'yu'ji
鲸鲵未翦灭,jing'ni'wei'jian'mie
经年不省草生时,jing'nian'bu'sheng'cao'sheng'shi
经年未拂衣,jing'nian'wei'fu'yi
经年犹别家,jing'nian'you'bie'jia
惊鸟号北林,jing'niao'hao'bei'lin
静女看花佛寺中,jing'nv'kan'hua'fo'si'zhong
旌旆边庭去,jing'pei'bian'ting'qu
旌旆何缤纷,jing'pei'he'bin'fen
旌旆夹两山,jing'pei'jia'liang'shan
精魄渐芜秽,jing'po'jian'wu'hui
荆璞非有求,jing'pu'fei'you'qiu
旌旗半上拂云堆,jing'qi'ban'shang'fu'yun'dui
旌旗缤纷两河道,jing'qi'bin'fen'liang'he'dao
旌旗连海门,jing'qi'lian'hai'men
旌旗飒凋伤,jing'qi'sa'diao'shang
旌旗上垄迟,jing'qi'shang'long'chi
旌旗遥拂雁行偏,jing'qi'yao'fu'yan'hang'pian
惊起欲栖乌,jing'qi'yu'qi'wu
惊禽翻暗叶,jing'qin'fan'an'ye
荆卿一去后,jing'qing'yi'qu'hou
惊秋风水窗,jing'qiu'feng'shui'chuang
惊秋黄叶遍,jing'qiu'huang'ye'bian
惊秋路傍客,jing'qiu'lu'bang'ke
惊秋问敝袍,jing'qiu'wen'bi'pao
经秋无客到,jing'qiu'wu'ke'dao
惊鹊栖未定,jing'que'qi'wei'ding
惊鹊仍依树,jing'que'reng'yi'shu
荆人泣美玉,jing'ren'qi'mei'yu
竟日皆携手,jing'ri'jie'xie'shou
净色和云落,jing'se'he'yun'luo
惊沙乱海日,jing'sha'luan'hai'ri
井上二梧桐,jing'shang'er'wu'tong
经少林精舍,jing'shao'lin'jing'she
精舍买金开,jing'she'mai'jin'kai
精神四飞扬,jing'shen'si'fei'yang
经世昧古今,jing'shi'mei'gu'jin
京师叛乱寄诸弟,jing'shi'pan'luan'ji'zhu'di
经时岂不怀,jing'shi'qi'bu'huai
茎疏叶且微,jing'shu'ye'qie'wei
精爽今何之,jing'shuang'jin'he'zhi
精爽如可遇,jing'shuang'ru'ke'yu
泾水浩浩扬湍波,jing'shui'hao'hao'yang'tuan'bo
精思遍群山,jing'si'bian'qun'shan
竟岁无人来,jing'sui'wu'ren'lai
静谈金匮篇,jing'tan'jin'kui'pian
静谈秋水篇,jing'tan'qiu'shui'pian
惊涛来似雪,jing'tao'lai'si'xue
惊涛汹涌向何处,jing'tao'xiong'yong'xiang'he'chu
敬亭白云气,jing'ting'bai'yun'qi
敬亭埋玉树,jing'ting'mai'yu'shu
敬亭惬素尚,jing'ting'qie'su'shang
敬亭一回首,jing'ting'yi'hui'shou
精卫费木石,jing'wei'fei'mu'shi
静闻寒夜泉,jing'wen'han'ye'quan
井无桔槔事,jing'wu'jie'gao'shi
景物具昭陈,jing'wu'ju'zhao'chen
井屋起晨烟,jing'wu'qi'chen'yan
竟夕恨相望,jing'xi'hen'xiang'wang
惊喜茫如堕烟雾,jing'xi'mang'ru'duo'yan'wu
静向懒相偶,jing'xiang'lan'xiang'ou
境新耳目换,jing'xin'er'mu'huan
惊鸭触芙蓉,jing'ya'chu'fu'rong
经燕复历秦,jing'yan'fu'li'qin
景晏青山沉,jing'yan'qing'shan'chen
旌摇塞北沙,jing'yao'sai'bei'sha
静夜思,jing'ye'si
静夜四无邻,jing'ye'si'wu'lin
井邑嵩山对,jing'yi'song'shan'dui
精义忘朝昏,jing'yi'wang'chao'hun
井邑秀通川,jing'yi'xiu'tong'chuan
井饮但加葱,jing'yin'dan'jia'cong
惊猿相叫聒,jing'yuan'xiang'jiao'guo
荆云蔽三巴,jing'yun'bi'san'ba
惊云辞沙朔,jing'yun'ci'sha'shuo
敬赠如上人,jing'zeng'ru'shang'ren
静者伏草间,jing'zhe'fu'cao'jian
静中何所得,jing'zhong'he'suo'de
荆州津济闹,jing'zhou'jin'ji'nao
荆州贼平,jing'zhou'zei'ping
静坐观众妙,jing'zuo'guan'zhong'miao
迥出江山上,jiong'chu'jiang'shan'shang
迥出重城里,jiong'chu'zhong'cheng'li
迥临飞鸟上,jiong'lin'fei'niao'shang
迥起来应近,jiong'qi'lai'ying'jin
迥山转海不作难,jiong'shan'zhuan'hai'bu'zuo'nan
炯心如凝丹,jiong'xin'ru'ning'dan
酒伴来相命,jiu'ban'lai'xiang'ming
九苞凤凰,jiu'bao'feng'huang
酒报新丰景,jiu'bao'xin'feng'jing
酒杯同寄世,jiu'bei'tong'ji'shi
久别林僧夜坐稀,jiu'bie'lin'seng'ye'zuo'xi
久别思款颜,jiu'bie'si'kuan'yan
久别咸阳西,jiu'bie'xian'yang'xi
久病忽闻蝉,jiu'bing'hu'wen'chan
久藏浊水泥,jiu'cang'zhuo'shui'ni
九重出入生光辉,jiu'chong'chu'ru'sheng'guang'hui
九重门更肃,jiu'chong'men'geng'su
九重念入梦,jiu'chong'nian'ru'meng
旧楚枫犹在,jiu'chu'feng'you'zai
久辞荣禄遂初衣,jiu'ci'rong'lu'sui'chu'yi
旧赐铜山许铸钱,jiu'ci'tong'shan'xu'zhu'qian
舅乏郄鉴爱,jiu'fa'xi'jian'ai
久废论真果,jiu'fei'lun'zhen'guo
久废南山田,jiu'fei'nan'shan'tian
久负独往愿,jiu'fu'du'wang'yuan
九垓长周旋,jiu'gai'chang'zhou'xuan
九垓远相待,jiu'gai'yuan'xiang'dai
旧根新茎,jiu'gen'xin'jing
酒沽千日人不醉,jiu'gu'qian'ri'ren'bu'zui
旧国见青山,jiu'guo'jian'qing'shan
旧国见秋月,jiu'guo'jian'qiu'yue
