阿米芹属,a'mi'qin'shu
辣木科,la'mu'ke
辣木属,la'mu'shu
辣莸属,la'you'shu
蜡烛果属,la'zhu'guo'shu
赖草属,lai'cao'shu
来江藤属,lai'jiang'teng'shu
梾木属,lai'mu'shu
蓝刺头属,lan'ci'tou'shu
蓝耳草属,lan'er'cao'shu
蓝果树科,lan'guo'shu'ke
蓝果树属,lan'guo'shu'shu
兰花蕉属,lan'hua'jiao'shu
蓝花参属,lan'hua'shen'shu
蓝花藤属,lan'hua'teng'shu
蓝花楹属,lan'hua'ying'shu
蓝蓟属,lan'ji'shu
蓝堇草属,lan'jin'cao'shu
兰科,lan'ke
榄李属,lan'li'shu
蓝盆花属,lan'pen'hua'shu
兰嵌马蓝属,lan'qian'ma'lan'shu
兰属,lan'shu
蓝雪花属,lan'xue'hua'shu
蓝雪科,lan'xue'ke
兰屿加属,lan'yu'jia'shu
蓝钟花属,lan'zhong'hua'shu
蓝子木属,lan'zi'mu'shu
郎德木属,lang'de'mu'shu
狼毒属,lang'du'shu
狼尾草属,lang'wei'cao'shu
狼紫草属,lang'zi'cao'shu
老鹳草属,lao'guan'cao'shu
老虎刺属,lao'hu'ci'shu
老鼠簕属,lao'shu'le'shu
老鸦烟筒花属,lao'ya'yan'tong'hua'shu
落羽杉属,lao'yu'shan'shu
簩竹属,lao'zhu'shu
乐东藤属,le'dong'teng'shu
簕竹属,le'zhu'shu
雷芬属,lei'fen'shu
雷公连属,lei'gong'lian'zhu
雷公藤属,lei'gong'teng'shu
擂鼓艻属,lei'gu'ji'shu
肋果蓟属,lei'guo'ji'shu
雷楝属,lei'lian'shu
类芦属,lei'lu'shu
肋毛蕨属,lei'mao'jue'shu
淚木属,lei'mu'shu
类雀稗属,lei'que'bai'shu
类蜀黎属,lei'shu'li'shu
类叶牡丹属,lei'ye'mu'dan'shu
类叶升麻属,lei'ye'sheng'ma'shu
肋柱花属,lei'zhu'hua'shu
棱果花属,leng'guo'hua'shu
棱果芥属,leng'guo'jie'shu
冷蕨属,leng'jue'shu
棱脉蕨属,leng'mai'jue'shu
冷杉属,leng'shan'shu
冷水花属,leng'shui'hua'shu
棱子果属,leng'zi'guo'shu
棱子芹属,leng'zi'qin'shu
里白科,li'bai'ke
里白属,li'bai'shu
离瓣寄生属,li'ban'ji'sheng'shu
鳢肠属,li'chang'shu
黧豆属,li'dou'shu
丽豆属,li'dou'shu
栗豆藤属,li'dou'teng'shu
离根香属,li'gen'xiang'shu
梨果寄生属,li'guo'ji'sheng'shu
栗寄生属,li'ji'sheng'shu
栗蕨属,li'jue'shu
藜科,li'ke
李榄属,li'lan'shu
藜芦属,li'lu'shu
藜属,li'shu
李属,li'shu
栎属,li'shu
栗属,li'shu
梨属,li'shu
梨藤竹属,li'teng'zhu'shu
犁头尖属,li'tou'jian'shu
狸尾豆属,li'wei'dou'shu
丽薇属,li'wei'shu
狸藻科,li'zao'ke
狸藻属,li'zao'shu
荔枝属,li'zhi'shu
梨竹属,li'zhu'shu
离子芥属,li'zi'jie'shu
镰瓣豆属,lian'ban'dou'shu
镰扁豆属,lian'bian'dou'shu
镰稃草属,lian'fu'cao'shu
莲桂属,lian'gui'shu
链荚豆属,lian'jia'dou'shu
链荚木属,lian'jia'mu'shu
楝科,lian'ke
连翘属,lian'qiao'shu
连蕊芥属,lian'rui'jie'shu
连蕊藤属,lian'rui'teng'shu
莲属,lian'shu
楝属,lian'shu
连香树科,lian'xiang'shu'ke
连香树属,lian'xiang'shu'shu
镰序竹属,lian'xu'zhu'shu
恋岩花属,lian'yan'hua'shu
莲叶桐科,lian'ye'tong'ke
莲叶桐属,lian'ye'tong'shu
连珠蕨属,lian'zhu'jue'shu
链珠藤属,lian'zhu'teng'shu
莲子草属,lian'zi'cao'shu
帘子藤属,lian'zi'teng'shu
凉粉草属,liang'fen'cao'shu
亮花木属,liang'hua'mu'shu
两节豆属,liang'jie'dou'shu
两节芥属,liang'jie'jie'shu
亮毛蕨属,liang'mao'jue'shu
亮蛇床属,liang'she'chuang'shu
量天尺属,liang'tian'chi'shu
梁王茶属,liang'wang'cha'shu
两型豆属,liang'xing'dou'shu
亮叶芹属,liang'ye'qin'shu
疗齿草属,liao'chi'cao'shu
蓼科,liao'ke
蓼属,liao'shu
鬣刺属,lie'ci'shu
列当科,lie'dang'ke
列当属,lie'dang'shu
裂稃草属,lie'fu'cao'shu
裂稃茅属,lie'fu'mao'shu
裂瓜属,lie'gua'shu
裂果金花属,lie'guo'jin'hua'shu
裂果薯属,lie'guo'shu'shu
裂檐苣苔属,lie'yan'ju'tai'shu
裂叶荆芥属,lie'ye'jing'jie'shu
裂颖茅属,lie'ying'mao'shu
林地苋属,lin'di'xian'shu
鳞盖蕨属,lin'gai'jue'shu
鳞隔堇属,lin'ge'jin'shu
鳞果草属,lin'guo'cao'shu
鳞果星蕨属,lin'guo'xing'jue'shu
鳞花草属,lin'hua'cao'shu
鳞花木属,lin'hua'mu'shu
鳞毛蕨科,lin'mao'jue'ke
鳞毛蕨属,lin'mao'jue'shu
鳞蕊藤属,lin'rui'teng'shu
林石草属,lin'shi'cao'shu
鳞尾木属,lin'wei'mu'shu
鳞籽莎属,lin'zi'sha'shu
陵齿蕨科,ling'chi'jue'ke
陵齿蕨属,ling'chi'jue'shu
领春木科,ling'chun'mu'ke
领春木属,ling'chun'mu'shu
铃铛刺属,ling'dang'ci'shu
凌风草属,ling'feng'cao'shu
苓菊属,ling'ju'shu
菱科,ling'ke
铃兰属,ling'lan'shu
岭罗麦属,ling'luo'mai'shu
柃木属,ling'mu'shu
菱属,ling'shu
凌霄属,ling'xiao'shu
菱叶元宝草属,ling'ye'yuan'bao'cao'shu
灵枝草属,ling'zhi'cao'shu
铃子香属,ling'zi'xiang'shu
柳安属,liu'an'shu
琉苞菊属,liu'bao'ju'shu
六苞藤属,liu'bao'teng'shu
六翅木属,liu'chi'mu'shu
柳穿鱼属,liu'chuan'yu'shu
六道木属,liu'dao'mu'shu
留萼木属,liu'e'mu'shu
瘤冠麻属,liu'guan'ma'shu
瘤果芹属,liu'guo'qin'shu
瘤蕨属,liu'jue'shu
六棱菊属,liu'leng'ju'shu
琉璃草属,liu'li'cao'shu
琉璃繁缕属,liu'li'fan'lv'shu
榴莲属,liu'lian'shu
柳杉属,liu'shan'shu
柳属,liu'shu
流苏树属,liu'su'shu'shu
流苏子属,liu'su'zi'shu
柳叶菜科,liu'ye'cai'ke
柳叶菜属,liu'ye'cai'shu
柳叶蕨属,liu'ye'jue'shu
柳叶芹属,liu'ye'qin'shu
柳叶箬属,liu'ye'ruo'shu
瘤子草属,liu'zi'cao'shu
瘤足蕨科,liu'zu'jue'ke
瘤足蕨属,liu'zu'jue'shu
龙常草属,long'chang'cao'shu
龙船草属,long'chuan'cao'shu
龙船花属,long'chuan'hua'shu
龙胆科,long'dan'ke
龙胆木属,long'dan'mu'shu
龙胆属,long'dan'shu
龙津蕨属,long'jin'jue'shu
龙脑香科,long'nao'xiang'ke
龙脑香属,long'nao'xiang'shu
龙舌兰属,long'she'lan'shu
龙头草属,long'tou'cao'shu
龙头花属,long'tou'hua'shu
龙血树属,long'xue'shu'shu
龙芽草属,long'ya'cao'shu
龙眼属,long'yan'shu
龙爪茅属,long'zhao'mao'shu
龙珠属,long'zhu'shu
耧斗菜属,lou'dou'cai'shu
漏斗苣苔属,lou'dou'ju'tai'shu
漏芦属,lou'lu'shu
楼梯草属,lou'ti'cao'shu
路边青属,lu'bian'qing'shu
露兜树科,lu'dou'shu'ke
露兜树属,lu'dou'shu'shu
颅果草属,lu'guo'cao'shu
芦荟属,lu'hui'shu
鹿藿属,lu'huo'shu
鹿角草属,lu'jiao'cao'shu
鹿角蕨科,lu'jiao'jue'ke
鹿角蕨属,lu'jiao'jue'shu
鹿角兰属,lu'jiao'lan'shu
鹿角藤属,lu'jiao'teng'shu
栌菊木属,lu'ju'mu'shu
卤蕨科,lu'jue'ke
蕗蕨属,lu'jue'shu
卤蕨属,lu'jue'shu
陆均松属,lu'jun'song'shu
鹿茸草属,lu'rong'cao'shu
鹿茸木属,lu'rong'mu'shu
鹭鸶草属,lu'si'cao'shu
鹿蹄草科,lu'ti'cao'ke
鹿蹄草属,lu'ti'cao'shu
芦苇属,lu'wei'shu
鹿药属,lu'yao'shu
露珠草属,lu'zhu'cao'shu
芦竹属,lu'zhu'shu
露籽草属,lu'zi'cao'shu
孪果鹤虱属,luan'guo'he'shi'shu
卵果蕨属,luan'guo'jue'shu
栾树属,luan'shu'shu
孪叶豆属,luan'ye'dou'shu
乱子草属,luan'zi'cao'shu
轮冠木属,lun'guan'mu'shu
轮环藤属,lun'huan'teng'shu
轮叶戟属,lun'ye'ji'shu
萝卜属,luo'bo'shu
罗布麻属,luo'bu'ma'shu
落地生根属,luo'di'sheng'gen'shu
罗顿豆属,luo'dun'dou'shu
萝芙木属,luo'fu'mu'shu
裸果木属,luo'guo'mu'shu
罗汉柏属,luo'han'bai'shu
罗汉果属,luo'han'guo'shu
罗汉松科,luo'han'song'ke
罗汉松属,luo'han'song'shu
落花生属,luo'hua'sheng'shu
螺喙荠属,luo'hui'ji'shu
落葵科,luo'kui'ke
落葵属,luo'kui'shu
落葵薯属,luo'kui'shu'shu
罗勒属,luo'le'shu
落芒草属,luo'mang'cao'shu
萝藦科,luo'mo'ke
萝藦属,luo'mo'shu
罗伞属,luo'san'shu
络石属,luo'shi'shu
裸蒴属,luo'shuo'shu
骆驼刺属,luo'tuo'ci'shu
骆驼蓬属,luo'tuo'peng'shu
裸菀属,luo'wan'shu
落尾木属,luo'wei'mu'shu
落新妇属,luo'xin'fu'shu
螺序草属,luo'xu'cao'shu
落檐属,luo'yan'shu
落叶松属,luo'ye'song'shu
裸芸香属,luo'yun'xiang'shu
裸柱草属,luo'zhu'cao'shu
裸柱菊属,luo'zhu'ju'shu
裸子蕨科,luo'zi'jue'ke
葎草属,lv'cao'shu
旅人蕉属,lv'ren'jiao'shu
绿绒蒿属,lv'rong'hao'shu
驴食草属,lv'shi'cao'shu
驴蹄草属,lv'ti'cao'shu
绿竹属,lv'zhu'shu
马鞍树属,ma'an'shu'shu
马鞭草科,ma'bian'cao'ke
马鞭草属,ma'bian'cao'shu
马齿苋科,ma'chi'xian'ke
马齿苋属,ma'chi'xian'shu
马蛋果属,ma'dan'guo'shu
马兜铃科,ma'dou'ling'ke
马兜铃属,ma'dou'ling'shu
麻疯树属,ma'feng'shu'shu
麻核藤属,ma'he'teng'shu
麻花头属,ma'hua'tou'shu
麻黄科,ma'huang'ke
麻黄属,ma'huang'shu
马甲子属,ma'jia'zi'shu
马交儿属,ma'jiao'er'shu
马蓝属,ma'lan'shu
马兰属,ma'lan'shu
马兰藤属,ma'lan'teng'shu
马利筋属,ma'li'jin'shu
马莲鞍属,ma'lian'an'shu
麻楝属,ma'lian'shu
马铃苣苔属,ma'ling'ju'tai'shu
马尿泡属,ma'niao'pao'shu
马钱科,ma'qian'ke
马钱属,ma'qian'shu
马桑科,ma'sang'ke
马桑属,ma'sang'shu
马松子属,ma'song'zi'shu
马唐属,ma'tang'shu
马蹄参属,ma'ti'can'shu
马蹄果属,ma'ti'guo'shu
马蹄荷属,ma'ti'he'shu
马蹄黄属,ma'ti'huang'shu
马蹄金属,ma'ti'jin'shu
马蹄莲属,ma'ti'lian'shu
马蹄芹属,ma'ti'qin'shu
马蹄香属,ma'ti'xiang'shu
麻菀属,ma'wan'shu
马尾树科,ma'wei'shu'ke
马尾树属,ma'wei'shu'shu
马先蒿属,ma'xian'hao'shu
马缨丹属,ma'ying'dan'shu
蚂蚱腿子属,ma'zha'tui'zi'shu
马醉木属,ma'zui'mu'shu
麦蓝菜属,mai'lan'cai'shu
买麻藤科,mai'ma'teng'ke
买麻藤属,mai'ma'teng'shu
麦氏草属,mai'shi'cao'shu
麦仙翁属,mai'xian'weng'shu
麦珠子属,mai'zhu'zi'shu
蔓长春花属,man'chang'chun'hua'shu
蔓虎刺属,man'hu'ci'shu
满江红科,man'jiang'hong'ke
满江红属,man'jiang'hong'shu
蔓龙胆属,man'long'dan'shu
曼陀罗属,man'tuo'luo'shu
芒苞草属,mang'bao'cao'shu
芒柄花属,mang'bing'hua'shu
杧果属,mang'guo'shu
芒毛苣苔属,mang'mao'ju'tai'shu
牻牛儿苗科,mang'niu'er'miao'ke
牻牛儿苗属,mang'niu'er'miao'shu
芒萁属,mang'qi'shu
芒属,mang'shu
毛茶属,mao'cha'shu
毛车藤属,mao'che'teng'shu
锚刺果属,mao'ci'guo'shu
毛地黄属,mao'di'huang'shu
帽儿瓜属,mao'er'gua'shu
猫儿菊属,mao'er'ju'shu
猫儿屎属,mao'er'shi'shu
毛杆蕨属,mao'gan'jue'shu
茅膏菜科,mao'gao'cai'ke
茅膏菜属,mao'gao'cai'shu
毛根蕨属,mao'gen'jue'shu
毛茛科,mao'gen'ke
毛茛莲花属,mao'gen'lian'hua'shu
茅根属,mao'gen'shu
毛茛属,mao'gen'shu
毛茛泻泽属,mao'gen'xie'ze'shu
毛梗兰属,mao'geng'lan'shu
茅瓜属,mao'gua'shu
毛果草属,mao'guo'cao'shu
毛核木属,mao'he'mu'shu
毛花瑞香属,mao'hua'rui'xiang'shu
毛俭草属,mao'jian'cao'shu
毛蕨属,mao'jue'shu
毛兰属,mao'lan'shu
毛连菜属,mao'lian'cai'shu
毛鳞菊属,mao'lin'ju'shu
毛鳞蕨属,mao'lin'jue'shu
毛蔓豆属,mao'man'dou'shu
猫乳属,mao'ru'shu
帽蕊草属,mao'rui'cao'shu
毛蕊草属,mao'rui'cao'shu
毛蕊花属,mao'rui'hua'shu
毛蕊菊属,mao'rui'ju'shu
帽蕊木属,mao'rui'mu'shu
毛舌兰属,mao'she'lan'shu
毛麝香属,mao'she'xiang'shu
毛束草属,mao'shu'cao'shu
猫尾树属,mao'wei'shu'shu
茅香属,mao'xiang'shu
毛药花属,mao'yao'hua'shu
毛药藤属,mao'yao'teng'shu
毛叶蕨属,mao'ye'jue'shu
毛颖草属,mao'ying'cao'shu
毛枝蕨属,mao'zhi'jue'shu
毛轴线盖蕨属,mao'zhou'xian'gai'jue'shu
锚柱兰属,mao'zhu'lan'shu
猫爪藤属,mao'zhua'teng'shu
霉草科,mei'cao'ke
美登木属,mei'deng'mu'shu
美冠兰属,mei'guan'lan'shu
玫瑰木属,mei'gui'mu'shu
玫瑰树属,mei'gui'shu'shu
美国薄荷属,mei'guo'bo'he'shu
梅花草属,mei'hua'cao'shu
美花草属,mei'hua'cao'shu
梅蓝属,mei'lan'shu
美丽桐属,mei'li'tong'shu
美人蕉科,mei'ren'jiao'ke
美人蕉属,mei'ren'jiao'shu
美柱兰属,mei'zhu'lan'shu
檬果樟属,meng'guo'zhang'shu
蒙蒿子属,meng'hao'zi'shu
勐腊藤属,meng'la'teng'shu
虻眼属,meng'yan'shu
米草属,mi'cao'shu
迷迭香属,mi'die'xiang'shu
蜜蜂花属,mi'feng'hua'shu
迷果芹属,mi'guo'qin'shu
猕猴桃科,mi'hou'tao'ke
猕猴桃属,mi'hou'tao'shu
密花豆属,mi'hua'dou'shu
密花兰属,mi'hua'lan'shu
密花树属,mi'hua'shu'shu
密花藤属,mi'hua'teng'shu
米口袋属,mi'kou'dai'shu
密脉木属,mi'mai'mu'shu
米面蓊属,mi'mian'weng'shu
米努草属,mi'nu'cao'shu
米团花属,mi'tuan'hua'shu
密序苣苔属,mi'xu'ju'tai'shu
蜜茱萸属,mi'zhu'yu'shu
密子豆属,mi'zi'dou'shu
米仔兰属,mi'zi'lan'shu
绵参属,mian'can'shu
绵刺属,mian'ci'shu
绵果荠属,mian'guo'ji'shu
绵果芹属,mian'guo'qin'shu
缅茄属,mian'jia'shu
棉藜属,mian'li'shu
棉毛菊属,mian'mao'ju'shu
棉属,mian'shu
绵穗苏属,mian'sui'su'shu
缅桐属,mian'tong'shu
绵枣儿属,mian'zao'er'shu
皿果草属,min'guo'cao'shu
明党参属,ming'dang'shen'shu
磨擦草属,mo'ca'cao'shu
膜萼花属,mo'e'hua'shu
膜稃草属,mo'fu'cao'shu
膜蕨科,mo'jue'ke
膜蕨属,mo'jue'shu
茉莉果属,mo'li'guo'shu
墨苜蓿属,mo'mu'xu'shu
魔芋属,mo'yu'shu
木瓣树属,mu'ban'shu'shu
母草属,mu'cao'shu
牡丹草属,mu'dan'cao'shu
木豆属,mu'dou'shu
牧豆树属,mu'dou'shu'shu
木防己属,mu'fang'ji'shu
牧根草属,mu'gen'cao'shu
木瓜红属,mu'gua'hong'shu
木瓜榄属,mu'gua'lan'shu
木瓜属,mu'gua'shu
木果楝属,mu'guo'lian'shu
木荷属,mu'he'shu
木蝴蝶属,mu'hu'die'shu
木姜子属,mu'jiang'zi'shu
木槿属,mu'jin'shu
牡荆属,mu'jing'shu
木橘属,mu'ju'shu
母菊属,mu'ju'shu
木兰科,mu'lan'ke
木蓝属,mu'lan'shu
木兰属,mu'lan'shu
木榄属,mu'lan'shu
牡丽草属,mu'li'cao'shu
木藜芦属,mu'li'lu'shu
木莲属,mu'lian'shu
木蓼属,mu'liao'shu
木麻黄科,mu'ma'huang'ke
木麻黄属,mu'ma'huang'shu
木棉科,mu'mian'ke
木棉属,mu'mian'shu
木奶果属,mu'nai'guo'shu
木麒麟属,mu'qi'lin'shu
木薯属,mu'shu'shu
木茼蒿属,mu'tong'hao'shu
木通科,mu'tong'ke
木通属,mu'tong'shu
木犀草科,mu'xi'cao'ke
木犀草属,mu'xi'cao'shu
木犀科,mu'xi'ke
木犀榄属,mu'xi'lan'shu
木犀属,mu'xi'shu
苜蓿属,mu'xu'shu
牡竹属,mu'zhu'shu
奶子藤属,nai'zi'teng'shu
楠草属,nan'cao'shu
南瓜属,nan'gua'shu
南芥属,nan'jie'shu
南美稔属,nan'mei'ren'shu
南山花属,nan'shan'hua'shu
南山藤属,nan'shan'teng'shu
南蛇藤属,nan'she'teng'shu
楠属,nan'shu
南酸枣属,nan'suan'zao'shu
南天竹属,nan'tian'zhu'shu
南五味子属,nan'wu'wei'zi'shu
南洋杉科,nan'yang'sha'ke
南洋杉属,nan'yang'sha'shu
南一笼鸡属,nan'yi'long'ji'shu
南烛属,nan'zhu'shu
囊瓣木属,nang'ban'mu'shu
囊瓣芹属,nang'ban'qin'shu
囊稃竹属,nang'fu'zhu'shu
囊果草属,nang'guo'cao'shu
囊颖草属,nang'ying'cao'shu
囊种草属,nang'zhong'cao'shu
拟艾纳香属,ni'ai'na'xiang'shu
拟扁果草属,ni'bian'guo'cao'shu
拟大豆属,ni'da'dou'shu
拟单性木兰属,ni'dan'xing'mu'lan'shu
拟地皮消属,ni'di'pi'xiao'shu
拟贯众属,ni'guan'zhong'shu
泥胡菜属,ni'hu'cai'shu
拟花蔺属,ni'hua'lin'shu
拟金茅属,ni'jin'mao'shu
拟兰属,ni'lan'shu
拟鳞毛蕨属,ni'lin'mao'jue'shu
拟楼斗菜属,ni'lou'dou'cai'shu
拟漆姑属,ni'qi'gu'shu
拟水龙骨属,ni'shui'long'gu'shu
拟万代兰属,ni'wan'dai'lan'shu
拟芸香属,ni'yun'xiang'shu
拟蜘蛛兰属,ni'zhi'zhu'lan'shu
念珠芥属,nian'zhu'jie'shu
鸟巢兰属,niao'chao'lan'shu
茑萝属,niao'luo'shu
鸟舌兰属,niao'she'lan'shu
鸟足兰属,niao'zu'lan'shu
牛蒡属,niu'bang'shu
牛鼻栓属,niu'bi'shuan'shu
牛鞭草属,niu'bian'cao'shu
扭柄花属,niu'bing'hua'shu
牛齿兰属,niu'chi'lan'shu
扭藿香属,niu'huo'xiang'shu
牛角瓜属,niu'jiao'gua'shu
牛角兰属,niu'jiao'lan'shu
牛筋果属,niu'jin'guo'shu
牛筋藤属,niu'jin'teng'shu
牛筋条属,niu'jin'tiao'shu
扭连钱属,niu'lian'qian'shu
牛奶菜属,niu'nai'cai'shu
牛舌草属,niu'she'cao'shu
牛栓藤科,niu'shuan'teng'ke
牛栓藤属,niu'shuan'teng'shu
牛膝菊属,niu'xi'ju'shu
牛膝属,niu'xi'shu
牛眼菊属,niu'yan'ju'shu
牛油果属,niu'you'guo'shu
牛至属,niu'zhi'shu
纽子花属,niu'zi'hua'shu
脓疮草属,nong'chuang'cao'shu
浓子茉莉属,nong'zi'mo'li'shu
糯米团属,nuo'mi'tuan'shu
糯米香属,nuo'mi'xiang'shu
女蒿属,nv'hao'shu
女菀属,nv'wan'shu
女贞属,nv'zhen'shu
欧当归属,ou'dang'gui'shu
欧防风属,ou'fang'feng'shu
欧芹属,ou'qin'shu
欧瑞香属,ou'rui'xiang'shu
欧夏至草属,ou'xia'zhi'cao'shu
爬兰属,pa'lan'shu
爬山虎属,pa'shan'hu'shu
爬树蕨属,pa'shu'jue'shu
排钱树属,pai'qian'shu'shu
排香草属,pai'xiang'cao'shu
盘果草属,pan'guo'cao'shu
膀胱蕨属,pang'guang'jue'shu
泡果茜草属,pao'guo'qian'cao'shu
泡花树属,pao'hua'shu'shu
泡囊草属,pao'nang'cao'shu
泡桐属,pao'tong'shu
炮仗藤属,pao'zhang'teng'shu
泡竹属,pao'zhu'shu
喷瓜属,pen'gua'shu
盆架树属,pen'jia'shu'shu
盆距兰属,pen'ju'lan'shu
蓬莱葛属,peng'lai'ge'shu
蟛蜞菊属,peng'qi'ju'shu
披碱草属,pi'jian'cao'shu
匹菊属,pi'ju'shu
枇杷属,pi'pa'shu
偏瓣花属,pian'ban'hua'shu
偏穗姜属,pian'sui'jiang'shu
飘拂草属,piao'fu'cao'shu
蘋科,pin'ke
蘋属,pin'shu
平当树属,ping'dang'shu'shu
瓶尔小草科,ping'er'xiao'cao'ke
瓶尔小草属,ping'er'xiao'cao'shu
苹果属,ping'guo'shu
瓶花木属,ping'hua'mu'shu
瓶蕨属,ping'jue'shu
萍蓬草属,ping'peng'cao'shu
苹婆属,ping'po'shu
瓶头草属,ping'tou'cao'shu
破布木属,po'bu'mu'shu
破布叶属,po'bu'ye'shu
珀菊属,po'ju'shu
坡垒属,po'lei'shu
婆罗门参属,po'luo'men'can'shu
婆罗双属,po'luo'shuang'shu
婆婆纳属,po'po'na'shu
坡油甘属,po'you'gan'shu
蒲儿根属,pu'er'gen'shu
蒲公英属,pu'gong'ying'shu
蒲葵属,pu'kui'shu
朴属,pu'shu
葡萄科,pu'tao'ke
葡萄属,pu'tao'shu
蒲桃属,pu'tao'shu
蒲苇属,pu'wei'shu
七瓣莲属,qi'ban'lian'shu
歧笔菊属,qi'bi'ju'shu
脐草属,qi'cao'shu
旗唇兰属,qi'chun'lan'shu
旗杆芥属,qi'gan'jie'shu
漆姑草属,qi'gu'cao'shu
七筋姑属,qi'jin'gu'shu
麒麟吐珠属,qi'lin'tu'zhu'shu
麒麟叶属,qi'lin'ye'shu
桤木属,qi'mu'shu
棋盘花属,qi'pan'hua'shu
歧伞花属,qi'san'hua'shu
歧伞菊属,qi'san'ju'shu
槭属,qi'shu
漆属,qi'shu
槭树科,qi'shu'ke
漆树科,qi'shu'ke
齐头绒属,qi'tou'rong'shu
槭叶草属,qi'ye'cao'shu
七叶树科,qi'ye'shu'ke
桤叶树科,qi'ye'shu'ke
七叶树属,qi'ye'shu'shu
桤叶树属,qi'ye'shu'shu
七指蕨科,qi'zhi'jue'ke
七指蕨属,qi'zhi'jue'shu
棋子豆属,qi'zi'dou'shu
七子花属,qi'zi'hua'shu
茜草科,qian'cao'ke
茜草属,qian'cao'shu
钳唇兰属,qian'chun'lan'shu
前胡属,qian'hu'shu
千解草属,qian'jie'cao'shu
千斤拔属,qian'jin'ba'shu
千金藤属,qian'jin'teng'shu
千金榆属,qian'jin'yu'shu
千金子属,qian'jin'zi'shu
黔蕨属,qian'jue'shu
千里光属,qian'li'guang'shu
荨麻科,qian'ma'ke
荨麻属,qian'ma'shu
千年健属,qian'nian'jian'shu
牵牛属,qian'niu'shu
千屈菜科,qian'qu'cai'ke
千屈菜属,qian'qu'cai'shu
千日红属,qian'ri'hong'shu
芡属,qian'shu
茜树属,qian'shu'shu
千针苋属,qian'zhen'xian'shu
墙草属,qiang'cao'shu
枪刀药属,qiang'dao'yao'shu
羌活属,qiang'huo'shu
蔷薇科,qiang'wei'ke
蔷薇属,qiang'wei'shu
鞘苞花属,qiao'bao'hua'shu
鞘柄木属,qiao'bing'mu'shu
巧茶属,qiao'cha'shu
壳斗科,qiao'dou'ke
雀儿豆属,qiao'er'dou'shu
雀儿舌头属,qiao'er'she'tou'shu
鞘冠菊属,qiao'guan'ju'shu
鞘花属,qiao'hua'shu
荞麦属,qiao'mai'shu
鞘蕊花属,qiao'rui'hua'shu
伽蓝菜属,qie'lan'cai'shu
窃衣属,qie'yi'shu
秦岭藤属,qin'ling'teng'shu
芹属,qin'shu
芹叶荠属,qin'ye'ji'shu
清风藤科,qing'feng'teng'ke
清风藤属,qing'feng'teng'shu
青冈属,qing'gang'shu
青荚叶属,qing'jia'ye'shu
青兰属,qing'lan'shu
青篱柴属,qing'li'chai'shu
苘麻属,qing'ma'shu
青梅属,qing'mei'shu
清明花属,qing'ming'hua'shu
轻木属,qing'mu'shu
青牛胆属,qing'niu'dan'shu
青皮木属,qing'pi'mu'shu
青钱柳属,qing'qian'liu'shu
青檀属,qing'tan'shu
青藤属,qing'teng'shu
蜻蜓兰属,qing'ting'lan'shu
青葙属,qing'xiang'shu
琼豆属,qiong'dou'shu
琼榄属,qiong'lan'shu
琼梅属,qiong'mei'shu
琼楠属,qiong'nan'shu
筇竹属,qiong'zhu'shu
琼棕属,qiong'zong'shu
球柄兰属,qiu'bing'lan'shu
秋分草属,qiu'fen'cao'shu
秋枫属,qiu'feng'shu
球盖蕨科,qiu'gai'jue'ke
球秆毛蕨属,qiu'gan'mao'jue'shu
球根阿魏属,qiu'gen'a'wei'shu
球果荠属,qiu'guo'ji'shu
球果藤属,qiu'guo'teng'shu
秋海棠科,qiu'hai'tang'ke
秋海棠属,qiu'hai'tang'shu
球花豆属,qiu'hua'dou'shu
秋茄树属,qiu'jia'shu'shu
球菊属,qiu'ju'shu
秋葵属,qiu'kui'shu
球兰属,qiu'lan'shu
求米草属,qiu'mi'cao'shu
球穗草属,qiu'sui'cao'shu
秋英爵床属,qiu'ying'jue'chuang'shu
秋英属,qiu'ying'shu
球柱草属,qiu'zhu'cao'shu
球子草属,qiu'zi'cao'shu
球子蕨科,qiu'zi'jue'ke
球子蕨属,qiu'zi'jue'shu
曲苞芋属,qu'bao'yu'shu
曲唇兰属,qu'chun'lan'shu
屈曲花属,qu'qu'hua'shu
曲轴蕨属,qu'zhou'jue'shu
曲籽芋属,qu'zi'yu'shu
全唇花属,quan'chun'hua'shu
全唇苣苔属,quan'chun'ju'tai'shu
全唇兰属,quan'chun'lan'shu
全能花属,quan'neng'hua'shu
泉七属,quan'qi'shu
雀稗属,que'bai'shu
雀苣属,que'ju'shu
雀麦属,que'mai'shu
雀梅藤属,que'mei'teng'shu
雀舌木属,que'she'mu'shu
鹊肾树属,que'shen'shu'shu
群心菜属,qun'xin'cai'shu
髯管花属,ran'guan'hua'shu
染料木属,ran'liao'mu'shu
染木树属,ran'mu'shu'shu
荛花属,rao'hua'shu
忍冬科,ren'dong'ke
忍冬属,ren'dong'shu
任豆属,ren'dou'shu
人面子属,ren'mian'zi'shu
人参属,ren'shen'shu
人字果属,ren'zi'guo'shu
日中花属,ri'zhong'hua'shu
绒苞藤属,rong'bao'teng'shu
绒果芹属,rong'guo'qin'shu
绒藜属,rong'li'shu
绒毛草属,rong'mao'cao'shu
榕属,rong'shu
肉被麻属,rou'bei'ma'shu
肉刺蕨属,rou'ci'jue'shu
肉苁蓉属,rou'cong'rong'shu
肉豆蔻科,rou'dou'kou'ke
肉豆蔻属,rou'dou'kou'shu
