爱好由来落笔难,ai'hao'you'lai'luo'bi'nan
难补金镜,nan'bu'jin'jing
南朝四百八十寺,nan'chao'si'bai'ba'shi'si
难得有心郎,nan'de'you'xin'lang
男儿何不带吴钩,nan'er'he'bu'dai'wu'gou
男儿有泪不轻弹,nan'er'you'lei'bu'qing'tan
南山晓雪玉嶙峋,nan'shan'xiao'xue'yu'lin'xun
南望王师又一年,nan'wang'wang'shi'you'yi'nian
南乡子,nan'xiang'zi
难于上青天,nan'yu'shang'qing'tian
内举不失亲,nei'ju'bu'shi'qin
能不忆江南,neng'bu'yi'jiang'nan
能开二月花,neng'kai'er'yue'hua
霓裳中序第一,ni'chang'zhong'xu'di'yi
拟古决绝词,ni'gu'jue'jue'ci
泥莲刚倩藕丝萦,ni'lian'gang'qian'ou'si'ying
泥融飞燕子,ni'rong'fei'yan'zi
拈断数茎须,nian'duan'shu'jing'xu
捻断数茎须,nian'duan'shu'jing'xu
年来苦乐,nian'lai'ku'le
年年,nian'nian
年年翠阴庭树,nian'nian'cui'yin'ting'shu
年年今夜,nian'nian'jin'ye
年年岁岁花相似,nian'nian'sui'sui'hua'xiang'si
年年犹得向郎圆,nian'nian'you'de'xiang'lang'yuan
年年跃马长安市,nian'nian'yue'ma'chang'an'shi
年事梦中休,nian'shi'meng'zhong'xiu
念天地之悠悠,nian'tian'di'zhi'you'you
鸟鸣山更幽,niao'ming'shan'geng'you
鸟劝我饮非无情,niao'quan'wo'yin'fei'wu'qing
鸟宿池边树,niao'su'chi'bian'shu
鸟语知境静,niao'yu'zhi'jing'jing
凝碧旧池头,ning'bi'jiu'chi'tou
凝泪眼,ning'lei'yan
宁为玉碎,ning'wei'yu'sui
宁无一个是男儿,ning'wu'yi'ge'shi'nan'er
宁移白首之心,ning'yi'bai'shou'zhi'xin
农夫犹饿死,nong'fu'you'e'si
怒发冲冠,nu'fa'chong'guan
怒涛寂寞打孤城,nu'tao'ji'mo'da'gu'cheng
暖风熏得游人醉,nuan'feng'xun'de'you'ren'zui
女色难自夸,nv'se'nan'zi'kua
女娲炼石补天处,nv'wa'lian'shi'bu'tian'chu
女为悦己者容,nv'wei'yue'ji'zhe'rong
藕风轻,ou'feng'qing
怕得鱼惊不应人,pa'de'yu'jing'bu'ying'ren
判得最长宵,pan'de'zui'chang'xiao
旁观者清,pang'guan'zhe'qing
抛残弦索床头,pao'can'xian'suo'chuang'tou
蓬门今始为君开,peng'men'jin'shi'wei'jun'kai
蓬山此去无多路,peng'shan'ci'qu'wu'duo'lu
蓬头稚子学垂纶,peng'tou'zhi'zi'xue'chui'lun
匹夫不可夺志也,pi'fu'bu'ke'duo'zhi'ye
蚍蜉撼大树,pi'fu'han'da'shu
匹夫有责,pi'fu'you'ze
皮里春秋空黑黄,pi'li'chun'qiu'kong'hei'huang
琵琶起舞换新声,pi'pa'qi'wu'huan'xin'sheng
琵琶仙,pi'pa'xian
譬如朝露,pi'ru'zhao'lu
皮之不存,pi'zhi'bu'cun
片片吹落轩辕台,pian'pian'chui'luo'xuan'yuan'tai
片片催零落,pian'pian'cui'ling'luo
偏是来无准,pian'shi'lai'wu'zhun
偏信则暗,pian'xin'ze'an
扁舟,pian'zhou
扁舟一叶,pian'zhou'yi'ye
飘泊落谁家,piao'bo'luo'shui'jia
飘零酒一杯,piao'ling'jiu'yi'bei
飘流瀚海,piao'liu'han'hai
飘然思不群,piao'ran'si'bu'qun
瞥遇回廊,pie'yu'hui'lang
贫贱不能移,pin'jian'bu'neng'yi
贫贱之知不可忘,pin'jian'zhi'zhi'bu'ke'wang
凭高唯有清啸,ping'gao'wei'you'qing'xiao
凭君传语报平安,ping'jun'chuan'yu'bao'ping'an
凭栏处,ping'lan'chu
平明送客楚山孤,ping'ming'song'ke'chu'shan'gu
平明寻白羽,ping'ming'xun'bai'yu
凭谁问,ping'shui'wen
凭仗丹青重省识,ping'zhang'dan'qing'zhong'sheng'shi
谱出回肠,pu'chu'hui'chang
菩萨蛮,pu'sa'man
菩萨蛮书江西造口壁,pu'sa'man'shu'jiang'xi'zao'kou'bi
葡萄美酒夜光杯,pu'tao'mei'jiu'ye'guang'bei
七八个星天外,qi'ba'ge'xing'tian'wai
其不善者而改之,qi'bu'shan'zhe'er'gai'zhi
七步诗,qi'bu'shi
栖迟梵宇,qi'chi'fan'yu
砌虫能说,qi'chong'neng'shuo
漆灯风飐,qi'deng'feng'zhan
其和弥寡,qi'he'mi'gua
泣尽风檐夜雨铃,qi'jin'feng'yan'ye'yu'ling
契阔谈嚥,qi'kuo'tan'yan
起来翻为无眠早,qi'lai'fan'wei'wu'mian'zao
凄凉别后两应同,qi'liang'bie'hou'liang'ying'tong
齐鲁青未了,qi'lu'qing'wei'liao
绮罗香,qi'luo'xiang
其明日是亡妇生辰,qi'ming'ri'shi'wang'fu'sheng'chen
凄凄惨惨戚戚,qi'qi'can'can'qi'qi
萋萋满别情,qi'qi'man'bie'qing
凄凄切切,qi'qi'qie'qie
凄清照鬓丝,qi'qing'zhao'bin'si
其曲弥高,qi'qu'mi'gao
其身不正,qi'shen'bu'zheng
其身正,qi'shen'zheng
其实难副,qi'shi'nan'fu
气吞万里如虎,qi'tun'wan'li'ru'hu
岐王宅里寻常见,qi'wang'zhai'li'xun'chang'jian
奇文共欣赏,qi'wen'gong'xin'shang
起舞回雪,qi'wu'hui'xue
起舞弄清影,qi'wu'nong'qing'ying
其义自见,qi'yi'zi'xian
岂有堂堂中国空无人,qi'you'tang'tang'zhong'guo'kong'wu'ren
起于累土,qi'yu'lei'tu
七月初四夜风雨,qi'yue'chu'si'ye'feng'yu
欹枕数秋天,qi'zhen'shu'qiu'tian
恰上心头,qia'shang'xin'tou
恰似一江春水向东流,qia'si'yi'jiang'chun'shui'xiang'dong'liu
前不见古人,qian'bu'jian'gu'ren
浅草才能没马蹄,qian'cao'cai'neng'mo'ma'ti
前车覆,qian'che'fu
千锤万凿出深山,qian'chui'wan'zao'chu'shen'shan
千朵万朵压枝低,qian'duo'wan'duo'ya'zhi'di
千古风流人物,qian'gu'feng'liu'ren'wu
千古江山,qian'gu'jiang'shan
千古事,qian'gu'shi
千古兴亡多少事,qian'gu'xing'wang'duo'shao'shi
千古盈亏休问,qian'gu'ying'kui'xiu'wen
千呼万唤始出来,qian'hu'wan'huan'shi'chu'lai
倩魂销尽夕阳前,qian'hun'xiao'jin'xi'yang'qian
千金散尽还复来,qian'jin'san'jin'huan'fu'lai
千金纵买相如赋,qian'jin'zong'mai'xiang'ru'fu
乾坤日夜浮,qian'kun'ri'ye'fu
铅泪难消,qian'lei'nan'xiao
千里澄江似练,qian'li'cheng'jiang'si'lian
千里共婵娟,qian'li'gong'chan'juan
千里孤坟,qian'li'gu'fen
千里黄云白日曛,qian'li'huang'yun'bai'ri'xun
千里江陵一日还,qian'li'jiang'ling'yi'ri'huan
千里送鹅毛,qian'li'song'e'mao
千里莺啼绿映红,qian'li'ying'ti'lv'ying'hong
千里之堤,qian'li'zhi'di
千里之行,qian'li'zhi'xing
千门万户日童日童日,qian'men'wan'hu'ri'tong'ri'tong'ri
千门万户曈曈日,qian'men'wan'hu'tong'tong'ri
千磨万击还坚劲,qian'mo'wan'ji'hai'jian'jin
千年史册耻无名,qian'nian'shi'ce'chi'wu'ming
千山鸟飞绝,qian'shan'niao'fei'jue
倩声声邻笛,qian'sheng'sheng'lin'di
前事不忘,qian'shi'bu'wang
前事休说,qian'shi'xiu'shuo
谦受益,qian'shou'yi
千树万树梨花开,qian'shu'wan'shu'li'hua'kai
钱塘湖春行,qian'tang'hu'chun'xing
千淘万漉虽辛苦,qian'tao'wan'lu'sui'xin'ku
千万缕,qian'wan'lv
千载谁堪伯仲间,qian'zai'shui'kan'bo'zhong'jian
千种风情,qian'zhong'feng'qing
羌笛何须怨杨柳,qiang'di'he'xu'yuan'yang'liu
腔儿大,qiang'er'da
墙角数枝梅,qiang'jiao'shu'zhi'mei
墙上芦苇,qiang'shang'lu'wei
强说欢期,qiang'shuo'huan'qi
巧笑倩兮,qiao'xiao'qian'xi
俏也不争春,qiao'ye'bu'zheng'chun
且乘闲,qie'cheng'xian
锲而不舍,qie'er'bu'she
妾家高楼连苑起,qie'jia'gao'lou'lian'yuan'qi
且可随缘道我赢,qie'ke'sui'yuan'dao'wo'ying
怯流年,qie'liu'nian
亲戚畔之,qin'qi'pan'zhi
秦时明月汉时关,qin'shi'ming'yue'han'shi'guan
禽兽之变诈几何哉,qin'shou'zhi'bian'zha'ji'he'zai
亲贤臣,qin'xian'chen
亲小人,qin'xiao'ren
沁园春,qin'yuan'chun
擒贼先擒王,qin'zei'xian'qin'wang
青草池塘处处蛙,qing'cao'chi'tang'chu'chu'wa
轻尘在玉琴,qing'chen'zai'yu'qin
晴川历历汉阳树,qing'chuan'li'li'han'yang'shu
清吹那堪听,qing'chui'na'kan'ting
青春作伴好还乡,qing'chun'zuo'ban'hao'huan'xiang
晴翠接荒城,qing'cui'jie'huang'cheng
清风半夜鸣蝉,qing'feng'ban'ye'ming'chan
清风不识字,qing'feng'bu'shi'zi
轻风吹到胆瓶梅,qing'feng'chui'dao'dan'ping'mei
青枫浦上不胜愁,qing'feng'pu'shang'bu'sheng'chou
青海长云暗雪山,qing'hai'chang'yun'an'xue'shan
清辉玉臂寒,qing'hui'yu'bi'han
请君莫奏前朝曲,qing'jun'mo'zou'qian'chao'qu
请君试问东流水,qing'jun'shi'wen'dong'liu'shui
晴空一鹤排云上,qing'kong'yi'he'pai'yun'shang
清泪尽,qing'lei'jin
轻罗小扇扑流莹,qing'luo'xiao'shan'pu'liu'ying
清明,qing'ming
清明时节雨纷纷,qing'ming'shi'jie'yu'fen'fen
青鸟殷勤为探看,qing'niao'yin'qin'wei'tan'kan
青女素娥俱耐冷,qing'nv'su'e'ju'nai'leng
清平乐,qing'ping'le
清平乐村居,qing'ping'le'cun'ju
青青园中葵,qing'qing'yuan'zhong'kui
青青子衿,qing'qing'zi'jin
清泉石上流,qing'quan'shi'shang'liu
青雀几时裁锦字,qing'que'ji'shi'cai'jin'zi
青箬笠,qing'ruo'li
青山郭外斜,qing'shan'guo'wai'xie
青山横北郭,qing'shan'heng'bei'guo
青衫湿,qing'shan'shi
青山依旧在,qing'shan'yi'jiu'zai
青山遮不住,qing'shan'zhe'bu'zhu
清水出芙蓉,qing'shui'chu'fu'rong
青眼聊因美酒横,qing'yan'liao'yin'mei'jiu'heng
轻烟散入五侯家,qing'yan'san'ru'wu'hou'jia
清韵谁敲,qing'yun'shui'qiao
情在不能醒,qing'zai'bu'neng'xing
情知此后来无计,qing'zhi'ci'hou'lai'wu'ji
轻舟短楫去如飞,qing'zhou'duan'ji'qu'ru'fei
轻舟已过万重山,qing'zhou'yi'guo'wan'chong'shan
卿自早醒侬自梦,qing'zi'zao'xing'nong'zi'meng
穷且益坚,qiong'qie'yi'jian
茕茕孑立,qiong'qiong'jie'li
穷则独善其身,qiong'ze'du'shan'qi'shen
裘敝入门空太息,qiu'bi'ru'men'kong'tai'xi
秋词,qiu'ci
秋风吹不尽,qiu'feng'chui'bu'jin
秋风原上,qiu'feng'yuan'shang
秋来书更疏,qiu'lai'shu'geng'shu
秋浦歌,qiu'pu'ge
秋千院落夜沉沉,qiu'qian'yuan'luo'ye'chen'chen
秋如许,qiu'ru'xu
秋收万颗子,qiu'shou'wan'ke'zi
秋水共长天一色,qiu'shui'gong'chang'tian'yi'se
秋夕,qiu'xi
秋夕信步,qiu'xi'xin'bu
秋夜将晓出篱门迎凉有感,qiu'ye'jiang'xiao'chu'li'men'ying'liang'you'gan
秋雨,qiu'yu
秋月春风等闲度,qiu'yue'chun'feng'deng'xian'du
驱车登古原,qu'che'deng'gu'yuan
取次花丛懒回顾,qu'ci'hua'cong'lan'hui'gu
曲儿小,qu'er'xiao
曲径通幽处,qu'jing'tong'you'chu
曲阑深处重相见,qu'lan'shen'chu'chong'xiang'jian
去留肝胆两昆仑,qu'liu'gan'dan'liang'kun'lun
去年尘冷,qu'nian'chen'leng
去年今日此门中,qu'nian'jin'ri'ci'men'zhong
曲曲柔肠碎,qu'qu'rou'chang'sui
去日苦多,qu'ri'ku'duo
曲项向天歌,qu'xiang'xiang'tian'ge
曲则全,qu'ze'quan
泉涓涓而始流,quan'juan'juan'er'shi'liu
劝君更尽一杯酒,quan'jun'geng'jin'yi'bei'jiu
劝君莫上最高梯,quan'jun'mo'shang'zui'gao'ti
泉眼无声惜细流,quan'yan'wu'sheng'xi'xi'liu
劝伊好向红窗醉,quan'yi'hao'xiang'hong'chuang'zui
全仗你抬身价,quan'zhang'ni'tai'shen'jia
却道故人心易变,que'dao'gu'ren'xin'yi'bian
却恨莺声似故山,que'hen'ying'sheng'si'gu'shan
却话巴山夜雨时,que'hua'ba'shan'ye'yu'shi
却话家山夜雨,que'hua'jia'shan'ye'yu
却看妻子愁何在,que'kan'qi'zi'chou'he'zai
却怕登楼,que'pa'deng'lou
鹊桥仙,que'qiao'xian
却上心头,que'shang'xin'tou
却下层楼,que'xia'ceng'lou
然后能才,ran'hou'neng'cai
然后能改,ran'hou'neng'gai
然后有千里马千里马常有,ran'hou'you'qian'li'ma'qian'li'ma'chang'you
然后知不足,ran'hou'zhi'bu'zu
然后知困,ran'hou'zhi'kun
然后知松柏之后凋也,ran'hou'zhi'song'bai'zhi'hou'diao'ye
绕床弄青梅,rao'chuang'nong'qing'mei
绕砌蛩螿人不语,rao'qi'qiong'jiang'ren'bu'yu
绕树三匝,rao'shu'san'za
绕天涯,rao'tian'ya
人比黄花瘦,ren'bi'huang'hua'shou
人不学,ren'bu'xue
人不知而不愠,ren'bu'zhi'er'bu'yun
人到情多情转薄,ren'dao'qing'duo'qing'zhuan'bo
任尔东西南北风,ren'er'dong'xi'nan'bei'feng
人而无信,ren'er'wu'xin
人而无仪,ren'er'wu'yi
人非圣贤,ren'fei'sheng'xian
人逢喜事精神爽,ren'feng'xi'shi'jing'shen'shuang
忍顾鹊桥归路,ren'gu'que'qiao'gui'lu
人固有一死,ren'gu'you'yi'si
人归落雁后,ren'gui'luo'yan'hou
人何在,ren'he'zai
人恒过,ren'heng'guo
人迹板桥霜,ren'ji'ban'qiao'shuang
人间空唱雨淋铃,ren'jian'kong'chang'yu'lin'ling
人间那得几回闻,ren'jian'na'dei'ji'hui'wen
人间能得几回闻,ren'jian'neng'de'ji'hui'wen
人间四月芳菲尽,ren'jian'si'yue'fang'fei'jin
人间无数,ren'jian'wu'shu
人间无味,ren'jian'wu'wei
人间应免别离愁,ren'jian'ying'mian'bie'li'chou
人间与世远,ren'jian'yu'shi'yuan
人间正道是沧桑,ren'jian'zheng'dao'shi'cang'sang
人间重晚晴,ren'jian'zhong'wan'qing
人静鼠窥灯,ren'jing'shu'kui'deng
人静乌鸢自乐,ren'jing'wu'yuan'zi'le
人老心不老,ren'lao'xin'bu'lao
任满身花影,ren'man'shen'hua'ying
人面不知何处,ren'mian'bu'zhi'he'chu
人面不知何处去,ren'mian'bu'zhi'he'chu'qu
人面桃花相映红,ren'mian'tao'hua'xiang'ying'hong
人情练达即文章,ren'qing'lian'da'ji'wen'zhang
人穷志不穷,ren'qiong'zhi'bu'qiong
人去似春休,ren'qu'si'chun'xiu
人生代代无穷已,ren'sheng'dai'dai'wu'qiong'yi
人生到处知何似,ren'sheng'dao'chu'zhi'he'si
人生芳秽有千载,ren'sheng'fang'hui'you'qian'zai
人生何处不相逢,ren'sheng'he'chu'bu'xiang'feng
人生几何,ren'sheng'ji'he
人生乐在相知心,ren'sheng'le'zai'xiang'zhi'xin
人生七十古来稀,ren'sheng'qi'shi'gu'lai'xi
人生若只如初见,ren'sheng'ruo'zhi'ru'chu'jian
人生失意无南北,ren'sheng'shi'yi'wu'nan'bei
人生有新故,ren'sheng'you'xin'gu
人生自古谁无死,ren'sheng'zi'gu'shui'wu'si
人生自是有情痴,ren'sheng'zi'shi'you'qing'chi
任是春风吹不展,ren'shi'chun'feng'chui'bu'zhan
人事有代谢,ren'shi'you'dai'xie
人谁无过过而能改,ren'shui'wu'guo'guo'er'neng'gai
人似当时否,ren'si'dang'shi'fou
人似浮云影不留,ren'si'fu'yun'ying'bu'liu
忍死须臾待杜根,ren'si'xu'yu'dai'du'gen
任他明月下西楼,ren'ta'ming'yue'xia'xi'lou
忍听湘弦重理,ren'ting'xiang'xian'zhong'li
任我东西南北风,ren'wo'dong'xi'nan'bei'feng
人无千日好,ren'wu'qian'ri'hao
人无远虑,ren'wu'yuan'lv
任西风,ren'xi'feng
人以群分,ren'yi'qun'fen
人有悲欢离合,ren'you'bei'huan'li'he
人有不为也,ren'you'bu'wei'ye
人约黄昏后,ren'yue'huang'hun'hou
人在谁边,ren'zai'shei'bian
人在玉楼中,ren'zai'yu'lou'zhong
仁者不忧,ren'zhe'bu'you
仁者见仁,ren'zhe'jian'ren
人至察则无徒,ren'zhi'cha'ze'wu'tu
日长篱落无人过,ri'chang'li'luo'wu'ren'guo
日出而林霏开,ri'chu'er'lin'fei'kai
日出江花红胜火,ri'chu'jiang'hua'hong'sheng'huo
日啖荔枝三百颗,ri'dan'li'zhi'san'bai'ke
日高花影重,ri'gao'hua'ying'chong
日久见人心,ri'jiu'jian'ren'xin
日暮苍山远,ri'mu'cang'shan'yuan
日暮汉宫传蜡烛,ri'mu'han'gong'chuan'la'zhu
日暮客愁新,ri'mu'ke'chou'xin
日暮乡关何处是,ri'mu'xiang'guan'he'chu'shi
日日醉湖边,ri'ri'zui'hu'bian
日斜深巷无人迹,ri'xie'shen'xiang'wu'ren'ji
日月之行,ri'yue'zhi'xing
日照香炉生紫烟,ri'zhao'xiang'lu'sheng'zi'yan
荣枯自有时,rong'ku'zi'you'shi
容易语低香近,rong'yi'yu'di'xiang'jin
柔情似水,rou'qing'si'shui
汝果欲学诗,ru'guo'yu'xue'shi
如何泪欲流,ru'he'lei'yu'liu
如今直上银河去,ru'jin'zhi'shang'yin'he'qu
如梦令,ru'meng'ling
如切如磋,ru'qie'ru'cuo
如秋燕,ru'qiu'yan
如三秋兮,ru'san'qiu'xi
入眼平生几曾有,ru'yan'ping'sheng'ji'ceng'you
入云深处亦沾衣,ru'yun'shen'chu'yi'zhan'yi
入则无法家拂士,ru'ze'wu'fa'jia'bi'shi
入竹万竿斜,ru'zhu'wan'gan'xie
如琢如磨,ru'zhuo'ru'mo
软风吹过窗纱,ruan'feng'chui'guo'chuang'sha
软踏帘钩说,ruan'ta'lian'gou'shuo
瑞鹤仙,rui'he'xian
润物细无声,run'wu'xi'wu'sheng
若出其里,ruo'chu'qi'li
若出其中,ruo'chu'qi'zhong
若待上林花似锦,ruo'dai'shang'lin'hua'si'jin
若将富贵比贫者,ruo'jiang'fu'gui'bi'pin'zhe
若将贫贱比车马,ruo'jiang'pin'jian'bi'che'ma
爇尽水沉烟,ruo'jin'shui'chen'yan
若容相访饮牛津,ruo'rong'xiang'fang'yin'niu'jin
若是真金不镀金,ruo'shi'zhen'jin'bu'du'jin
若似月轮终皎洁,ruo'si'yue'lun'zhong'jiao'jie
若要人不知,ruo'yao'ren'bu'zhi
洒向野田黄蝶,sa'xiang'ye'tian'huang'die
洒向枝上花,sa'xiang'zhi'shang'hua
塞上长城空自许,sai'shang'chang'cheng'kong'zi'xu
塞上风云接地阴,sai'shang'feng'yun'jie'di'yin
塞上燕脂凝夜紫,sai'shang'yan'zhi'ning'ye'zi
塞翁失马,sai'weng'shi'ma
塞下曲,sai'xia'qu
三杯两盏淡酒,san'bei'liang'zhan'dan'jiu
三顾频烦天下计,san'gu'pin'fan'tian'xia'ji
三军可夺帅也,san'jun'ke'duo'shuai'ye
三衢道中,san'qu'dao'zhong
三人行,san'ren'xing
三山半落青山外,san'shan'ban'luo'qing'shan'wai
三生杜牧,san'sheng'du'mu
三十功名尘与土,san'shi'gong'ming'chen'yu'tu
三殊媚,san'shu'mei
三万里河东入海,san'wan'li'he'dong'ru'hai
三载悠悠魂梦杳,san'zai'you'you'hun'meng'yao
散作满河星,san'zuo'man'he'xing
桑隅非晚,sang'yu'fei'wan
桑柘影斜春社散,sang'zhe'ying'xie'chun'she'san
僧敲月下门,seng'qiao'yue'xia'men
沙暖睡鸳鸯,sha'nuan'shui'yuan'yang
沙上并禽池上暝,sha'shang'bing'qin'chi'shang'ming
沙上行人却回首,sha'shang'xing'ren'que'hui'shou
霎时厮见何妨,sha'shi'si'jian'he'fang
山不厌高,shan'bu'yan'gao
山不在高,shan'bu'zai'gao
山长水阔知何处,shan'chang'shui'kuo'zhi'he'chu
山重水复疑无路,shan'chong'shui'fu'yi'wu'lu
山岛竦峙,shan'dao'song'zhi
删繁就简三秋树,shan'fan'jiu'jian'san'qiu'shu
山高月小,shan'gao'yue'xiao
山高自有客行路,shan'gao'zi'you'ke'xing'lu
山光悦鸟性,shan'guang'yue'niao'xing
山河破碎风飘絮,shan'he'po'sui'feng'piao'xu
山花红紫树高低,shan'hua'hong'zi'shu'gao'di
山花子,shan'hua'zi
山回路转不见君,shan'hui'lu'zhuan'bu'jian'jun
山间竹笋,shan'jian'zhu'sun
山居秋暝,shan'ju'qiu'ming
善莫大焉,shan'mo'da'yan
山抹微云,shan'mo'wei'yun
山气日夕佳,shan'qi'ri'xi'jia
山色寒尚映,shan'se'han'shang'ying
山色空蒙雨亦奇,shan'se'kong'meng'yu'yi'qi
山色谁题,shan'se'shui'ti
山色有无中,shan'se'you'wu'zhong
山深闻鹧鸪,shan'shen'wen'zhe'gu
山似论文不喜平,shan'si'lun'wen'bu'xi'ping
山寺桃花始盛开,shan'si'tao'hua'shi'sheng'kai
山寺月中寻桂子,shan'si'yue'zhong'xun'gui'zi
山随平野尽,shan'sui'ping'ye'jin
山外青山楼外楼,shan'wai'qing'shan'lou'wai'lou
山围故国绕清江,shan'wei'gu'guo'rao'qing'jiang
山舞银蛇,shan'wu'yin'she
山衔落日浸寒漪,shan'xian'luo'ri'jin'han'yi
山行,shan'xing
山一程,shan'yi'cheng
山映斜阳天接水,shan'ying'xie'yang'tian'jie'shui
山雨欲来风满楼,shan'yu'yu'lai'feng'man'lou
山园小梅,shan'yuan'xiao'mei
珊枕泪痕红泫,shan'zhen'lei'hen'hong'xuan
山枕檀痕涴,shan'zhen'tan'hen'yuan
伤春不在高楼上,shang'chun'bu'zai'gao'lou'shang
尚得君王不自持,shang'de'jun'wang'bu'zi'chi
伤高怀远几时穷,shang'gao'huai'yuan'ji'shi'qiong
尚难消受,shang'nan'xiao'shou
商女不知亡国恨,shang'nv'bu'zhi'wang'guo'hen
伤情处,shang'qing'chu
上穷碧落下黄泉,shang'qiong'bi'luo'xia'huang'quan
商山早行,shang'shan'zao'xing
尚思为国戍轮台,shang'si'wei'guo'shu'lun'tai
赏心乐事谁家院,shang'xin'le'shi'shui'jia'yuan
伤心桥下春波绿,shang'xin'qiao'xia'chun'bo'lv
尚有哀弦留至今,shang'you'ai'xian'liu'zhi'jin
上有黄鹂深树鸣,shang'you'huang'li'shen'shu'ming
少年不识愁滋味,shao'nian'bu'shi'chou'zi'wei
少年辛苦终身事,shao'nian'xin'ku'zhong'shen'shi
少年游,shao'nian'you
少小离家老大回,shao'xiao'li'jia'lao'da'hui
少壮不努力,shao'zhuang'bu'nu'li
少壮功夫老始成,shao'zhuang'gong'fu'lao'shi'cheng
少壮工夫老始成,shao'zhuang'gong'fu'lao'shi'cheng
社稷次之,she'ji'ci'zhi
射人先射马,she'ren'xian'she'ma
麝烟微,she'yan'wei
谁与话长更,shei'yu'hua'chang'geng
深港明朝卖杏花,shen'gang'ming'zhao'mai'xing'hua
深谷为陵,shen'gu'wei'ling
身后有余忘缩手,shen'hou'you'yu'wang'suo'shou
深林人不知,shen'lin'ren'bu'zhi
身上衣裳口中食,shen'shang'yi'shang'kou'zhong'shi
身世浮沉雨打萍,shen'shi'fu'chen'yu'da'ping
身世恨,shen'shi'hen
慎思之,shen'si'zhi
审问之,shen'wen'zhi
身无彩凤双飞翼,shen'wu'cai'feng'shuang'fei'yi
身闲酒美惜光景,shen'xian'jiu'mei'xi'guang'jing
深巷明朝卖杏花,shen'xiang'ming'chao'mai'xing'hua
身向榆关那畔行,shen'xiang'yu'guan'na'pan'xing
身向云山那畔行,shen'xiang'yun'shan'na'pan'xing
甚于防川,shen'yu'fang'chuan
沈园二首,shen'yuan'er'shou
沈园非复旧池台,shen'yuan'fei'fu'jiu'chi'tai
沈园柳老不吹绵,shen'yuan'liu'lao'bu'chui'mian
慎终如始,shen'zhong'ru'shi
盛必虑衰,sheng'bi'lv'shuai
生当作人杰,sheng'dang'zuo'ren'jie
绳锯木断,sheng'ju'mu'duan
生怜玉骨委尘沙,sheng'lian'yu'gu'wei'chen'sha
盛名之下,sheng'ming'zhi'xia
盛年不重来,sheng'nian'bu'chong'lai
胜人者力,sheng'ren'zhe'li
胜日寻芳泗水滨,sheng'ri'xun'fang'si'shui'bin
声声催忆当初,sheng'sheng'cui'yi'dang'chu
声声慢,sheng'sheng'man
声声入耳,sheng'sheng'ru'er
生于毫末,sheng'yu'hao'mo
生于淮北则为枳,sheng'yu'huai'bei'ze'wei'zhi
生于忧患,sheng'yu'you'huan
剩月零风里,sheng'yue'ling'feng'li
生查子,sheng'zha'zi
士别三日,shi'bie'san'ri
诗残莫续,shi'can'mo'xu
诗成泣鬼神,shi'cheng'qi'gui'shen
诗成笑傲凌沧海,shi'cheng'xiao'ao'ling'cang'hai
史达祖,shi'da'zu
失道寡助,shi'dao'gua'zhu
拾得翠翘何恨不能言,shi'de'cui'qiao'he'hen'bu'neng'yan
示儿,shi'er
十二月十五夜,shi'er'yue'shi'wu'ye
十分清瘦更无诗,shi'fen'qing'shou'geng'wu'shi
事夫誓拟同生死,shi'fu'shi'ni'tong'sheng'si
石灰吟,shi'hui'yin
时见梨花片片开,shi'jian'li'hua'pian'pian'kai
时见一斑,shi'jian'yi'ban
时节薄寒人病酒,shi'jie'bo'han'ren'bing'jiu
湿尽檐花,shi'jin'yan'hua
事竟成,shi'jing'cheng
是可忍,shi'ke'ren
使老有所终,shi'lao'you'suo'zhong
是离愁,shi'li'chou
十里杨州,shi'li'yang'zhou
是梦久应醒矣,shi'meng'jiu'ying'xing'yi
时鸣春涧中,shi'ming'chun'jian'zhong
十年窗下无人问,shi'nian'chuang'xia'wu'ren'wen
十年磨一剑,shi'nian'mo'yi'jian
十年生死两茫茫,shi'nian'sheng'si'liang'mang'mang
十年树木,shi'nian'shu'mu
十年天地干戈老,shi'nian'tian'di'gan'ge'lao
十年辛苦不寻常,shi'nian'xin'ku'bu'xun'chang
十年一觉扬州梦,shi'nian'yi'jiao'yang'zhou'meng
十年一梦凄凉,shi'nian'yi'meng'qi'liang
石破天惊逗秋雨,shi'po'tian'jing'dou'qiu'yu
时人不识余心乐,shi'ren'bu'shi'yu'xin'le
十日寒之,shi'ri'han'zhi
事如芳草春长在,shi'ru'fang'cao'chun'zhang'zai
世上荣枯无百年,shi'shang'rong'ku'wu'bai'nian
世事洞明皆学问,shi'shi'dong'ming'jie'xue'wen
事事关心,shi'shi'guan'xin
视死忽如归,shi'si'hu'ru'gui
十四万人齐解甲,shi'si'wan'ren'qi'jie'jia
士为知己者死,shi'wei'zhi'ji'zhe'si
使我不得开心颜,shi'wo'bu'de'kai'xin'yan
食野之苹,shi'ye'zhi'ping
失意每多如意少,shi'yi'mei'duo'ru'yi'shao
十一年前梦一场,shi'yi'nian'qian'meng'yi'chang
世有伯乐,shi'you'bo'le
试玉要烧三日满,shi'yu'yao'shao'san'ri'man
始于足下,shi'yu'zu'xia
十载西湖,shi'zai'xi'hu
师者,shi'zhe
十指不沾泥,shi'zhi'bu'zhan'ni
失之东隅,shi'zhi'dong'yu
失之毫厘,shi'zhi'hao'li
始知锁向金笼听,shi'zhi'suo'xiang'jin'long'ting
