阿柏麻属,a'bai'ma'shu
轴花属,zhou'hua'shu
帚菊属,zhou'ju'shu
轴藜属,zhou'li'shu
轴榈属,zhou'lv'shu
竹柏科罗,zhu'bai'ke'luo
猪菜藤属,zhu'cai'teng'shu
诸葛菜属,zhu'ge'cai'shu
竹根七属,zhu'gen'qi'shu
朱蕉属,zhu'jiao'shu
竹节蓼属,zhu'jie'liao'shu
竹节树属,zhu'jie'shu'shu
竹茎兰属,zhu'jing'lan'shu
朱兰属,zhu'lan'shu
猪笼草科,zhu'long'cao'ke
猪笼草属,zhu'long'cao'shu
苎麻属,zhu'ma'shu
猪毛菜属,zhu'mao'cai'shu
蛛网萼属,zhu'wang'e'shu
猪牙花属,zhu'ya'hua'shu
猪腰豆属,zhu'yao'dou'shu
竹叶吉祥草属,zhu'ye'ji'xiang'cao'shu
竹叶蕉属,zhu'ye'jiao'shu
竹叶兰属,zhu'ye'lan'shu
竹叶子属,zhu'ye'zi'shu
朱缨花属,zhu'ying'hua'shu
竹芋属,zhu'yu'shu
珠子木属,zhu'zi'mu'shu
砖子苗属,zhuan'zi'miao'shu
锥果芥属,zhui'guo'jie'shu
锥花属,zhui'hua'shu
锥栗属,zhui'li'shu
锥茅属,zhui'mao'shu
锥头麻属,zhui'tou'ma'shu
紫草科,zi'cao'ke
紫草属,zi'cao'shu
紫丹属,zi'dan'shu
紫金龙属,zi'jin'long'shu
紫金牛科,zi'jin'niu'ke
紫金牛属,zi'jin'niu'shu
紫堇属,zi'jin'shu
紫茎兰属,zi'jing'lan'shu
紫荆木属,zi'jing'mu'shu
紫荆属,zi'jing'shu
仔榄树属,zi'lan'shu'shu
子楝树属,zi'lian'shu'shu
紫罗兰属,zi'luo'lan'shu
紫麻属,zi'ma'shu
紫铆属,zi'mao'shu
紫茉莉科,zi'mo'li'ke
紫茉莉属,zi'mo'li'shu
紫萍属,zi'ping'shu
孜然芹属,zi'ran'qin'shu
紫伞芹属,zi'san'qin'shu
梓属,zi'shu
紫树属,zi'shu'shu
紫苏属,zi'su'shu
紫穗槐属,zi'sui'huai'shu
紫檀属,zi'tan'shu
紫藤属,zi'teng'shu
紫菀木属,zi'wan'mu'shu
紫万年青属,zi'wan'nian'qing'shu
紫菀属,zi'wan'shu
紫葳科,zi'wei'ke
紫葳属,zi'wei'shu
紫薇属,zi'wei'shu
紫霞藤属,zi'xia'teng'shu
紫叶属,zi'ye'shu
紫玉盘属,zi'yu'pan'shu
紫云英属,zi'yun'ying'shu
紫珠属,zi'zhu'shu
总苞草属,zong'bao'cao'shu
棕榈科,zong'lv'ke
棕榈属,zong'lv'shu
鬃尾草属,zong'wei'cao'shu
粽叶芦属,zong'ye'lu'shu
棕竹属,zong'zhu'shu
足杜兰属,zu'du'lan'shu
钻地风属,zuan'di'feng'shu
钻喙兰属,zuan'hui'lan'shu
钻天柳属,zuan'tian'liu'shu
钻柱兰属,zuan'zhu'lan'shu
醉魂藤属,zui'hun'teng'shu
醉鱼草属,zui'yu'cao'shu
酢浆草科,zuo'jiang'cao'ke
酢浆草属,zuo'jiang'cao'shu
柞木属,zuo'mu'shu
